|character|text|type
0||"AS GOOD AS IT GETSAS GOOD AS IT GETS
by
Mard Andrus
And
James L. Brooks
Story by
Mark Andrus
FADE IN:"|stage direction
1||INT. APARTMENT BUILDING (NEW YORK), HALLWAY - NIGHT|location
2||"ANGLE ON apartment doorway. As it opens and an
enormously SWEET-FACED, ELDER WOMAN steps out, bungled up
against the cold -- turning back to call inside to the
unseen love of her long life."|stage direction
3||SWEET-FACED WOMAN|location
4|unknown|"I'm just going to get some
flowers, dear. I'll be back in
twenty minutes. It's tulip season
today. I'm so happy."|speech
5||"And now she turns and faces the hallway... her sweetness
dissolves in a flash... replaced by repulsion and that
quickly she has reversed herself and re-entered her
apartment... closing the door as we consider her vacated.
POV - MELVIN UDALL
in the hallway... Well past 50... unliked, unloved,
unsettling. A huge pain in the ass to everyone he's ever
met. Right now all his considerable talent and strength
is totally focused on seducing a tiny dog into the
elevator door he holds open."|stage direction
6||MELVIN|location
7|unknown|Come here, sweetheart... come on.|speech
8||"ON DOG
Sniffing at a particular spot on the hall carpeting.
Melvin lets the elevator door close and advances on the
mutt who has ignores him."|stage direction
9||MELVIN|location
10|unknown|"Wanna go for a ride? Okay,
sweetie?"|speech
11||"The dog lifts his leg at the precise moment Melvin lunges
and picks him up with a decisive heft -- so that dog
urine squirts the hall wall for a second or two. The DOG
sensing a kindred spirit starts to GROWL and BARK."|stage direction
12||"MELVIN
(a malevolent tone)"|location
13|unknown|"You've pissed your last floor, you
dog-eared monkey."|speech
14||"The dog takes a snap at Melvin, but the man is much
meaner and quicker than the dog -- he holds his snout
shut with his hand and reaches for the door of the
garbage chute."|stage direction
15||MELVIN|location
16|unknown|"I'll bet you wish you were some
sort of real dog now, huh? Don't
worry...  this is New York. If you
can make it here, you can make it
anywhere, you know? You ugly,
smelly fuck."|speech
17||"And with that, he stuffs him in the garbage chute and
lets go. We hear a FADING SERIES of PLEADING ""ANOOOOS""
from the DOG fade to nothingness... as another apartment
door opens emitting the loud sounds of a PARTY and SIMON
NYE, early 30s. Simon has been born and raised with
Gothic horror and it's strange that what that stew of
trauma has produced is a gifted, decent man."|stage direction
18||INT. APARTMENT BUILDING (NEW YORK), HALLWAY - NIGHT|location
19||"Frantic... he bolts into the hall... Melvin is just about
to enter his apartment."|stage direction
20||SIMON|location
21|unknown|Verdell!?!! Here, good doggie...|speech
22||He notices Melvin at the far end of the hall.|stage direction
23||SIMON|location
24|unknown|"Mr. Udall... excuse me. Hey
there!"|speech
25||(as Melvin turns)|location
26|unknown|Have you seen Verdell?|speech
27||MELVIN|location
28|unknown|What's he look like?|speech
29||"Melvin starts to walk back to his apartment door which is
directly opposite Simon's."|stage direction
30||SIMON|location
31|unknown|"My dog... you know... I mean my
little dog with the adorable
face... Don't you know what my dog
looks like?"|speech
32||MELVIN|location
33|unknown|"I got it. You're talking about
your dog. I thought that was the
name of the colored man I've been
seeing in the hall."|speech
34||Simon looks O.S. -- and sees his black friend.|stage direction
35||SIMON|location
36|unknown|Which color was that?|speech
37||MELVIN|location
38|unknown|"Like thick molasses, with one of
those wide noses perfect for
smelling trouble and prison
food..."|speech
39||Simon has had it.|stage direction
40||SIMON|location
41|unknown|Frank Sachs -- Melvin Udall.|speech
42||"MELVIN
(not missing a beat)"|location
43|unknown|How're you doing?|speech
44|SIMON|"Franks shows my work, Mr. Udall. I
think you know that."|speech
45||(overlapping)|location
46|FRANK|Simon, you've got to get dressed.|speech
47||(to Simon)|location
48|MELVIN|"What I know is that as long as you
keep your work zipped up around
me, I don't give a fuck what or
where you shove your show. Are we
being neighbors for now?"|speech
49||(to Frank)|location
50|SIMON|"Do you still think I was
exaggerating?"|speech
51||FRANK can only smile.|stage direction
52|FRANK|"Definitely a package you don't
want to open or touch."|speech
53|MELVIN|"Hope you find him. I love that
dog."|speech
54||"Simon, terminally non-confrontational, still finds
himself compelled to turn back toward Melvin."|stage direction
55||(directly)|location
56|SIMON|"You don't love anything, Mr.
Udall."|speech
57||"Simon closes his door leaving Melvin alone in the
hallway."|stage direction
58|MELVIN|"I love throwing your dog down the
garbage chute."|speech
59||INT. MELVIN'S APARTMENT, BATHROOM - NIGHT|location
60||"Melvin locks and unlocks and locks his door, counting to
five with each lock. He turns the lights quickly on and
off and on five times and makes a straight-line towards
his bathroom where he turns on the hot water and opens
the medicine chest."|stage direction
61||INT. MEDICINE CHEST|location
62||"Scores of neatly stacked Neutrogena soaps. He unwraps
one -- begins to wash -- discards it -- goes through the
process two more times."|stage direction
63||INT. SIMON'S APARTMENT, ENTRANCE HALL - NIGHT|location
64||"A group of PARTY GOERS enters -- followed by a HANDYMAN
holding Verdell who looks and finds:
SIMON
who looks up -- lights up -- and tears up as he moves
quickly toward the group and his dog."|stage direction
65|SIMON|"Thank the good Lord... wow... my
honey... where have you been?"|speech
66||"(thinking the greeting's
for him)"|location
67|PARTY GOER|He always liked me.|speech
68||"As Simon goes past him to take the dog from the
Handyman... JACKIE, Frank's junior partner, barking a
laugh at the Party Goer -- VERDELL BARKING some love. As
the others greet Simon, Jackie directs the group inside.
Jackie lingers, looking on affectionately as Simon picks
some awful, sticky gunk from the dog's body... he puts
Verdell down to reach for his wallet -- the tiny DOG YAPS
in protest."|stage direction
69|SIMON|Just for a second, okay?|speech
70||"The DOG YAPS ""no."" Simon, delighted, picks him up again."|stage direction
71||(kissing him on the mouth)|location
72|SIMON|"Look at him...  where was little
baby?"|speech
73||(smiling)|location
74|HANDYMAN|"In the basement garbage bin eating
diaper shit."|speech
75||"Simon reacts -- then notices the Handyman, tongue in
cheek, trying to suppress his amusement."|stage direction
76|SIMON|Go ahead, John, you earned your fun.|speech
77||(looking at Verdell)|location
78|SIMON|"How did he get down in the
basement? I mean even if he got
on the elevator how... ?"|speech
79|HANDYMAN|"Maybe some nice neighbor shoved
him down the garbage chute."|speech
80|SIMON|My God! No!|speech
81||He stares out... Frank frustrated following.|stage direction
82||INT. MELVIN'S APARTMENT - OFFICE - NIGHT|location
83||"Quiet -- safe -- just Melvin's voice reading aloud as he
writes."|stage direction
84|MELVIN|"'Somewhat in the dark, she had
confessed and he had forgiven.
This is what you live for, he
said. Two heads on a pillow where
there is only the safety of being
with each other. How, she
wondered, could she find such hope
in the most shameful part of her.'"|speech
85||He barely reacts as we hear a LOUD KNOCKING at he reads.|stage direction
86|SIMON (O.S.)|Mr. Udall.|speech
87||But Melvin's into it. His fingers flying as he reads.|stage direction
88|MELVIN|"'At last she was able to define
love. Love was... '"|speech
89||More KNOCKING.|stage direction
90|SIMON (O.S.)|"Mr. Udall, I'd like to talk to you
please."|speech
91|MELVIN|'Love was... '|speech
92||"He almost has the rest of the sentence -- the meaning of
love -- but the knocking throws him."|stage direction
93|MELVIN|"... Son-of-a-bitch-pansy-assed-
stool-pusher."|speech
94||He burst from his chair.|stage direction
95||INT. APARTMENT BUILDING (NEW YORK) - HALLWAY - NIGHT|location
