|character|text|type
0||"THE BATTLE OF SHAKER HEIGHTS
Written by
Erica Beeney"|unknown
1||FADE IN:|stage direction
2||EXT. FOREST - DAY|location
3||"DISTANT GUN AND MORTAR FIRE
Muffled by the wet green forest.
The very earth seems to tremble.
A RABBIT
Darts out of a log, lifts itself on its hind legs and sniffs
the air.
LOBBED GRENADE EXPLODES
VOICES and SHOUTS, closer now, mix with the rumbling WAR
SOUNDS in a veritable symphony of violence and confusion.
A DEAD AMERICAN GI lays splayed out, careless in death.
A pair of SOLDIERS flash among the trees, running hunched
over and low, and disappear into the gray blooms of SMOKE.
For a moment the forest takes a breath.
Nothing but trembling leaves. Then - The RATTLE of a Jeep
Coming closer in fits and starts, GRINDING through low gears.
A Willys MB appears, CRASHING through the undergrowth.
It's driven by Private First Class KELLY ERNSWILER.
Eighteen, if that. Not much meat on him. His insignias
indicate he's in the 29th Infantry.
His face might be attractive, under other conditions.
He pauses and pulls a map from the pocket of his M41 standard-
issue field jacket."|stage direction
4|KELLY|Where the hell are those Krauts?|speech
5||"To give himself courage, he SINGS Tommy Dorsey's ""I'll Be
Seeing You [in all the old familiar places]"" while maneuvering
the Jeep through the bushes and rocks.
He drives straight for a fallen LOG, GUNS the engine and
tries to go over it.
The Jeep's FRONT WHEELS catch on the log.
The BACK TIRES spin.
Kelly gets out. Takes off his M1 combat helmet and wipes his
face. Assesses the situation.
He grabs a BRANCH. Jams it under the wheel, trying to lever
the Jeep free. When --
The STUTTER of a nearby MACHINE GUN startles him.
The branch SNAPS against Kelly's weight. He slips and falls
in the mud."|stage direction
6|KELLY|Shit.|speech
7||"Determined, he grabs his pack and carbine and sets off on
foot through the forest."|stage direction
8||EXT. CLEARING|location
9||"Kelly strides purposefully out of the woods. Pauses against
a split-rail fence beneath the innocent sun.
Across the clearing stands a seemingly abandoned BARN.
But not for long, as TWO GERMAN INFANTRYMEN appear around
the corner of it.
Kelly moves behind a tree to assess the situation.
Unaware, the Germans smoke and talk. Kelly's too far away to
hear them but he watches their every move.
They're relaxed, not as on guard as they should be. Their
Karabiners rest slung across their backs."|stage direction
10|KELLY|Bingo.|speech
11||"AGAINST THE TREE
Kelly focuses himself.
Then he shoulders his carbine.
Pulls out his dog tags and kisses them grimly."|stage direction
12|KELLY|"""And so they buried Hector, breaker
of horses."""|speech
13||"He takes his Smith & Wesson 1917 PISTOL from his pistol belt
and steps out into the SUNLIGHT FIELD in plain sight of the
guards.
Surely he knows they can see him. He must want them to see
him.
But they don't. Too busy passing nudie wallet photos.
Halfway across the open grass, Kelly raises the pistol but
does not aim it.
Just strides steadily closer, arms spread out, making himself
an easy target.
Crazy as it seems, Private Kelly Ernswiler is trying to get
himself killed."|stage direction
14||EXT. BARN|location
15||"Kelly pauses not twenty feet from the Germans, FIRES into
the air and waves --
-- when from behind him comes a voice."|stage direction
16||(O.S.)|location
17|GERMAN OFFICER|Eine maus findet den kase.|speech
18||"Kelly whips around to face a third German, the OFFICER.
His pistol points right into the Officer's shocked pink young
face. Point blank range.
Only - Kelly doesn't fire.
He just lowers the pistol.
The German smiles."|stage direction
19|KELLY|Kill me Adolf.|speech
20|GERMAN OFFICER|Mien Prisoner!|speech
21||"The Infantrymen have recovered from their idle and come
running.
One of them yanks Kelly's hands behind his back and pushes
him into the barn roughly.
Kelly doesn't struggle."|stage direction
22|KELLY|"Hey, Siegfreid and Roy. What are you
waiting for? Kill me."|speech
23||INT. BARN|location
24||"Kelly sits slumped in a chair, legs tied up. One of the
Germans shines a flashlight in his face. Kelly squints."|stage direction
25|KELLY|"Come on you pussies. Let's get this
over with."|speech
26||"The German Officer produces a piece of paper and a fountain
pen."|stage direction
27||(German accent)|location
28|GERMAN OFFICER|"You will write your mother. Tell her
how you will die now."|speech
29||Kelly takes the pen and examines it.|stage direction
30|KELLY|"Genuine Third Reich issue, no less.
Nice work."|speech
31||The Officer pokes the paper.|stage direction
32|GERMAN OFFICER|You will write. How you die alone.|speech
33|KELLY|"My mother and I don't have that kind
of relationship."|speech
34||(hisses)|location
35|GERMAN OFFICER|Write.|speech
36||"Kelly thinks about it for a minute - should he or shouldn't
he - but sighs and begins writing. After a few lines, the
Officer snatches the paper away and passes it to an
Infantryman."|stage direction
37|GERMAN OFFICER|"Enough. Now you will beg for your
life."|speech
38|KELLY|What don't you understand?|speech
39||"(interrupts sheepishly
in German accent)"|location
40|INFANTRYMAN|The protocol says we should -|speech
41||"The Officer wheels around and scowls at the speaker. He seems
to be getting a bit hysterical."|stage direction
42|GERMAN OFFICER|I am the fucking protocol.|speech
43||(to Kelly)|location
44|GERMAN OFFICER|Beg!|speech
45||"He and Kelly glare at each other.
The Officer FIRES his Luger into the rafters."|stage direction
46|GERMAN OFFICER|Beg - for - your - life!|speech
