|character|text|type
0||"THE BIG BLUE
by"|unknown
1||"Bob Garland
Marylin Golden
""God is at the bottom of the sea and"|unknown
2||Enzo Maiorca|unknown
3||FADE IN:|stage direction
4||EXT.  GREEK ISLAND - SUNSET|location
5||"CREDIT SEQUENCE:
The image is in black and white.
The sun disappears behind arid cliffs which cast giant
shadows on the sea.
A little boy around 8 years old -- tanned from head to toe
-- sprints along the cliffs, scrambles from one rock to
another with amazing agility.
In one hand, he carries a transparent plastic bag.  In the
other, a net bag containing flippers, mask, pants and
sweater.
The only thing that slows him down is his bathing suit --
obvious hand-me-downs -- way too big.  He tugs on them as
he goes, holding them up... Until they slide again... as
he leaps again... and pulls them up...
The little boy is JACQUES MAYOL.
End credits."|stage direction
6||EXT.  GREEK ISLAND - SUNSET|location
7||"JACQUES reaches a ledge jutting out over a deserted cove.
He spits in his mask... expertly spreads the spit with a
finger... locks his feet into the flippers... and dives.
He surfaces a long way out... adjusts his mask... and
swims away from shore.
IN OPEN SEA
The boy stops swimming -- starts to gulp air -- sucks it
in -- oxygenating his blood in a series of deep rapid
breaths -- almost hyperventilating, almost alarming if
we've never seen this before.
His gaze is glued to the ocean floor.  Clear clear water.
40 feet deep.  And intensely blue.
Suddenly, he catches his breath and dives -- into the
blue.
UNDERWATER
JACQUES touches bottom.  Clamps his legs around a rock to
hold himself down.  Unhurried, thoroughly at home, 40 feet
under... he opens the plastic bag.  A huge speckled moray
eel appears in a hole in the rock, slithers toward him.
The carnivore's jaws are bigger than the boy's head.
The boy smiles at him.  Pulls a piece of raw meat out of
his bag and holds it out.  The eel takes the morsel
delicately -- and slithers back into his hole.
Gravely, JACQUES takes another morsel out of the bag."|stage direction
8||EXT.  VILLAGE - DUSK|location
9||"JACQUES walks up a steep road bordering the port, almost
dry now.
Two boys about his age run up the streets; call out, catch
up with him and gesture toward the port."|stage direction
10|THE BOYS|Jacques!  Come quick!|speech
11||EXT.  PIER - DUSK|location
12||"The little boys tug JACQUES to the end of the pier and
point to something in the water."|stage direction
13|BOYS|Look!  Right there!  It's shining!|speech
14||"JACQUES walks over, and sure enough sees something shining
a few feet down in the water."|stage direction
15||(squinting)|location
16|JACQUES|A coin.|speech
17|FIRST BOY|I found it.|speech
18|SECOND BOY|Liar!|speech
19||"Camera pans and we see a middle-aged PRIEST loading
supplies into a small boat.  He stops to watch the
children's negotiations.  Little JACQUES is putting his
flippers on."|stage direction
20|JACQUES|"Ok.  I'll get it, but no fighting,
all right?"|speech
21||The two boys nod as they point to the coin.|stage direction
22|JACQUES|We'll split it.|speech
23|FIRST BOY|"You can't split a coin.  That's
stupid."|speech
24|SECOND BOY|He's right.  You're stupid.|speech
25||The pope smiles.|stage direction
26|JACQUES|"Then we'll buy something and split
that."|speech
27|SECOND BOY|A helicopter...|speech
28|JACQUES|It's a small coin.|speech
29|FIRST BOY|A Ferrari.|speech
30|SECOND BOY|"I don't want a Ferrari... What is
it?"|speech
31||(interrupting them)|location
32|JACQUES|Maybe a little radio.|speech
33||The two boys look at each other.|stage direction
34|JACQUES|"Well.  We'll decide later.  The light
is going."|speech
35|SECOND BOY|"I get the radio from after school,
until midnight."|speech
36|FIRST BOY|"Since when do you stay up until
midnight?"|speech
37|JACQUES|"All right, all right... Can I
concentrate?  And you can stop
pointing.  I've seen it."|speech
38|VOICE (O.S.)|I've seen it too.|speech
39||"The voice is ENZO'S.  Another young boy wearing little
round glasses."|stage direction
40||(annoyed)|location
41|FIRST BOY|Shit, it's the Italian!|speech
