|character|text|type
0||"Screenplay by
Tom Butterworth and Jez Butterworth"|unknown
1||"FADE IN:
In a Russian summer meadow, a young girl spins around and
around. A simple guitar theme plays as the low sun catches
her hair. Around her neck is a pair of field binoculars, and
she runs through the meadow with them pressed to her face,
spying butterflies, birds, rabbits. She reaches the top of a
hillock, and jumps into the air, and flies up into the sky.
We float up and up with her as she aims the binoculars up,
up, into the sun."|stage direction
2||FADE THROUGH SUN TO:|unknown
3||"An aerial shot of the rolling English countryside. Nothing
but fields and trees for miles. The shot describes a panorama
before looking directly down, at the earth, and we begin to
move.
We fly low over a field, a ditch and straight out over six
lanes of motorway. Cars and lorries tear below at a hundred
miles an hour. We fly over the hard shoulder to another field
beyond.
We descend on two young boys in the field. A pornographic
magazine is spread out of the flattened grass. One of the
boys puts a match to the centre page and as the flames lick
up, we begin to move again, across the field, over a path
and into a suburban garden.
We fly over five or six gardens, over a barbecue, over
children splashing in a pool, over a woman sunbathing, a man
mowing his lawn, a young boy bouncing up and down on a garden
trampoline, to arrive on the patio of John Buckingham. He
walks out onto the patio, where he sits in a chair, facing
his house, setting down a mug of tea."|stage direction
4||CUT TO:|unknown
5||"A blurred face sharpening into focus, John Buckingham, about
thirty-two, sitting on his patio, his garden behind, fields
beyond."|stage direction
6|JOHN|Hello.|speech
7||His hand adjusts a microphone on his lapel.|stage direction
8|JOHN|Hello, hello. Hello...|speech
9||He shifts in his chair. Coughs. He looks straight at us.|stage direction
10|JOHN|"I don't believe in perfect love. You
know, love that comes out of the sky
like a thunderbolt and uh... This is
ridiculous."|speech
11||He removes the microphone. He sits there, thinking very hard.|stage direction
12|JOHN|No. No no no. Nope.|speech
13||He stands, turns and stretches.|stage direction
14||BLACKOUT:|unknown
15||"FADE UP:
He is sitting as before, looking at us."|stage direction
16|JOHN|"Running. Reading. Going out. Staying
in. The countryside. Films, if they're
good."|speech
17||BLACKOUT:|unknown
18||FADE UP:|stage direction
19|JOHN|"Thoughtful. Outgoing. Ambitious.
Well-read. Reasonably popular.
Balanced. Trusting. Quite attractive.
Outgoing."|speech
20||BLACKOUT:|unknown
21||FADE UP:|stage direction
22|JOHN|"Someone intelligent, of course. Kind.
Pretty I suppose. But its not
critical."|speech
23||EXT. JOHN'S STREET - DAY|location
24||"John watches while two removal men lift a new double bed
from the back of a van."|stage direction
25|JOHN (V.O.)|"Someone with a sense of humour.
Someone you can communicate with on
the same level. Someone you can really
talk to. I think communication is
key."|speech
26||INT. BEDROOM - DAY|location
27||"John's hands smooth a crisp white sheet over the double
mattress. An ant runs across the sheet. John squashes it and
picks it carefully off."|stage direction
28|JOHN (V.O.)|"I think that by the time most people
turn thirty they know where they're
going."|speech
29||CUT TO:|unknown
30||EXT. GARDEN - DAY|location
31||"John encircles his house, leaving a thick trail of yellow
powder behind him."|stage direction
32|JOHN (V.O.)|"And where they've been. I suppose
they have some baggage stroke history."|speech
33||EXT. THE GARDEN RECORDING - DAY|location
34||"We see that John is talking to his PC. It has a small digital
camera on the side."|stage direction
35|JOHN|"We all have someone in our past who
uh... one skeleton, if you like.
We've all got at least one person,
as it were, under the patio. Not
literally of course. I suppose I
only say this because I always thought
people who did this sort of thing
were... I had an image that they
were losers. Not losers. A bit sad.
But I think this is the modern world.
And I think really it's quite a brave
move. Quite a brave, reasonable thing
to do."|speech
36||He smiles.|stage direction
37|JOHN|Sorry can we start again?|speech
38||SINGLE CARD ON BLACK:|stage direction
39||BIRTHDAY GIRL|unknown
40||"John's fingers in close-up, type JOHN BUCKINGHAM, and his
AMEX number into his PC. Finished, he stops, and rests his
face on his hands.
He hits SEND. That instant, a worry of black crows bursts up
in the field behind him and takes to the swirling air.
Blackout. Music. Titles.
The titles pop and slide over footage of Russian women, on
computer video, advertising themselves. They mostly speak in
Russian, some of which is subtitled, some speak in English.
The women slide on and off the screen, overlap and collide,
as the titles appear. Close-ups on mouths and eyes, tight
and pixellated. It becomes a wall of image and sound."|stage direction
41||CUT TO:|unknown
42||EXT. SKY - DAY|location
43||The GIGANTIC UNDERSIDE of a Boeing 747 TEARS down the screen.|stage direction
44||INT. AIRPORT TRAVELATOR - DAY|location
45||John slides across the screen, motionless, towards Arrivals.|stage direction
46||INT. AIRPORT - DAY.|location
47||"Last calls for flights leaving for the other side of the
world.
Travellers criss-cross and swirl."|stage direction
48||INT. AIRPORT MAIN ARRIVALS BOARD - DAY|location
49||BA 1880 MOSCOW On time.|stage direction
50||INT. AIRPORT RESTROOM - DAY|location
51||"He dries his face with a paper towel, then checks himself in
the mirror. He looks okay, a little white."|stage direction
52||INT. ARRIVALS GATE - DAY|location
53||"The Arrivals gate slides open and passengers flood through.
John stands among the chauffeurs and cab drivers, as the
passengers trundle by.
We follow one young woman long enough to think this must be
her, but it's a false alarm, she's lifted up and spun around
by someone else.
They've all passed. That's that. She wasn't on the flight.
John wanders away from the gate. He stands about in the swirl
in the middle of the airport. People bustle by. Everyone
going somewhere.
Gradually, we get the sense we are being watched. A woman
stands nearby. She is about twenty, very beautiful, tired
and laden with luggage."|stage direction
54|JOHN|Nadia?|speech
55||She nods.|stage direction
56|JOHN|I'm John.|speech
57||They shake hands.|stage direction
58|JOHN|Welcome.|speech
59||(pause)|location
60|JOHN|"Well. Look I didn't have a speech
but..."|speech
61||"A distorted passenger announcement breaks above us. It's too
loud to talk. It ends and they stand there in silence. He
points to her luggage."|stage direction
62|JOHN|Is that everything?|speech
63|NADIA|Yes.|speech
64|JOHN|Right. Okay. Good.|speech
65||They stand there.|stage direction
66||INT. AIRPORT LIFT - DAY|location
67||Nadia and John stand side by side in a huge lift.|stage direction
68|JOHN|We can talk in the car.|speech
69||A deafening roll of thunder.|stage direction
70||EXT. AIRPORT CAR PARK - DAY|location
71||"It's pouring with rain as they cross the car park towards a
patched up yellow Rover. John stows the suitcase in the boot
and opens the passenger door for her."|stage direction
72||INT. / EXT. JOHN'S CAR (MOVING) - DAY|location
73||"John turns the key in the ignition. The MG wheezes and coughs.
He tries again. Nothing. The third time it just catches and
he coaxes it to life. The colour's drained from his cheeks.
They head for the motorway. The silence in the car lasts
just long enough for John to feel he is breaking it."|stage direction
74|JOHN|"It's about forty miles from here. I
don't know if you've looked at a
map, it's close to London but it's a
city in itself. A Roman city. It's a
nice house. I'm having a problem
with ants. I uh... It's the warmer
weather. I can't seem to find the
nest. Sorry, do you understand ""ants""?"|speech
75|NADIA|Yes.|speech
76|JOHN|"I just can't find a nest. The root
of the problem. I've looked
everywhere. What's the Russian for
ant? Sorry that's a stupid... Sorry.
This is strange isn't it."|speech
77|NADIA|Yes.|speech
78|JOHN|I'm pretty nervous. Are you?|speech
79|NADIA|Yes.|speech
80|JOHN|"I mean... ""Ants."" ""I've got a problem
with ants."""|speech
81||He shakes his head.|stage direction
82|JOHN|I had this...|speech
83||"He pulls a sign from his jacket which says ""Nadia!"""|stage direction
84|JOHN|As a joke but uh...|speech
85||"He tosses it onto the back seat.
They drive. He sees Nadia looking at England."|stage direction
86|JOHN|"So. Is it different to how you
imagined it?"|speech
87|NADIA|Yes.|speech
88|JOHN|I bet.|speech
89||(pause)|location
90|JOHN|What about me? Am I how you imagined?|speech
91|NADIA|Yes.|speech
92||He double-takes, changes lanes.|stage direction
93|JOHN|"And how was the flight. Sorry, am I
speaking too fast for you?"|speech
94|NADIA|Yes.|speech
95||John looks across.|stage direction
96|JOHN|"Do uh... Sorry. Can you follow me?
Do you understand what I'm saying?"|speech
97|NADIA|Yes.|speech
98|JOHN|Good. Or should I speak slower?|speech
99|NADIA|Yes.|speech
100|JOHN|"Do you follow or should I speak
slower?"|speech
101|NADIA|Yes.|speech
102||He looks across. Back at the road. He changes gear.|stage direction
103|JOHN|Uh... Are you a giraffe?|speech
104|NADIA|Yes.|speech
105||John turns to face the road ahead.|stage direction
106||(to himself)|location
107|JOHN|Oh Jesus.|speech
108||He drives in silence.|stage direction
109|JOHN|Oh Jesus.|speech
110||"Suddenly she winds the window down and vomits out of the
speeding car. John panics and swerves onto the hard shoulder
amidst loud horn blasts."|stage direction
111||EXT. HARD SHOULDER - DAY|location
112||"John navigates his way round the Rover in the rain to find
her kneeling on the verge, throwing up. He puts a hand on
her shoulder, but she stands up quickly, maintaining an icy
dignity considering what has just happened."|stage direction
113||EXT. JOHN'S CLOSE - DAY|location
114||"It has stopped raining and a group of young boys are playing
cricket in the road. They clear as a Yellow Rover pulls into
the Close, and into the drive of the little house at the
end.
As John climbs out of his car he eyes the boys. The boys eye
him, and his new friend."|stage direction
115||INT. JOHN'S HOUSE - DAY|location
116||"The front door closes behind them. John and Nadia stand in
the silence of his hallway. There is a small banner hanging
there: ""Welcome Nadia"". They study the banner together,
gravely.
Eventually he opens a door."|stage direction
117||(quietly)|location
118|JOHN|Lounge.|speech
119||"She peers round him and looks inside. He leads her down
towards the kitchen."|stage direction
120|JOHN|Kitchen.|speech
121||"She glances around it. Then back at John. He nods to himself,
looking tense and pale."|stage direction
122||INT. JOHN'S UPSTAIRS LANDING - DAY|location
123||"He puts her suitcase down on the landing, and opens a door.
Without looking inside:"|stage direction
124|JOHN|Bathroom.|speech
125||He closes it.|stage direction
126||INT. MAIN BEDROOM - DAY|location
127||Standing in the doorway of John's bedroom.|stage direction
128|JOHN|Bedroom.|speech
129||"There it is. The Double Bed. John frowns gravely.
Without warning, he marches out. She comes out onto the
landing to catch John plus suitcase kicking open another
door and vanishing inside."|stage direction
130||INT. SPARE BEDROOM - DAY|location
131||"Nadia peers around the door to find John standing next to a
narrow monk-like single bed."|stage direction
132|JOHN|The uh... the other bedroom...|speech
133||"She looks at it, then up at John. She turns and walks out.
Now she's back, with her camouflaged hold-all, dumps it onto
the floor, heaves the suitcase onto the bed and smoking no-
hands, starts unpacking. John plugs in the lamp by the bed.
To show Nadia how it works he switches it on, off, on, off,
and then feels stupid."|stage direction
134|JOHN|I'll get an ashtray.|speech
135||"With John gone, Nadia stops unpacking. She walks to the window
and stares out over the rooftops of the estate."|stage direction
136||CUT TO:|unknown
137||INT. LOUNGE - DAY|location
138||John on the phone.|stage direction
139|ANSWER MACHINE|"You have reached From Russia with
Love. Our office reopens on Monday.
If you are interested in our
services..."|speech
140||(etc. etc.)|location
141|ANSWER MACHINE|Thank You.|speech
142|JOHN|"This is John Buckingham from St
Albans. I need to speak to you
urgently. There's a critical problem.
It's... Call me back as soon as
possible. It's critical."|speech
143||INT. STAIRS / LANDING - DAY|location
144||"John climbs the stairs holding a saucer for an ashtray. He
knocks lightly on the spare room door."|stage direction
145||INT. SPARE ROOM / LANDING - DAY|location
146||"Nadia is lying asleep on the bed in only her black underwear.
We duck straight back out.
John composes himself. He puts his head back round the door
as if there's a real chance it will be shot off. She's facing
away, arms folded, still holding the cigarette. It has burnt
out, leaving a long curl of ash on her bare hip.
He approaches the bed with immense trepidation, eases the
cigarette from between her fingers and drops it in the bin.
He stares at her bare hip, with the ash on it. Holding the
saucer under the ash, he blows on it gently. It takes three
careful breaths before it drops in the saucer. Unseen by
John, her eyes are wide open as he steals out onto the
landing. We stay with her a moment."|stage direction
147||CUT TO:|unknown
148||A pot of stew, bubbling on the hob.|stage direction
149||INT. KITCHEN - DAY|location
150||"John is stirring a pot on the hob. By his expression he might
be defusing a bomb.
His head cocks, he stiffens. Nadia walks right into the
kitchen. She's changed, jeans and a tee shirt. Nadia takes
the spoon from him, says something in Russian, gestures for
him to sit.
She tastes the stew. Now she stirs the pot. He watches her."|stage direction
151||CUT TO:|unknown
