|character|text|type
0||"BLUE VALENTINE
Written by
Derek Cianfrance, Cami Delavigne & Joey Curtis
5/14/09"|unknown
1||EXT. RURAL SUBURBAN STREET - DAWN - PRESENT DAY|location
2|unknown|"A 5-year old girl wearing pajamas wanders alone down the
street."|speech
3|"FRANKIE
(BARELY AUDIBLE)"|Me-gan!|speech
4||INT. PERIERA HOME - PRESENT DAY|location
5||2 2|stage direction
6|"FRANKIE
(BARELY AUDIBLE)"|"FRANKIE crawls through a dog door. She walks into the living
room where the TV is on loud.
DEAN PERIERA, 30 years old, hefty, sleeps in a lazyboy."|speech
7|"FRANKIE
(HUSHED)"|"Daddydaddydaddy.
Frankie uses the footrest to crawl up onto her dad's belly."|speech
8|FRANKIE (CONT'D)|Wake up Daddy.|speech
9|DEAN (WAKING)|"What time is it baby?
She sniffles. He notices."|speech
10||EXT. PERIERA HOME - BACK/FRONT YARDS - PRESENT DAY|location
11|DEAN (WAKING)|"The back door opens and Dean carries Frankie to the yard. The
first yellow rays of sunlight hit their faces.
He looks over the lawn, an empty bowl, water tin and a
doghouse posting the name MEGAN. He peeks inside the
doghouse. There's no one home. Dean moves to the fence. The
gate is open.
Dean carries Frankie to the front yard. They look around."|speech
12|FRANKIE|When's she going to get back?|speech
13|DEAN|"She probably just went out for a run.
She'll be back soon because she's going
to get thirsty."|speech
14|FRANKIE|She's going to be thirsty?|speech
15|(CONTINUED)|Blue Valentine Official Green Script as of 6/9/09 2.|speech
16||3 CONTINUED: 3|stage direction
17|DEAN|"You know what we should do? We should
leave her bowl full of water and her dish
full of food. Because she's gotta get
hungry and thirsty sometime. You know?
Dean's optimism is infectious. Frankie nods slowly."|speech
18|DEAN (CONT'D)|"Like me. I'm hungry. I'm so hungry I
could eat your toes.
Dean pretends to gnaw at Frankie's toes. Breaks her sadness."|speech
19||INT. PERIERA HOME - BEDROOM - 6:12AM - PRESENT DAY|location
20||4 4|stage direction
21|DEAN (CONT'D)|"CINDY PERIERA, 28, sleeps in bed. Sunlight spills through
translucent yellow curtains into a small master bedroom.
Dean sets Frankie down on the bed, motions to her to be
silent. He sniffs the air. She follows. They eye each other
and pounce. Cindy wakes up with a gasp."|speech
22|CINDY|I'm sleeping!|speech
23|DEAN|"We're hungry! We're going to eat you.
They pin her arms above her head and 'furber' her armpit."|speech
24|DEAN (CONT'D)|"Don't laugh. Come on, don't laugh!
Cindy doesn't laugh, she screams."|speech
25||INT. PERIERA HOME - VARIOUS - MORNING - LATER - PRESENT DAY|location
26||5 5|stage direction
27|DEAN (CONT'D)|"Cindy, nursing a weight-loss drink, scans through digital
photos on the computer. We see - family on vacation,
Frankie's first day of school, Frankie and a black and white
Border Collie mutt - Megan. Cindy exports the picture when...
A tea kettle whistle blows.
Dean and Frankie sit at the table. He plays a song for
Frankie on a ukulele. Cindy gets up, turns off the kettle."|speech
28|DEAN|"What happened to the flute?
Cindy pours the hot water into a bowl with instant oatmeal &
raisins. She blows on the food and places it at the table."|speech
29|(CONTINUED)|Blue Valentine Official Green Script as of 6/9/09 3.|speech
30||5 CONTINUED: 5|stage direction
31|CINDY|"C'mon, eat, you can't be late today.
Frankie takes a tiny bite and makes a sour face."|speech
32|FRANKIE|"I don't like it...
Cindy turns on the faucet over a pile of dishes, returns to
the computer to e-mail herself the missing dog flyer."|speech
33|DEAN|"Here... we can make it taste better.
Dean spoons the raisins out of her bowl onto the table."|speech
34|DEAN (CONT'D)|"This is how a leopard eats.
He laps up his coffee like a cat. She mimics. Dean laughs."|speech
35|CINDY|"Come on Frankie, use a spoon. You know
how to use a spoon."|speech
36|FRANKIE|Lepers don't use spoons.|speech
37|DEAN (WHISPERS)|"Are you gonna listen to your mother? I
think you better.
Frankie reluctantly takes a tiny bite. Her face sours and she
lets the food fall out of her mouth and back in the bowl.
Cindy returns to the dishes."|speech
38|DEAN (CONT'D)|How old are you?|speech
39|FRANKIE|Five.|speech
40|DEAN|"Okay, eat five bites.
Dean gets up, goes to Cindy at the sink."|speech
41|DEAN (CONT'D)|"We gotta get a dishwasher...
Tries to take the dish sponge away from her. She resists."|speech
42|(CONTINUED)|Blue Valentine Official Green Script as of 6/9/09 4.|speech
43||5 CONTINUED: (2) 5|stage direction
44|DEAN (CONT'D)|"I'll do it. Come on let me do it.
She drops the sponge, dries her hands."|speech
45|CINDY|"Frankie! We're leaving in 15. Eat!
Frankie ignores her."|speech
46|CINDY (CONT'D)|"Alright...
She pulls Frankie out of her seat and carries her under one
arm to the back room. Frankie protests.
Dean watches, shakes his head. He sees the computer on,
Cindy's e-mail is still open. He shuts off the running water.
He scans through messages from a bunch of names of people
Dean doesn't know. He sweats, clicks open a return message
from a real estate company - apartment now available."|speech
47||INT. PERIERA HOME - BATHROOM - MORNING|location
48||6 6|stage direction
49|CINDY|"Look up for mommy... come on Frankie!
We're gonna be late... look up.
Frankie is propped up on the sink. Cindy draws cat whiskers
on her cheeks. Frankie tips her head back.
CINDY (softens) (cont'd)
Don't blink... leopards don't blink..."|speech
50||EXT. PERIERA HOME - MORNING - PRESENT DAY|location
51||7 7|stage direction
52|CINDY|"Cindy backs their minivan out of the garage. Frankie is
strapped in her carseat. Dean comes up to the window, knocks.
Cindy brakes. Dean hands Frankie her backpack.
DEAN (to Frankie)
You be good today for Miss Alex, okay?
Frankie, dressed like a little leopard, nods.
DEAN (to Frankie) (cont'd)
Love you."|speech
53|FRANKIE|I love you.|speech
54|(CONTINUED)|Blue Valentine Official Green Script as of 6/9/09 5.|speech
55||7 CONTINUED: 7|stage direction
56|(CONTINUED)|"DEAN (to Cindy)
Love you.
He kisses her on the corner of her mouth. A hesitation."|speech
57|CINDY|"...Love you.
Dean pulls his head out of the window."|speech
58|DEAN|"Put your seat belt on.
She starts to back up."|speech
59|DEAN (CONT'D)|"C'mon. What's the big deal?
Cindy does as she's told, looks over her shoulder, scrapes
the curb."|speech
60|DEAN (CONT'D)|"Watch...
Cindy cranks the wheel straight, puts on the gas and burns
down the road.
Dean stands there in his driveway, muttering to himself. He
watches the car disappear down the street.
Another car, headed the opposite direction, barrels down the
road, past the Periera home."|speech
61|DEAN (CONT'D)|Slow that piece of shit down!|speech
62||INT. CLINIC - DAY - PRESENT DAY|location
63||8 8|stage direction
64|DEAN (CONT'D)|"Cindy clicks the ""print"" button on a computer, moves to the
printer. It spits out a ""Missing Dog"" flyer.
DR. SAM FEINBERG - handsome, well-groomed, unshakable
confidence - appears at the door, with coffee."|speech
65|FEINBERG|"There you are.
Cindy places the flyers in her folder in a rush."|speech
66|CINDY|Sorry...I'm almost done.|speech
67|(CONTINUED)|Blue Valentine Official Green Script as of 6/9/09 5A.|speech
68||8 CONTINUED: 8|stage direction
69|FEINBERG|"You got a second? Did you get a chance to
talk it over with your family yet?"|speech
70|CINDY|Yeah... I'm going to.|speech
71|(CONTINUED)|Blue Valentine Official Green Script as of 6/9/09 6.|speech
72||8 CONTINUED: (2) 8|stage direction
73|FEINBERG|"I don't have to tell you, it's a huge
opportunity..."|speech
74|CINDY|"I know I know. I should know for sure by
Monday."|speech
