|character|text|type
0||"B O D Y   O F   E V I D E N C E
by Brad Mirman (second draft)
Over the BLACK we hear the SOUNDS of two people making love.  A
MAN'S VOICE MOANS passionately.
FADE IN:"|unknown
1||INT.  BEDROOM - NIGHT|location
2||"ANDREW MARSH lies on his back in bed.  He is a frail-looking
man in his early sixties, with thinning gray hair.  On top of
him is a much younger WOMAN.  Although her back is to us, we
catch flashes of her face for a moment as she turns from side
to side.  We see enough to know that this is a beautiful woman.
She moves wildly, grinding her hips into him, her head arched
back, her hands rubbing lightly over her breasts.  She reaches
down, grabbing his hips and jerks them upwards, forcing him
deeper inside her.  They move together -- faster -- and faster.
The CAMERA slowly begins to PULL BACK.  As it does we see what
we are watching is on a TELEVISION.
Further back still.  We see TWO UNIFORMED POLICE OFFICERS
standing before the television watching the act.
The CAMERA begins to pan around the room.  Rain streaks down
the windows of the room -- LIGHTNING flashes outside.  A VIDEO
CAMERA is set up on a tripod.  More PLAIN CLOTHES POLICE,
looking, dusting, talking.
We continue to PAN.  We can now see it is the same room on the
tape.  ON the bed lies the naked body of ANDREW MARSH, a sheet
covering his lower torso.  His face is ashen, mouth open, his
dull eyes looking out in a fixed stare.  The last instant of
his life is etched upon a face frozen in pain."|unknown
3||EXT.  RESIDENTIAL STREET - NIGHT|location
4||"LIGHTNING fills the night sky.  THUNDER BOOMS overhead.  The
wind whips the RAIN furiously against anything in its path.
The CAMERA moves slowly along rows of beautiful HOMES.  At the
end is a cul-de-sac.  Several POLICE CARS are in the driveway,
their RED LIGHTS FLASHING.
A four-door SEDAN pulls into the driveway.  JOHN CARDENAS steps
out into the rain.  He is a handsome Latin in his thirties,
with hard, chiseled features and black, slicked-backed hair.
He does not run through the rain -- he walks.
DETECTIVE REESE, a man who looks more like an accountant than a
homicide detective runs out to meet him.
2"|unknown
5||CARDENAS|location
6||Is it Marsh?|unknown
7||REESE|location
8||"Yeah.
Just a hint of sadness shows on Cardenas' face.  It lasts an
instant, then it's gone."|unknown
9||REESE|location
10||"Sir, do you mind if we get out of the
rain?
Cardenas doesn't move.  He ignores the question."|unknown
11||CARDENAS|location
12||Who found him?|unknown
13||REESE|location
14||His Secretary.  Joanne Braslow.|unknown
15||CARDENAS|location
16||She was here?|unknown
17||REESE|location
18||"No.  She stopped by to pick up some
papers."|unknown
19||CARDENAS|location
20||"Show me.
Reese starts for the house.  Cardenas looks up into the night
sky.  A FLASH of LIGHTNING fills the SCREEN."|unknown
21||INT.  HOUSE, BEDROOM - CLOSE ON CAMERA - NIGHT|location
22||"Pull back to reveal a POLICE PHOTOGRAPHER snapping pictures of
Marsh in bed.
Cardenas enters followed by Reese.  He moves through the
FORENSIC and MEDICAL TEAMS.  Anything Cardenas feels about the
gruesome sight before him is hidden behind a mask of
indifference.
Standing by the bed is ASSISTANT DISTRICT ATTORNEY, ROGER
TROXELL, a short, baby-faced man.  Cardenas looks down at the
body, then over at the MEDICAL EXAMINER, DR. HENRY McCURDY, a
portly man with windblown cheeks and bloodshot eyes."|unknown
23||CARDENAS|location
24||"How long?
3"|unknown
25||MCCURDY|location
26||About three hours.|unknown
27||CARDENAS|location
28||Cause?|unknown
29||MCCURDY|location
30||"Not sure.  I'll have everything you
need tomorrow."|unknown
31||REESE|location
32||"Take a look at this.
Reese points to the nightstand drawer and Troxell opens it.  On
top of the nightstand is a box of tissues and a bottle of nasal
spray.  Inside are ROPES, HANDCUFFS and an assortment of SEXUAL
AIDES."|unknown
33||TROXELL|location
34||"This guy was into some kinky shit.
Cardenas looks at the various sexual devices, then walks out of
the room."|unknown
35||INT.  HALLWAY - NIGHT|location
36||"JOANNE BRASLOW sits on chair.  Her eyes are tired -- red from
crying.  She is mid thirties -- attractive, but her looks come
more from effort than nature -- expensive hair cut -- the right
cosmetics.  She has a corporate look to her.
Cardenas steps into the hall and walks over to her."|unknown
37||CARDENAS|location
38||"Miss Braslow -- I'm District Attorney
John Cardenas.  You arrived at what
time tonight?"|unknown
39||JOANNE|location
40||A little after eleven.|unknown
41||CARDENAS|location
42||Why did you come by?|unknown
43||JOANNE|location
44||I had some papers to pick up.|unknown
45|CARDENAS|Do you know who Mr. Marsh was with?|speech
46|JOANNE|I assume his girlfriend.|speech
47||4|unknown
48|CARDENAS|Her name?|speech
49|JOANNE|Rebecca Lawson.|speech
50|CARDENAS|"You wouldn't know her address, would
you?"|speech
51|JOANNE|No -- but I can get it for you.|speech
52|CARDENAS|Thank you.|speech
53||INT.  HALLWAY, CITY HALL BUILDING - DAY|location
54||Cardenas walks down the corridor with McCurdy.|stage direction
55|MCCURDY|"Marsh wasn't alone.  We found traces
of sperm on the sheets.  The
toxicology report says there were
high levels of cocaine in his blood."|speech
56|CARDENAS|What'd he die of?|speech
57|MCCURDY|"The official cause of death was a
cardiac arrest."|speech
58|CARDENAS|The official cause?|speech
59|MCCURDY|That's what my report will read.|speech
60|CARDENAS|But there's more?|speech
61||They reach a door and stop.|stage direction
62|MCCURDY|"It's speculative at this point.
Marsh had advanced Arterial disease.
His heart attack was induced by
excessive aerobic activity -- in
conjunction with the drug."|speech
63||"McCurdy enters the room.  Cardenas thinks for a moment, then
follows."|stage direction
64||5|unknown
65||INT.  CARDENAS' OFFICE - DAY|location
66||"Spacious and sparsely furnished.  The walls are empty.  No
commendations, plaques or photographs to add prestige to the
office.  Cardenas steps into the room and looks at McCurdy who
is already seated next to Reese and Troxell."|stage direction
67||(to McCurdy)|location
68|CARDENAS|"What are you saying, Henry?  That his
girlfriend fucked him to death?"|speech
69|MCCURDY|Yes.|speech
70||"A trace of a grin shows on Cardenas' face.  He walks over to
the window and stares outside.  Reese, Troxell and McCurdy wait
as he thinks.  A beat.  Cardenas turns back to the room."|stage direction
71|CARDENAS|What can we prove?|speech
