|character|text|type
0||"""BONNIE & CLYDE""
by
David Newman & Robert Benton"|unknown
1||FADE IN.|stage direction
2||INT. BEDROOM.  CLOSE-UP OF BONNIE PARKER.  DAY|location
3||"Blonde, somewhat fragile, intelligent in expression.  She is
putting on make-up with intense concentration and
appreciation, applying lipstick and eye make-up.  As the
camera slowly pulls back from the closeup we see that we
have been looking into a mirror.  She is standing before the
full-length mirror in her bedroom doing her make-up.  She
overdoes it in the style of the time: rosebud mouth and so
forth.  As the film progresses her make-up will be refined
until, at the end, there is none.
The camera pulls back and continues to move very slowly
throughout the first part of this scene.  As the camera
continues to move away, we see, by degrees, that BONNIE is
naked.  Her nudity is never blatantly revealed to the
audience, but implied.  That is, she should be ""covered"" in
various ways from the camera's P.O.V., but the audience must
be aware of her exposure to CLYDE later in the scene.  This
is the only time in the film that she will ever be this
exposed, in all senses of the word, to the audience.  Her
attitude and appraisal of herself here are touched with
narcissism.
The bedroom itself is a second-story bedroom in a lower-
class frame house in West Dallas, Texas.  The neighborhood
is low income.  Though the room reveals its shabby
surroundings, it also reveals an attempt by BONNIE to fix it
up.  Small and corny objets d'art are all over the tops of
the bureaus, vanity tables, etc. (Little glass figurines and
porcelain statuettes and the like.)
BONNIE finishes admiring herself.  She walks from the mirror
and moves slowly across the room, the camera moving with
her, until she reaches the screened window on the opposite
wall.  The shade is up.  There are no curtains.  She looks
out the window, looking down, and the camera looks down with
her."|stage direction
4||EXT. BEDROOM.  BONNIE'S P.O.V.  DAY.|location
5||"Over her shoulder, we see the driveway leading to the garage
connected to the house.  There is an old car parked in the
driveway, its windows open.  We see a man walking up the
driveway, somewhat furtively.  He is a rather dapper fellow,
dressed in a dark suit with a vest, a white collar, and a
straw boater.  It is CLYDE BARROW.  Obviously, he is about
to steal the car.  He looks it over, checking around him to
make sure no passers-by are coming.  He peers inside the
front window to see if the keys are in the ignition.  He
studies the dashboard.  BONNIE continues watching, silently.
Finally she calls out."|stage direction
6||2.|unknown
7|BONNIE|"Hey, boy!  What you doin' with my
mama's car?"|speech
8||EXT. DRIVEWAY.  DAY.|location
9||"CLYDE, startled, jumps and looks to see who has caught him.
Obviously frightened, he looks up and his face freezes at
what he sees."|stage direction
10||EXT. WINDOW.  CLYDE'S P.O.V.  DAY.|location
11||"We now see what he is looking at: at the open window,
revealed from the waist up, is the naked BONNIE.  She looks
down, an impudent half-smile on her face.  She doesn't move
or make any attempt to cover herself."|stage direction
12||EXT. CLOSE-UP OF CLYDE - DAY -|location
13||"-- whose face changes from astonishment to an answering
smile of impudence.  (Seeing what he has, he realizes that
this girl is clearly not going to scream for the police.
Already they are in a little game instigated by BONNIE,
sizing each other up, competing in a kind of playful
arrogance.  Before they speak, they have become
coconspirators.)
Close-up of BONNIE, still smiling.  Finally she speaks."|stage direction
14|BONNIE|Wait there!|speech
15||INT. BEDROOM.  DAY.|location
16||"Running from the window, she flings open a closet and grabs
a dress, and shoes.  She slips on the shoes, and flings the
dress on, running out the door as she does.  The camera
tracks with her, moving as fast.  As she runs down the
stairs she buttons up the dress."|stage direction
17||EXT. DRIVEWAY.  DAY.|location
18||"She flies out the door, slamming it behind her, runs off the
porch (all this has been one continuous movement since she
left the window, in great haste) and continues quickly into
the driveway.  Four feet away from CLYDE, she stops on a
dime.  They stand there, looking at each other, smiling the
same challenge.  For a few seconds, no one speaks, then:"|stage direction
19||(putting her on)|location
20|BONNIE|"Ain't you ashamed?  Tryin' to steal
an old lady's automobile."|speech
21||3.|unknown
22||(with the same put-on)|location
23|CLYDE|I been thinkin' about buyin' me one.|speech
24|BONNIE|"Bull.  You ain't got money for
dinner, let alone buy no car."|speech
25||"(still the battle of
wits going on)"|location
26|CLYDE|"Now I got enough money for cokes,
and since it don't look like you're
gonna invite me inside--"|speech
27|BONNIE|"You'd steal the dining room table
if I did."|speech
28||(he moves from his spot)|location
29|CLYDE|"Come to town with me, then.  How'd
that be?"|speech
30||"(starting to walk
onto the sidewalk)"|location
31|BONNIE|Goin' to work anyway.|speech
32||EXT. STREET.  MOVING SHOT.  DAY.|location
33||"The camera tracks.  It is a hot Texas afternoon, all white
light and glare.  As they walk the block to town in this
scene, their manner of mutual impudence is still pervading."|stage direction
34|CLYDE|Goin' to work, huh?  What do you do?|speech
35|BONNIE|None of your business.|speech
36||"(pretending to give
it serious thought)"|location
37|CLYDE|I bet you're a...movie star!|speech
38||(thinks)|location
39|CLYDE|"No...A lady mechanic?...No...A
maid?--"|speech
40||(really offended by that)|location
41|BONNIE|What do you think I am?|speech
42||4.|unknown
43||(right on the nose)|location
44|CLYDE|A waitress.|speech
45||"(slightly startled by
his accuracy, anxious
to get back now that
he is temporarily
one-up)"|location
46|BONNIE|"What line of work are you in?  When
you're not stealin' cars?"|speech
47||(mysteriously)|location
48|CLYDE|"I tell you, I'm lookin' for suitable
employment right at the moment."|speech
49|BONNIE|What did you do before?|speech
50||(coolly, knowing its effect)|location
51|CLYDE|I was in State Prison.|speech
52|BONNIE|State Prison?|speech
53||(she shows her surprise)|location
54|CLYDE|Yeah.|speech
55||(herself again)|location
56|BONNIE|"Guess some little old lady wasn't
so nice."|speech
57||(tough)|location
58|CLYDE|It was armed robbery.|speech
59||(sarcastically)|location
60|BONNIE|"My, my, the things that turn up in
the driveway these days."|speech
61||They reach the corner and turn.  They are on:|stage direction
62||EXT. MAIN STREET.  DAY.|location
63||"--a small-town street of barber shops, cafes, groceries, etc.
At the moment, it is deserted.  They continue walking down
the empty street.  CLYDE looks the place over.  Tracking."|stage direction
64||5.|unknown
65|CLYDE|"What do y'all do for a good time
around here, listen to the grass
grow?"|speech
66|BONNIE|"Guess you had a lot more fun up at
State Prison, huh?"|speech
67||"CLYDE laughs, enjoying her repartee.  They continue walking.
At a hydrant, CLYDE stops."|stage direction
68||(showing off, but seriously)|location
69|CLYDE|See this foot?|speech
70||"(pointing at his
right foot)"|location
71|CLYDE|"I chopped two toes off of it.  With
an axe."|speech
72||(shocked)|location
73|BONNIE|What?  Why?|speech
74|CLYDE|"To get off the damn work detail,
that's why."|speech
75||(stopping)|location
76|CLYDE|Want to see?|speech
77||(a lady of some sensitivity)|location
78|BONNIE|No!...|speech
79||(turning a cute)|location
80|BONNIE|"I surely don't intend to stand here
and look at your dirty feet in the
middle of Main Street."|speech
81||"They continue walking in silence past a few stores, each
planning what next to say."|stage direction
82|BONNIE|Boy, did you really do that?|speech
83|CLYDE|Yeah.|speech
84|BONNIE|You must be crazy.|speech
85||"DISSOLVE TO:
6."|unknown
86||EXT. GAS STATION.  DAY.|location
87||"Gas station up the block.  BONNIE and CLYDE are seen leaning
against the soft drink chest, their profiles silhouetted by
the bright sun.  They are drinking cokes.  As they begin to
talk, the camera moves in closer to them.  CLYDE takes off
his hat and rubs the cold coke bottle across his forehead.
BONNIE watches him."|stage direction
88|BONNIE|What's it like?|speech
89|CLYDE|Prison?|speech
90||(very interested)|location
91|BONNIE|No, armed robbery.|speech
92||(he thinks it a silly question)|location
93|CLYDE|"It's...I don't know...it isn't like
anything."|speech
94||"(thinking she's heard
proof that he's a liar)"|location
95|BONNIE|"Hah!  I knew you never robbed bo
place, you faker."|speech
96||(challenged)|location
97|CLYDE|Oh, yeah?|speech
98||"(studies her, then
makes up his mind to
show her)"|location
99||"Close-up.  Gun.  Day.  He reaches in his jacket and pulls
out a gun.  The camera moves to a closeup of the gun,
glinting in the sunlight."|stage direction
100||EXT. STREET.  DAY.|location
101||"The camera pulls back to show BONNIE looking at it with
fascination.  The weapon has an immediate effect on her.
She touches it in a manner almost sexual, full of repressed
excitement."|stage direction
102||(goading him on)|location
103|BONNIE|"Yeah, well you got one all right, I
guess...but you wouldn't have the
gumption to use it."|speech
104||7.|unknown
105||"(picking up the
challenge, proving himself)"|location
106|CLYDE|You just keep your eyes open.|speech
107||EXT. LITTLE GROCERY STORE ACROSS THE STREET.  DAY.|location
