|character|text|type
0||"""BULL DURHAM""
by
Ron Shelton"|unknown
1||In baseball, you don't know nothing.|stage direction
2|unknown|--Yogi Berra|speech
3||"Whoever wants to know the heart and mind of America had better
learn baseball."|stage direction
4|unknown|--Jacques Barzun|speech
5||You could look it up.|stage direction
6|unknown|--Casey Stengel|speech
7||"Titles over --
FADE IN:
A series of still photos. Black and white. Ancient.
BABE RUTH SWINGS -- An icon of American history. His giant
upper body balanced delicately on tiny ankles and feet. The
huge bat in an elegant follow-through..."|stage direction
8||DISSOLVE TO:|unknown
9||"TY COBB ROUNDS THIRD -- The most vicious ballplayer of them
all, a balletic whirling dervish."|stage direction
10||DISSOLVE TO:|unknown
11||"JACKIE ROBINSON STEALS ROME -- Yogi Berra applies the tag.
Too late."|stage direction
12||DISSOLVE TO:|unknown
13||"JOE DIMAGGIO WITH HIS SON in the Yankee clubhouse. Walking
down the runway, Joe in uniform. Number five.
PULLBACK REVEALS:
A WALL COVERED WITH BASEBALL PICTURES behind a small table
covered with objects and lit candles. A baseball, an old
baseball card, a broken bat, a rosin bag, a jar of pine tar --
also a peacock feather, a silk shawl, a picture of Isadora
Duncan. Clearly, the arrangement is -- A SHRINE -- And it
glows with the candles like some religious altar.
We hear a woman's voice in a North Carolina accent."|stage direction
14|ANNIE (V.O.)|I believe in the Church of Baseball.|speech
15||(beat)|location
16|ANNIE (V.O.)|"I've tried all the major religions
and most of the minor ones -- I've
worshipped Buddha, Allah, Brahma,
Vishnu, Shiva, trees, mushrooms, and
Isadora Duncan..."|speech
17||"PAN AWAY FROM THE SHRINE across the room. Late afternoon
light spills into the room, across fine old furniture, to a
small dressing table. A WOMAN applies make up.
ANNIE SAVOY, mid 30's, touches up her face. Very pretty,
knowing, outwardly confident. Words flow from her Southern
lips with ease, but her view of the world crosses Southern,
National and International borders. She's cosmic."|stage direction
18|ANNIE (V.O.)|I know things. For instance --|speech
19||(beat)|location
20|ANNIE (V.O.)|"There are 108 beads in a Catholic
rosary. And --"|speech
21||(beat)|location
22|ANNIE (V.O.)|There are 108 stitches in a baseball.|speech
23||(beat)|location
24|ANNIE (V.O.)|"When I learned that, I gave Jesus a
chance."|speech
25||(beat)|location
26|ANNIE (V.O.)|"But it just didn't work out between
us. The Lord laid too much guilt on
me. I prefer metaphysics to theology."|speech
27||(beat)|location
28|ANNIE (V.O.)|"You see, there's no guilt in
baseball... and it's never boring."|speech
29||"ANNIE OPENS A CLOSET DOOR -- Dozens of shoes hang from the
door. She chooses a pair of RED HIGH HEELS, with thin straps.
She sits on a bench and"|stage direction
30|ANNIE|Which makes it like sex.|speech
31||(beat)|location
