|character|text|type
0||BURNING ANNIE|location
1|unknown|art imitates life imitates art imitates life|speech
2||Written by|unknown
3||"PRODUCTION DRAFT
1-12-02"|unknown
4|FADE IN:|Abrupt CLOSE UP on MAX, a plain wall behind him.|speech
5||1 INT. LIMBO RADIO 1|stage direction
6|FADE IN:|"He is 20, normal looking, not too nebbish, punkish, bookish,
or stylish. He is a high-strung guy, enjoying a rare moment
of un-self-consciousness."|speech
7|MAX|"There's an old joke. It comes from ""The
Iliad,"" but I think it was popularized by
Oscar Wilde. It goes like this:
...A bear's taking a shit, like, out in the
woods one day. And he sees this rabbit,
also taking a shit. The rabbit, wait, I
mean, the bear, he's shitting up a storm,
cuz he's been eating Mexican. The
wiping's taking forever, and his shit
keeps sticking to his fur. Wait, what
happens next? Oh, right-- he asks the
rabbit if he ever has trouble wiping. The
rabbit says no, shit just slides right
off him. So the bear picks the rabbit up
and wipes his ass with him.
(pause, as if for applause)
Well, I never said it was a good joke.
And see, that makes it perfect, because
it's pretty much the story of my life.
We can now see that he's perched on a stool, wearing a REM t-
shirt and old jeans. He gesticulates vaguely as he talks."|speech
8|MAX (CONT'D)|"Growing up, my parents were huge Woody
Allen fans. Still are. Personally, I hate
him. Same thing with the Beatles, such a
part of my background that I must have
been about 16 by the time I realized how
useless it was to rebel by ignoring the
Beatles or any other cultural artifact of
their generation. Even if I did spend my
childhood hearing my father go on and on
about how, like, Nirvana would never mean
anything because they're not the Beatles,
blah-blah. I don't know, this is all
starting to sound a little bit too
angsty, you know, and that's about the
last thing I'm going for here... Shit, I
really got off track there, didn't I?
As Max shakes his head, a hanging RADIO MIKE comes into view.
It has the call letters of a college radio station on it.
2.
High on the wall behind him, a glowing ""ON AIR"" light is
revealed. The perspective is skewed, the studio appears
cavernous and completely barren."|speech
9||2 INT. MAX'S CHILDHOOD HOME ­ FLASHBACK ­ DAY 2|stage direction
10|MAX (CONT'D)|"YOUNG MAX, about five, sits on the floor and watches BANANAS
with his FATHER, a large, relaxed man with a mustache who
reclines in a tacky 80's chair and smokes a cigar.
MAX (O.S.)
Anyway, like the Beatles thing­ and this
is the point of that whole long-winded
example­ I was force-fed Woody Allen from
a young age. I remember watching Bananas
when I was about five. Of course, I hated
it.
Young Max is laughing hysterically at the screen.
Max stands to the side, watching his younger self and his
father. The radio mike hangs in front of him."|speech
11|MAX (CONT'D)|"This is my old house. We lived here, in a
dull suburb of New York, until I was ten,
when we moved to a different house in a
different dull suburb of New York.
On TV, a woman is bit in the breast by a snake and is chased
by a group of soldiers."|speech
12|YOUNG MAX|Daddy, why are they running after her?|speech
13|"FATHER
(KINDLY)"|"Someday, you'll understand. Pay
attention, you'll learn something.
Young Max turns back to the screen, wide-eyed."|speech
14||3 INT. MAX'S SECOND HOME ­ FLASHBACK 3|stage direction
15|"FATHER
(KINDLY)"|"In pajamas, ADOLESCENT MAX, 16, watches a newer TV in an
identical family room. This time, ANNIE HALL is playing.
MAX (V.O.)
Oh yeah. This wasn't the first time I saw
Annie Hall, but it was the first time I
actually appreciated it. I was flipping
channels on a Saturday afternoon, and
there it was, and I was stunned to find I
loved it, more stunned to find that my
parents may have had a point all along."|speech
16|[MORE]|"3.
MAX (V.O.) (cont'd)
Although, they were definitely wrong
about Bananas.
CLOSE ON: Adolescent Max, totally engrossed in the film."|speech
17||4 INT. HIGH SCHOOL HALLWAY ­ FLASHBACK 4|stage direction
18|[MORE]|"Adolescent Max walks alone to class. Other students rush by
in groups. He looks a little lost.
MAX (V.O.)
Oh God, high school. I hated this place.
I was a Junior when I gave up trying to
fit in. Fortunately, being a social
outcast is a lot easier when your school
is filled with idiots.
A pair of GOTH POSERS pass. Max keeps his distance. From the
other direction, a 6 FOOT TALL GIRL makes eyes at Max. He
walks into a water fountain, drops his books."|speech
19||5 INT. HIGH SCHOOL GYM ­ FLASHBACK 5|stage direction
20|[MORE]|"Adolescent Max gets hit in the face with a volleyball.
Everyone laughs at him, including the COACH.
Max stands to the side and winces."|speech
21|MAX|"There was something in Annie Hall I
identified with. Maybe it was the style
of humor, or the defeatist attitude, I
don't know. All I know is, I kept going
back. Different people are inspired by
different things, and my source of
inspiration became a 20-year-old movie
about a failed relationship.
The volleyball rolls over and he picks it up."|speech
22||6 INT. RADIO STATION -- PRESENT 6|stage direction
23|MAX|"From behind Max, we see the station as it really is: small,
dark, cramped, and totally filled with crap. Max wears
headphones, sits before a large console and audio gear.
He now holds a volleyball."|speech
24|MAX|"So after high school I ended up here.
There was never really any choice, not
going to college was not an option. Of
course, I brought Annie with me. Good
thing, too."|speech
25|[MORE]|4.|speech
26|MAX (CONT'D)|"Watching it quickly became about the only
thing I could count on to go right."|speech
27||7 INT. JEN'S ROOM ­ FLASHBACK ­ NIGHT 7|stage direction
28|MAX (CONT'D)|"Max is with five friends in the double, and they all have
lingering style-baggage from high school (eg. bad haircuts)."|speech
29|"MAX
(TO CAMERA)"|"It was freshmen year when we started
watching Annie Hall as a tradition."|speech
30|(LOOKING AROUND)|"Jeez, this must have been the very first
time. What's Amy doing here? I'm pretty
sure Amy wasn't here.
AMY is attractive, bookish, and sitting on Max's bed.
CHARLES, a skinny guy in a large chair, tries to get her
attention by wiggling his eyebrows seductively.
Max puts the tape in the VCR, hits rewind, and moves to sit
on his bed. He pauses when he sees how close he'll come to
Amy. Finally, he climbs over her and awkwardly sits at the
far end.
Amy watches, rolls her eyes, and looks at BETH, who shakes
her head sadly. Beth is pretty in an earthy way, spunky and
sad at the same time. She looks sympathetically at Max, who
is trying not to act nervous (and failing).
The couple is SAM, who's short and charismatic, with a cool,
slightly punkish personal style; and JEN, same height, cute
and serious, conservative dress. They lie on the floor
together."|speech
31|"MAX (CONT'D)
(TO CAMERA)"|"That's Sam and Jen. Sam was the alpha-
male of our group, which tends to consist
mostly of zeta-males. He had been going
out with Jen a couple weeks and we were
all waiting to see if she would change
him...
Sam slides a pillow under her."|speech
32|SAM|Are you comfortable, honey?|speech
33|JEN|"I'm fine, Sam. I was worried about you.
Sure you don't want me to move over?
5."|speech
34|SAM|"Oh no, no, Jen, if you're happy, I'm
happy.
Max and Charles exchange a look-- there they go again. Max
makes a show of putting a pillow under a large Darth Vader
doll. Beth laughs, Amy is amused. Sam looks back and is
embarrassed. Jen rolls her eyes and gives Sam a look."|speech
35|JEN|Are we gonna watch this movie or what?|speech
36||8 INT. JEN'S ROOM ­ FLASHBACK ­ LATER 8|stage direction
37|DISSOLVE TO:|Annie Hall's credits roll. Sam snaps on the lights.|speech
38|SAM|Wow, what a good movie.|speech
39|AMY|"Oh, that was so sad! Relationships don't
have to be like that!"|speech
40|(TO MAX)|"I can see why you like this so much. It
reminded me of you."|speech
41|MAX|"Uh, thanks, I guess. Does that mean you
liked it?
Max and Amy stand and face each other as the lights fade to
black around everyone else."|speech
42|AMY|"I didn't say I liked it, I said it
reminded me of you. It reminded me of
what I didn't like about you, the
cynicism, the neurotic insecurity, and oh
yeah, when you started calling me every
day. All the reasons we were never more
than friends."|speech
43|MAX|Well, at least you're being honest.|speech
44|AMY|"Of course I'm being honest. This is a
fantasy extrapolated from a flashback.
How could I lie to you?
6."|speech
45|"MAX
(TO CAMERA)"|"I'm the only person I know who gets
insulted in his own fantasies.
Charles walks by, Amy takes his arm, and they disappear into
the surrounding darkness, which DISSOLVES TO:"|speech
46||9 INT. LIMBO RADIO - PRESENT 9|stage direction
47|"MAX
(TO CAMERA)"|and again Max is alone.|speech
48|MAX|"Anyway, Amy set the tone for the rest of
college..."|speech
49||10 INT. THEATER LOBBY -- NIGHT -- FLASHBACK 10|stage direction
50|MAX|"The movie is Annie Hall. The theater is emptying. Suddenly,
ERICA bursts through the crowd. Erica is mad. Max follows
behind her, placating."|speech
51|ERICA|"AND WHAT IS IT WITH JEWISH MEN AND THEIR
PENIS ISSUES?!
Max freezes in place. The entire crowd of students turns to
look at him. He manages a weak smile and turns back to Erica,
but she's gone, out the doors into the night.
Max turns back to the crowd and shrugs, but the crowd turns
away. Max suddenly sees someone: Beth, looking at him. He
blushes, self-conscious, and hurries away.
MAX (V.O.)
And even when it went right, it didn't."|speech
52||11 INT. STACY'S ROOM -- NIGHT -- FLASHBACK 11|stage direction
53|ERICA|Max and STACY stumble in, inebriated, laughing.|speech
54|MAX|"...And then I, then I, after I called the
pizza place, I called an ambulance, and
timed them."|speech
55|STACY|Who won?|speech
56|MAX|"The pizza, of course. The paramedics took
35 minutes to arrive.
7."|speech
57|STACY|"I can't believe you! Did you get in
trouble?"|speech
58|MAX|"The Station Manager said I couldn't go on
the air ever again."|speech
59|STACY|So what'd you do?!|speech
60|MAX|"I gave him the pizza!
They collapse on the bed, laughing. Stacy rolls over and
kisses Max on the lips. His eyes go wide and he frantically
crawls backwards."|speech
61|STACY|What? Don't you like me?|speech
62|MAX|It would never work.|speech
63|STACY|How would you know?|speech
64|MAX|I know. I have a sixth sense.|speech
65|STACY|You see dead people?|speech
66|MAX|"I see dead relationships.
Stacy sits up, frustrated, the mood ruined."|speech
67|"MAX (CONT'D)
(TO CAMERA)"|"That was all true, but there was
something else, though. I mean, there I
was, drunk, in a girl's bedroom, and the
only thought running through my mind was..."|speech
68||12 EXT. CAMPUS QUAD ­ DAY ­ FLASHBACK 12|stage direction
69|"MAX (CONT'D)
(TO CAMERA)"|Max speaks to someone O.S.|speech
70|MAX|"...""What about Beth?""
Max is talking to Beth. It's a beautiful Spring day.
8."|speech
71|MAX (CONT'D)|"I mean, I know we're just friends, but
you really mean a lot to me and we've
been spending a lot of time together
lately, and maybe... I guess what I'm
saying is, maybe we could try going out
on a date or something?"|speech
