|character|text|type
0||CELESTE AND JESSE FOREVER|unknown
1||Written by|location
2||5.01.11|unknown
3||"1 MONTAGE OVER THE OPENING CREDITS TO SUNNY LEVINE'S ""LOVE 1"|stage direction
4|"RHINO"":"|"A progression of images of CELESTE and JESSE, ages 18 to 30.
Visual media evolves with them throughout the years."|speech
5||A1 POLAROIDS OF HIGH SCHOOL MOMENTS: A1|stage direction
6|"RHINO"":"|"Celeste is a chronic overachiever and Jesse is sweet, goofy
and funny. He makes her laugh. They are best friends but it's
clear that Jesse wishes they were more.
Close-up of their hands crossed, making ""C"" and ""J"" shapes.
Celeste and her football player boyfriend, Mike, kissing.
Jesse watches enviously from the sidelines, holding Mike's
helmet."|speech
7||B1 DIPOSABLE CAMERA PHOTOS: B1|stage direction
8|"RHINO"":"|"They go to college together, study together, drink together.
They are still best friends.
Junior year, Celeste with Saleem, her hot, black militant
boyfriend. They kiss passionately.
A moment later, Jesse poses reluctantly with the couple,
holding up a ""Black Power"" fist, weakly."|speech
9||C1 SUPER 8 FOOTAGE: C1|stage direction
10|"RHINO"":"|"Senior year, Jesse draws ""C AND J FOREVER"" in a pristine,
snowy forest with a stick; he and Celeste laugh.
A moment later, they kiss deeply. They are finally together."|speech
11||"D1 DIGITAL VIDEO FOOTAGE OF ""CELESTE AND JESSE FOREVER"": D1"|stage direction
12|"RHINO"":"|"On an engraved necklace, carved into a tree, written on a
wet beach, and on their wedding cake."|speech
13||E1 BLACK AND WHITE HI-RES PHOTOS SHOW THEM MARRIED: E1|stage direction
14|"RHINO"":"|"Moving into their house, dancing, reading side by side,
kissing. This is true, everlasting love, the real kind."|speech
15||F1 SHUTTERFLY ALBUM PHOTOS FROM FRIENDS' PARTIES: F1|stage direction
16|"RHINO"":"|"Celeste and Jesse, in silence, amongst joyful party guests.
Jesse telling a joke and Celeste no longer laughing.
Jesse and Celeste on a bench, distant.
The next picture, hugging."|speech
17||G1 MACBOOK PHOTO BOOTH SNAPSHOT: G1|stage direction
18|"RHINO"":"|"Jesse asleep on Celeste's shoulder as she kisses him on the
head.
2."|speech
19||2 INT. TOYOTA PRIUS-DAY 2|stage direction
20|"RHINO"":"|"It's a bright, clear Los Angeles Saturday afternoon. Celeste
and Jesse, now 30, both sing along to ""Love Rhino,"" the song
heard under the montage. Jesse drives while Celeste is on her
Blackberry. Jesse, boyishly handsome, wears an old tee and a
hooded sweatshirt. Celeste is wearing all black workout
gear. She is always wearing all black."|speech
21|JESSE|I'm a Love Rhino...|speech
22|CELESTE JESSE|"Don't worry `bout me, I've Dont' worry `bout me, I've
got a enough love for got enough love, for the two
the...(her Blackberry rings) us. Oh please...
oh shit, I gotta take this.
Turn it down.
JESSE (CONT'D) (CONTD)
...I'm a Love..."|speech
23|CELESTE|"Jess, turn it down, seriously!
She playfully slaps him. He turns it down. A little.
CELESTE (CONT'D) (CONTD)
Hello? Hi. With Jesse, running
errands. (to Jesse) Turn it down.
More. (back to the phone) Yeah, I
can do it now. No, it'll be fast,
right? (To Jesse) Hey, I have to
give a quick sound bite for the New
York Times, so no noise please? For
a second?"|speech
24|JESSE|"Maybe. I may have an important call
coming in too, so...
They both know he has no important call coming in."|speech
25|CELESTE|"(on the phone) Okay. Ready? This
year all trends point towards
simplicity and comfort.
Celeste is momentarily distracted by a bad driver in front of
them.
CELESTE (CONT'D) (CONTD)
Jess, just go around him! (To the
phone) Sorry."|speech
26|(MORE)|"3.
CELESTE (CONT'D) (CONTD)
Consumers will be less likely to go
out for entertainment."|speech
27||"While Celeste is dictating, Jesse is getting bored. He starts
looking through the middle console. He finds something. A
melted tube of Chapstick. Ew. Ooh, a cigarette. Jesse lights
the cigarette, takes a drag. Celeste looks at Jesse and
signals to him, ""Can I have a drag?"""|stage direction
28|(MORE)|"CELESTE (CONT'D) (CONTD)
Uhhh, things like Voodoo, casual
wear and cookbooks will see a huge
spike in the market."|speech
29||"He hands her the cigarette and she promptly chucks it out the
window."|stage direction
30|JESSE|What the shit??|speech
31|CELESTE|"(she whispers to Jesse) Shhh. Phone
call.(back to her call) That's
enough of a blurb, right?"|speech
32||"Jesse is now checking out nose hairs in the visor mirror. He
then looks at his teeth."|stage direction
33|JESSE|Does this tooth look dark?|speech
34||Celeste just glares at him.|stage direction
35|CELESTE|"Okay. Call me back if they need
more."|speech
36||Jesse looks at his tooth again in the rearview mirror.|stage direction
37|JESSE|Like a little darker than the rest?|speech
38||Celeste waves her hand to quiet Jesse.|stage direction
39|CELESTE|"Okay, thanks bye. (to Jesse) Can't
you just sit still for two minutes?
And we talked about this, no more
smoking!"|speech
40|JESSE|"I wasn't smoking, I just found it.
4."|speech
41|CELESTE|"Come on.
They drive by ""Urban Light,"" Chris Burden's installation at
the entrance of LACMA. They are rows of restored street
lamps. Celeste sneers.
CELESTE (CONT'D) (CONTD)
Really? Street lamps? No. Not doin'
it. That is not art."|speech
42|JESSE|"I think it's beautiful.
A beat passes. Then, Jesse pulls over."|speech
43|CELESTE|"What are you doing? Why are you
stopping?"|speech
44|JESSE|"Well, your appointment is not until
noon and this is that place with
the deadstock vintage Italian
fabric. I thought it would be good
for the guest room windows.
Celeste is truly touched by the gesture."|speech
45|CELESTE|"Oh wow...you are so thoughtful.
Jesse smiles, proud of himself.
CELESTE (CONT'D) (CONTD)
Thanks, Jess.
She gives him a kiss on the cheek. Jesse's phone rings, he
answers."|speech
46|JESSE|"Whassup, muthafucka??
Celeste rolls her eyes and gets out of the car to look at
fabric."|speech
47||3 INT. TOYOTA PRIUS-10 MINUTES LATER 3|stage direction
48|CUT TO:|"Celeste is getting back in the car with some fabric swatches.
5."|speech
49|CELESTE|"Jess, that place is insane. They
have tassels that were manufactured
for Mussolini's mistress..."|speech
50|JESSE|"(covering the phone) Sorry, I'm on
the phone. It's important."|speech
51|CELESTE|Okay then.|speech
52||Celeste sits quietly while Jesse is on his call.|stage direction
53|JESSE|"Really? I just...don't know what to
say. Thank you so much for calling
me."|speech
54||Celeste throws her hands up in silent celebration.|stage direction
55|CELESTE|(whispers) Did you get the job??|speech
56||"Jesse signals with his finger, ""one minute."""|stage direction
57|JESSE|"Well, sometimes things are just
meant to work out."|speech
58||Celeste looks at him with anticipation.|stage direction
59|JESSE|"JESSE (CONT'D) (CONTD)
Okay, great. Great. Talk soon. Bye."|speech
60|CELESTE|"Was that the job? Did you get the
book job?"|speech
61|JESSE|No, but Celeste...|speech
62||He looks at her and grabs her hand, with tears in his eyes.|stage direction
63|JESSE|"JESSE (CONT'D) (CONTD)
...a swell came in last night. Out
of the Northeast. It's overhead and
it's glassy."|speech
64|CELESTE|"What the fuck are you talking
about?
6."|speech
65||"Malibu. The waves are peeling out
there."|stage direction
66||"Is this about surfing? You're
talking about going surfing.
Unbelievable."|stage direction
67||"No, this is best part. Skillz got a
hi-def digital camera and he's
gonna film me!!!"|stage direction
68||Oh, god.|stage direction
69||"And we're gonna upload it on You
Tube!"|stage direction
70||I'm not...|stage direction
71||What? Is that not awesome?|stage direction
72||"No, yeah, I just thought it was
about the Slate job you interviewed
for."|stage direction
73||"Oh yeah. No. They haven't called
yet. But if they don't think I'm
the right artist to illustrate the
book, then it's not the right job
for me. You know what I mean?"|stage direction
74||"I absolutely do, yes. You are a
wonderful artist. But at some
point, you will show the world that
one day...right?"|stage direction
75||"Hey, can I drop you at home now?
Because I just missed a wave."|stage direction
76||Well...|stage direction
77||Wait! I just missed another one.|stage direction
78|JESSE|7.|speech
