|character|text|type
0||"CHARADE
Written by
Peter Stone
Based on a story by
Peter Stone and Marc Behm
October 1st, 1962"|unknown
1||FADE IN (BEFORE TITLES)|stage direction
2||EXT. FRENCH COUNTRYSIDE -- DUSK|location
3||"Silence -- complete silence for the urbanite, though the
oncoming darkness is punctuated by the sounds of farm country --
a few birds, a distant rumble of thunder from some heavy
clouds on the horizon, a dog's barking.
CAMERA PANS the green, squared-off flatland, lit only by a
fine sunset in its final throes. Then, gradually, starting
from nothing, a rumble is heard, quickly growing louder and
louder until the sound of a train can be recognized.
CAMERA PANS quickly, discovering the railroad line atop a
man-made rise of land, and the speeding passenger train is
upon us, flashing by with a roar.
Then, as if from nowhere, the figure of a man hits the
embankment and rolls crazily down to the bottom into the
thick underbrush alongside the tracks.
CLOSE SHOT -- BODY
It lies in the bushes, still, unmoving -- dead. CAMERA PANS
AWAY to the quiet peaceful countryside as the sound of the
train fades off until there is silence once more.
TITLE MUSIC begins with a crash."|stage direction
4||(MAIN TITLES)|unknown
5||"DELETED
FADE IN:"|stage direction
6||EXT. MEGEVE -- DAY|location
7||"A handsome and elegant hotel perched on the mountain-side
overlooking the French resort town. A large, open sun deck --
tables, gaily colored parasols, sun bathers.
One of the latter is REGINA LAMPERT, a lovely young girl.
She is, besides taking in the sun, involved in her favorite
activity -- eating.
Then -- a dark, ominous shape intrudes in the f.g. FOCUS
CHANGES to bring into sharp relief a revolver -- shining,
black and ugly in the sunlight.
REGGIE, unaware of her danger, continues to eat.
The finger tightens around the trigger and finally the gun
shoots -- a stream of water arcs, with unerring aim, straight
into REGGIE's face.
ANOTHER ANGLE
Including JEAN-LOUIS, a French boy of six or so. REGGIE looks
at him sternly."|stage direction
8||(in for trouble)|location
9|JEAN-LOUIS|Oh, la.|speech
10|REGGIE|"Don't tell me you didn't know it was
loaded."|speech
11||(calling)|location
12|REGGIE|Sylvie!|speech
13||"WIDER ANGLE
SYLVIE GAUDET, French, attractive, blonde, in her early
thirties, comes from the railing of the sun deck to join
REGGIE and JEAN-LOUIS."|stage direction
14|REGGIE|"Isn't there something constructive
he can do -- like start an avalanche?"|speech
15||(to JEAN-LOUIS)|location
16|SYLVIE|Va jouer, mon ange.|speech
17||"JEAN-LOUIS scampers off, content to have gotten off so
lightly. SYLVIE notices REGGIE's lunch which consists of
cold chicken, potato salad, rolls and butter, wine and coffee."|stage direction
18|SYLVIE|"When you start to eat like this
something is the matter."|speech
19||"No answer from REGGIE. SYLVIE begins reading a magazine as
REGGIE continues eating."|stage direction
20|REGGIE|Sylvie -- I'm getting a divorce.|speech
21|SYLVIE|Ça alors! From Charles?|speech
22|REGGIE|"He's the only husband I've got. I
tried to make it work, I really have --
but --"|speech
23|SYLVIE|But what?|speech
24|REGGIE|"I don't know how to explain it. I'm
just too miserable."|speech
25||"REGGIE picks up a chicken leg and starts off. SYLVIE regards
the devastated table before following."|stage direction
26|SYLVIE|"It is infuriating that your
unhappiness does not turn to fat!"|speech
27||INT. SWIMMING POOL -- DAY|location
28||"A magnificent indoor, glass-enclosed pool, the vista of snow-
covered mountains seen through the ceiling-high windows
beyond. REGGIE and SYLVIE are passing through, their
conversation continuing."|stage direction
29|SYLVIE|But why do you want a divorce?|speech
30|REGGIE|Because I don't love him.|speech
31|SYLVIE|"But that is no reason to get a
divorce!"|speech
32||EXT. HOTEL TERRACE -- DAY|location
33||"An open balcony running around two sides of the pool, sun-
worshippers lying in deck-chairs. REGGIE and SYLVIE appear,
their conversation continuing."|stage direction
34|SYLVIE|"With a rich husband and this year's
clothes you will not find it difficult
to make some new friends."|speech
35||(sitting)|location
36|REGGIE|"I admit I moved to Paris because I
was tired of American Provincial,
but that doesn't mean I'm ready for
French Traditional. I loathe the
idea of divorce, Sylvie, but -- if
only Charles had been honest with me --
that's all I ask of anybody -- the
simple truth. But with him, everything
is secrecy and lies. He's hiding
something -- something frightening --
something terrible -- and evil."|speech
37||"She stops as she is aware of a weird figure hovering over
her. She wheels, terrified.
CLOSE SHOT -- PERUVIAN SNOW-MASK
A strange, grotesque knitted mask that completely covers the
face except for eyes, nose and mouth. The eyes inside this
particular mask stare down at REGGIE."|stage direction
38|MAN|Does this belong to you?|speech
39||"CAMERA PANS down to include JEAN-LOUIS, his hand held firmly
by the man in the mask.
WIDER ANGLE
Including REGGIE, MAN, SYLVIE and JEAN-LOUIS. REGGIE is too
terrified to answer. Realizing this, the man, PETER JOSHUA,
takes off the snow-mask to reveal a handsome, tanned face."|stage direction
40|PETER|Oh, forgive me.|speech
41||(indicating JEAN-LOUIS)|location
42|PETER|Is this yours?|speech
43||(indicating SYLVIE)|location
44|REGGIE|"It's hers. Where'd you find him,
robbing a bank?"|speech
45|PETER|"He was throwing snowballs at Baron
Rothschild."|speech
46||(a pause)|location
