|character|text|type
0||"THE CIDER HOUSE RULES
Written by
John Irving
Production Draft"|unknown
1||FADE IN. BEGIN TITLE SEQUENCE.|stage direction
2||EXT. ST CLOUD'S - TRAIN STATION - DAWN|location
3||"An establishing shot of the rundown train station on an
overcast morning. There's snow on the station platform. A
train arrives and departs."|stage direction
4|LARCH (V.O.)|"In other parts of the world, young
men of promise leave home to make
their fortunes, battle evil, or solve
the problems of the world."|speech
5||"Behind the station, at the top of the hill, lies the St.
Cloud's orphanage."|stage direction
6|LARCH (V.O.)|"I was myself such a young man, when
I came to save the orphanage in St.
Cloud's... many years ago."|speech
7||EXT. ST. CLOUD'S - ORPHANAGE - EARLY MORNING|location
8||"A man and woman (COUPLE #1) make their way toward the main
entrance of the large brick building."|stage direction
9|LARCH (V.O.)|"Here in St. Cloud's, I have come to
understand that promises are rarely
kept, that the battle isn't so much
against evil as ignorance, and that
being successful can't hold a candle
to being of *use*."|speech
10||"The couple enters the orphanage, where we hear the sound of
babies."|stage direction
11|LARCH (V.O.)|"Nor have I solved the problem I came
here to solve."|speech
12||INT. ORPHANAGE - MORNING|location
13||"Two nurses, EDNA and ANGELA, chase CHILDREN--a morning
routine."|stage direction
14|LARCH (V.O.)|"Even in the most enlightened times,
unwanted babies will manage to be
born. That there will always be
orphans is simple not a problem to
be solved. Here is St. Cloud's, we
don't regard the sordid facts of
life as problems."|speech
15||The camera goes up the stairs with some of the kids.|stage direction
16||INT. LARCH'S OFFICE - DAY|location
17||"We enter an office where DR. LARCH shows couple #1 their
newly adopted son, HOMER, an infant who lies smiling in Dr.
Larch's arms."|stage direction
18|LARCH (V.O.)|"In truth, we've only had one real
problem."|speech
19||We close in on the infant until his face fills the screen.|stage direction
20|LARCH (V.O.)|His name was Homer Wells.|speech
21||Dr. Larch hands over the infant to the adopting parents.|stage direction
22|LARCH|"I named him after the Greek writer.
You know Homer, of course?"|speech
23||Hesitant nods. (They don't look as if they read.)|stage direction
24|LARCH|"I made his name ""Wells"" because I
could tell he was very deep."|speech
25||The parents look with pride at their adopted son.|stage direction
26|LARCH (V.O.)|"In truth, Nurse Angela named him--
her father *drilled* wells, and
""Homer"" was one of her family's
umpteen cats."|speech
27||INT./EXT. ORPHANAGE - DAY|location
28||"At the front door, Larch and the nurses wave and call good-
bye to Homer, they close the door."|stage direction
29||INT./EXT. ORPHANAGE - NIGHT|location
30||"The same door swings open; it's another night. The same couple
is bringing Homer back. There is concern in their faces as
Nurse Edna lets them in."|stage direction
31||INT. BOY'S DIVISION, DOORWAY - NIGHT|location
32||Larch is delivering his benediction to the boys.|stage direction
33|LARCH|"""Good night, you Princes of Maine,
you Kings of New England!"""|speech
34||"As he turns, he is startled by Nurse Edna, waiting with couple
#1 and baby Homer."|stage direction
35|ADOPTING MOTHER|"There's something wrong with him! He
never makes a sound."|speech
36||Larch looks quickly at Homer.|stage direction
37|LARCH (V.O.)|"He didn't cry enough for them, if
you can believe it."|speech
38|ADOPTING FATHER|"Do you think we could have a look at
someone a little different?"|speech
39||"The mother hands over the baby to Larch. Baby Homer lets out
a happy squeal as soon as he's in Larch's arms. The parents
stare in disbelief."|stage direction
40|LARCH (V.O.)|"Thus was Homer Wells returned. He
was too happy a baby."|speech
41||EXT. ORPHANAGE - DAY|location
42||"Angela and Edna call and wave good-bye to a two-year-old
Homer, leaving with COUPLE #2. Larch stands on the porch and
watches the family head down the hill."|stage direction
43|LARCH (V.O.)|"The second family has an unfortunate
gift for getting sounds out of Homer."|speech
44||INT. COUPLE #2'S HOME - DAY|location
45||"Larch bursts into the home of the second couple and lifts a
crying and bruised Homer out of his bed. There is rage in
Larch's eyes as he looks at the couple."|stage direction
46|LARCH (V.O.)|"The rumor was true. They beat him.
He couldn't stop crying."|speech
47||EXT. HILL, ST. CLOUD'S - DAY|location
48||Larch carries Homer up the orphanage hill.|stage direction
49|LARCH (V.O.)|"Here is St. Cloud's, I try to
consider, with each rule I make or
break, that my first priority is an
orphan's future."|speech
50||INT. DELIVERY ROOM - DAY|location
51||The naked belly of a VERY PREGNANT WOMAN.|stage direction
52|LARCH (V.O.)|Easier said than done.|speech
53||"A tiny hand comes in with a stethoscope and puts it on the
big belly. Young Homer's head, with the stethoscope around
his neck, pops up behind the belly; he closes his eyes as he
concentrates on listening to the sounds of the unborn child.
Larch stops in the doorway, catching sight of Homer. He smiles
faintly."|stage direction
