|character|text|type
0||"THE COOLER
Written by
Frank Hannah & Wayne Kramer"|unknown
1||EXT. STYGIAN DARKNESS - NIGHT|location
2||"STYGIAN DARKNESS
The suggestion of traveling through space. Suddenly a star
sparkles to life in the distance. Gives rise to another...
and another... until we're looking at a whole galaxy of stars.
No, not stars. LIGHTS. NEON LIGHTS. A throbbing skyline of
neon. LAS VEGAS, NEVADA. As seen from a descending aerial
shot. We PLUNGE down into her shimmering embrace... DISSOLVING
TO:"|stage direction
3||EXT. LAS VEGAS STRIP - NIGHT|location
4||"Cruising the Strip, taking in modern day Las Vegas. Sin City
gone theme park. Gigantic behemoths of pulsating neon: THE
MGM GRAND... EXCALIBUR... LUXOR... TREASURE ISLAND... passing
revamped faithfuls like CAESARS and THE DESERT INN...
...then heading DOWNTOWN to Fremont Street, where ""old school""
Vegas makes its last stand. BINION'S HORSESHOE, THE FOUR
QUEENS, THE LAS VEGAS CLUB arid...
THE SHANGRI-LA HOTEL AND CASINO
One thing's for sure. This place ain't no bastard child of
Epcott Center. At least, not yet. Sure there's some flash
going on, but it's more class than overkill.
This is where the pro's come to savor a time forgotten. A
joint where every dealer knows your name. Where part of the
allure is the smell of moldy paneling and the tactile whisper
of worn felt. Where ""funny business"" doesn't just get you
blacklisted... It gets you dead.
Lets us enter."|stage direction
5||INT. SHANGRI-LA HOTEL AND CASINO - NIGHT|location
6||"CREDITS SEQUENCE
TRACKING through the casino floor; highlighting SLOT MACHINE
PAY-OFFS and pockets of rowdy players winning at BLACKJACK,
CRAPS and ROULETTE. It's just one of those nights. The tables
are on fire.
A FLOOR MANAGER nods as a hefty bet is paid out to a shooter
at a craps table: He checks out his watch, anxious for the
arrival of..."|stage direction
7||INT. ELEVATOR - NIGHT|location
8||"From behind a FIGURE in a suit. All we see is a murky
reflection in gold elevator doors. The floor numbers
descending rapidly..."|stage direction
9||INT. CASINO FLOOR - NIGHT|location
10||"STICKMEN, CROUPIERS, DEALERS
all anticipating the arrival of..."|stage direction
11||INT. ELEVATOR - NIGHT|location
12||"The elevator doors open... and we PAN DOWN to the figure's
feet. He steps out onto the casino floor... and right away
we notice he has a pronounced limp.
Following behind the figure. We haven't seen his features
yet... (and won't for a while.)
TRACKING SERIES —
-- the figure (seen in soft focus) passes a ROULETTE TABLE,
the wheel already in mid-spin. His hand casually brushes the
side of the table... and we PAN ACROSS to the wheel -- just
in time to see the ball landing on 00. The players HOWL
defeat. The croupier rakes in all the losing checks with a
slight nod of respect to the passing wraith...
-- TRACKING PAST SOME BLACKJACK TABLES... RACKING from the
passing figure (still in soft focus) to a DEALER calling
out:"|stage direction
13|DEALER|Insurance?|speech
14||"At the next table, ANOTHER DEALER pulls a six card 21. Off
the players' stunned reactions. No way! One of the players
instinctively glances behind him... but the figure has moved
on. The dealer stifles a grin, her eyes following the figure
as he heads toward...
-- A HOT CRAPS TABLE. The CROWD APPLAUDS as the shooter lands
a hard eight. The dice are fished back to the player. He
shakes them up with double ought bravado. We RACK from his
hand LARGE in the f.g. to our murky figure passing in the
background. The player throws... (we keep tracking with the
figure) as the stickman calls it: SEVEN OUT! to a thundering
chorus of disappointment.
-- Our figure passes by in the foreground, while in the
background, we see a growing line of shame at one of the ATM
MACHINES.
-- Following behind our figure as he turns into a corridor
of SLOT MACHINES. CUT TO REVERSE ANGLE from the far end of
the corridor. As the murky figure approaches, a player in
the f.g. hits a jackpot.
Another player in mid-ground is also in the midst of a payout.
Suddenly -- with the approach of the figure -- both payouts
trickle to a stop."|stage direction
15||(kicks the slot machine)|location
