|character|text|type
0|unknown|The CROW|speech
1||"by
Davis Schow
based on a screenplay by
John Shirley
Based on the comic book
created, drawn, and written by
James O'Barr
September 14, 1992
FADE IN:"|stage direction
2||EXT. CEMETERY - LATE AFTERNOON|location
3||"BOOM!  A crack of lightning illuminates the silhouette of a
perched crow large in the f.g.
TIGHT ANGLE - FRESH GRAVE
As a spade smooths the walls of a new double-decker plot."|stage direction
4|DIMITRI (O.S.)|"We're losing the light; let's pack
it in."|speech
5||"ANGLE - DIMITRI AND ALEXI
TWO GRAVEDIGGERS.  Scoop digger parked f.g. towering gothic-
style church b.g.  Rolls of astro turf.  They look up toward
the sky."|stage direction
6|ALEXI|Snow, maybe?|speech
7|DIMITRI|What, you gonna ski on this?|speech
8||He indicates the mound of fresh dirt.  Spits into the grave.|stage direction
9|DIMITRI (CONT'D)|"Come on, let's bag this.  It's
beer time."|speech
10||"Alexi nods and unfurls the tarp over the dirt.
LOW ANGLE TRACKING SHOT - FLOWERS ON GRAVES
As we MOVE alongside a pair of canvas-sided combat boots, as the
wearer collects the most lively flowers from each grave in
sequence.
TIGHT ANGLE - THE CROW
Cemetery DEFOCUSED b.g.  Large, glossy-black, the bird follows
the arc of movement in the previous shot.  Ruffles its feathers
as it begins to sprinkle rain.
ANGLE - ELLY - RESUMING HER MOTION
A dirty-blondish tenement KID of eleven, clad in a blend of cast-
offs and hand-me-downs; her version of street punk chic.  She
totes a skateboard under one arm (itself a berserk Jackson
Pollock chaos of band stickers, silver marker and graffiti, with
day-glo wheels), and transfers her impromptu bouquet so she may
unzip a flap and hike up a ragged hood against the rain.  She
stops to watch the grave diggers pack up and EXIT b.g."|stage direction
11|ELLY|Guess the picnic got rained out.|speech
12||"She looks down o.s. at --
ANGLE - SHELLY WEBSTER'S GRAVE
as Elly places the gathered flowers down.  Almost reverent.
RESUME CROW ANGLE - ELLY B.G.
as Elly takes a single white rose and places it atop the grave
near Shelly Webster's.
ANGLE ON GRAVE - AS ELLY LEAVES
TILT UP from rose to the name: ERIC DRAVEN. Rain spatters the
granite, darkening it.
EXTREME CLOSE-UP - CROW's EYE
It blinks in its alien way.
WITH THE CROW
as it takes wing from it's unseen perch.  Lands stop Eric's
headstone.  It pecks tentatively at the top of the monument.
ANGLE - ELLY NEAR ERIC'S GRAVE
She hasn't gotten too far before she notices the bird."|stage direction
13|ELLY|Oh, scary.|speech
14||The bird blinks at her from the headstone.|stage direction
15|ELLY|"What are you, like, the night
watchman?"|speech
16||"Another blink from El Birdo.
CAMERA WITH ELLY -  BOOMING BACK HIGH
as she exits the iron gates of the cemetery without looking
back.  Brutal building facades, like dead eyes, and bad
alleyways, like hungry mouths, are gradually revealed as we
continue PULLING BACK to unveil that the cemetery is smack in
the middle of the city."|stage direction
17||EXT. MAXI-DOGS - TWILIGHT - RAIN CONTINUES|location
18||CLOSE-UP of a foot-long hot dog being drowned in mustard.|stage direction
19|MICKEY (O.S.)|"What this place needs is a good
natural catastrophe.  Earthquake,
tornado..."|speech
20||"ANGLE - ALBRECHT AND MICKEY
ALBRECHT is a black beat cop, 35, in a rain slicker.
MICKEY is the grease-aproned entrepreneur of MAXI DOGS, a steamy
open-front fast foodery."|stage direction
21|ALBRECHT|"You gotta put the mustard
underneath first."|speech
22|MICKEY|Maybe a flood, like in the Bible.|speech
23|ALBRECHT|Here, let me do it.|speech
24||"He grabs the dog from Mickey.  Mickey puffs his cigar while he
cooks.  Albrecht methodically spreads a napkin and performs
surgery on the hot dog, coating the bun with mustard, rolling
the dog in the bun.  Flashes Mickey a ""gimme"" look."|stage direction
25|ALBRECHT|"Come on... onion.  Don't cheap
out on me.  Lotta onions."|speech
26||MOVING ANGLE - AS ELLY SKATEBOARDS TOWARDS MAXI DOGS|stage direction
27|MICKEY|Heyyy -- it's the Elly monster.|speech
28|ALBRECHT|"How do you ride that thing on a
wet street?"|speech
29|ELLY|Talent. Hi.|speech
30|ALBRECHT|Care for a hot dog?|speech
31|ELLY|You buying?|speech
32|ALBRECHT|I'm buying.|speech
33||Elly grabs the stool next to Albrecht.  They`ve done this routine before.|stage direction
34|ELLY|No onions though, okay?|speech
35||(horror)|location
36|ALBRECHT|No onions?|speech
37|ELLY|They make you fart.|speech
38||Mickey laughs.  Spots Elly a Coke.|stage direction
39|MICKEY|What's goin' on, Elly?|speech
40|ELLY|I went to see a friend of mine.|speech
41|MICKEY|Well, how's your friend?|speech
42|ELLY|She's still dead.|speech
43||"Albrecht and Mickey exchange a look re:  Elly's matter-of-
factness."|stage direction
