|character|text|type
0||Edward Sissorhands|location
1|OLD KIM|Snuggle in, sweetie. It's cold out there.|speech
2|GRANDDAUGHTER|"Why is it snowing, grandma? Where does it come
from?"|speech
3|OLD KIM|Oh, that's a long story, sweetheart.|speech
4|GRANDDAUGHTER|I want to hear.|speech
5|OLD KIM|Oh, not tonight. Go to sleep.|speech
6|GRANDDAUGHTER|I'm not sleepy. Tell me, please.|speech
7|OLD KIM|"Well, all right. Let's see. I guess it would
have to start with scissors."|speech
8|GRANDDAUGHTER|Scissors?|speech
9|OLD KIM|"Well, there are all kinds of scissors. And once
there was even a man who had scissors for
hands."|speech
10|GRANDDAUGHTER|A man?|speech
11|OLD KIM|Yes.|speech
12|GRANDDAUGHTER|Hands, scissors?|speech
13|OLD KIM|"No, scissorhands. You know the mansion on top
of the mountain?"|speech
14|GRANDDAUGHTER|It's haunted.|speech
15|OLD KIM|"Well, a long time ago, an inventor lived in
that mansion. He made many things, I suppose.
He also created a man. He gave him inside, a
heart, a brain, everything. Well, almost
everything. You see, the inventor was very old.
He died before he got to finish the man he
invented. So the man was left by himself,
incomplete and all alone."|speech
16|GRANDDAUGHTER|He didn't have a name?|speech
17|OLD KIM|Of course, he had a name. His name was Edward.|speech
18|PEG|Avon calling.|speech
19|HELEN|Weren't you just here?|speech
20|PEG|"No, not since last season. Today I've come to
show you our exquisite new line of soft colors
in shadows, blushes and lipstick. Everything
you need to accent and highlight your changing
looks."|speech
21|HELEN|My changing looks? That's good.|speech
22||(Helen chuckles)|stage direction
23|PEG|"Well, it goes that saying and I also have a
complete selection of your old favorites, those
tried-and-true products we've all come to
depend on year-in and year-out."|speech
24|HELEN|"Come on, Peg. I never buy anything from you.
You know that?"|speech
25|PEG|I know. Bye, Helen.|speech
26|REPAIRMAN|"You know, you didn't have to call me, ma'am.
You could have taken care of this by yourself."|speech
27|JOYCE|I could? I don't think so.|speech
28|REPAIRMAN|"Yeah, you see, it's easy. The food trap's
clogged. That's all. You see this bolt here?
You just unscrew this. OK? And out she pops."|speech
29|JOYCE|"You know, on TV they say you repairmen are
lonely bunch of people. Housewives get lonely
too. Although you may not realize it since they
haven't made a commercial on the subject."|speech
30|REPAIRMAN|"And then you just take this and put it back in
here nice and easy. Be careful not to force it,
because it fits in there by itself. And then
you just screw this back on."|speech
31||(The bell rings.)|stage direction
32|JOYCE|"On no! Who could that be? Will you excuse me
for a moment? Now. Don't go anywhere. I'll be
right back. This is fascinating. I wouldn't
want to miss a moment of it."|speech
33|PEG|Good morning, Joyce. Avon calling.|speech
34|JOYCE|"Why! Peg. Have you gone blind? Can't you see
there's a vehicle in my driveway?"|speech
35|PEG|Oh, yes.|speech
36|JOYCE|"Well, I'm surprised you don't realize that
means I'm busy."|speech
37||"(Joyce shuts the door with a
bang.)"|stage direction
38|PEG|"Okay. Now, we should decide on lipsticks. Okay,
dear, what one did you like best? There was the
Winsome Wahini which looked charming on you. Or
the Bahenie Bliss."|speech
39|A GIRL|I like them both.|speech
40|PEG|Well, great.|speech
41|A GIRL|"You don't actually think I have any money, do
you?"|speech
42||(Peg gets in her car.)|stage direction
43|CHILDREN|Ding, dong, the Avon lady.|speech
44|PEG|It's just not my day.|speech
45||"(Disappointed Peg sees a mansion
through her rearview mirror and
drives to the place. She is
attracted by the beautiful garden
there and enters the mansion.)"|stage direction
46|PEG|Oh, my goodness.|speech
47|PEG|Oh, it's so beautiful. Hello?|speech
48||(Birds flying)|stage direction
49|PEG|"Hello? Avon calling, oh my. Hello, I'm Peg
Boggs. I'm your local Avon representative.
Hello. I'm sorry to barge in like this. But you
don't have any reason to be afraid. This is
some huge house, isn't it? Thank goodness for
those aerobics classes."|speech
50||(Snipping)|stage direction
51|PEG|"Hello. Hello. Why are you hiding back there?
You don't have to hide from me. I'm Peg Boggs.
I'm your local Avon representative and I'm as
harmless as cherry pie."|speech
52||(Peg sees Edward's scissorhands.)|stage direction
53|PEG|"Oh my! I can see that I've disturbed you. How
stupid of me! I'll just be going now."|speech
54|EDWARD|Don't go.|speech
55|PEG|Oh my! What happened to you?|speech
56|EDWARD|I'm not finished.|speech
57|PEG|"Uh, put those down. Don't come any closer. Just
please... Those are your hands? Those are your
hands. What happened to you? Where are your
parents? Hum... Your mother? Your father?"|speech
58|EDWARD|He didn't wake up.|speech
59|PEG|"Are you alone? Do you live up here all by
yourself? What happened to your face? Hum, you
know, I won't hurt you. But at the very least
let me give you a good astringent and this will
help to prevent infection. What's your name?"|speech
60|EDWARD|Edward.|speech
61|PEG|"Edward? I think you should just come home with
me."|speech
62||(Peg takes Edward to her home)|stage direction
63|PEG|Oh!|speech
64|EDWARD|I'm-I'm sorry.|speech
65|PEG|"No, Don't be. You go ahead and look you have
every reason to be excited."|speech
66|PEG|Oh! Are you ok?|speech
67|EDWARD|Are you ok?|speech
68||(Ring)|stage direction
69|HELEN|Hello.|speech
70|MARGIE|"Hi, it's Margie. Listen, I was standing outside
talking to Carol and Peg drove by, she had
somebody in the car."|speech
71|HELEN|Did you get a good look?|speech
72|MARGIE|"No, did she say anything to you, about having
guest?"|speech
73|HELEN|"She didn't say anything. She rang my doorbell
early this morning."|speech
74|MARGIE|"No, ok, I'll meet you on the corner. Right,
Bye."|speech
75||(Birds signal)|stage direction
76|HELEN|Oh, damn!|speech
77|PEG|"Here we go, dear. This is our house. And you
can just go right in and make yourself right at
home. OK? And just, well have something to eat
or drink, whatever you... Here, dear. Here
you... This is the front door here, Here we go,
right in here."|speech
78||(A woman talks on the phone)|stage direction
79|A WOMAN|"Joyce, I just saw this strange guy drop in with
Peg. I didn't get a very good look at him. He
looked kind of pale. Okay, I'll be right there.
Don't do anything without me. Okay? Bye."|speech
80|JOYCE|Yes, I'll be right there.|speech
81|PEG|"Here we are. So, oh, this is the living room
and back here, the bedrooms. You want to see
the pictures? All right. Well, this is my
husband, Bill. He's a bowling champion. Do you
know what bowling is? Bowling? Well, here they
are down at the lake, fishing. I think Kevin
looks a little glum Because they didn't catch
anything that day. And here's my daughter, Kim.
All dressed up the junior prom. She's a senior
now. I can't believe it. She's camping in the
mountains with some friends, but she'll be back
in a few days and you can meet her then. Isn't
she beautiful? That's my family. Now, go on,
dear. I'll show you the rest of the house. Then
you can just freshen up and make yourself at
home. Okay? That's the kitchen over there. You
help yourself to anything you want to eat or
drink. Those are grapes. Back here are the
bedrooms. Let me get you some towels, then I
will see what we can find to wear. You know
what? I think I have some of Bill's old clothes
in here. This is perfect. Here. These should
just fit you."|speech
82||(The phone rings.)|stage direction
83|PEG|"Oh, no, no. Don't be alarmed. That's just a
phone. Now you can go in Kim's room and put
these on. I'll be right with you."|speech
