|character|text|type
0||CHAPTER ONE - EARLY HISTORY|stage direction
1||1	INT. KENNEDY AIRPORT, PAN AM TERMINAL - NIGHT|unknown
2||"SUPER:  AUTUMN, 1987
A line of PASSENGERS about to board a Pan Am flight to
London.
JACK CAMPBELL, 22, head full of long unkempt hair, Tom
Selleck mustache,  the hopeful look of youth in his
eyes... sitting next to...
KATE REYNOLDS, 21, pretty, Dorothy Hamill haircut...
rubbing the tears from  her swollen red eyes..."|stage direction
3|KATE|I got you a few necessities...|speech
4||"Kate hands Jack a new copy of Vonnegut’s “Cat’s
Cradle.”"|stage direction
5|KATE  (CONT’D)|Your copy was a mess...|speech
6||"Jack accepts the book but he’s unable to take his eyes
off Kate.  She hands him a cassette."|stage direction
7|KATE (CONT’D)|"Every one of these songs will
remind you of me in a slightly
different way..."|speech
8|JACK|All in one tape?|speech
9|KATE|"I also put side two of London
Calling on there..."|speech
10||"Kate leans over and kisses him passionately on the
lips."|stage direction
11|KATE  (CONT’D)|"That was not officially the
goodbye kiss. It was just an
interim kiss..."|speech
12||"He looks at her, his eyes welling up. He pulls her
close, kissing her deeply. Then..."|stage direction
13|ANNOUNCER (O.S.)|"This will be the final boarding
call for Pan Am flight 4 to
London, Heathrow."|speech
14||"Jack takes Kate’s hand, getting up, turning sadly to
the gate."|stage direction
15|KATE|You have your ticket?|speech
16||"Jack pulls out a BLUE PAN AM TICKET ENVELOPE.  Kate
nods. They embrace and kiss again.  As they separate."|stage direction
17|JACK|"I’m not even gonna say it,
Kate. Maybe it’ll be like
I never left..."|speech
18||"Jack takes one lastlook at her, then heads for the
gate.
Kate stands there, watching him go.  Then...
...a  moment of intuition. Something isn’t right. She
looks at Jack, about to disappear into the jetway,
trying to decide..."|stage direction
19|KATE|Wait.|speech
20||Jack turns. Kate approaches him.|stage direction
21|KATE (CONT’D)|"I have a bad feeling about
this."|speech
22|JACK|"About the plane? What do you
think it’s gonna crash? Don’t
say that..."|speech
23||(shaking her head)|unknown
24|KATE|"I know we’ve talked about this a
thousand times and we both agree
that going to London is the
right thing to do. But in my
heart... this feels wrong."|speech
25||"She looks at the gate...the last few passengers are boarding,
then back into Jack’s eyes."|stage direction
26|KATE (CONT’D)|Don’t  go, Jack...|speech
27|JACK|"You mean don’t go at all?
What about my internship?"|speech
