|character|text|type
0||"FROM HERE TO ETERNITY
Written by
Daniel Taradash
(Second Draft - 8/29/1952)"|unknown
1||FADE IN:|stage direction
2||"EXT. QUADRANGLE - DAY
LONG SHOT"|location
3||"The quadrangle of Army buildings is quiet and deserted. A
broken-down taxi drives in at one corner and slowly makes its
way around the quadrangle. SUPERIMPOSED over shot is the"|stage direction
4||LEGEND:|location
5|unknown|"HAWAII, 1941
SIX MONTHS BEFORE"|speech
6||"The taxi pulls up across the street from camera. A soldier
gets out, pulls two heavily loaded barracks bags after him.
He pays the driver, hoists the bags to his back, moves toward
camera. The taxi drives away slowly. The soldier walks toward
steps leading to a low building. He is PREWITT (called ""PREW""
for short), 22 years old, well-built, good-looking. He wears
an enlisted man's uniform and on the sleeves are marks where
chevrons have been removed. He pauses, looks up over the
door. CAMERA PANS UP to sign which reads: ORDERLY ROOM - G
COMPANY, 219TH REGIMENT."|stage direction
7||MEDIUM SHOT|location
8||"A small thin soldier in an undershirt and fatigue pants backs
out of the screen door and into shot. He is wielding a frayed
broom. This is PRIVATE ANGELO MAGGIO. He is violent and funny
and sour and friendly. He sees Prewitt's legs but not his
face, speaks as he sweeps a cloud of dust off the porch."|stage direction
9|MAGGID|"Fine way to pass the time. Good for
the mind."|speech
10|PREW|Hello, Maggio.|speech
11||Maggio turns and stares at Prew, astonished.|stage direction
12|MAGGIO|Prew...?|speech
13|"PREW
(NODS)"|I transferred out of Fort Shatter.|speech
14||"Maggio notices the marks on the sleeves where the stripes
have been removed. Prew follows his glance."|stage direction
15|MAGGIO|"You quit the Bugle Corps...?
2."|speech
16||Prew nods. Maggio jerks his head toward the sign.|stage direction
17|MAGGIO|To here...?|speech
18|"PREW
(SHRUGS)"|That's what the orders say.|speech
19|MAGGIO|"You made a bad mistake. This outfit
they can give back to Custer."|speech
20||Prew smiles slightly, starts toward door.|stage direction
21|MAGGIO|The Captain ain't in yet.|speech
22||Prew puts down his barracks bags.|stage direction
23|PREY|I'll look around.|speech
24|MAGGIO|"(smiles for first time)
Maybe we borrow some money from a
twenty per cent man and take a real
trip to town some night."|speech
25|PHEW|Maybe.|speech
26||"TRUCKING SHOT ALONG COMPANY STREET
Prew walks slowly down the raised porch alongside the street.
He takes the mouthpiece of a bugle from his pocket, jiggles
it idly, a habit of his. He comes to the Dayroom, glances
through the screen door, goes in."|stage direction
27||"INT. DAYROOM - DAY
MEDIUM SHOT"|location
