|character|text|type
0||Buck Henry|unknown
1||FINAL DRAFT|unknown
2||March 29, 1967						Property of:|location
3||"Lawrence Turman, Inc.
Mike Nichols
5451 Marathon St.
Hollywood, California"|unknown
4||1	EXT. AMPHITHEATRE - DAY|location
5||"SHOT - HELICOPTER'S POV -
Moving through clouds.  The clouds separate and, far below, we can
see a giant outdoor amphitheatre.  There is no SOUND but the WIND.
As we move closer to the amphitheatre, we can hear SNATCHES OF WORDS
and PHRASES as though from a public address system."|stage direction
6||2	EXT. AMPHITHEATRE - PODIUM - DAY - SHOT OF BEN|location
7||"in cap and gown, standing in front of a microphone.  The WIND is
BLOWING.  He has to hold on to the papers from which he is reading."|stage direction
8||3	EXT. AMPHITHEATRE - SHOT OF AUDIENCE - DAY|location
9||Thousands of expressionless STUDENTS are sitting there.|stage direction
10||4	EXT. AMPHITHEATRE - SHOT OF PODIUM - DAY|location
11|BEN|"- and today it is right that we
should ask ourselves the one most
important question: What is the
purpose of these years, the purpose
for all this demanding work,
the purpose for the sacrifices
made those who love us?  Were
there NOT a purpose, then all of
these past years of struggle, of
fierce competition and of uncom-
promising ambition would be mean-
ingless.  But, of course, there
is a purpose and I must tell it
to you.  I ask you to remember
this purpose always and I pledge
that I shall endeavor to carry it
with me forever."|speech
12||5	SHOT - AMPHITHEATRE AUDIENCE - DAY|location
13||staring at him impassively.|stage direction
14||6	INTERCUT BETWEEN SHOTS|location
15||"of impassive students, seated, watching; of Ben standing
alone on the huge amphitheatre stage; of CLOSEUPS of Ben
speaking; of loudspeakers; of wind-blown papers on the
podium."|stage direction
16||7	EXT. PODIUM OF AMPHITHEATRE - DAY|location
17||(continuing)|unknown
18|BEN|"The purpose, my fellow graduates -
the purpose is -"|speech
19||He stops, trying to think of the word.|stage direction
20||8	CLOSEUP - BEN|location
21||He begins to sweat.|stage direction
22||9	SHOT - AMPHITHEATRE AUDIENCE|location
23||watching.|stage direction
24||10	SHOT - PODIUM of AMPHITHEATRE|location
25||"Ben's hands searching through the pages of his speech.
The pages begin to blow away in the wind."|stage direction
26||11	SHOT - AMPHITHEATRE AUDIENCE - DAY|location
27||staring.|stage direction
28||12	SHOT - PODIUM OF AMPHITHEATRE - DAY|location
29|BEN|"- there is a reason, my friends,
and the reason is -"|speech
30||13	CLOSEUP - BEN|location
31||He is in a panic.  He looks up from his papers at the audience.|stage direction
32||14	SHOT - AMPHITHEATRE - DAY|location
33||The audience is gone.|stage direction
34||15	SHOT - PODIUM OF AMPHITHEATRE - DAY|location
35|BEN|- the reason is - the purpose is -|speech
36||"SOUND of the WIND becoming the ROAR of an AIRCRAFT coming at
us through the air."|stage direction
37||16	SHOT - AMPHITHEATRE - DAY|location
38||Huge and empty.  SOUND of AIRCRAFT.|stage direction
39|CAPTAIN'S VOICE|"Ladies and gentlemen, we are about
to begin our descent into Los Angeles -"|speech
40||SOUND of a SONIC BOOM.|stage direction
41||CUT TO:|unknown
42||17	INT. PLANE - CLOSEUP - BEN - NIGHT|location
43||His eyes open suddenly.|stage direction
44|CAPTAIN'S VOICE|"The sound you have just heard is the
landing gear locking into place.  The
Los Angeles weather is clear and the
temperature is a pleasant 72.  We do
not expect any traffic delay and will
make our four hour and eighteen minute
flight plan smack on the nose.  We
enjoyed having you on board and look
forward to seeing you again in the near
future."|speech
45||18	SHOT|location
46||"PULL BACK SLOWLY from a CLOSEUP of a television screen with
snow on it to reveal a long row of television sets along the
ceiling of the aircraft.  There is snow on all of them."|stage direction
47||19	REVERSE ANGLE|location
48||"PULL BACK from the CLOSEUP of Ben to reveal a row of passengers
staring straight ahead, their headsets on.  Ben turns and
looks out the window."|stage direction
49||20	EXT. LOS ANGELES - FROM THE AIR - NIGHT|location
50||"Los Angeles, at night, its lights stretching endlessly in every
direction.
SOUND - MUZAC and the STEWARDESS' LANDING SPEECH.
START OF MAIN TITLES
UNDER titles:"|stage direction
51|STEWARDESS' VOICE|"Ladies and gentlemen please fasten your
seat belts in preparation for the landing
and observe the no smoking sign.  After
we land, you will notice an increase in
the sound level as the thrust of the engines
is reversed to help reduce forward speed."|speech
52||21	INT. AIRPORT - MOVING SIDEWALK - NIGHT|location
53||Ben and the other passengers on the automatic sidewalk.|stage direction
54|MAN'S VOICE|"Your attention, please!  American Airlines
Flight Number 4, 21 Club service, non-stop
to New York is now leaving from Gate
Number 40.  All aboard, please."|speech
55||28	INT. BEN'S ROOM - NIGHT - CLOSEUP - BEN|location
56||"His eyes are open and he is trying to remember something.
There are the SOUNDS of many people TALKING and LAUGHING
in other rooms.  A RADIO nearby PLAYS MUSIC.  After a
while, there is the SOUND of a DOOR OPENING.  The SOUNDS
of the people TALKING are lower.  MRS. TERHUNE'S voice
can be heard among them."|stage direction
57|MRS. TERHUNE'S VOICE|"-- associate editor of the college
newspaper in his junior year -
managing editor in his senior
year -"|speech
58||"The SOUND of the DOOR CLOSING.  Mrs. Terhune's VOICE and
the VOICES of the other guests FADE DOWN.  Mrs. Terhune's
VOICE can be HEARD with varying clarity through the
remainder of the sequence.
After a few moments, there is the SOUND of a LIGHT SWITCH
being SNAPPED and light, as though from an overhead fixture,
falls across BEN's face.  He does not move.
After a few moments, there is the SOUND of the RADIO being
SNAPPED OFF."|stage direction
59|MR. BRADDOCK'S VOICE|What's the matter?|speech
60||Ben's mouth opens a little bit and closes again.|stage direction
61|MR. BRADDOCK'S VOICE|"The guests are all downstairs,
Ben.  They're all waiting to see you."|speech
62|BEN|"Look, Dad - could you explain to
them that I have to be alone for
a while?"|speech
63|MR. BRADDOCK'S VOICE|"These are all our good friends,
Ben.  Most of them have known you
since - well - practically since
you were born."|speech
64||"Ben has not moved.  Now the bed on which he is lying moves
as though someone has sat down upon it next to him."|stage direction
65|MR. BRADDOCK'S VOICE|What is it, Ben?|speech
66||The CAMERA BEGINS TO PULL BACK SLOWLY.|stage direction
67|BEN|I'm just -|speech
68|MR. BRADDOCK|- worried?|speech
69|BEN|Well -|speech
70|MR. BRADDOCK|About what?|speech
71|Ben|I guess - about my future.|speech
72|MR. BRADDOCK|What about it?|speech
73|BEN|I don't know.  I want it to be -|speech
74|MR. BRADDOCK|To be what?|speech
75||(quietly)|unknown
76|BEN|Different.|speech
77||"As Ben says this, the door to the bedroom opens and
MRS. BRADDOCK looks in."|stage direction
78|MRS. BRADDOCK|Is anything wrong?|speech
79|MR. BRADDOCK|"No!  No - we're just on our way
downstairs!"|speech
80||"Mr. Braddock gets off the bed and goes to a chair and
picks up Ben's jacket which is lying across it."|stage direction
81|MRS. BRADDOCK|The Carlsons' are here.|speech
82||(to Mrs. Braddock)|unknown
83|MR. BRADDOCK|They are?|speech
84||(to Ben)|unknown
85|MR. BRADDOCK|Come on.|speech
86||Mr. Braddock puts the jacket on Ben.|stage direction
87|MRS. BRADDOCK|"They came all the way from
Tarzana."|speech
88|MR. BRADDOCK|"It's a wonderful thing to have
so many devoted friends."|speech
89||They move out of the door, Mr. Braddock steering Ben.|stage direction
90||29	INT. HALLS AND STAIRWAY - NIGHT|location
91||"PHIL and MIMI CARLSON are coming up the stairs as the
Braddocks are moving down."|stage direction
92|MR. CARLSON|"Hey - there's our award winning
scholar."|speech
93|MRS. CARLSON|"We're all very proud of you,
Ben."|speech
94|BEN|Thank you, Mrs. Carlson.|speech
95|MR. CARLSON|"Is that the new car out there?
The little red Wop job?"|speech
96|MR. BRADDOCK|That's Ben's graduation present.|speech
97||"(putting his arm
across Ben's shoulder)"|unknown
98|MR. CARLSON|"Won't have much trouble picking
them up in that, will you?"|speech
99|BEN|Sir?|speech
100|MR. CARLSON|"The girls.  The chicks.  The -
the teeny boppers."|speech
101|MRS. CARLSON|"I think Ben has gotten beyond
the teeny bopper stage - haven't
you, Ben?"|speech
102||"Mrs. Carlson gives Ben a broad wink.  Ben tries to smile
and return the wink politely."|stage direction
103|BEN|Yes, ma'am.|speech
104||They reach the hall at the bottom of the stairs.|stage direction
105|BEN|"Excuse me - I think I'd just
like to check something on
the car for a minute -"|speech
106||"Ben moves to the front door and opens it.  MR. LOOMIS
steps into the house and grabs Ben's hand."|stage direction
107|MR. LOOMIS|"Here's the track star himself.
How are you, track star?"|speech
108|BEN|Just fine, Mr. Loomis.|speech
