|text|type
0|GROUNDHOG DAY|location
1|Written by|unknown
2|Danny Rubin|location
3|"FADE IN
HIBERNATING GROUNDHOGS
A family of groundhogs is nestled together in their burrow
sleeping off the end of a long winter.
ROLL CREDITS AND THEME MUSIC"|stage direction
4|EXT. A FOREST CLEARING - EARLY MORNING|location
5|"The crust of an old snowfall still covers the frozen ground,
and the bare, icy branches of the trees glisten dully in the
early morning light."|stage direction
6|INT. TV STUDIO - SAME TIME|location
7|"PHIL CONNORS is standing in front of a blank green wall
gesticulating animatedly at some invisible images on the wall,
talking a mile a minute (MOS) . He looks completely crazy as he
points at nothing and winks to an unseen audience."|stage direction
8|EXT. WESTERN PENNSYLVANIA - SAME TIME|location
9|"CREDITS CONTINUE as we streak across the winter landscape,
flying over fields and farms, small towns and hamlets, railroad
lines and interstates, coalyards and factories, until we cross
the Allegheny River and follow it to the southwest."|stage direction
10|INT. TV STUDIO - SAME TIME|location
11|"Phil continues pointing out features on the blank wall , but
from a new angle we can see that he ' s looking at a monitor out
of the corner of his eye which shows the chromakey insert he's
pointing to -- a national weather map."|stage direction
12|EXT. NEAR PITTSBURGH - SAME TIME|location
13|"The country towns turn to suburbs, traffic on the roads gets
heavier and finally we see the skyline of Pittsburgh and the
confluence of the Allegheny with the Monongahela and the Ohio."|stage direction
14|We zoom into a tall building in the downtown area and|stage direction
15|INT. PHIL CONNORS' OFFICE - MORNING|location
16|"We don't see anyone at first but the office itself speaks
volumes about it's inhabitant-- team pictures of the Steelers
from the Franco Harris-Terry Bradshaw glory years, a framed
memorial portrait of Roberto Clemente, a local Emmy award
statue, an erasable weather map and mountains of personal junk
on the desk, ^windowsill, and every other available surface.
As the CREDITS END, we notice a sleeping figure on the small
sofa, buried deep under a pile of coats and a stolen airline
blanket.
GIL HAWLEY, Executive Producer of the Action News, sticks his
head in the door."|stage direction
17|"The sleeping figure rouses himself and looks out at Hawley.
It's Phil, the .Channel 9 Action News weatherman."|stage direction
18|"Phil sits up and.thinks hard. He's in his mid-thirties, smart,
rugged-looking, perhaps a little too full of himself, but
clearly a guy with a lot of personality."|stage direction
19|He jumps up and exits the office with Hawley right behind him.|stage direction
20|INT. CORRIDOR - CONTINUOUS|location
21|"Hawley pursues Phil through the office suite of the Channel 9
Action News, from the look of it a typical, big city, local
news operation. A logo on the wall identifies the station as
WPGH - Pittsburgh.
Phil ducks into the studio."|stage direction
22|INT. STUDIO - CONTINUOUS|location
23|"Hawley follows him in and catches up with him at the weather
corner of the Action News set. Phil starts putting weather
stats up on a chart."|stage direction
