|character|text|type
0||"""HIS GIRL FRIDAY""
screenplay by"|unknown
1||Based on the play|unknown
2||"by
Ben Hecht and Charles MacArthur
1939
SHOOTING DRAFT"|unknown
3||"FADE IN: INT. ANTEROOM CLOSE SHOT SWITCHBOARD
Two telephone operators sit at switchboard busy plugging in
and out answering calls."|stage direction
4|1ST OPERATOR|"This is the Morning Post... The City
Room? Just a moment, I'll connect
you."|speech
5||(plugs in call)|location
6|2ND OPERATOR|"Morning Post... Sports Department?
Just a moment --"|speech
7||(plugs in call)|location
8||"CAMERA PULLS BACK to disclose the rest of the anteroom. To
Camera left are the elevators -- at back wall directly behind
switchboard are chairs and a table for visitors. Next to
switchboard are stairs leading downward to the next floor. A
waist-high iron grill with a gate in it separates the
switchboard from the anteroom, a similar grill separating it
again from the city room which stretches on beyond
switchboard. At a table in the switchboard enclosure sits an
office boy, about fifteen, doing a crossword puzzle. The big
clock on the back wall shows that it is nearly one o'clock.
CLOSE SHOT OFFICE BOY
as he bends over paper. We catch a glimpse of the squares of
a crossword puzzle.
MED. SHOT
as a reporter comes out of the City Room, clanging gate to
behind him. The office boy looks up."|stage direction
9|OFFICE BOY|What's a seven-letter word for --?|speech
10|REPORTER|"Don't ask me! If I knew any seven-
letter words, I'd be something better
than a reporter!"|speech
11||He catches a glimpse of the far elevator going down.|stage direction
12|REPORTER|Hey! Down! Down!|speech
13||"MED. SHOT ELEVATORS
as reporter runs in to the closed elevator door and pounds
on it. It comes back, the door opens, and he gets in. The
door closes, as elevator goes down. The near elevator comes
up and discharges Hildy Johnson and Bruce Baldwin. Bruce
carries an umbrella and wears a raincoat.
MED. CLOSE SHOT TABLE
office boy looking over his puzzle as Hildy and Bruce come
into the scene."|stage direction
14||(with a smile)|location
15|HILDY|Hello, Skinny. Remember me?|speech
16||"(looks up; then a
glowing smile)"|location
17|OFFICE BOY|Hildy Johnson!|speech
18||"CLOSE SHOT SWITCHBOARD
Hildy approaches the switchboard."|stage direction
19||(to operator)|location
20|HILDY|Hello, Maisie.|speech
21||The first operator looks up.|stage direction
22|MAISIE|Hello -- Hildy! You coming back?|speech
23|HILDY|"No, just visiting. Tell me, is the
lord of the universe in today?"|speech
24|MAISIE|"He is -- and in a very bad humor. I
think somebody stole one of his crown
jewels. Shall I announce you?"|speech
25|HILDY|"No, never mind -- I'll blow my own
trumpet."|speech
26||"THREE SHOT BRUCE, HILDY AND OPERATOR
Hildy turns to Bruce."|stage direction
27|HILDY|"I won't be more than ten minutes, I
promise you."|speech
28|BRUCE|"Even ten minutes is a long time to
be away from you."|speech
29||"We hear a giggle off scene.
CLOSE SHOT OFFICE BOY
He looks towards Bruce and Hildy and giggles.
TWO SHOT BRUCE AND HILDY"|stage direction
30|HILDY|What did you say, Bruce?|speech
31||"Bruce, embarrassed, looks at the office boy, then looks back
at Hildy as they turn toward second gate leading into City
Room."|stage direction
32|BRUCE|"I said -- uh -- I said even ten
minutes -- is a long time -- to be
away from you."|speech
33|HILDY|"Don't be embarrassed, Bruce. I heard
it, but I just wanted to hear it
again. I can stand being spoiled a
little. The gentleman I'm going to
have a chat with did very little
spoiling."|speech
34||(grimly)|location
35|BRUCE|"I'd like to spoil him just once.
Sure you don't want me to go in with
you?"|speech
36|HILDY|"My job, Bruce. I started it -- and
I'll finish it."|speech
37|BRUCE|"I suppose you're right -- but if it
gets rough, remember I'm here."|speech
38|HILDY|I'll come a-running, pardner.|speech
39||"She starts to push open the iron-grilled gate leading into
the City Room. Bruce quickly springs forward and opens it
for her. Hildy smiles."|stage direction
40|HILDY|Thanks, Bruce.|speech
