|character|text|type
0||"The Horse Whisperer
Screenplay by
Eric Roth
Revised by
Richard LaGravenese
Screenplay by
Erich Roth
Based on the Novel by Nicholas Evans
Revised by
Richard LaGravenese
Second Draft
1/21/97
FADE IN:
A DREAM:"|stage direction
1||INT. STABLES; PILGRIM'S STALL - MORNING|location
2||"Sunlit illuminates the darkened stable, highlighting the
contours of a magnificent HORSE (PILGRIM) in surreal, dream-
like imagery: his legs, his muscles, his sheen, his mane...
his eyes. He shakes his head and stamps his feet. He seems
confined. Eager to run."|stage direction
3||INT. STABLES - MORNING|location
4||"Pilgrim bursts through the stall and runs out the stables
into a blinding white morning."|stage direction
5||EXT. AN OPEN FIELD LEADING TO WOODS - BRIGHT MORNING|location
6||"Whiteness. Snow and sky without any discernible line between.
Camera is POV, as if on the horse, riding through the
whiteness. Snow kicks up from the side. We hear the breathing
of the horse. As we travel on hills, through trees, we
experience of sense of wild, exhilarating freedom.
We hear the giggles of a GIRL (GRACE) on the horse. An
occasional line;"|stage direction
7|GRACE (O.S.)|"Yeah, fly boy... that's it... go...
go... go..."|speech
8||END OF DREAM as we CUT TO:|stage direction
9||INT. GRACE'S BEDROOM - MORNING|location
10||"Grace awakens, calmly. Takes a breath. Slides out of bed and
stands before a window, overlooking a beautiful Connecticut
country house. We see a snow-covered field and distant woods.
Grace presses her faces against the cold, frosted window
eager to get out."|stage direction
11||INT. MACLEAN NEW YORK APARTMENT - MORNING|location
12||"Alarm rings, ANNIE MACLEAN awakens. She shuts the alarm and
scoots up in bed. She waits. Seconds later the television
across the foot of her bed turns on from a timer -- to a CNN
24 NEWS channel."|stage direction
13||INT. HALLWAY/ANNIE & ROBERT'S BEDROOM - MORNING|location
14||"Grace, fully dressed except for her boots, tiptoes past a
partially opened bedroom door. Her father ROBERT is asleep,
alone, on his huge king size bed."|stage direction
15||INT. MACLEAN FARMHOUSE KITCHEN - MORNING|location
16||"Grace is putting on her boots on a bench beside a back door.
She is wearing her mother's outfit. As she slides the boot
on, we see behind her a row of framed photos -- Robert, Grace
and Annie in happy times.
She slaps a note on the refrigerator, with a magnet -- ""Gone
riding. Back around 10. Love, G."""|stage direction
17||EXT. MACLEAN FARMHOUSE, BACK ENTRANCE - MORNING|location
18||"Grace slips on her jacket and hat as she comes down the
steps, her feet hitting the walk..."|stage direction
19||EXT. CENTRAL PARK - MORNING|location
20||"Annie's feet hit the ground, running -- her breath showing in
the cold air. She passes other joggers with ease. She crosses
the street and heads for an elegant CPW building."|stage direction
21||INT. MACLEAN'S NEW YORK APARTMENT - MORNING|location
22||"Dressed in running clothes, Annie opens the door and picks up
several newspapers that were delivered. She carries them into
the kitchen and sets them beside a huge stack of publications,
magazines, papers, etc... Knowing she must read all of them at
some point, she breathes a disgusted sign. She thumbs through
the POST as she pours herself a cup of coffee. Something
catches her eyes and she snarls:"|stage direction
23|ANNIE|That little shit!|speech
24||"She dials a portable phone and moves through the apartment as
she talks:"|stage direction
25|ANNIE|"Hi Lucy?... Did I wake you?... Have
you read the Post?... They've got a
little item about me and Fiske. He's
saying I fired him and that I faked
the new circulation figures.. Ha, ha...
Oh, please... It's the last act of a
desperate gnome... Set up a phone call
with Don Farlow for 9:30..."|speech
26||"Throughout the phone call, Annie is selecting clothes,
turning on the shower, undressing..."|stage direction
27||EXT. DYER HORSE FARM - MORNING|location
28||"The snow has stopped falling. Grace walks along a hill, hands
in pocket. Spread out on the landscape are horses, on a horse
farm, standing like statues in the white covered fields.
As Grace comes along the hill, we see another GIRL (JUDITH)
coming from the opposite direction. She doesn't have Grace's
lean elegance but her warm, friendly smile brightens her
face. Upon reaching her, Grace returns the smile with a hug."|stage direction
29|JUDITH|It's warmer than I thought.|speech
30|GRACE|You want to go to a movie tonight?|speech
31|JUDITH|I thought your mom's coming up?|speech
32||(prickly)|location
33|GRACE|So?|speech
34||"Judith immediately senses a problem so she continues casually,
as they begin walking away from Camera..."|stage direction
35|JUDITH|"My parents are having friends from
college over. They're really nice...
They have this gorgeous son who wants
to be a forest ranger."|speech
36|GRACE|Can I come? I'll start a fire...|speech
37||"Judith laughs as they continue talking, their voices trailing
off, as the girls head for the stables."|stage direction
38||INT. STABLES, THE DYER HORSE FARM - MORNING|location
39||"There are several horses in their stalls. Grace and Judith
enter, talking, carrying their English saddles. Judith stops
at a stall, disappearing into it as she says ""Hello?""...,
Grace continues to the end stall.
Pilgrim (the horse from the dream) stands looking at her."|stage direction
40|GRACE|Hello, beautiful boy.|speech
41||"He's a massive figure beside her but she shows no inhibition.
She enters, touching his muzzle. He plays with her by nudging
her back."|stage direction
42|GRACE|Stop... Will you stop!|speech
43||EXT. DYER HORSE FARM - MORNING|location
44||"They lead their horses, now saddled and ready, from the barn.
Pilgrim tosses his head, prancing, playing with the snow."|stage direction
45|GRACE|Show-off.|speech
46||The girls mount the horses and ride off together.|stage direction
47||INT. ANNIE'S MAGAZINE OFFICE - MID-MORNING|location
48||"Annie, casually dressed, enters the empty offices of her
magazine. She turns on the light, revealing a large row of
stalls and glassed in private offices. Everywhere we look, we
see indications of the kind of magazine she edits.
She strolls to her office -- the largest -- surrounded by
windows. The office walls are covered with photos, most of
which are COVER STORIES ON ANNIE.
(One photo is of Annie's father MARTIN. A BRITISH AMBASSADOR
with his young daughter on his lap, her arms affectionately
around his neck. Her mother stands right behind them, posing
like a member of the royal family.)
Annie sits and takes a breath. The only photo on her desk is
a family portrait, taken when Annie was given the Crystal
Award -- Robert, Grace, herself and the Award. She checks her
watch -- it is almost 9:30."|stage direction
49||INT. MACLEAN FARMHOUSE, MASTER BEDROOM/CLOSET - MID-MORNING|location
50||"A WALK-IN CLOSET of the master bedroom; one side is Annie's,
one side is Robert's.
Robert stands before his bureau in the closet -- he has just
showered and is putting on his watch and ring which lay
beside his cologne assortment. A FRAMED PHOTO OF HE AND ANNIE
in India -- younger, vibrant, in love... when they first met.
THE PHONE RINGS. Robert enters into the bedroom to pick up."|stage direction
51|ROBERT|Hello?|speech
52||INSERT ANNIE: They speak in dulled, emotionless voices:|stage direction
53|ANNIE|It's me.|speech
54|ROBERT|Hi.|speech
55|ANNIE|Hi.|speech
56||Awkward pause.|stage direction
57|ROBERT|So, what, uh, what train are you taking?|speech
58|ANNIE|I should be in by two.|speech
59|ROBERT|Okay. You want me to pick you up?|speech
60|ANNIE|Sure... What's Grace up to?|speech
61|ROBERT|Riding with Judith.|speech
62||Beat.|stage direction
63|ANNIE|"I'm sorry about last night. I shouldn't
have brought it up over the phone."|speech
64|ROBERT|"That's okay. We have to talk about it
and we're not always in the same place
... so... I just have to get used to it."|speech
65||(beat)|location
66|ROBERT|What do you want to do about dinner?|speech
67|ANNIE|I don't know. We'll figure it out.|speech
68||"Pause. There is a lot unspoken but understood between them.
Annie's other phone line rings. Robert hears it as well."|stage direction
69|ROBERT|Okay. We'll see you later then.|speech
70|ANNIE|Yeah. Bye.|speech
71||"Annie picks up the other line and her manner brightens, her
energy boosts..."|stage direction
72|ANNIE|"DON! My love, how are you? Did you hear
about Fiske?... No, suing is too
civilized. Can't we get your friend at Le
Cirque to serve him a fatal piece of
poached salmon?... Ha, ha... That's even
better..."|speech
73||EXT. CONNECTICUT COUNTRYSIDE - MORNING|location
74||"Long Shot of the girls riding at an easy pacing, talking all
the time. Grace is an elegant rider, quite self-assured for a
13-year-old... We come into the scene at the moment the
girls have just shared a secret or a fantasy. Judith is
giggling uncontrollably. Grace laughs as she says:"|stage direction
75|GRACE|...Oh, come on! You think the same thing!|speech
76|JUDITH|I just could never say it!|speech
77||They stop at the end of the field, facing the woods.|stage direction
78|GRACE|"Do you want to go around by the
old road?"|speech
79|JUDITH|"Why don't we just cut through the
woods?"|speech
80||Grace nods. They ride into the woods, continuing their talk.|stage direction
81||EXT. WOODS - MORNING|location
82||"The girls ride down, along a stand of hickories and poplars
to a RIVER. They stop the horses and their conversation, to
listen to the sound of the water. Below them, off in the
distance, they can just make out a two-lane country road."|stage direction
83|GRACE|"You want to go down or stay along
the river?"|speech
84|JUDITH|"We already did the river. Let's go down
and across the old bridge. We can circle
back."|speech
85||They begin to make their way.|stage direction
86||INT. ANNIE'S OFFICE - MORNING|location
87||"Annie's office is now crowded with a dozen or so employees;
sitting on the couch, on the window sills, on the arms of
chairs, against the walls... Paper bag emptied of bagels,
cream cheese, orange juice, paper plates...
Hand Held Camera captures the energy of the room as it
follows overlapping lines, laughter, etc... yet, no matter how
casual it all seems, Annie is very much at the center of
control... We enter the scene of LAUGHTER, as Annie asks
KEVIN, a feature writer:"|stage direction
88|ANNIE|... So what did you say to her?|speech
89|KEVIN|I said, thank you very much...|speech
90||(LAUGHTER, AD LIBS)|location
91|KEVIN|"I really should do the interview... But
perhaps if you'd like to have dinner..."|speech
92||LAUGHTER... Everyone starts Ad Libbing...|stage direction
93|VARIOUS CHARACTERS|"Dinner!!... He's so cute.... Why don't I
get those kind of interviews?... Look,
he has husband number eight written on
his forehead..."|speech
94|ANNIE|"All right, all right, all right... Kevin,
good job. Write the interview. If I don't
like it, you may have to sleep with her
for a follow-up!"|speech
95||(laughter)|location
96|ANNIE|"Now... I'm thinking about another fashion
designer spread... Who's news out there?"|speech
