|character|text|type
0||"""THE HUDSUCKER PROXY""
Written by
Ethan Coen, Joel Coen, and Sam Raimi
September 1992 Draft"|unknown
1||"BLACK
No image. A bleak WIND MOANS. HOLD.
With a STINGING CHORD we --"|stage direction
2||CUT TO:|unknown
3||"CITY SKYLINE - NIGHT (CIRCA 1958)
Lights twinkle. Snow falls. The WIND MOANS.
After a beat, the voice of an elderly black man:"|stage direction
4|NARRATOR (V.O.)|The's right... New York.|speech
5||"We are TRACKING HIGH THROUGH the night sky. From the streets
far below we hear the sounds of TRAFFIC muffled by the falling
snow, and the DISTANT sound of many VOICES SINGING.
We are DRIFTING AMONG the buildings; the tops of skyscrapers
slip by left and right."|stage direction
6|NARRATOR (V.O.)|"It's 1958 -- anyway, for a few mo'
minutes it is. Come midnight it's
gonna be 1959. A whole 'nother
feelin'. The New Year. The future..."|speech
7||"The SINGING, a little MORE AUDIBLE, but still not close, is
""Auld Lang Syne."""|stage direction
8|NARRATOR (V.O.)|"...Yeah ole daddy Earth fixin' to
start one mo' trip 'round the sun,
an' evvybody hopin' this ride 'round
be a little mo' giddy, a little mo'
gay..."|speech
9||"We are MOVING IN TOWARDS a particular skyscraper. At its top
is a large illuminated clock."|stage direction
10|NARRATOR (V.O.)|Yep...|speech
11||We hear a SERIES OF POPPING sounds.|stage direction
12|NARRATOR (V.O.)|"...All over town champagne corks is
a-poppin'."|speech
13||A big band WALTZ MIXES UP on the track.|stage direction
14|NARRATOR (V.O.)|"...Over in the Waldorf the big shots
is dancin' to the strains of Guy
Lombardo... Down in Times Square the
little folks is a-watchin' and a-
waitin' fo' that big ball to drop..."|speech
15||"The LOMBARDO MUSIC gives way to the CHANTING of a distant
CROWD: ""Sixty! Fifty-nine! Fifty-eight!"""|stage direction
16|NARRATOR (V.O.)|"...They all tryin' to catch holt a
one moment of time..."|speech
17||"The CHANTING has MIXED back DOWN AGAIN TO leave only the
WIND. Still TRACKING IN TOWARD the top of the skyscraper, we
begin to hear the TICK of its enormous CLOCK. The clock reads
a minute to twelve. Above it, in neon, a company's name:
""HUDSUCKER INDUSTRIES."" Below it, in neon, the company's
motto: ""THE FUTURE IS NOW."""|stage direction
18|NARRATOR (V.O.)|"...to be able to say -- 'Right now!
This is it! I got it!' 'Course by
then it'll be past."|speech
19||(more cheerfully)|location
20|NARRATOR (V.O.)|"But they all happy, evvybody havin'
a good time."|speech
21||"We are MOVING IN ON a darkened penthouse window next to the
clock. The window starts to open."|stage direction
22|NARRATOR (V.O.)|"...Well, almost evvybody. They's a
few lost souls floatin' 'round out
there..."|speech
23||"A young man is crawling out of the window onto the ledge.
With the opening of the window, ""AULD LANG SYNE"" filters out
with greater volume."|stage direction
24|NARRATOR (V.O.)|...This one's Norville Barnes.|speech
25||"The man gingerly straightens up on the ledge. He is perhaps
in his late twenties. He wears a leather apron. Printed on
the apron: ""HUDSUCKER MAIL ROOM/The Future is Now.""
He looks with nervous determination into the void."|stage direction
26|NARRATOR (V.O.)|...Let's move in for a closer look.|speech
27||The CAMERA obliges. We TRACK IN SLOWLY, ENDING VERY CLOSE.|stage direction
28|NARRATOR (V.O.)|"...That office he jes stepped out of
is the office of the president of
Hudsucker Industries. It's his
office..."|speech
29||"Norville sways in anguish as the TICKING of the CLOCK grows
louder and the WIND blows in his face."|stage direction
30|NARRATOR (V.O.)|"...How'd he get so high? An' why is
he feelin' so low? Is he really gonna
do it -- is Norville really gonna
jelly up the sidewalk?"|speech
31||"Norville is tensing his body, peering out over the ledge,
preparing to make a swan dive into oblivion -- but the
CAMERA'S continued MOVEMENT is LOSING him FROM FRAME.
We are MOVING IN ON the enormous CLOCK, whose MECHANICAL
THRUM becomes very loud indeed."|stage direction
32|NARRATOR (V.O.)|"...Well the future, that's something
you can't never tell about..."|speech
33||"The second hand of the clock is nearing the twelve -- bare
seconds to midnight. Distant CHANTING from Times Square MIXES
UP: ""Nine! Eight! Seven!"""|stage direction
34|NARRATOR (V.O.)|"...But the past... That's another
story..."|speech
35||"OVER BLACK
The HUM of the CLOCK SINKS UNDER the HISS of an AIRBRAKE and
GRINDING GEARS as we..."|stage direction
36||CUT TO:|unknown
37||"DESTINATION DISPLAY
On the front of a bus just rocking to a halt. The display
says ""MUNCIE-NEW YORK.""
LINE OF BAGS
is being set out on the pavement. A man with the cuffs of a
redcap uniform swings one into the f.g.:
It has a sticker on it: CLASS OF '58, and below an
illustration of crossed right and left hands, their thumbs
hooked and fingers spread like wings: MUNCIE COLLEGE OF
BUSINESS ADMINISTRATION.
After a beat the hand of its claimant ENTERS to pick it up."|stage direction
38||DISSOLVE TO:|unknown
39||"STREET
FOLLOWING the bag as its owner carries it down the street.
He pauses, sets it down.
YOUNG MAN
Fresh-faced, eager -- NORVILLE BARNES. He is gazing off at:
WESSELS EMPLOYMENT AGENCY
The sign is over a ground floor office; an exterior clock
shows 9:00. A curtain is just being pulled open in its picture
window to reveal a great job board. It is like the departures
board in a great train station, with each of its individual
entries flipping over occasionally to reveal a new
opportunity. On offer are jobs like: PASTRY CHEF, STEAMFITTER,
LAY-OUT MAN, GRAVEDIGGER, etc.
REVERSE
On the small crowd gathered to, like Norville, watch the
board -- men in search of jobs, of various classes and
vocations, but alike in their intent gaze, their hands dug
into their pockets, their hats pushed back on their heads,
bobbing occasionally to get a better view of the chattering
board. Men occasionally head for the office as they see a
prospect they like.
Norville stands pat, watching.
HIS POV
An entry flips over to reveal EXECUTIVE VICE PRESIDENT.
NORVILLE
He brightens.
BOARD
We PAN ALONG the executive entry to EXPERIENCE REQUIRED.
NORVILLE
He frowns.
Around him, the crowd is thinning out as men trot in to apply
for their respective jobs.
We see other entries: JUNIOR EXECUTIVE. PAN TO EXPERIENCE
ONLY. EXECUTIVE MANAGER... MUST HAVE EXPERIENCE.
BUSINESSMAN... EXPERIENCED.
The CROSS-CUTTING ENDS in a wash of SUPER-IMPOSITIONS PANNING
OVER Norviille, now alone on the sidewalk:
EXPERIENCED ONLY... EXPERIENCED... EXPERIENCED...
EXPERIENCED..."|stage direction
40||CUT TO:|unknown
41||"CLOSE SHOT - EXECUTIVE
A middle-aged, mousy-looking man in a conservative suit and
wire-rimmed spectacles is addressing his remarks to someone
O.S. Behind the Executive we see only the skyline of New
York City."|stage direction
42|EXECUTIVE|"-- So in the third quarter we saw no
signs of weakening. We're up 18
percent over last year's third quarter
gross and, needless to say, that's a
new record..."|speech
43||"TRACKING
DOWN the LENGTH OF the board room table. Executives line
either side. We are APPROACHING the man at the far end of
the table, to whom the report is being directed.
He is late middle-aged, dressed expensively but
conservatively, his attention smilingly fixed on the Executive
who drones on."|stage direction
44|EXECUTIVE|"...The competition continues to flag
and we continue to take up the slack.
Market share in most divisions is
increasing and we've opened seven
new regional offices..."|speech
45||"The TRACK has ENDED IN a CLOSEUP of the man at the end of
the table, who still smiles benignantly at the droning
Executive. The smile is serene, almost otherwordly.
This is WARING HUDSUCKER.
REPORTING EXECUTIVE
He drones on."|stage direction
46|EXECUTIVE|"...Our international division has
also shown vigorous upward movement
in the past six months and we're
looking at some exciting things in
R&D..."|speech
47||"The CAMERA SLOWLY PANS OFF the droning Executive as the big
man's attention apparently wanders; we FRAME UP ON the picture
window skyline of New York."|stage direction
48|EXECUTIVE (V.O.)|"Sub-franchising. Don't talk to me
about sub-franchising; we're making
so much money in sub-franchising it
isn't even funny."|speech
49||"FOLDED-BACK WANT ADS
A hand with pencil goes down a list of positions, ticking
each one: STREETSWEEPER -- EXPERIENCED; LINOTYPE MAN --
EXPERIENCED; CANTOR (REFORM) -- EXPERIENCED; SPARRING PARTNER --
EXPERIENCED.
WIDER
Norville, sitting at a coffeeshop counter, sets the pencil
down. His chin is sunk disconsolately into his palm.
His hat is pushed back dejectedly on his head. He idly stirs
his coffee with his spoon.
He takes one last gulp of the coffee, then sets the cup down
on the want ads, stands, and digs into his pocket for change,
turning it inside-out.
CLOSE ON COUNTER
As Norville puts all his change on the counter. His hand
hesitates; he takes a little of it back. He LEAVES FRAME.
A waitress's hand ENTERS from the far side of the counter.
She clears away the saucer, then the cup -- which has been
resting on the want ads. It leaves a perfect brown circle
around one entry:"|stage direction
50||"THE FUTURE IS NOW.
Start building yours at Hudsucker Industries.
Low pay. Long Hours.
NO EXPERIENCE NECESSARY.
Apply Personnel, 285 Madison Avenue."|unknown
51||"As we hear the COFFEESHOP DOOR OPENING O.S., a draft wafts
the sheet of newspaper off the counter and OUT OF FRAME.
NEW YORK CITY SKYLINE
Again LOOKING THROUGH the WINDOW as, O.S., the reporting
Executive drones on."|stage direction
52|EXECUTIVE (O.S.)|"...Our owned-and-operateds are
performing far above expectations
both here and abroad, and the Federal
Tax Act of 1958 is giving us a swell
writeoff on our plant and heavies..."|speech
53||"WARING HUDSUCKER
looks dreamily out the window. His attention returns to the
droning Executive and the benignant smile returns to his
lips."|stage direction
54|EXECUTIVE|"...The news in the money market isn't
good -- it's excellent..."|speech
55||CUT TO:|unknown
56||"NORVILLE'S BACK
He walks dejectedly down the street, hands shoved into his
pockets.
A sheet of newspaper eddies INTO FRAME. The wind tosses it
this way and that.
Slap! -- It plasters against another pedestrian, who bats it
away.
The newspaper eddies around some more, then plasters against
Norville.
He peels it off and is about to toss it away but stops,
noticing something.
NEWSPAPER SCRAP
It is a section of the want ads. One entry is perfectly
circled by a coffee stain.
BACK TO NORVILLE
He looks up from the paper. There is purpose in his gaze.
Wind whips his hair."|stage direction
57||CUT TO:|unknown
58||"CLOSE SHOT - WARING HUDSUCKER
As the Executive drones on, O.S., Hudsucker is carefully
winding his wristwatch."|stage direction
59|EXECUTIVE (O.S.)|"...Our nominees and assigns continue
to multiply and expand extending our
influence regionally, nationally and
globally. So, third quarter and year-
to-date, we've set a new record for
sales..."|speech
60||"Hudsucker looks up from his watch, smiles, runs his palms
back over his fringe of hair."|stage direction
61|EXECUTIVE (O.S.)|...new record in gross...|speech
62||"Hudsucker pulls his sleeve cuffs to expose just the right
amount under the suit."|stage direction
63|EXECUTIVE (O.S.)|...new record in pre-tax earnings...|speech
64||"Hudsucker takes one puff from his cigar and carefully sets
it in his ashtray."|stage direction
65|EXECUTIVE (O.S.)|...new record in after-tax profit...|speech
66||"He deliberately unstraps his wristwatch and looks at its
face.
The sweep second hand is starting the last revolution that
will end at precisely noon."|stage direction
