|character|text|type
0||"""IT'S A WONDERFUL LIFE""
By"|unknown
1||"Albert Hackett
Frank Capra
Jo Swerling"|unknown
2||"FADE IN:
NIGHT SEQUENCE
Series of shots of various streets and buildings in the town
of Bedford Falls, somewhere in New York State. The streets
are deserted, and snow is falling. It is Christmas Eve. Over
the above scenes we hear voices praying:"|stage direction
3|GOWER'S VOICE|"I owe everything to George Bailey.
Help him, dear Father."|speech
4|MARTINI'S VOICE|"Joseph, Jesus and Mary. Help my friend
Mr. Bailey."|speech
5|MRS. BAILEY'S VOICE|Help my son George tonight.|speech
6|BERT'S VOICE|"He never thinks about himself, God;
that's why he's in trouble."|speech
7|ERNIE'S VOICE|"George is a good guy. Give him a
break, God."|speech
8|MARY'S VOICE|"I love him, dear Lord. Watch over
him tonight."|speech
9|JANIE'S VOICE|"Please, God. Something's the matter
with Daddy."|speech
10|ZUZU'S VOICE|Please bring Daddy back.|speech
11||"CAMERA PULLS UP from the Bailey home and travels up through
the sky until it is above the falling snow and moving slowly
toward a firmament full of stars. As the camera stops we
hear the following heavenly voices talking, and as each voice
is heard, one of the stars twinkles brightly:"|stage direction
12|FRANKLIN'S VOICE|Hello, Joseph, trouble?|speech
13|JOSEPH'S VOICE|"Looks like we'll have to send someone
down – a lot of people are asking
for help for a man named George
Bailey."|speech
14|FRANKLIN'S VOICE|"George Bailey. Yes, tonight's his
crucial night. You're right, we'll
have to send someone down immediately.
Whose turn is it?"|speech
15|JOSEPH'S VOICE|"That's why I came to see you, sir.
It's that clock-maker's turn again."|speech
16|FRANKLIN'S VOICE|"Oh – Clarence. Hasn't got his wings
yet, has he? We've passed him up
right along."|speech
17|JOSEPH'S VOICE|"Because, you know, sir, he's got the
I.Q. of a rabbit."|speech
18|FRANKLIN'S VOICE|"Yes, but he's got the faith of a
child – simple. Joseph, send for
Clarence."|speech
19||"A small star flies in from left of screen and stops. It
twinkles as Clarence speaks:"|stage direction
20|CLARENCE'S VOICE|You sent for me, sir?|speech
