|character|text|type
0||"JANE EYRE
Written by"|location
1||"Moira Buffini
Adapted from the novel by
Charlotte Bronte
2ND DRAFT
6TH MARCH 2008"|unknown
2||EXT. A MIDSUMMER DAWN. THORNFIELD - THE GROUNDS.|location
3||"First light. Jane Eyre is running across a meadow, flushed
and breathless; the hem of her plain, black dress soaked
with dew. She carries a shawl and has a small bag of
belongings over her shoulder.
She trips, falls to her knees; looks back. Expressive eyes,
open features. She is desperate. We see the house she is
running from; a Jacobean battlemented mansion.
Her need to escape is so great that she crawls forward
until she is able to raise herself to her feet. She runs.
She reaches an antique stile by a brook. She lifts herself
on to it. She lands on the road. And runs.
I/E. DAY. A ROADSIDE/COACH.
The sun is higher in the sky. Jane exhausted, now running
down a main road. Her spirts lift at the sight of an
approaching coach. She flags it down.
Jane empties her purse into the driver's hand. He looks at
her money then suspiciously back at her. A terse nod
indicates she can get in."|stage direction
4||"Jane sinks into a dark corner. Her fellow passengers look
shocked by her dishevelled appearance at such an early
hour. She undertakes a tremendous effort not to betray her
emotional state. She doesn't sob, she doesn't howl -
although her breathing threatens to. Slowly, unable to bear
the day, she closes her eyes."|stage direction
5||EXT. EVENING. WHITCROSS.|location
6||"Sunset. A whitewashed, stone pillar set up where four roads
meet on a barren moor. The coach driver opens the door.
With a curt nod he indicates that Jane must get out.
She looks around, dismayed. In each direction there is open
moorland for as far as the eye can see. The driver sets off
at a good pace - glad to be rid of such a passenger. Jane
puts her hand to her side for her bag of belongings. It is
not there.
She runs as fast as she can after the coach. It is receding
towards the horizon. She comes to a halt, objectless, lost,
alone. She pulls her knitted shawl around her.
She leaves the road and sets off across the moor, into the
gathering dark."|stage direction
7|CUT TO:|Jane Eyre adapted by Moira Buffini March 2008 2.|speech
8||EXT. NIGHT. THE MOOR.|location
9||"Jane is on her knees by a strange overhanging rock. The
night sky is awesome; the universe is all around her. She
is trying to calm herself with a prayer."|stage direction
10||EXT. DAY. THE MOOR.|location
11||"Jane lies on a great rock, soaking up the heat of the sun.
She is like someone numb with pain. She watches a lizard
crawl over the rock. She is mesmerised."|stage direction
12||EXT. TWILIGHT. THE MOOR.|location
13||"Jane squats in the heather and eats bilberries as the light
fades. She hungrily licks the juice from her hand."|stage direction
14||EXT. DAWN. THE MOOR.|location
15||"Jane is asleep in the heather, her shawl wrapped around
her. A red-haired child in a white nightgown lies by her
side, watching her. It is Helen Burns.
Helen reaches out. She touches Jane's hand. Jane wakes. She
sits up. She is alone."|stage direction
16||EXT. DAY. BY A RIVER.|location
17||"Jane is crouched on a rock watching the waters go by. The
sky is overcast. The first big drops of rain land on the
stones. Jane makes no movement.
A raven lands on a rock nearby. Jane is suddenly filled
with a wild rage. She picks up a stone and hurls it at the
bird with a raw cry. The gesture exhausts her. She watches
the bird wheel away, as the rain starts to pour."|stage direction
18||EXT. TWILIGHT. A FARM BY A WOOD.|location
19||"It is raining hard. Jane sees a small girl come out of the
farm with some leftovers. She drops them into a pigpen."|stage direction
20||"Jane leaning into the pigpen. She picks a stiffened mould
of porridge out of the mud. She lets the rain wash it. She
eats it ravenously."|stage direction
21||EXT. NEXT DAY. A WOOD.|location
22||"It has stopped raining. Jane is huddled under a tree. She
is shaking, shuddering. The life has gone out of her eyes."|stage direction
23|CUT TO:|Jane Eyre adapted by Moira Buffini March 2008 3.|speech
24||EXT. DAY. THE EDGE OF THE WOOD.|location
