|character|text|type
0||"LABOR OF LOVE
by
M. Night Shyamalan"|unknown
1||FADE IN:|stage direction
2||EXT.  ROUTE 476 - OUTSKIRTS OF PHILADELPHIA - NIGHT|location
3||"A three lane highway relegated to one lane.  The serpentine
line of cars bottlenecks as it slithers by.  An arch of
ORANGE AND RED FLARES outlines the area of shattered glass
and twisted metal.
We are at the site of a gruesome car accident.  An ambulance
and four police cars are on the scene.  Two cars are involved
in the crash.  The first, a SILVER CADILLAC with its front
caved in a perfect semi-circle; there is no-one inside the
car.
The second car is a different story entirely.  A DARK GREEN
HONDA PRELUDE crushed against the concrete median that
separates the South-bound lanes from the North-bound lanes.
All the windows have imploded.  The original seventeen foot
length of the car, compressed to ten.  The hood has folded
back into the front seat.  This car is not empty!  Through
the sliver that used to be a window, WE SEE a female hand,
purple, swollen and bloody.
Some drivers have stopped their cars on the shoulder and have
walked over to the flares.  A set of cops wave them back."|stage direction
4|POLICE OFFICER|"Get back in your cars and continue
with the traffic.  There is nothing
you can do."|speech
5||(beat)|unknown
6|POLICE OFFICER|Get back in your cars...|speech
7||CUT TO:|location
8||OFFICER PIERCE speaks to a female OFFICER DANA.|stage direction
9|OFFICER PIERCE|What's the story?|speech
10|OFFICER DANA|"She's been dead about ten minutes.
The jaws are on the way... Ran a
license check.  Her name is Ellen
Parker.  Forty-two years old."|speech
11|OFFICER PIERCE|What about him?|speech
12||"Pierce gestures to a HISPANIC TEENAGER who is cuffed behind
his back and being led to a police car."|stage direction
13|OFFICER DANA|D.U.I.|speech
14|OFFICER PIERCE|Shit... How old is he?|speech
15|OFFICER DANA|"Seventeen.  It's his grandfather's
car.  On his way back from drinking
with the 'boys'."|speech
16||Pierce lets it sink in.|stage direction
17|OFFICER PIERCE|Who do we contact for her?|speech
18||Dana checks the papers in her hand.|stage direction
19|OFFICER DANA|"Her husband.  Maurice Parker.  They
live in Wynnewood.  Married
seventeen years."|speech
20||"Pierce looks back at what remains of the HONDA PRELUDE.
Beat."|stage direction
21|OFFICER PIERCE|"There isn't any good left in the
world, Dana.  Not one damn thing."|speech
22||"CLOSE UP of the hypnotic RED AND BLUE LIGHTS that consume the
highway."|stage direction
23||DISSOLVE TO:|unknown
24||EXT.  ROAD - EARLY MORNING|location
25||"Just AFTER DAWN.  A gentle mist hangs in the air.  The calm
suburban streets wait to be flooded with a sea of middle
class homeowners on their way to work...
A woman's REEBOK CROSS-TRAINERS move along the sidewalk...
long, brisk steps, steps people have when walking with a
purpose...
The Cross-Trainers enter the doors of a bakery store seconds
after a man turns a window-sign from ""CLOSED"" to ""OPEN""...
This happens with precision timing, not losing a step... a
well practiced routine."|stage direction
26||"CUT TO:
INT.  ANGELO'S BAKERY - MORNING"|location
27||"ANGELO, a large man, black slicked hair -- has laid out three
identical loaves of RAISIN BREAD on the counter."|stage direction
28|ANGELO|Very good batch today.|speech
29||"We finally see the person standing in the REEBOK CROSS
TRAINERS... MRS. ELLEN PARKER, a woman in her forties with a
heart-warming smile and wise glint in her eyes.  The kind of
woman that somehow becomes more beautiful with age.
She carefully squeezes each loaf.  Her hand hovers over the
middle loaf."|stage direction
30|ELLEN|That one.|speech
31||"CUT TO:
INT.  KITCHEN - MORNING"|location
