|text|type
0|THE MASK|unknown
1|Written by|location
2|Mark Verheiden|stage direction
3|FINAL DRAFT|unknown
4|EXT. HIGH SEAS - DAY|location
5|EXT. BOW OF THE SHIP - DAY|location
6|EXT. THE NEW WORLD - A HARBOR - SUNSET|location
7|EXT. BEACH - PRESENT DAY|location
8|EXT. UNDERWATER - SAME TIME|location
9|EXT. WATER|location
10|EXT. EDGE CITY BANK|location
11|EXT./INT. EDGE CITY BANK|location
12|EXT. STREET|location
13|INT. BANK - FOYER|location
14|EXT. RIVER - CULVERT - SUNSET|location
15|EXT. CITY STREET - EARLY EVENING|location
16|INT. RIPLEY'S AUTO FINISHING - EARLY EVENING|location
17|EXT. MONKEY'S PAW - NIGHT|location
18|EXT. THE FRONT DOOR|location
19|EXT. TAHOOCHIE BRIDGE - NIGHT|location
20|INT. CAR|location
21|EXT. BRIDGE|location
22|EXT. RIVER BANK|location
23|INT. MONKEY'S PAW - NIGHT|location
24|EXT. APARTMENT BUILDING - NIGHT|location
25|INT. APARTMENT BUILDING - NIGHT|location
26|INT. STANLEY'S APARTMENT - CONTINUES|location
27|INT. HALLWAY - NIGHT|location
28|EXT. APARTMENT - NIGHT|location
29|EXT. CITY STREET - NIGHT|location
30|INT. ALLEY|location
31|EXT. RIPLEY'S AUTO FINISHING - NIGHT|location
32|INT. GARAGE - NIGHT|location
33|INT. STANLEY'S APARTMENT - BEDROOM - DAWN|location
34|INT. HALLWAY - DAWN|location
35|INT. HALLWAY|location
36|INT. STANLEY'S APARTMENT|location
37|INT. LIVING ROOM - SAME TIME|location
38|EXT. BUILDING|location
39|EXT. RIPLEY'S AUTO FINISHING - DAY|location
40|INT. MECHANIC'S OFFICE - DAY|location
41|INT. BANK - DAY|location
42|EXT. MONKEY'S PAW ENTRANCE - AFTERNOON|location
43|INT. DORIAN'S OFFICE|location
44|EXT. STANLEY'S BROWNSTONE - NIGHT|location
45|INT. STANLEY'S BEDROOM - NIGHT|location
46|EXT. BALCONY - NIGHT|location
47|INT. APARTMENT|location
48|INT. BATHROOM|location
49|INT. BEDROOM|location
50|INT. TRUCK|location
51|INT. VAN|location
52|EXT. BANK|location
53|EXT. MONKEY'S PAW|location
54|INT. MONKEY'S PAW|location
55|INT. DORIAN'S OFFICE|location
56|INT. DANCE FLOOR|location
57|EXT. CLUB|location
58|INT. STANLEY'S BEDROOM - DAWN|location
59|INT. DORIAN'S OFFICE - DAY|location
60|INT. BANK - DAY|location
61|INT. APARTMENT BUILDING - GARAGE - AFTERNOON|location
62|INT. APARTMENT HALL|location
63|EXT. JORGENSON'S SMORGASBORD - AFTERNOON|location
64|INT. SMORGASBORD|location
65|INT. PSYCHIATRIST'S OFFICE - DAY|location
66|INT. FORD TAURUS - DAY|location
67|EXT. PARK - SUNSET|location
68|EXT. BENCH|location
69|INT. NEWSROOM - BULLPEN|location
70|EXT. PENINSULA PARK|location
71|EXT. PARK ENTRANCE|location
72|EXT. STONE WALL - NIGHT|location
73|INT. PEGGY'S CAR - MOVING - NIGHT|location
74|EXT. DAILY TRIBUNE BUILDING - NIGHT|location
75|INT. NEWS SHIPPING ROOM - NIGHT|location
76|INT. STANLEY'S APARTMENT - NIGHT|location
77|EXT. STREET - CAR|location
78|INT. APARTMENT|location
79|EXT. STREET|location
80|EXT. POLICE STATION - NIGHT|location
81|INT. JAIL CELL - NIGHT|location
82|INT. JAIL CELL - DAWN|location
83|EXT. STATION - DAY|location
84|INT. STANLEY'S CELL - AT THE WINDOW - SAME TIME|location
85|EXT. DORIAN'S HOUSE - DAY|location
86|INT. DORIAN'S HOUSE|location
87|INT. JAIL CELL - DAY|location
88|EXT. THE ALLEY - SAME TIME|location
89|INT. JAIL CELL - CONTINUOUS|location
90|INT. HALLWAY - CONTINUOUS|location
91|INT. STANLEY'S CELL - A MOMENT LATER|location
92|EXT. VALHALLA CASINO - SUNSET|location
93|EXT. STREETS - SUNSET|location
94|EXT. LIMO|location
95|INT. POLICE STATION - C.U. - SLEEPING GUARD|location
96|EXT. CASINO|location
97|INT. POLICE STATION|location
98|INT. CASINO|location
99|INT./EXT. POLICE CAR|location
100|INT. CASINO|location
101|EXT. PIER - PILINGS|location
102|INT. CASINO|location
103|EXT. CASINO - PARKING LOT|location
104|INT. CAR|location
105|INT. CASINO|location
106|INT. CASINO KITCHEN|location
107|INT. CASINO|location
108|INT. KITCHEN|location
109|INT. CASINO|location
110|EXT. PARKING LOT - POLICE CAR|location
111|INT. CASINO|location
112|EXT. THE PIER - NIGHT|location
113|INT. CASINO - SAME TIME|location
114|EXT. HARBOR - NIGHT|location
115|EXT. VIKING SHIP - NIGHT|location
116|EXT. MARINA - DAWN|location
