|character|text|type
0||"MONTE CARLO
Written by
Ron Bass
Based on the novel
""HEADHUNTERS""
by Jules Bass
THIRD DRAFT
November 4, 2007"|unknown
1|OVER BLACK:|"ALICE (V.0.)
Think of the future, and events
that will have already happened."|speech
2||INT. HIGH SCHOOL CLASSROOM - DAY|location
3|OVER BLACK:|"ALICE PERRY (30s), her innate and amiable authority eclipsed
only by a self-consciousness about her hair, afraid perhaps
that she hasn't lived up to the promise of its red color,
chalks ""Futur Anterieur"" in precise cursive at the board."|speech
4|ALICE|"""By tomorrow, we will have flown to
France.""
She turns to face her TENTH GRADE FRENCH CLASS.
Though Alice's make up, earrings and practical flats are
simple, there is an inherent elegance to their combination
that hints at a more complex, if uncharted, interior."|speech
5||ALICE (CONT'D)|location
6||"Who can give me an example? Paul?
NOTE: Throughout, all blocks of italicized dialogue should be"|stage direction
7|ALICE|read as in FRENCH with ENGLISH subtitles.|speech
8|PAUL|"""I will have completed the assigned
translation by the end of
vacation."""|speech
9|ALICE|C'est bon! Amber?|speech
10|AMBER|"I will have failed French again by
the end of the year.
Alice pauses, regarding Amber with a pained sympathy."|speech
11|ALICE|En francais si'l vows plait?|speech
12||INT. HIGH SCHOOL CLASSROOM - DAY|location
13|EMMA|"So, the definition of the
derivative of the function ""f"" at
point ""x"" is..?"|speech
14|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 2.|speech
15|CONTINUED:|"EMMA LINDGARD (late 20's) rapidly scribbles a complex
calculus formula at the board while all of her TWELFTH GRADE
MALE STUDENTS avidly admire her shape in a tight, stylish
skirt and heels. She turns suddenly, smiling brightly."|speech
16|EMMA (CONT'D)|"Okay! Kyle?
KYLE snaps his eyes up to Emma's face, tries to cover."|speech
17|KYLE|"Um... I guess I'm a little lost.
If optimists see a glass as half full, Emma's is in a
constant state of cheerful, blonde overflow, even when a
level of wilfulness is required."|speech
18|EMMA|"Try to follow along. I really want
you guys to get this! David?
DAVID gazes back dumbly, stuck in an erotic fog."|speech
19|EMMA (CONT'D)|Cindy?|speech
20||INT. HIGH SCHOOL - HOME ARTS LAB - DAY|location
21|IS|"TWO GIRLS ( 17) laugh conspiratorially, dredging woven pot
holders through an egg mixture and dropping them into a
sputtering pan, as the rest of the CLASS makes French toast.
The girls sneak looks at MEG KELLY (30's) who tears recipes
from a Gourmet magazine at her desk at the front of the room.
Dark hair pulled into a pony tail, face unadorned by makeup,
Meg's natural sexiness is muted by an air of indifference.
She glances up when the pan erupts in flames and the girls
leap back with a shriek, shakes her head.
The girls attempt to knock the pan from the burner with the
handle of a broom when a pot lid bangs down, instantly
snuffing the flames.
They shrink back as Meg waves the lid, clearing the smoke."|speech
22|MEG|"Do me a favor, and let's just try
to get to vacation.
The class bell RINGS!"|speech
23|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 3.|speech
24||MEG (CONT'D)|stage direction
25|CONTINUED:|"You can burn the school down as
soon as we're back."|speech
26||EXT. HIGH SCHOOL - DAY|location
27|CONTINUED:|"Alice, a heavy bag slung over her shoulder, and her boyfriend
RICHARD (30's, scruffily handsome in sweats and a coach's
jersey), carrying three binders and a bag of baseball bats,
exit the school among a crush of students.
Together, they cross a lawn dotted with patches of late snow,
to the parking lot, stopping at Alice's weathered Volvo where
Richard hands over the binders with a kiss."|speech
28|RICHARD|"Got practice until five thirty,
then I'll be by."|speech
29|ALICE|"I'll see you then. Thanks.
They kiss again and Richard takes off for the athletic
fields, passing Meg as she comes from the school, waves."|speech
30||RICHARD|location
31|ALICE|"Hey, Meg! Bon voyage!
Alice offers a binder to Meg as she arrives at Alice's car."|speech
32|ALICE|"I finished our travel binders!
Meg takes the binder, looks it over."|speech
33|MEG|"Remind me again why we're taking
phonebooks to France?
Alice gives her a look."|speech
34|MEG (CONT'D)|I love my binder. I do.|speech
35|ALICE|"Where's Emma? She knows we're
meeting, right?"|speech
36|MEG|"Forgot her purse.
(watching the students)"|speech
37||(MORE)|location
38|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 4.|speech
