|character|text|type
0||MRS BROWN BY JEREMY BROCK|stage direction
1||EXT. THE GROUNDS OF WINDSOR CASTLE, FOREST - NIGHT|location
2||"Begin on black.  The sound of rain driving into trees.
Something wipes frame and we are suddenly hurtling through
a forest on the shoulders of a wild-eyed, kilted JOHN
BROWN.  Drenched hair streaming, head swivelling left and
right, as he searches the lightening-dark.  A crack to his
left.  He spins round, raises his pistol, smacks past
saplings and plunges on."|stage direction
3||EXT. THE GROUNDS OF WINDSOR CASTLE, FOREST - NIGHT|location
4||"Close-up on BROWN as he bangs against a tree and heaves for
air.  A face in its fifties, mad-fierce eyes, handsome,
bruised lips, liverish.  He goes on searching the dark.
Stops.  Listens through the rain.  A beat.  Thinking he
hears a faint thump in the distance, he swings round and
races on."|stage direction
5||EXT. THE GROUNDS OF WINDSOR CASTLE, FOREST - NIGHT|location
6||"BROWN tears through the trees, pistol raised at full arm's
length, breath coming harder and harder.  But even now
there's a ghost grace, a born hunter's grace.  He leaps
fallen branches, swerves through turns in the path, eyes
forward, never stumbling once."|stage direction
7||EXT. THE GROUNDS OF WINDSOR CASTLE, FOREST - NIGHT|location
8||"BROWN bursts into a clearing, breaks to the centre and
stops.  With his pistol raised, he turns one full slow
circle.  His eyes take in every swerve and kick of the
wildly swaying trees.
There's a crack and a branch snaps behind him.  He spins
round, bellows deep from his heart:"|stage direction
9|BROWN|God save the Queen!!|speech
10||"And fires.
Nothing happens.  The trees go on swaying, the storm goes
on screaming and BROWN just stands there, staring into
empty space.  A pause.
Slowly, he starts to frown as the fact begins to dawn on
him that he is alone.  He stares at the thrashing trees,
waving their mocking arms at him.  His hand lets the pistol
drop to his side.  He feels the rain drench down his face.
And now, for the first time, we see that his socks have
fallen to his ankles and his knees are cut to shreds.  He
shifts a foot.  His dress-shoes are covered in mud.  He
goes on staring into the dark.  Nothing.
Just the wind and rain.  Gradually, we pull back, higher
and higher.  As we do, we hear the quiet cultivated voice:"|stage direction
11||FADE TO BLACK.|unknown
12||"CAPTION: ""1864"""|stage direction
13||FADE IN:|unknown
14|PONSONBY (V.O.)|"I have sent for a Mr. John BROWN from
Balmoral.  Her majesty has mentioned
him, on one or two occasions, as being
a most devoted outdoor servant to
Prince Albert during his last days
there..."|speech
15||John BROWN is now just a tiny figure dwarfed by the storm.|stage direction
16||CUT TO:|unknown
17||INT. OSBORNE HOUSE, QUEEN VICTORIA'S DRESSING ROOM - DAY|location
18||"The screen is black.  As the camera pulls back, we discover
that we are looking at a black night-gown.
Queen VICTORIA is sitting at her dressing table, while an
elderly HAIRDRESSER, also in black, works at her hair."|stage direction
19|PONSONBY (V.O.)|"... The depths of the Queen's sorrow
remain impenetrable.  She has now
restricted herself to a regime of such
ferocious introspection that we are
all at our wits' end..."|speech
20||INT. OSBORNE HOUSE, PRINCE ALBERT'S DRESSING ROOM - DAY|location
21||"A bust of the Prince Consort is draped in black.  His desk
is laid out as if for work.  A VALET is brushing one of his
suits before laying it carefully on the bed."|stage direction
22|PONSONBY (V.O.)|"... The Household continues, at her
instruction, to observe the rituals
now so familiar to her, in a vain
attempt to render vivid that which can
never be revived..."|speech
23||"Close-up on a small table as a shaving brush is placed
carefully beside a dish of freshly poured water."|stage direction
24||INT. OSBORNE HOUSE, QUEEN VICTORIA'S DRESSING ROOM - DAY|location
25||"The hairdresser is pulling VICTORIA's hair back into the
widow's cape.  For the first time, we see her face.  It is
set in a mask of severity."|stage direction
26|PONSONBY (V.O.)|"... It will not surprise you to hear
that she continues steadfast in her
refusal to accept any public
engagements, however trivial..."|speech
27||INT. OSBORNE HOUSE, QUEEN VICTORIA'S BEDCHAMBER - DAY|location
28||"A bronze cast of Prince Albert's hand hangs above the Royal
bed.  His sleeping-gown is laid out on one side.
A somberly dressed middle-aged man stands by the bed:
DOCTOR JENNER, the Queen's physician.  He is placing
potions and medicaments in a row on the bedside table.
Behind him, TWO MAIDSERVANTS are busy stripping and
remaking the bed while another raises the window to air the
room."|stage direction
29|PONSONBY (V.O.)|"... Family and staff expend all their
efforts endeavouring to draw her out
of this state of unfettered morbidity,
but to no avail.  Indeed, Doctor
Jenner will not undertake to vouchsafe
her sanity, unless some remedy is
found..."|speech
30||INT. OSBORNE HOUSE, QUEEN VICTORIA'S DRESSING ROOM - DAY|location
31||"VICTORIA is turning slowly around as a young ASSISTANT
DRESSER completes the fastening on her black crepe dress."|stage direction
32|PONSONBY (V.O.)|"... We must hope, therefore, that this
Mr Brown will appeal to the Queen's
sentimental, though deeply-held, view
that all Highlanders are good for the
health.  If she can at least be
persuaded to take the air, the
prospect of further recovery may seem
less remote..."|speech
33||"The assistant dresser pulls too tightly on her dress.
VICTORIA winces slightly."|stage direction
34||(terrified)|location
35|ASSISTANT DRESSER|Sorry, ma'am.|speech
36||EXT. THE SEA FRONT, ISLE OF WIGHT - DAY|location
37||"We glide slowly past the coastline as a caption reads:
""ISLE OF WIGHT. 1864.""
A DRIVER stands against the sea front with a horse and cart
bearing the Royal coat of arms.
John BROWN leads his pony along the dockside, towards the
waiting driver.  He is in his late thirties, fit, handsome
and dressed in tartan kilt and short jacket."|stage direction
38|PONSONBY (V.O.)|"... He is arriving by boat this
afternoon, by which time it is hoped
Her Majesty will be in a fit state to
consider riding out..."|speech
39||INT. OSBORNE HOUSE, PRIVATE SECRETARY'S ROOM - DAY|location
40||"SIR HENRY PONSONBY, the Queen's Private Secretary, is
sitting at his writing desk, completing a letter."|stage direction
41|PONSONBY (V.O.)|"... As to that decision, along with
all others, we remain, as ever,
prisoners of the Queen's grief."|speech
42||(beat)|location
43|PONSONBY (V.O.)|Ever your devoted husband, Henry.|speech
