|character|text|type
0||"MY GIRL
Written by
Laurice Elehwany"|unknown
1||"Setting: MADISON, PENNSYLVANIA 1972
CLOSE UP OF VADA"|stage direction
2||(to camera)|location
3|VADA|"I was born jaundiced. Once I sat on a toilet
seat at a Truck stop and caught hemorrhoids.
And i've learned to live with this chicken
Bone that's been lodged in my throat for the
past three years, so I knew Dad would be
devastated when he learned of my latest
affliction."|speech
4||(to Harry)|location
5|VADA|"Dad, I don't wanna upset you, but my left
breast is developing at a significantly faster
rate than my right. It can only mean one
thing.  Cancer.  I'm dying."|speech
6||(ignoring Vada)|location
7|HARRY|"O.K. Sweetie, hand me the mayonnaise out of
the fridge."|speech
8||"FRONT OF SULTENFUSS' HOUSE
Vada closes front door and goes down the steps to a group
of boys"|stage direction
9|VADA|All right, who's in raise your hand.|speech
10||All the boys raise their hands except Thomas J|stage direction
11|BOY|Are you coming or not Thomas J?|speech
12|THOMAS J|I don't think so.|speech
13|VADA|I knew he wouldn't come.|speech
14|THOMAS J|I can't, I have to go home.|speech
15|BOY#2|Yeah, to play with his DOLLS.|speech
16|VADA|Leave him alone! Come on, let's go.|speech
17||"Group of boys enters house lead by Vada
Once inside, the group is suddenly stopped"|stage direction
18||(to boy#2)|location
19|VADA|Hey, you didn't pay me!|speech
20|BOY#2|How do I know you were gonna show us one?|speech
21|VADA|You're such a baby.|speech
22|BOY#2|All right, here.|speech
23||"Boy reaches inside his pocket, gets money out and gives it
to Vada"|stage direction
24|VADA|All right, follow me and don't say a word.|speech
25||"They walk towards two large doors, stop, and Vada turns
around"|stage direction
26|VADA|You ready?|speech
27||"They enter the coffin display room, and move over to the
coffin in the middle of the room"|stage direction
28|VADA|"You sure you wanna see it, or is someone
gonna go yellow belly?"|speech
29|BOY#3|I'm not chicken!|speech
30|VADA|Okay. Lean forward.|speech
31||"A tense moment as the coffin lid is flung open by Vada and
the boys gasp as they look inside"|stage direction
32|GIRL#1|It's empty!|speech
33|BOY#2|You're so weird!|speech
34|BOY|I want my money back!|speech
35|VADA|I was afraid of this.|speech
36||They begin to move into another part of the house|stage direction
37|BOY#2|Of what??|speech
38|VADA|"Well, sometimes when we get 'em, they're not
completely dead, you know, like when they cut
a chickens head off and it still runs around
crazy."|speech
39|BOY#3|You're full of shit.|speech
40|VADA|"I bet she's roaming around this house
somewhere."|speech
41||"They open the door into the living room, where Grammoo is
in her rocking chair"|stage direction
42|VADA|There she is, in the rocking chair.|speech
43||"Pause, then Grammoo begins to rock the chair gently. The
boys all gasp and then all exit very quickly"|stage direction
44|VADA|Hi Grammoo.|speech
45||Vada seats herself upon Grammoo's lap|stage direction
46||"(in distance, from
downstairs)"|location
47|HARRY|Vada would you bring down my cigarettes?|speech
48||Vada gets up and begins to leave|stage direction
49|VADA|Seeya later.|speech
50||(kisses Grammoo on forehead)|location
51||BASEMENT, HARRY & ARTHUR WORKING ON MR. LAYTON|stage direction
52|HARRY|Did I tell you, he was my woodshop teacher.|speech
53|ARTHUR|You took woodshop?|speech
54|HARRY|Yeah, I made a tie rack.|speech
55|ARTHUR|I made a tie rack.|speech
56||"Vada comes down the stairs and stops just before the corner
that would allow her to see the corpse of Mr. Layton"|stage direction
57|VADA|Ahem.|speech
58|HARRY|Vada, just put 'em on the stool.|speech
59||Vada places the packet on a stool|stage direction
60|VADA|"Daddy guess what I beat Thomas J in monopoly
yesterday."|speech
61||"(completely ignoring Vada's
comment)"|location
62|HARRY|Ya, that rack holds six ties.|speech
63|ARTHUR|I still have mine.|speech
64||Vada recognizes Arthur's voice|stage direction
65|VADA|Arthur!!|speech
66|ARTHUR|Vada!!|speech
67|VADA|I beat Thomas J in monopoly yesterday.|speech
68|ARTHUR|Good for you baby.|speech
69|VADA|"Once you put the hotels on board walk and
Park Place he puts a shoe in your way."|speech
70|ARTHUR|I like to buy off all the railroads.|speech
71||Harry is slightly annoyed at Vada distracting them|stage direction
72|HARRY|Vada, we're trying to work here.|speech
73||"CAMPER PULLS UP OUTSIDE SULTENFUSS HOUSE
BASEMENT"|stage direction
74|VADA|"Cruella deville stole all the puppies, she
was gonna make a fur out of 'em!"|speech
75||(to Arthur)|location
76|HARRY|Hand me the canula.|speech
77||Vada begins to sing doo-wah-diddy-diddy, Arthur joins in|stage direction
78||(annoyed)|location
79|HARRY|VADA!|speech
80|VADA|Dad?|speech
81|HARRY|"I'm embalming my high school teacher, don't
sing."|speech
82||(beat)|location
83|HARRY|"All right Arthur, just a slide of the
needle....."|speech
84||"(fades out as Vada climbs
stairs)"|location
85||"Vada climbs stairs and stops to read patient note, CAUSE OF
DEATH - CANCER OF PROSTATE"|stage direction
86||(to corpse)|location
87|HARRY|"One nice model C-501 bronze stainless eternal
journey, yeah, you look like a champion."|speech
88||"OUTSIDE SULTENFUSS' HOUSE DAY, STRANGE WOMAN GETS OUT OF
CAMPER, WALKS UP TO DOOR AND RINGS BELL, VADA ANSWERS"|stage direction
89|STRANGER|Is Mr. Harry Sultenfuss in?|speech
90|VADA|Sure, come on in.|speech
91||"Vada and strange woman make their way to a desk in the
foyer, and sit down"|stage direction
92|VADA|"So, have you had the unfortunate experience
of recently losing a loved one?"|speech
93||(puzzled look)|location
94|STRANGER|Could I see your Dad, just for a second?|speech
95||Vada runs across to call downstairs|stage direction
96|VADA|DAD, SOMEBODY'S HERE!!|speech
97||Vada runs back to the desk|stage direction
98|VADA|"He's downstairs working on Mr. Layton.
Prostate Cancer. Once it hits your prostate,
you're a goner."|speech
99|STRANGER|Oh.|speech
100||Harry enters|stage direction
101|HARRY|How may I... Help you?|speech
102|STRANGER|"I'm Shelly devoto. We spoke, the other day
regarding the make up artist job."|speech
103|HARRY|Oh yes.|speech
104|SHELLY|It's still available I hope?|speech
105|HARRY|I think it's still available.|speech
106|SHELLY|"I'm a licensed cosmetologist, I worked for
two years, at the ""Dino Raphael"" Salon, all my
customers cried when I told them I was
leaving."|speech
107|HARRY|Uhh, Miss devoto...|speech
108|SHELLY|"I have a wonderful disposition, I put people
right at ease."|speech
109|HARRY|"Uhh, Miss devoto, these people are already at
ease. This is not a Beauty Parlor, it's a
Funeral Parlor."|speech
110|SHELLY|They're dead?|speech
111|HARRY|Yes they are.|speech
112|SHELLY|Stiffs??|speech
113||(for want of a better word)|location
114|HARRY|Deceased.|speech
115|SHELLY|"The add just said ""Makeup Artist"""|speech
116||Doorbell rings|stage direction
117|HARRY|Ahh, excuse me a second will you?|speech
118||(opens door)|location
119|HARRY|"Hi George, this is a twelve-fifty-eight, I
didn't want the burnished handles."|speech
120||(door closes off scene)|location
121||Vada looks out the window at Shelly's camper|stage direction
122|VADA|Is that your camper?|speech
123|SHELLY|Yes it is.|speech
124|VADA|That's really cool.|speech
125||Grammoo walks past in a fixed stare|stage direction
126||(to Grammoo)|location
127|SHELLY|Hello.|speech
128||Grammoo keeps walking as if she hadn't heard|stage direction
129|VADA|She's shy.|speech
130|SHELLY|Oh.|speech
131||"Harry is standing at the door directing the men with the
coffin"|stage direction
132|HARRY|Just put it back in the display room fellers.|speech
133|MEN|Okay Harry.|speech
