|character|text|type
0||"""NATURAL BORN KILLERS"""|unknown
1||QUENTIN TARANTINO|unknown
2||INT. COFFEE SHOP - DAY|location
3||"A coffee shop somewhere in New Mexico. MICKEY KNOX, his back
turned to us, is sitting at the counter finishing his meal. We
hear the PING...BANG...of a pinball machine being played OFF
SCREEN.
MABEL, a waitress, comes over and fills Mickey's coffee cup."|stage direction
4|MICKEY|What kind of pies do you have?|speech
5|MABEL|Apple, pecan, cherry, and key lime.|speech
6|MICKEY|Which do you recommend?|speech
7|MABEL|"The key lime is great, but it's
an acquired taste."|speech
8|MICKEY|"I haven't had a key lime pie in ten
years."|speech
9|MABEL|When ya had it, did ya like it?|speech
10|MICKEY|"No, but that don't mean much. I was a
completely different person ten years
ago. Let's give key lime a day in
court. And a large glass of milk."|speech
11||Mabel turns to her right.|stage direction
12||(to someone O.S.)|location
13|MABEL|Should I make that two pieces?|speech
14||"CAMERA PULLS BACK and we see for the first time MALLORY KNOX,
Mickey's wife, sitting on a counter stool next to him. Her back
is to the camera as well."|stage direction
15|MALLORY|Nada, Rosey.|speech
16||(annoyed)|location
17|MABEL|My name's not Rosey.|speech
18||(points at name tag)|location
19|MABEL|It's Mabel.|speech
20||Mabel exits FRAME.|stage direction
21|MALLORY|Whatever.|speech
22||"Mallory hops from the stool, walks over and grabs the JAR next
to the cash register, then dumping out the coins on the counter,
she selects a quarter."|stage direction
23|MABEL|"Hey, what the hell do you think you're
doin'?"|speech
24||"Mallory saunters past the COWBOY playing pinball. As his eyes
follow Mallory, he loses his ball.
She walks to the jukebox in the back, inserts the quarter,
selects a song, punches the buttons, a needle lands on a record,
and a good God almighty rockabilly tune cuts through the coffee
shop.
Mabel brings Mickey his pie and milk."|stage direction
25||(to Mickey)|location
26|MABEL|"She ought not be doing that. That's
for Jerry's kids, not rock 'n roll."|speech
27||"CAMERA moves around to a CU of Mickey. This is the first time
we see him. As he takes a bite of green pie:"|stage direction
28|MICKEY|I can't take her anywhere.|speech
