|text|type
0|PLATINUM BLONDE|location
1|Story by Harry E. Chandlee and Douglas W. Churchill|stage direction
2|INT. JOE'S SPEAKEASY - DAY|location
3|INT. SCHUYLER DINING ROOM|location
4|INT. SCHUYLER DRAWING ROOM - NIGHT|location
5|INT. PENTHOUSE APT. - NIGHT|location
6|EXT. ROOF GARDEN|location
7|INT. CITY ROOM OF MORNING POST - DAY|location
8|INT. JOE'S SPEAKEASY|location
9|INT. SCHUYLER DRAWING ROOM - DAY|location
10|INT. STEW'S BEDROOM - MORNING|location
11|INT. CITY ROOM OF NEWSPAPER OFFICE -|location
12|INT. ANNE'S BEDROOM|location
13|EXT. SCHUYLER LONG ISLAND ESTATE|location
14|INT. CORRIDOR SCHUYLER HOME|location
15|EXT. TERRACE|location
16|INT. SCHUYLER ENTRANCE HALL|location
17|INT. SCHUYLER BALLROOM|location
18|INT. SCHUYLER ENTRANCE HALL|location
19|INT. SCHUYLER LIBRARY|location
20|INT. SCHUYLER HOME|location
21|INT. SCHUYLER ENTRANCE HALL - DAY|location
22|INT. SCHUYLER DRAWING ROOM|location
23|INT. SCHUYLER DRAWING ROOM|location
24|INT. STEW'S BEDROOM|location
25|INT. SCHUYLER GRAND FOYER|location
26|INT. STEW'S ROOM|location
27|INT. GALLAGHER'S ROOM - NIGHT|location
28|INT. SCHUYLER ENTRANCE HALL - NIGHT|location
29|INT. SCHUYLER DRAWING ROOM|location
30|INT. SCHUYLER ENTRANCE HALL|location
31|INT. STEW'S SITTING ROOM|location
32|INT. SCHUYLER ENTRANCE HALL|location
33|INT. STEW'S SITTING ROOM|location
34|EXT. SCHUYLER HOME - NIGHT|location
