;genre;nb_of_movies;nb_male;nb_female;nb_total_iloveu;nb_male_iloveu;nb_female_iloveu;nb_male_naked;nb_female_naked;nb_male_kitchen;nb_female_kitchen
0;Action;87;1618;553;89;10;19;55;73;92;97
1;Adventure;59;1071;400;78;9;15;30;38;57;47
2;Animation;15;213;112;18;2;4;4;2;11;24
3;Biography;18;423;168;30;7;9;3;7;30;43
4;Comedy;71;991;717;202;15;46;31;78;88;149
5;Crime;58;1044;468;90;6;19;43;57;82;133
6;Drama;110;1596;1065;256;20;71;61;125;168;346
7;Family;1;3;19;2;0;0;0;0;0;10
8;Fantasy;14;220;118;43;3;7;5;13;7;16
9;History;4;67;42;3;0;1;1;4;3;24
10;Horror;28;261;309;34;1;8;14;35;21;73
11;Music;2;15;34;1;0;0;0;0;2;7
12;Mystery;23;253;211;21;0;2;11;25;39;71
13;Romance;20;203;283;72;3;27;14;42;12;44
14;Sci-Fi;13;212;106;30;2;10;7;14;15;20
15;Thriller;13;194;125;18;1;7;5;10;15;31
16;War;2;62;8;1;0;0;0;0;1;4
