;genre;nb_of_movies;nb_male;nb_female;nb_total_iloveu;nb_male_iloveu;nb_female_iloveu;nb_male_naked;nb_female_naked;nb_male_garage;nb_female_garage
0;Action;87;1618;553;89;10;19;55;73;47;43
1;Adventure;59;1071;400;78;9;15;30;38;27;15
2;Animation;15;213;112;18;2;4;4;2;10;0
3;Biography;18;423;168;30;7;9;3;7;9;9
4;Comedy;71;991;717;202;15;46;31;78;38;29
5;Crime;58;1044;468;90;6;19;43;57;40;53
6;Drama;110;1596;1065;256;20;71;61;125;44;72
7;Family;1;3;19;2;0;0;0;0;0;0
8;Fantasy;14;220;118;43;3;7;5;13;5;3
9;History;4;67;42;3;0;1;1;4;1;0
10;Horror;28;261;309;34;1;8;14;35;15;14
11;Music;2;15;34;1;0;0;0;0;0;0
12;Mystery;23;253;211;21;0;2;11;25;16;25
13;Romance;20;203;283;72;3;27;14;42;1;9
14;Sci-Fi;13;212;106;30;2;10;7;14;5;3
15;Thriller;13;194;125;18;1;7;5;10;2;3
16;War;2;62;8;1;0;0;0;0;0;1
