;genre;nb_of_movies;nb_male;nb_female;nb_total_iloveu;nb_male_iloveu;nb_female_iloveu;nb_male_help;nb_female_help
0;Action;87;1618;553;89;34;38;429;166
1;Adventure;59;1071;400;78;38;25;339;109
2;Animation;15;213;112;18;7;8;70;20
3;Biography;18;423;168;30;13;6;96;41
4;Comedy;71;991;717;202;66;80;278;179
5;Crime;58;1044;468;90;34;31;253;135
6;Drama;110;1596;1065;256;78;89;461;350
7;Family;1;3;19;2;0;2;0;2
8;Fantasy;14;220;118;43;20;17;66;36
9;History;4;67;42;3;0;2;11;22
10;Horror;28;261;309;34;8;20;83;109
11;Music;2;15;34;1;0;1;0;12
12;Mystery;23;253;211;21;12;3;97;88
13;Romance;20;203;283;72;17;36;75;90
14;Sci-Fi;13;212;106;30;11;11;74;21
15;Thriller;13;194;125;18;8;7;66;48
16;War;2;62;8;1;1;0;9;0
