|character|text|type|character_clean|gender|principal_character
0||"PINEAPPLE EXPRESS
Written by
Judd Apatow, Seth Rogen & Evan Goldberg
November 28, 2006"|unknown|||
1||EXT. FARMLAND - DAWN|location|||
2||"IN BLACK AND WHITE, A black 1930s Cadillac speeds down
the only visible road amidst endless plains of farmland.
The road curves sharply ahead - the car accelerates.
Ignoring the turn, the Caddy drives directly off the road
and through a massive field of emptiness.
The car abruptly stops in the middle of the vacant field.
GENERAL BRAT (58, a patch covers one of his eyes) and
AGENT BLACK SUIT (an agent in a black suit) step out of
the car.
Although there is clearly nothing in sight for miles, the
General scans his surroundings with concern.
TITLE CARD UP: THE PAST
Agent Black Suit crouches down and pulls open a METAL
HATCH in the ground. Both men walk down the hatch and
into the earth."|stage direction|||
3||INT. UNDERGROUND FACILITY - MOMENTS LATER|location|||
4||"They descend a metal staircase and walk with great
urgency down a narrow corridor. The hallway spills into a
hauntingly huge metal room with a lone SCIENTIST standing
in the middle. The Scientist immediately begins leading
them across the room."|stage direction|||
5|GENERAL BRAT|When did it start?|speech|GENERAL BRAT|?|
6|SCIENTIST|At 05:00. We're seven minutes in.|speech|SCIENTIST|M|True
7||INT. OBSERVATION LAB - CONTINUOUS|location|||
8||"The three men enter a large room divided by a one-way
mirror.
On their side, numerous SCIENTISTS, utilizing several
archaic devices, are busy at work monitoring the subject
on the other side of the mirror.
The subject: PRIVATE MILLER (22, naive and dutiful) sits
at a small table with a microphone on it. Miller raises
his hand, REVEALING a smoldering JOINT."|stage direction|||
9||2|unknown|||
10||"He takes a long and awkward hit from the joint and bursts
into a coughing fit.
The scientists begin to scribble profusely as their
devices blink manically. General Brat and Agent Black
Suit exchange a concerned look. The General lights a
cigarette as the Scientist steps up to a small microphone
in the corner."|stage direction|||
11||(into microphone)|location|||
12|SCIENTIST|"Private Miller, we are now going to ask
you several questions. How do you feel?"|speech|SCIENTIST|M|True
13||"His voice booms through large speakers on Miller's side
of the room. Miller leans towards the microphone."|stage direction|||
14||PRIVATE MILLER|unknown|||
15|SCIENTIST|"Uh, I feel a little queer sir. But...
It's good. Good queer."|speech|SCIENTIST|M|True
16||(beat)|location|||
17|SCIENTIST|Sir. Good queer, Sir.|speech|SCIENTIST|M|True
18||"The scientists scribble madly. One of them mumbles into
General Brat's ear."|stage direction|||
19|PRIVATE MILLER (CONT'D)|"But...uh...even though I feel queer, Sir,
I should mention that I'm also feeling
quite gay...so, a little queer, but
mostly gay."|speech|PRIVATE MILLER|?|True
20|SCIENTIST|"Private Miller. When you think of your
superiors, what emotions do you feel?"|speech|SCIENTIST|M|True
21||(holding out the joint)|location|||
22|PRIVATE MILLER|This went out...Sir.|speech|PRIVATE MILLER|?|True
23|SCIENTIST|"We will send someone in. Now answer the
question."|speech|SCIENTIST|M|True
24||"A door opens beside Private Miller and an AGENT steps out
wearing an intricate uniform that resembles an old
fashioned diving suit, an air hose leading out the door
that he came from. He slowly walks toward the Private,
who looks at him in shock."|stage direction|||
25||(through speakers)|location|||
26|SCIENTIST (CONT'D) (O.S)|Private Miller? Answer the question.|speech|SCIENTIST|M|True
27||3|unknown|||
28|PRIVATE MILLER|Oh...um...what was the question again?|speech|PRIVATE MILLER|?|True
29||"The Agent in the strange suit reaches the private and
holds a lighter up to the joint."|stage direction|||
30||(through speakers)|location|||
31|SCIENTIST (O.S.)|"What are your emotions towards your
superiors?"|speech|SCIENTIST|M|True
32||"Miller pulls at the joint until it is lit again. The
Agent exits the room."|stage direction|||
33||"PRIVATE MILLER
COUGH   COUGH  Fucking shit."|unknown|||
34||(beat)|location|||
35|SCIENTIST (O.S.)|"Well, now that I think of it, it's
strange that they are called my
`superiors'. Does that make me their
`inferior'? I mean, that's pretty fucked
up."|speech|SCIENTIST|M|True
36||General Brat scowls.|stage direction|||
37||(curtly to the scientists)|location|||
38|GENERAL BRAT|"I've seen enough. Shut it down. Bury the
hatch, sell the land, and dispose of him.
This never happened."|speech|GENERAL BRAT|?|
39||"Instantly, the scientists start packing up their
equipment. Staring at Miller, General Brat grabs a RED
PHONE and dials. Two Agents in the scuba-like suits
emerge from behind Miller and start aggressively dragging
him away."|stage direction|||
40||(freaking out)|location|||
41|PRIVATE MILLER|"Hey! What the...what are you guys doing!
Let go of me!"|speech|PRIVATE MILLER|?|True
42||(desperately looking at the|location|||
43||mirror)|unknown|||
44|PRIVATE MILLER|Sir!!! Sir!!! Help me!!!|speech|PRIVATE MILLER|?|True
45||GENERAL|unknown|||
46||(into phone)|location|||
47|PRIVATE MILLER|"This is General Brat. We've reached a
final conclusion on Item 9."|speech|PRIVATE MILLER|?|True
48||(beat)|location|||
49|PRIVATE MILLER|Illegal.|speech|PRIVATE MILLER|?|True
50||He hangs up the phone.|stage direction|||
51||4|unknown|||
52||"CUT TO BLACK.
TITLE CARD UP: THE PRESENT"|stage direction|||
53||INT. DALE'S CAR - CONTINUOUS|location|||
54||"DALE DENTON (late 20s, out of shape, slightly unkempt)
looks out of place in his black suit as he drives he sits
in his cluttered and worn old lady car. He smokes a joint
while listening to talk radio."|stage direction|||
55|TALK RADIO DJ|"Well, let's look at the facts.
Financially, coins are better because
they're cheaper, and environmentally,
forget-about-it, coins win hands down.
For those just joining us, we're with
caller Dale Denton discussing if America
should lose the paper dollar bill."|speech|TALK RADIO DJ|?|
56||We see that Dale has a wireless ear piece in.|stage direction|||
57|DALE|"Of course not! Who wants a pocket full of
coins? Seriously. Weighs down your pants,
clangs around. With all this unnecessary
new security everywhere, we'll be setting
off alarms left and right!"|speech|DALE|M|True
58|TALK RADIO DJ|"We certainly do, Mr. Denton. Crude, but
to the point. Next caller!"|speech|TALK RADIO DJ|?|
59||"Dale puts away his phone and pulls up in front of a nice
house."|stage direction|||
60||EXT. FRONT DOOR - MOMENTS LATER|location|||
61||"Dale, wearing a name tag that reads ""Garth"", holding a
clip board and wearing a greenpeace hat, knocks
repeatedly on the door. A woman cautiously answers the
door."|stage direction|||
62|WOMAN|Um, I didn't order a pizza.|speech|WOMAN|M|
63|DALE|Excuse me, miss? Are you Sandra Danby|speech|DALE|M|True
64||"5
WOMAN"|unknown|||
65|DALE|Uh...yea-|speech|DALE|M|True
66||Dale shoves an envelope into her hand.|stage direction|||
67|DALE|"Sorry, miss, but you've failed to show up
to your divorce proceedings 4 times under
court order. You've been served."|speech|DALE|M|True
68|WOMAN|"Oh great! Thanks a lot asshole! Real
clever! Go fuck yourself!"|speech|WOMAN|M|
69||"Dale dashes back to his car as the upset woman starts to
open the envelope."|stage direction|||
70||INT. DALE'S CAR - SOON AFTER|location|||
71||"Dale is driving and smoking a joint. He looks at his
check list - it is a list of people he served that day.
He's only got a few left. He listens to a different talk
radio dj while playing music from a tiny iPod boom box
that sits in his passenger seat."|stage direction|||
72|TALK RADIO DJ 2|"...forget about Area 51, Roswell
sightings, Atlantis and the Boogie Man,
let's talk about real threats, threats to
our home and security..."|speech|TALK RADIO DJ 2|?|
73||DALE|unknown|||
74|TALK RADIO DJ 2|Fuckin' eh.|speech|TALK RADIO DJ 2|?|
75||His iPod starts playing HOT STEPPA by INI KAMOZE.|stage direction|||
76|DALE (CONT'D)|Nice! Hot Steppa!|speech|DALE|M|True
77||"Dale turns down the talk radio and puffs away at his
joint; he enthusiastically dances in his car while
singing along."|stage direction|||
78||(singing)|location|||
79|DALE (CONT'D)|"You think you know, chico/I know what Bo,
don't know/touch them up and go - uh oh!/
Chi-chi-ching-chang!!!"|speech|DALE|M|True
80||6|unknown|||
81||INT. OFFICE BUILDING - LATER|location|||
82||Dale, wearing a Zerox hat, walks into the building.|stage direction|||
83|SECRETARY|Can I help you?|speech|SECRETARY|M|
84|DALE|Just here to check out some units.|speech|DALE|M|True
85||"The secretary nods and goes back to her work. Dale
casually waltzes down the office halls looking at the
names on the doors. He glances down at his clipboard, it
read: Walter Tandum.
He finds the office and knocks on the door."|stage direction|||
86||WALTER (O.S.)|unknown|||
87|DALE|Come in.|speech|DALE|M|True
88||"Dale enters to see Walter, a 40 year old accountant,
seated at his desk."|stage direction|||
89|WALTER (CONT'D)|"Oh! Hey there. Are you here to fix the
fax machines?"|speech|WALTER|M|
90||DALE|unknown|||
91|WALTER (CONT'D)|Nope.|speech|WALTER|M|
92||Dale drops a blue envelope on Walter's desk.|stage direction|||
93|DALE (CONT'D)|"You owe American Express $4068 dollars.
Sorry, but you've been served."|speech|DALE|M|True
94||"Dale turns and walks away. As he does, he notices a small
kitchen. He enters and is delighted at the array of
snacks and beverages. He helps himself."|stage direction|||
95||INT. DALE'S CAR - LATER|location|||
96||"Dale is parked at a look-out enjoying the food, smoking
weed and has his ear piece in."|stage direction|||
97|RADIO DJ 3|What gives you the right to say that?|speech|RADIO DJ 3|?|
98|DALE|"Everything! They should be able to
collect garbage TWICE a week. Why not?"|speech|DALE|M|True
99||7|unknown|||
100|DALE (CONT'D)|"As a tax payer, can't I say that? Come
get my garbage a bit more! Is that so f-
ing crazy? I'm not asking for free beer
Tuesday's or anything. And the whole city
would be more aesthetically pleasing and
smell better. And don't pretend you can't
smell it. Ever been to New York? Great
place, smells like piss, though."|speech|DALE|M|True
101||(takes a hit and starts|location|||
102||coughing)|unknown|||
103|DALE (CONT'D)|Twice a week,  cough  might fix that.|speech|DALE|M|True
104||(starts coughing harder)|location|||
105|DALE (CONT'D)|Hold on one sec.|speech|DALE|M|True
106||EXT. HOSPITAL - LATER|location|||
107||"Dale gets out of his car, followed by some plumes of
smoke, and goes to his trunk. He chuckles as he takes out
a lab coat and walks towards the hospital."|stage direction|||
108||INT. HOSPITAL - SOON AFTER|location|||
109||"Dale, looking very professional in his lab coat, rushes
to reception."|stage direction|||
110|DALE|I need Dr. Terrence, immediately.|speech|DALE|M|True
111|RECEPTIONIST|Of course. One moment.|speech|RECEPTIONIST|?|
112||The receptionist immediately picks up the phone.|stage direction|||
113||INT. HOSPITAL - MOMENTS LATER|location|||
114||"DR. TERRENCE runs towards reception, where Dale is still
waiting."|stage direction|||
115||(to Dale)|location|||
116|DR. TERRENCE|Hi there, I don't think we've met, I'm-|speech|DR. TERRENCE|?|
117|DALE|"Dr. Edgar Terrence. You're the guy who
repeatedly refused to take care of the
monkey tree that spills onto your
neighbors property. And now, because of
that, you've been served."|speech|DALE|M|True
118||8|unknown|||
119||INT. DALE'S CAR - LATER|location|||
120||"Dale hits a pipe. It is clear he strongly disagrees with
what the DJ is saying."|stage direction|||
121|TALK RADIO DJ|"...stay in your own country. Five simple
words. And stay the hell out of mine! I'm
not a racist, per se, but I'm not some
hippy tree humper."|speech|TALK RADIO DJ|?|
122||We see his ear piece and hear that he is on hold.|stage direction|||
123|DALE|Let me through, damnit.|speech|DALE|M|True
124||EXT. HOTEL - VALET|location|||
125||"Dale, wearing a chauffeur hat, stands by the main
entrance holding a sign that reads: JOSH CORBER. A man
walks out of the hotel and, seeing the sign, approaches
Dale."|stage direction|||
126|CORBER|My name's Corber.|speech|CORBER|M|
127|DALE|You're Joshua Aaron Corber?|speech|DALE|M|True
128||(overjoyed)|location|||
129|CORBER|"Get out of town! Clarice did this, didn't
she? I was just telling her before I left
how I've never been in a limo. Can you
believe it? 35 and I've never been in a
limo. Man! It's not stretched, is it?"|speech|CORBER|M|
130||Dale hands him a BLUE ENVELOPE.|stage direction|||
131|DALE|Sorry, but you've been served.|speech|DALE|M|True
132||Dale walks away. CORBER opens the envelope and reads it.|stage direction|||
133|CORBER|Ah fuck!|speech|CORBER|M|
134||(reads more)|location|||
135|CORBER|Fuck! You fucking asshole!!! FUCK!|speech|CORBER|M|
136||9|unknown|||
137||"Dale completely ignores Corber as he dumps the sign and
walks out of the airport. Then, a huge smile comes across
his face. He has noticed a nearby Burger King."|stage direction|||
138||(excited)|location|||
139|DALE|Hey! Nice. New chicken fries.|speech|DALE|M|True
140||"He happily walks toward the food.
INT - DALE'S CAR - DAY
Dale sits in his car   outside a high school. An array of
Burger King wrappers   surrounds him as he rolls a joint
with the last of his   weed on top of a Batman comic. He
lights the joint and   turns on the radio."|stage direction|||
141|RADIO DJ|...3:09 in the PM and we-|speech|RADIO DJ|?|
142||"Dale turns off the radio, takes one last haul, and then
snubs out the joint. He then pulls out a small leather
kit and sifts through it's contents: handi-wipes, hand
sanitizer, a little vial of cologne, Visine, mouthwash
and breath mints.
Dale vigorously wipes his hands, face, and mouth with wet
naps and then starts futilely attempting to put visine in
his blazing red eyes. Frustrated, he squirts Visine all
over his finger tips and simply rubs them into his eyes.
He uses the mouthwash, chews up a mint, dabs on some
cologne, and then gets out of the car."|stage direction|||
143||EXT. HIGH SCHOOL - CONTINUOUS|location|||
144||Dale walks towards the school.|stage direction|||
145||ANGIE|unknown|||
146|RADIO DJ|Dale!|speech|RADIO DJ|?|
147||"Dale turns to see his attractive 19 year old girlfriend,
ANGIE ANDERSON, walking towards him with her group of
friends. She kisses him."|stage direction|||
148||ANGIE (CONT'D)|unknown|||
149|RADIO DJ|Mmm. Minty.|speech|RADIO DJ|?|
150|ANGIE'S MALE FRIEND|Yo Dale. `sup.|speech|ANGIE'S MALE FRIEND|?|
151||10|unknown|||
152|DALE|Hey Kyle.|speech|DALE|M|True
153||(to Angie)|location|||
154|DALE|"So, should we head back to my place and
finish up the trilogy? Matrix:
Revolution. Whose it gonna be, Angie? Man
or machine?"|speech|DALE|M|True
155|ANGIE|"Of course. But can we just head to my
locker first? I left some stuff by
mistake."|speech|ANGIE|F|True
156|DALE|Sure.|speech|DALE|M|True
157||INT. HIGH SCHOOL - SOON AFTER|location|||
158||Dale and Angie walk hand in hand towards the locker.|stage direction|||
