|character|text|type|character_clean|gender|principal_character
0||"WALKING TALL
Written by
Mort Briskin & David Klass"|unknown|||
1||IMSDb|location|||
2||"INTRO
Inspired by a true story.
We home in on a boat coming in to shore. Off walks a man, he
is carrying a backpack and wearing shades."|stage direction|||
3||EXT. TOWN|location|||
4||"He walks through a town, passing various stores and the general
bustle of the people there. He notices a baby in a pram left
out on the sidewalk, then sees the mother is in an alleyway doing
what looks like a drug deal."|stage direction|||
5||EXT. LUMBER YARD|location|||
6||"Chris reads a closure notice on the door. A police car rolls
up."|stage direction|||
7|SHERIFF WATKINS|How ya doin'?|speech|SHERIFF WATKINS|?|True
8|CHRIS|Ok. When'd the mill close?|speech|CHRIS|M|True
9|SHERIFF WATKINS|"Ahh 3 years this August. If ya lookin
for work you might wanna try Aberdeen,
that's the closest mill work you're
gonna find around here."|speech|SHERIFF WATKINS|?|True
10|CHRIS|That's too bad.|speech|CHRIS|M|True
11|SHERIFF WATKINS|"Nah just simple economics. Y'know we
have a really nice casino here, the
wild cherry. You wanna make some money
maybe you wanna go on down there and
try your luck at the blackjack tables."|speech|SHERIFF WATKINS|?|True
12|CHRIS|Nah I don't think so. Thanks.|speech|CHRIS|M|True
13||Chris turns around and the sheriff notices his name on a bag.|stage direction|||
14|SHERIFF WATKINS|You're Chris Vaughn?|speech|SHERIFF WATKINS|?|True
15||The sheriff chuckles and steps out of the car.|stage direction|||
16|SHERIFF WATKINS|"Well hell, I know all about you Chris.
I know your folks, I'm sheriff Stan
Watkins."|speech|SHERIFF WATKINS|?|True
17||They shake hands.|stage direction|||
18|CHRIS|How ya doin.|speech|CHRIS|M|True
19|SHERIFF WATKINS|"Ralston get outta the car, you're lookin
at a real soldier here pay some respect."|speech|SHERIFF WATKINS|?|True
20|RALSTON|Welcome home soldier.|speech|RALSTON|F|
21|CHRIS|Thanks.|speech|CHRIS|M|True
22|SHERIFF WATKINS|"Here Chris, (opens the back door) We'll
give ya a ride up to your folks."|speech|SHERIFF WATKINS|?|True
23|CHRIS|Nah I'm fine thank you.|speech|CHRIS|M|True
24|SHERIFF WATKINS|I insist.|speech|SHERIFF WATKINS|?|True
25|CHRIS|I'll walk.|speech|CHRIS|M|True
26|SHERIFF WATKINS|Hey it's my pleasure.|speech|SHERIFF WATKINS|?|True
27|CHRIS|It's ok.|speech|CHRIS|M|True
28|SHERIFF WATKINS|"I won't take no for an answer (jokingly
reaches for his gun). HEY! Get in the
car."|speech|SHERIFF WATKINS|?|True
29||Chris raises his hands and the sheriff chuckles.|stage direction|||
30|SHERIFF WATKINS|Did I scare ya with that one?|speech|SHERIFF WATKINS|?|True
31|CHRIS|Lil bit.|speech|CHRIS|M|True
32|SHERIFF WATKINS|Ya. Let's go.|speech|SHERIFF WATKINS|?|True
33||INT. POLICE CAR|location|||
34|SHERIFF WATKINS|You were gone a while huh?|speech|SHERIFF WATKINS|?|True
35|CHRIS|8 years. Harstad was sheriff back then.|speech|CHRIS|M|True
36|SHERIFF WATKINS|"Harstad, yeah. Sad story. About 5 months
back he fell asleep at the wheel and
uhhh... hit a tree. Good man, good man
and a good sheriff."|speech|SHERIFF WATKINS|?|True
37||EXT. THE FAMILY HOME|location|||
38|CHRIS|Thanks for the ride.|speech|CHRIS|M|True
39|SHERIFF WATKINS|"No problem, and uh Chris (hands him
a piece of paper). It's election month...
I'm your man."|speech|SHERIFF WATKINS|?|True
40||"Chris takes the paper and smiles. He walks up the lane toward
the house, a simple white building clad in wood. A lady dressed
in a police uniform comes out."|stage direction|||
41|MICHELLE|Can I help you?|speech|MICHELLE|M|True
42||Chris laughs.|stage direction|||
43|MICHELLE|"Lil' brother.. You come over here and
gimme a hug."|speech|MICHELLE|M|True
44||They laugh together.|stage direction|||
45|MICHELLE|You look great.|speech|MICHELLE|M|True
46|CHRIS|What is this?|speech|CHRIS|M|True
47|MICHELLE|"Hey, I couldn't let you be the only
one looking good in uniform. Hey ma!
Chris is here!"|speech|MICHELLE|M|True
48|CHRIS|"What's with the tent? (points to a tent
set up on the lawn)."|speech|CHRIS|M|True
49|MICHELLE|Oh, that's for Pete.|speech|MICHELLE|M|True
50|CONNIE|Look at you!|speech|CONNIE|M|True
51|CHRIS|How ya doin!|speech|CHRIS|M|True
52||"Chris hugs his mother, Connie. A man slowly emerges from the
front door."|stage direction|||
53|CONNIE|How long do we have ya for?|speech|CONNIE|M|True
54|CHRIS|For good. I'm home.|speech|CHRIS|M|True
55|CONNIE|Really? You're not kiddin.|speech|CONNIE|M|True
56|CHRIS|No.|speech|CHRIS|M|True
57||They hug again.|stage direction|||
58|CHRIS|Hey dad.|speech|CHRIS|M|True
59|DAD|Welcome back.|speech|DAD|M|True
60||INT. KITCHEN|location|||
61||The family are eating takeaway.|stage direction|||
62|CONNIE|"I wish you would have told me you were
coming I would've cooked."|speech|CONNIE|M|True
63|CHRIS|This is great.|speech|CHRIS|M|True
64|MICHELLE|"So what are you gonna do now that you're
home?"|speech|MICHELLE|M|True
65|CHRIS|"Well I was planning on working at the
mill, your letters never mentioned that
it was closed."|speech|CHRIS|M|True
66|CONNIE|"We didn't wanna bother you with our
problems when your father got laid off."|speech|CONNIE|M|True
67|DAD|"I got my business, you saw the furniture
outside."|speech|DAD|M|True
68|CONNIE|"I substitute at the elementary school,
Michelle pitches in. We try to keep
things simple."|speech|CONNIE|M|True
69||A kid walks in.|stage direction|||
70|MICHELLE|Pete! This is your Uncle Chris.|speech|MICHELLE|M|True
71|CHRIS|Hey Pete.|speech|CHRIS|M|True
72|MICHELLE|"Sit down, say hello. Last time he saw
you you were barely walking."|speech|MICHELLE|M|True
73|PETE|And now I'm camping.|speech|PETE|M|True
74|MICHELLE|"I said you could sleep on the couch.
It was Chris' room first."|speech|MICHELLE|M|True
75|CHRIS|"Your tent's gonna take on water. I could
show ya how to rig it."|speech|CHRIS|M|True
76|PETE|"Doesn't look like it's gonna rain to
me Colonel."|speech|PETE|M|True
77|MICHELLE|"Pete, cmon sit down, have somethin to
eat."|speech|MICHELLE|M|True
78|CHRIS|"First of all I was a sergeant. I worked
for a living."|speech|CHRIS|M|True
79|PETE|Did you ever smoke anybody?|speech|PETE|M|True
80|CONNIE|Pete!|speech|CONNIE|M|True
81|MICHELLE|Pete!|speech|MICHELLE|M|True
82|PETE|"Y'know, Papa's still got your gun locked
up in the garage. Think you could teach
me how to shoot?"|speech|PETE|M|True
83|CHRIS|"I figured that'd be scrap metal by now
dad."|speech|CHRIS|M|True
84|DAD|"No, I'm still hoping that you'll melt
that thing down on your own."|speech|DAD|M|True
85|CHRIS|Sorry Pete.|speech|CHRIS|M|True
86|PETE|Whatever. I'm outta here Mom.|speech|PETE|M|True
87|MICHELLE|Okay, be back by ten.|speech|MICHELLE|M|True
88|PETE|Ten thirty (as he walks out)|speech|PETE|M|True
89|MICHELLE|Ten!|speech|MICHELLE|M|True
90|DAD|Remind you of anyone?|speech|DAD|M|True
91||INT. BEDROOM|location|||
92||"We can see from the window that it's raining heavily outside.
Chris sets about unpacking his things. Pete comes in looking
wet."|stage direction|||
93|PETE|Ok it rained. Happy?|speech|PETE|M|True
94|CHRIS|No. Why dontcha crash on the floor?|speech|CHRIS|M|True
95||Pete looks at him.|stage direction|||
96|CHRIS|"Ok, I'll crash on the floor, you crash
on the bed."|speech|CHRIS|M|True
97|PETE|uh uh. (starts walking out)|speech|PETE|M|True
98|CHRIS|Pete. (hands him a towel). Keep ya dry.|speech|CHRIS|M|True
99|PETE|Did you really kill people?|speech|PETE|M|True
100||Chris looks at him.|stage direction|||
101||EXT. OUTSIDE THE HOUSE|location|||
102||A crappy camper van rolls up. A man steps out.|stage direction|||
103|CHRIS|Ray Ray! Ahaaa.|speech|CHRIS|M|True
104|RAY|Hello puddin'.|speech|RAY|M|True
105||They hug.|stage direction|||
106|CHRIS|How ya doin?|speech|CHRIS|M|True
107|RAY|I'm alright.|speech|RAY|M|True
108|CHRIS|What is that? (points to the van)|speech|CHRIS|M|True
109|RAY|That's the lovemachine.|speech|RAY|M|True
110|CHRIS|Girls actually get in there?|speech|CHRIS|M|True
111||Ray shrugs.|stage direction|||
112|CHRIS|How ya been?|speech|CHRIS|M|True
113|RAY|Good. Clean livin.|speech|RAY|M|True
114|CHRIS|Wanna beer?|speech|CHRIS|M|True
115|RAY|"No. Believe it or not I quit drinkin.
I'll take a soda though."|speech|RAY|M|True
116|CHRIS|Here.|speech|CHRIS|M|True
117|RAY|Thanks man.|speech|RAY|M|True
118|CHRIS|"Whoah. (spots a tattoo of a guitar on
Ray's arm)."|speech|CHRIS|M|True
119|RAY|"Ya like that? When you left town it
gave me the idea that I should do something
with my life too so uhh I went down
to Seattle, got a guitar and became
all about music. And then pretty soon
I was about music and drugs, n pretty
soon I was basically just about drugs.
Ended up doin 2 years for B+E."|speech|RAY|M|True
120|CHRIS|I'm sorry.|speech|CHRIS|M|True
121|RAY|"Nahh, look at me now though right? I
been clean and sober for 14 months,
doing construction and renewing those
supportive and healthy friendships from
my past. Matter of fact I talked to
the bastards, told em you were back
and they asked me to politely remind
you that kick off's in twenty minutes."|speech|RAY|M|True
122||EXT. FOOTBALL FIELD|location|||
123||"A group of guys are there waiting, one of them holding a ball.
They salute as Chris walks up. They all laugh."|stage direction|||
124|CHRIS|Playin ball?|speech|CHRIS|M|True
125|ALL|Let's play ball!|speech|ALL|M|
126|JIMMY|"Ray go deep go deep! (as Ray runs off
he throws the ball into Ray's back)."|speech|JIMMY|M|True
127|CHRIS|"(Spotting a sign that reads 'HAMILTON
FIELD') When did that happen?"|speech|CHRIS|M|True
128|JIMMY|"His parents hadn't left him the mill
more than 2 minutes before he shut it
down."|speech|JIMMY|M|True
129|CHRIS|Why?|speech|CHRIS|M|True
130||"a voice shouts 'HEADS UP' Chris catches a fast ball thrown from
behind. Jay steps out of his vehicle."|stage direction|||
131|JAY|Cause I opened my Casino.|speech|JAY|M|True
132|CHRIS|Still got a gut huh Jay?|speech|CHRIS|M|True
133|JAY|"Still got your reflexes. What, you get
tired of being all that you can be?"|speech|JAY|M|True
134|CHRIS|I'm still all I can be.|speech|CHRIS|M|True
135|JAY|"Really? I'll just have to see about
that. What brings you home?"|speech|JAY|M|True
136|CHRIS|I just wanna relax, catch my breath.|speech|CHRIS|M|True
137|JAY|You? Relax?|speech|JAY|M|True
138||Another truck with a few guys on it pulls up|stage direction|||
139|JAY|Not today.|speech|JAY|M|True
140||"A football game ensues, there are two teams. Jay's guys vs Chris'
guys. On the sidelines Pete pulls up on a small motorcycle. Chris
notices Pete hanging around with kids smoking. It comes down
to the last play, the teams are huddled into two groups talking."|stage direction|||
141|RAY|If we score here we win right?|speech|RAY|M|True
142|CHRIS|"Alright boys, last play. We need to
put this to rest."|speech|CHRIS|M|True
143|RAY|Just give me the ball.|speech|RAY|M|True
144|CHRIS|You got it. On the first hut!|speech|CHRIS|M|True
145|JAY|Ok Vaughn, last chance.|speech|JAY|M|True
146||"Chris gets the ball and throws it. An opponent comes in hard
and tackles him low. He collapses. Ray runs for the ball but
gets clotheslined by Jay."|stage direction|||
147|JAY|That's game!|speech|JAY|M|True
148|OPPONENT|(to Chris) Sorry about that.|speech|OPPONENT|M|
149|CHRIS|That's cool man.|speech|CHRIS|M|True
150||Chris Helps Ray onto his feet.|stage direction|||
151|JAY|Welcome home.|speech|JAY|M|True
152|CHRIS|Good to be back.|speech|CHRIS|M|True
153|JAY|"See ya round. Hey, if you're not doing
anythin later on you could come by the
casino. I'll introduce ya to some nice
girls, drinks are on me. Whaddya say?"|speech|JAY|M|True
154|CHRIS|See ya tonight.|speech|CHRIS|M|True
155|JAY|Cool.|speech|JAY|M|True
156||Jay speeds off in his car. Pete rolls up on his bike.|stage direction|||
157|PETE|Hey Sarge, good game. Maybe next time.|speech|PETE|M|True
158|CHRIS|"Hold up. Maybe next time I won't see
you with the bleachers smoking weed."|speech|CHRIS|M|True
159|RAY|Welcome home buddy.|speech|RAY|M|True
160||EXT. OUTSIDE THE WILD CHERRY CASINO|location|||
161|CHRIS|"Don't you have to be native american
to own a casino?"|speech|CHRIS|M|True
162|JIMMY|"Oh Hamilton's one sixteenth black man
now."|speech|JIMMY|M|True
163|FRIEND 2|"Just so you guys know, I'm gonna triple
my money tonight."|speech|FRIEND 2|?|
164|FRIEND 3|"Yea, like last time. Wound up selling
your body for bus fare."|speech|FRIEND 3|?|
165|FRIEND 4|He had to walk!|speech|FRIEND 4|?|
166||They all laugh.|stage direction|||
167|CHRIS|"Nobody's gonna have any problems finding
this place."|speech|CHRIS|M|True
168|RAY|"It's the subtle attention to aesthetics
that I find most impressive, blends
in with the mountains SO nicely."|speech|RAY|M|True
169||INT. WILD CHERRY CASINO|location|||
170||The place is packed with gambling tables and attractive women.|stage direction|||
171|FRIEND|Not bad huh?|speech|FRIEND|M|
172|CHRIS|Not bad.|speech|CHRIS|M|True
173|RAY|"Isn't it wonderful? All your gambling
needs under one great big roof. You
got your ATM machine, tellers to cash
your paycheck, and when you're here
you don't gotta worry about those lil
things like child support, rent, the
laws of mathematical probability."|speech|RAY|M|True
