|character|text|type
0||"AVATAR
Written by
James Cameron"|unknown
1||"THE SOUND OF DRUMS, from a great distance, growing louder.
FADE IN:
WE ARE FLYING through mist, a dimly glimpsed forest below."|stage direction
2||"VOICE (V.O.)
When I was lying there in the VA
hospital, with a big hole blown through
the middle of my life, I started having
these dreams of flying."|unknown
3||"We are very low over the forest now, gliding fast, the drums
BUILDING to a PEAK --"|stage direction
4||"VOICE (V.O.)
Sooner or later though, you always have
to wake up...
CUT TO:"|unknown
5||EXT. CITY - NIGHT|location
6||"A SCREECH OF BRAKES as a vehicle WIPES FRAME, revealing --
JAKE SULLY, a scarred and scruffy combat vet, sitting in a
beat up carbon-fiber wheelchair. At 22, his eyes are
hardened by the wisdom and wariness of one who has endured
pain beyond his years.
Jake stares upward at the levels of the city. MAGLEV TRAINS
WHOOSH overhead on elevated tracks, against a sky of garish
advertizing."|stage direction
7||"JAKE (V.O.)
They can fix a spinal, if you've got the
money. But not on vet benefits, not in
this economy."|unknown
8||"The traffic light changes and Jake pushes forward with the
crowd, pumping the wheels of his chair. Most of the people
wear FILTER MASKS to protect them from the toxic air. In a
LONG LENS STACK it is a marching torrent of anonymous,
isolated souls."|stage direction
9||INT. JAKE'S APARTMENT - NIGHT|location
10||"The room is a tiny CUBICLE, prison cell meets 747 bathroom.
Narrow cot, wall-screen droning away in the B.G. --"|stage direction
11||"PERKY NEWSCASTER
The Bengal tiger, extinct for over a
century, is making a comeback. These
cloned tiger cubs at the Beijing Zoo
are...
2."|unknown
12||"Jake laboriously pulls his pants off -- rocking to one side,
pushing the fabric down past his hip, then rocking to the
other, and so on.
His legs are white and atrophied. Utterly useless. But his
arms are tattooed and powerfully muscled. A ""Born Loser""
tattoo prominent on his shoulder."|stage direction
13|JAKE (V.O.)|"I became a Marine for the hardship. To
be hammered on the anvil of life. I told
myself I could pass any test a man can
pass."|speech
14||Jake struggles with his pants a long time.|stage direction
15||CUT TO:|unknown
16||INT. ROWDY BAR -- NIGHT|location
17||"Not the kind of place you'd bring your mom.
We find Jake near the pool table, BALANCING his chair, front
wheels off the ground, while holding a tequila shot on his
forehead. ONLOOKERS, including some other disabled vets,
CLAP and WHOOP.
Jake grabs the glass, SLAMS down the shot as they cheer.
A WALL-SIZED SCREEN filled with the World Cup game -- men
RUNNING on antelope legs.
CU JAKE, watching what he can't have.    Expression stony."|stage direction
18|JAKE (V.O.)|"Let's get it straight up front. I don't
want your pity. I know the world's a
cold-ass bitch."|speech
