|character|text|type
0||"by
Akiva Goldsman"|unknown
1||"CHAPTER 1: Earth 2058
FADE IN ON:"|stage direction
2||EXT.-SPACE|location
3||"PULL BACK slowly as MARS fills THE FRAME, a sphere of red desert and
fast rushing crimson clouds.
A triangular CARGO SHIP descends from the dark of space."|stage direction
4|PILOT (OVER)|"Mars mining base, this is Grissom One,
Request final descent vector."|speech
5||REVERSE ANGLE|stage direction
6||EXT.-MARS|location
7||"A row of giant red mountains and beneath, on the planet's surface, the
spires of A MINING BASE. Illuminated landing crosshairs alight a
landing pad, beckoning the ship."|stage direction
8|CONTROLLER (OVER)|"Roger, Grissom One, this is Mars
Mining, You are cleared to land. Hope
you got some Partagas in that rust
bucket, Sal."|speech
9||EXT.-EDGE OF SPACE|location
10||"THE CARGO SHIP changes attitude, landing thrusters FIRING as the
vessel begins to penetrate the atmosphere."|stage direction
11|PILOT|I brought you the most amazing...|speech
12||"Amazing, what, we'll never know. The CARGO SHIP begins to EXPLODE, the
bubble bridge BLOWING out into space in a ball of fire."|stage direction
13||EXT.- MARS|location
14||"LOW ANGLE from the planet's surface-. Two shapes BLAST through FRAME,
BUBBLE FIGHTERS, single pilot, transparent globes, racing up towards
the sudden star of the cargo ship at impossible speed."|stage direction
15||INT.-BUBBLE FIGHTER|location
16||"POV of the burning Cargo Ship, coming towards us incredibly fast.
Speed, trajectory and tactical readouts flash."|stage direction
17||EXT.-CARGO SHIP|location
18||"The pulse lasers are still hammering the ravaged hull.
WIDER
Two sinister ATTACK SHIPS, their lasers locked onto the Cargo Ship,
FIRE away as they BLAST overhead. The nuclear core of the Cargo Ship
overloads, the craft finally EXPLODING in a storm of fire.
A BUBBLE FIGHTER ROARS through the hurling world of flame. PUSH IN."|stage direction
19||INT.-BUBBLE FIGHTER|location
20||"A lone FIGURE stands in a gyroscopic harness, working a heads-up
holographic display, command controls spinning 360 degrees with the
pilot's Comas the fighter SCREAMS after the fleeing raider.
The harness spins, the pilot coming clearly into view. Handsome,
intense, reckless eyes. MAJOR DON WEST."|stage direction
21|WEST|"Sino-Jordanian Raiders. They're
claiming the cargo ship violated
their air-space."|speech
22||INT.-SECOND BUBBLE FIGHTER|location
23||"Another pilot (JEB WALKER) commands an identical craft, ROCKETING
towards the assault craft just below West's."|stage direction
24|JEB|"This cold war's heating up. Where did
they come from?"|speech
25||INT.-WEST'S BUBBLE FIGHTER|location
26|WEST|"Hell. And we're going to send them
back screaming."|speech
27||West activates his targeting computer.|stage direction
28|WEST|"Last one to kill a bad guy buys the
beer."|speech
29||"TARGETING DISPLAY-CLOSE. The fleeing Attack Ship jogs in and out of
the crosshairs on West's holographic array. West fires."|stage direction
30||EXT.-SPACE|location
31||The Attack Ship SHOOTS straight up, dodging West's laser BLASTS.|stage direction
32||INT.-WEST'S BUBBLE FIGHTER|location
33||"West closes on the fleeing craft, as Jeb engages the other Attack
Ship, lasers FIRING in the b.g., visible through the transparent
surface of the bubble glass under West's feet."|stage direction
34|WEST|"What's that sound? must be the fat lady
warming up."|speech
35||EXT.-SPACE|location
36||"The fleeing Attack Ship loops in mid-space, reversing direction,
heading straight towards West's Bubble Fighter. A game of chicken."|stage direction
37||INT.-WEST'S BUBBLE FIGHTER|location
38||"West doesn't flinch. Bears down, FIRING madly, the two space ships
heading straight for each other."|stage direction
39|WEST|"That's right. Come on, come on, you wanna
play, I wanna play."|speech
40||EXT.-SPACE|location
41||"The two ships are ROCKETING towards each other, locked in collision
vectors, lasers FIRING wildly.              asdasd"|stage direction
42||INT.-WEST'S FIGHTER|location
43|WEST|"I can hear her. Oh, yes, oh yes. She's
gonna sing."|speech
44||"TARGETING:DISPLAY-CLOSE. The Attack Ship flashes, captured in the
targeting hatchmarks. The display expands into a tactical grid."|stage direction
45|COMPUTER|Target lock.|speech
46||EXT.-SPACE|location
47||Imminent collision.|stage direction
48||INT.-WEST'S FIGHTER|location
49||The hull of the Attack Ship fills his bubble glass.|stage direction
50|WEST|"The lights are dimming. The curtain's
coming down. Sing you fat, old bag,
sing!"|speech
51||West hits the firing stud.|stage direction
52||EXT.-DEEP SPACE|location
53||"West's pulse lasers converge on the Attack Ship barely meters ahead,
the ROARING craft EXPLODING directly before him."|stage direction
54||INT.-WEST'S BUBBLE FIGHTER|location
55||"(OVER) WEST SCREAMS as he shoots through the sudden conflagration of
flame and debris, everywhere and then gone, giving way to the
blackness of space and the starfield beyond."|stage direction
56|WEST|Show's over.|speech
57||"Below, the second Attack Ship ROARS past, lasers FIRING, locked in a
pinwheel battle with Jeb's Bubble Fighter."|stage direction
58||EXT.-SPACE|location
59||"JEB'S BUBBLE FIGHTER banks, avoiding the high energy volley. Almost. A
laser BURST grazes his Bubble Fighter, the surface of his craft
sparking, suddenly scored with flames."|stage direction
60||INT.-JEB'S CRAFT|location
61||The Attack ship is right behind him.|stage direction
62|JEB|"Weapons are off line. Jettisoning main
drive core."|speech
63||EXT.-SPACE|location
64||"The thruster core of Jeb's Bubble Fighter BLOWS off in a bolus of
flame, soaring back into the pursuit craft. The Raider EXPLODES."|stage direction
65||INT.-JEB'S CRAFT|location
66||Controls are sparking. Displays flicker. (OVER) An ALARM sounds.|stage direction
67|COMPUTER|Warning. Failure in redundant drive systems.|speech
68||JEB-POV. The surface of Mars is rushing up fast.|stage direction
69|COMPUTER|Impact on in 90 seconds.|speech
70|JEB|Mars Control. . .|speech
71||EXT.-SPACE|location
72||Jeb's ship is barreling toward the planet.|stage direction
73|JEB (OVER)|. . .this is Ranger One.|speech
74||INT.-WEST'S FIGHTER|location
75|JEB (ON RADIO)|"...Engines will not respond. Require
assistance. Repeat..."|speech
76|BASE (ON RADIO)|"Ranger One this is Grissom Base.
Rescue craft have been dispatched."|speech
77||EXT.- MARS MINING COLONY|location
78||Three small rescue craft race skyward.|stage direction
79||INT.-JEB'S CRAFT|location
80|COMPUTER|Impact in 60 seconds.|speech
81||Mars fills the view screen.|stage direction
82||INT.-WEST'S CRAFT|location
83||The rescue craft are speeding toward Jeb's fighter below.|stage direction
84|WEST|"Grissom, this is Eagle One. Those Pugs
Will never reach him in time."|speech
85|BASE (ON RADIO)|"Eagle one clear this frequency and
return to base."|speech
86||"DON takes a beat. Then he spins his chair towards Mars, begins working
the controls."|stage direction
87|WEST|"This is Eagle One. I'm going after
him."|speech
88|BASE (OVER)|"Negative Eagle one, your craft is not
equipped"|speech
89||West hits his thrusters.|stage direction
90||EXT.-SPACE|location
91||West's craft dives toward Jeb's ship and Mars below.|stage direction
92||INT.-JEB'S FIGHTER|location
93||Mars is coming up fast.|stage direction
94|COMPUTER|Impact in 30 seconds.|speech
95|WEST (OVER)|"Jeb, do you have navigational
thrusters?"|speech
96|JEB|Don?|speech
97|WEST (OVER)|It's a yes or no question.|speech
98||Mars fills the windscreen. Jeb checks his status display.|stage direction
99|JEB|Marginal. But in the green.|speech
100|COMPUTER|Impact in 15 seconds.|speech
101|WEST (OVER)|Head towards the canals.|speech
102|JEB|What are you doing?|speech
103|WEST (OVER)|"Saving your ass. Read towards the
canals. Now!"|speech
104||"The canal streaked face of the Mars is all Jeb can see. He grabs his
throttle, engages his navigational thrusters and pulls."|stage direction
105||EXT.-JEB'S SHIP|location
106||"A tiny directional thruster FIRES, angling Jeb's craft so that it
scrapes the surface of Mars and dives into a giant canal, rocky walls
rushing up fast."|stage direction
107||INT.-WEST'S SHIP|location
108||West is accelerating toward Jeb.|stage direction
109|BASE (OVER)|"Major West, your ship is not equipped
for rescue. You are not authorized to
jeopardize this asset. That is
a direct order. Acknowledge!"|speech
110||West slams a switch, deactivating his radio.|stage direction
111|WEST|Never liked that station, anyway.|speech
112||He BLASTS into the canal, walls rushing up on either side of him.|stage direction
113||EXT.-MARTIAN CANAL|location
114||"Jeb's tiny craft is plunging toward the rocky crater floor below.
Overhead West's fighter appears, under full thrusters, roaring towards
the crater floor faster and at a sharper angle."|stage direction
115||INT.-3EB'S FIGHTER|location
116||The canal floor is rushing up fast.|stage direction
117|COMPUTER|Impact in five seconds.|speech
118||INT.-WEST'S FIGHTER|location
119||"Don is blasting toward the canal floor, almost as if trying to beat
Jeb's ship to a fiery impact below."|stage direction
120|COMPUTER|Warning. Proximity alert.|speech
121|WEST|"Jeb, I'm going to give you a little
kiss. Don't take it the wrong way."|speech
122||EXT.-MARTIAN CANAL|location
123||West angles his ship directly under Jeb.|stage direction
124||INT.-JEB'S FIGHTER|location
125||"The expanding surface of Mars, visible beneath his feet, is suddenly
obscured by Don's fighter, swooping under his ship."|stage direction
126|JEB|Don, abort. Abort.|speech
127||INT.-WEST'S FIGHTER|location
128||"Jeb's fighter is visible overhead.
West going up. Don angles the throttle."|stage direction
129||EXT.-MARTIAN CANAL|location
130||"Don's ship, sandwiched between the surface of Mars and Jeb's fighter,
angles up and, like a cue ball hitting it's target, Knocks Jeb's ship
spinning toward the safety of space beyond. West's ship actually
scrapes the surface of the planet, sending up a plume of Martian dust."|stage direction
131||INT.-WEST'S FIGHTER|location
132|JEB (OVER)|Does this mean we're going steady?|speech
133||West pulls his throttle all the way back.|stage direction
134||EXT.-MARTIAN CANAL|location
135||West shoots up and out towards the dark of space.|stage direction
136|WEST (OVER)|"You weren't getting out of buying
those beers that easy."|speech
137||The rescue craft converge on Jeb's ship as Don heads for base.|stage direction
138||CUT TO:|unknown
139||"CHAPTER 2: Mission Objectives
IMAGES-CLOSE. A Sallow field. (OVER) a heroic, stringy anthem."|stage direction
140||VO|location
141|WEST (OVER)|"Imagine an end to world hunger. What
if ample food and clean drinking water
were the birthright of all our
planet's children?"|speech
142||INSERT IMAGE-A dashing hero, wind in his hair. JOHN ROBINSON.|stage direction
143||VO|location
144|WEST (OVER)|"This man, professor John Robinson,
inventor of the faster than light
hyperdrive can make that timeless
dream a reality."|speech
145||INSERT IMAGES -Airbrushed faces of a perfect family. THE ROBINSONS.|stage direction
146||VO|location
147|WEST (OVER)|"John Robinson and his family have been
extensively trained to take a ten year
journey across the galaxy in the
world's most advanced spacecraft,
The Jupiter."|speech
148||INSERT IMAGE-A towering launch dome glints in the morning sun.|stage direction
149||VO|location
150|WEST (OVER)|"From a distant world, the Robinsons,
Will bring back a miracle..."|speech
151||"INSERT IMAGE-A satellite photo of a planet. Closer on continental
patches, enhanced to show deposits of a diamond like powder."|stage direction
152||VO|location
153|WEST (OVER)|"Dimondium can turn even worthless sand
to fertile soil. Earth WILL be a
garden. What kind of - future can our
children look forward to?"|speech
154||INSERT IMAGES - Sun dappled, swaying wheat. (OVER) Music crescendos.|stage direction
155||V0|location
156|WEST (OVER)|"A future without hunger. A future
without suffering. Heaven on Earth."|speech
157||INSERT CORPORATE LOGO.-A Coke bottle hurling towards the stars.|stage direction
158||V0|location
159|WEST (OVER)|"This mission sponsored by the US Army
and the Coca-Cola corporation."|speech
160||"PULL BACK TO REVEAL
WILL ROBINSON (10) hides in a small space, watching the commercial on
a jury-rigged, palm-sized computer. He mimics the Naylrator."|stage direction
161||WILL|location
162|WEST (OVER)|"Coke. Saving the world for our
children.
(a beat)
Give me a hi-test break."|speech
163||"WILL-POV. Spying through the open slats of his biding place into...
INT:-LIVING ROOM-AFTERNOON
Basic twenty first century modern. MAUREEN ROBINSON stands, talking
with a PRINCIPAL who in less than happy."|stage direction
164||PRINCIPAL|location
165|WEST (OVER)|"He hacked our main power grid to run
his experiment. The school was in
chaos. We didn't even have lights."|speech
166||"The room lights suddenly dim. The Principal flickers, revealed as a
holograph, her head now sitting on Schwartzenegger body.
Maureen LAUGHS, then realizes the Principal has no idea her image is
being distorted. Maureen begins moving about the room, surreptitiously
glancing behind couches, into cabinets."|stage direction
167||PRINCIPAL (OVER)|location
168|WEST (OVER)|"This is no laughing matter, Mrs.
Robinson. Will is terribly gifted. His
little time machines, though pure
fancy, are the products of a truly
brilliant mind."|speech
169||"The Principal's body has become Twiggy's. Now that of an ape. Maureen
pulls open a closet. Will sits inside. Grins."|stage direction
170||WILL|location
171|WEST (OVER)|The changing shape of education.|speech
172||MAUREEN|location
173|WEST (OVER)|No more monkey business.|speech
174||Will shrugs, adjusts his deck. The Principal returns to normal.|stage direction
175||PRINCIPAL|location
176|WEST (OVER)|"The boy is starved for attention. Was
there no way his father could have
attended the science fair?"|speech
177||EXT.-HOUSTON - DAY|location
178||"Probably Austin and Dallas too. Texas has become a giant urban sprawl
spreading into Mexico and beyond. Immense industrial air purifiers
hang in a dark, wet sky."|stage direction
179||EXT.-HOUSTON SPACE COMMAND-ESTABLISHING|location
180||A giant dome topped pedestal towers ever the skyline.|stage direction
181||INT.-SPACE COMMAND-MISSION CONTROL-DAY|location
182||"A MAN stands before a large viewscreen facing the throng of PRESS.
He's a little uncomfortable with all the media attention. This is
PROFESSOR JOHN ROBINSON."|stage direction
183||JOHN|location
184|WEST (OVER)|"Once we have landed on Alpha Prime our
on board robot will begin construction
of a hypergate."|speech
185||ON SCREEN a hi-tech orbital gate is highlighted and expanded.|stage direction
186||JOHN|location
187|WEST (OVER)|"By then, technicians here on Earth
will have completed a companion
hypergate in our planet's orbit."|speech
188||ON SCREEN an image of an orbital gate now under construction.|stage direction
189||JOHN|location
190|WEST (OVER)|"Once both gates are complete, ships
will be able to pass instantaneously
between them. The Jupiter can bring
the Dimondium back to Earth without
the ten year delay of a return trip."|speech
191||REPORTER|location
192|WEST (OVER)|"Why can't you just use the Jupiter's
hyperengine to zap straight to Alpha
Prime?"|speech
193||JOHN|location
194|WEST (OVER)|"As you know, hyperspace exists beneath
normal space. If you try to enter
hyperspace without a gate"|speech
195||"ON SCREEN a graphic spaceship appears randomly in the corner of a
turning schematic of the galaxy."|stage direction
196||JOHN|location
197|WEST (OVER)|"Your exit vector is random. There's no
telling where you'd come out."|speech
198||REPORTER|location
199|WEST (OVER)|"Professor, how is Captain Daniels
recovering from the flu? Will we still
be able to pilot the mission?"|speech
200||John glances to the doorway where a uniformed GENERAL stands.|stage direction
201||GENERAL|location
202|WEST (OVER)|"Ladies and Gentlemen, you came to get
a look at the Jupiter One. Don't you
think you've waited long enough?"|speech
203||John hits a button and the room darkens. A giant monitor reveals...|stage direction
