|character|text|type
0||"""METRO""
Screenplay by
Randy Feldman
SHOOTING DRAFT"|unknown
1||"FADE IN:
CLOSEUP OF SCOTT ROPER
He's listening to the stretch call of a horse race, and he's
into it."|stage direction
2|TRACK ANNOUNCER (O.S.)|"...at the top of the stretch it's
Cozy Girl in front with Backtrack
coming on... Cozy Girl by a length,
Backtrack closing..."|speech
3|ROPER|Come on. Stay up there, Cozy Girl...|speech
4||"The CAMERA GRADUALLY pulls back to reveal that Roper is
driving his Trans Am across the Bay Bridge. HELICOPTER SHOTS
give a soaring view of the San Francisco skyline."|stage direction
5|TRACK ANNOUNCER (O.S.)|"At the eighth pole it's Cozy Girl by
half a length... Backtrack closing..."|speech
6||INT. CAR - DAY|location
7||Roper's police radio SQUAWKS.|stage direction
8|DISPATCHER (V.O.)|One-one-four to Roper.|speech
9||He picks up the radio.|stage direction
10|ROPER|Dig in, Cozy Girl...|speech
11||(into the radio)|location
12|ROPER|Roper go.|speech
13|DISPATCHER (V.O.)|"One-four, Roper. Code 2.C.P. 4th and
Grand."|speech
14|TRACK ANNOUNCER (O.S.)|"It's Cozy Girl holding on... Cozy
Girl and Backtrack..."|speech
15|ROPER|I'm en route. E.T.A. in five.|speech
16||He tosses the radio down. Punches the accelerator.|stage direction
17|ROPER|Stay up there, Girl...|speech
18|TRACK ANNOUNCER (O.S.)|"Cozy Girl in front by a neck... Now
a head..."|speech
19||EXT. TRANS AM - DAY|location
20||Weaving through traffic on the bridge.|stage direction
21|ROPER (V.O.)|Where's the damn wire?!|speech
22|TRACK ANNOUNCER (O.S.)|"Here comes the wire... and...
Backtrack gets up in the last jump.
Cozy girl a very game second."|speech
23|ROPER (V.O.)|SHIT!|speech
24||The Trans Am streak off toward the city.|stage direction
25||EXT. BANK - DOWNTOWN - DAY|location
26||"A hostage situation. Police barricades. Dozens of squad cars,
ambulances, spectators, SWAT team. It's a stalemate. Roper's
Trans Am pulls to a stop at the barricades. He hops out,
weaves through the spectators and past the barriers.
A FEMALE DETECTIVE, EIKO KIMURA, rushes up to him."|stage direction
27|KIMURA|Hi, Roper.|speech
28|ROPER|Hi, Kimura. Where's the command post?|speech
29||"Kimura points to the diner in the middle of the block. Roper
heads toward it. As they walk Kimura briefs him..."|stage direction
30|KIMURA|"The suspect came in shortly after
the bank opened. Botched robbery. A
teller hit the silent alarm. He took
seven hostages. Shot one -- the guard.
He's still alive. So far he's asked
for..."|speech
31|ROPER|...a car.|speech
32|KIMURA|"That's right, and a plane waiting at
the airport. If he doesn't..."|speech
33|ROPER|"...get 'em, he's going to start
shooting hostages in five minutes..."|speech
34|KIMURA|That's right.|speech
35|ROPER|What's the suspect's name?|speech
36|KIMURA|Earl.|speech
37||INT. DINER - DAY|location
38||"Across from the bank. This is where the ""command post"" is
setup. About a dozen cops and the accompanying support staff
are here. Lieutenant SAMUEL BAFFERT is in charge. Roper
saunters in."|stage direction
39|ROPER|Hello, guys.|speech
40|BAFFERT|"Hello, Roper. Glad you could join
us."|speech
41||Roper walks over to the counter where Baffert is standing.|stage direction
42|ROPER|Do we have a profile on Mr. Earl?|speech
43||Baffert hands him a folder. Roper opens it.|stage direction
44|BAFFERT|This guy is no genius.|speech
45||Roper scans the profile.|stage direction
46|ROPER|They're not usually graduate students.|speech
47|BAFFERT|SWAT wants to go in.|speech
48|ROPER|"What's the rush? They haven't killed
anybody yet this week?"|speech
49||Roper refers to the folder.|stage direction
50|ROPER|"We got a guy who's probably on drugs.
He's got a record of 459's and he
was busted on possession. But he's
never been busted on a major felony.
What's his demeanor?"|speech
51|KIMURA|"Well he's a little fucking agitated --
he ripped the phone out."|speech
52|ROPER|I have to go face to face.|speech
53|BAFFERT|No -- you can't do that.|speech
54|ROPER|"You got 7 hostages in there, 1 of
them's wounded -- We don't know how
bad it is -- The guy ripped the phone
out -- SWAT said he's got a gun to
the head of a female hostage. If
SWAT makes entry now, you're gonna
lose 1 hostage, maybe 2. I gotta go
in. Maybe I can see what's going on
in there."|speech
55|BAFFERT|I don't know.|speech
56|ROPER|"He's never offed anybody. His rap
doesn't show any violence."|speech
57|BAFFERT|Not that we know of.|speech
58|ROPER|"We don't know how much time we have.
If I can get in to talk to him --
maybe we won't lose anyone."|speech
59|BAFFERT|"Maybe we can get a throw phone in
there."|speech
60|KIMURA|"SWAT says it's broken -- The perp in
the last situation rendered it
inoperable."|speech
61|BAFFERT|What do you mean?|speech
62|KIMURA|"He urinated on it and shorted out
the circuits."|speech
63|ROPER|"We gonna stand here and talk about
it or let the guy in there bleed to
death."|speech
64||(beat... beat)|location
65|ROPER|Give me a dozen donuts.|speech
66||Roper pulls out his gun and places it on the counter.|stage direction
67||EXT. STREET - DAY|location
68||Roper eats the donut as he crosses toward the bank.|stage direction
69||EXT. ROOFTOP ACROSS THE STREET - DAY|location
70||"A team of two SWAT TEAM MEMBERS, FORBES IS A SPOTTER AND
MCCALL IS A SHARPSHOOTER. KEVIN MCCALL, is the one we're
interested in. He's 25 years old, handsome, all American.
He's the best the SWAT team has.
He crouches motionless, staring through the scope of his
rifle, watching as Roper calmly walks toward the bank."|stage direction
71|FORBES|"What do you think he's got in the
bag?"|speech
72|MCCALL|Donuts.|speech
73|FORBES|"You can't take a guy down with a
donut."|speech
74||INT. BANK - DAY|location
