|character|text|type
0||"RUSH HOUR 2
BY
Jeff Nathanson"|unknown
1||EXT. HONG KONG SKYLINE - ESTABLISHING|location
2||"A smoky haze dims the blazing sun.  Skyscrapers sit like
watchtowers over the city, where East meets West for five and
a half million people a day."|stage direction
3||EXT. AMERICAN CONSULATE - HONG KONG - DAY|location
4||"THE AMERICAN EMBASSY - U.S. and Chinese flags side by side.
HU LI, dark glasses, EXITS and slowly moves toward a STREET
VENDOR across the street.
She pays for an order of pork bao; as she takes her first
bite we see:
THE EXPLOSION BEHIND HER
TWO OFFICES ON THE SIXTH FLOOR BLOWN OUT - a huge fireball
erupting over one side of the embassy.
People panic and run.  Hu Li doesn't even flinch.  She takes
a bite of her pork bao as she casually turns to the stunned
street vendor."|stage direction
5||(Chinese, subtitled)|location
6|HU LI|Someone better call the police.|speech
7||EXT./INT. LEE'S CAR - CONTINUOUS|location
8||"The passenger window rolls down and we see Carter, styling in
a Chinese-cut suit.  He's holding a Chinese-English
dictionary, leaning out the window - giving his best ""do me""
look to two girls in a convertible."|stage direction
9||(int Chinese)|location
10|CARTER|Deng wa lu yun cai-shen wu.|speech
11||"The HORRIFIED GIRLS speed off, and Carter turns to Lee, who
is driving and singing to his radio."|stage direction
12||(singing)|location
13|LEE|"...wish they all could be California...
wish they all could be California
girls..."|speech
14||"Carter ejects the BEACH BOYS CD from the stereo and TOSSES it
out of the SUNROOF."|stage direction
15|CARTER|"I warned you about playing that shit
when I'm in the car."|speech
16|LEE|"That was my CD.  Don't you ever touch a
Chinese man's CD."|speech
17|CARTER|"Did you see the way those girls drove
off?  I did you a favor."|speech
18|LEE|Those girls drove off because of you.|speech
19|CARTER|All I did was invite them for a drink.|speech
20|LEE|"You invited them to get naked and
sacrifice a small goat."|speech
21||(checking Chinese-English|location
22|dictionary)|"I said that?  Which word was ""goat?"""|speech
23||Lee picks up his CD case.|stage direction
24|LEE|"You owe me a copy of the Beach Boys
Greatest Hits, Volume Two."|speech
25|CARTER|"Don't be giving me attitude, Lee.  I've
been here three days and we haven't done
shit.  We haven't been to a club,
haven't even talked to a girl.  I'm on
vacation, and I want some mu-shu."|speech
26|LEE|Mu-shu?  You're hungry?|speech
27|CARTER|"Not Mu-shu.  Mu-shu.  I want to see some
women.  Now stop playing dumb and show
me the shu!"|speech
28||"Carter flips through the dictionary.  A CALL COMES in over
LEE'S CELL PHONE.
INTERCUT"|stage direction
29||INT. SUPERINDENDENT CHIN'S OFFICE - NIGHT|location
30||The following conversation is in Chinese, English subtitles.|stage direction
31|SUPERINDENDENT CHIN|"Lee, there was a bombing at the American
Embassy.  Two American translators were
killed."|speech
