|character|text|type
0||"SURROGATES
Written by
John Brancato & Michael Ferris"|unknown
1||Based on the graphic novel|stage direction
2||"""THE SURROGATES""
By
Robert Venditti
October 16, 2007"|unknown
3|unknown|FADE IN ON:|speech
4||EXT. CITY STREETS - NIGHT -- MOVING|location
5|unknown|"A DISTORTED IMAGE of downtown city streets at night.
This is not a FISHEYE LENS, but the REFLECTION in the
mirrored surface of a helmet visor."|speech
6||EXT. LUXURY BUILDING - NIGHT|location
7|unknown|"A near-future MOTORCYCLE stops near a dramatic HIGH-RISE
RESIDENTIAL BUILDING. The rider, clad in black leather,
climbs off his machine. We'll call him the ASSASSIN.
He flips up his VISOR. His face is scarred, stubbly. He
conceals himself in an alcove, eyes never leaving the
building's entrance.
A uniformed DOORMAN opens the high-rise's lobby door for
a HANDSOME YOUNG MAN in a TUXEDO and TRENCHCOAT.
THE ASSASSIN has been waiting for this. He removes what
looks like a rifle scope from his jacket, aims it at
TUXEDO.
SCOPE POV - focusing on TUXEDO'S FACE, magnified. A
digital readout: ""SCANNING..."" Then a long SERIAL
NUMBER reads out and the name, ""LIONEL ALEXANDER CANTER,""
along with other personal information below.
THE ASSASSIN puts away the scanner scope, satisfied. He
reaches a hand into a pocket, withdraws a mysterious
DEVICE. The size of a first generation cellphone, it has
a military look, with a clear sliding panel over safety
switches and buttons.
The ASSASSIN hurries toward TUXEDO, but before he can"|speech
8|REACH HIM--|"A sleek, futuristic LIMOUSINE pulls up and TUXEDO gets in
the back. They're gone in an instant.
The ASSASSIN, frustrated, dashes for his MOTORCYCLE. He
starts it and pursues the limousine.
2."|speech
9||EXT. WASHINGTON D.C. - NIGHT|location
10|REACH HIM--|"THE MOTORCYCLE pursues the LIMOUSINE along the Potomac,
D. C. LANDMARKS visible in the distance."|speech
11||EXT. KENNEDY CENTER - NIGHT|location
12|REACH HIM--|"FORMAL CROWDS, a RED CARPET, signs for an OPERA. The
LIMOUSINE approaches."|speech
13||INT. LIMOUSINE - NIGHT|location
14|REACH HIM--|"TUXEDO leans forward to the DRIVER, a muscular, handsome
man in a suit named ARMANDO."|speech
15|TUXEDO|"I'm not really in the mood for
opera, Armando.
ARMANDO nods knowingly pulls back into traffic."|speech
16|ARMANDO|F Street?|speech
17|"TUXEDO
(UNDOING BOWTIE)"|"You read my mind. Let's not
mention this to my Dad...
As he speaks, he passes a few BILLS over the seat."|speech
18||EXT. WAREHOUSE DISTRICT - NIGHT|location
19|"TUXEDO
(UNDOING BOWTIE)"|"THE LIMO moves through this seemingly deserted area,
pulls up near a STEEL DOOR with a spray-painted X.
TUXEDO emerges sans jacket and tie, his dress-shirt open."|speech
20|TUXEDO|"I can find my way back.
ARMANDO nods and pulls away. TUXEDO moves toward the
entrance, says a word into an INTERCOM with a
SURVEILLANCE CAMERA. The door opens within moments, he
disappears inside.
THE ASSASSIN parks his bike, a few steps behind. Tuxedo
has vanished through the STEEL DOOR before he can catch
up with him."|speech
21|(CONTINUED)|3.|speech
22|CONTINUED:|"The ASSASSIN takes off his helmet, tries the door. It
won't move. He buzzes the intercom. The DOOR slides
open a crack--
THE BOUNCER is a huge, bald man with JET BLACK skin, RED
EYES and TEETH that glow fluorescently. The THROBBING
BEAT of MUSIC within. The BOUNCER narrows his eyes."|speech
23|BOUNCER|This is a private club.|speech
24|ASSASSIN|"I just need to talk to--
THE STEEL DOOR has already shut in his face."|speech
25||INT. THE PIT - NIGHT|location
