|text|type
0|BROKEN ARROW|unknown
1|"Written by
Graham Yost"|location
2|"FOURTH DRAFT
March 7, 1995"|unknown
3|INT. GYMNASIUM, WHITEMAN AFB - DAY|location
4|2.|stage direction
5|3.|stage direction
6|INT. SHOWERS|location
7|INT. LOCKER ROOM - DAY|location
8|4.|stage direction
9|EXT. WHITEMAN AIR FORCE BASE - DUSK|location
10|INT. WHITEMAN MISSION BRIEFING ROOM|location
11|5.|stage direction
12|INT. HANGAR|location
13|INT. COCKPIT|location
14|6.|stage direction
15|INT./EXT. HANGAR|location
16|INT. COCKPIT|location
17|EXT. CANYONLANDS NATIONAL PARK, UTAH - NIGHT|location
18|7.|stage direction
19|8.|stage direction
20|EXT. THE NIGHT SKY|location
21|INT. COCKPIT|location
22|9.|stage direction
23|EXT. MCMURRAN AIR FORCE BASE - UTAH|location
24|INT. MCMURRAN CONTROL CENTER|location
25|INT. COCKPIT|location
26|INT. MCMURRAN CONTROL CENTER|location
27|INT. COCKPIT|location
28|10.|stage direction
29|EXT. NIGHT SKY|location
30|INT. MCMURRAN CONTROL CENTER|location
31|INT. COCKPIT|location
32|11.|stage direction
33|EXT. NIGHT SKY|location
34|EXT. CANYONLANDS NATIONAL PARK, UTAH - NIGHT|location
35|EXT. COLORADO RIVER VALLEY - THIRTY MILES UP RIVER|location
36|12.|stage direction
37|INT. MCMURRAN CONTROL CENTER|location
38|INT. COCKPIT|location
39|13.|stage direction
40|14.|stage direction
41|EXT. CANYONLANDS|location
42|INT. COCKPIT|location
43|EXT. PARK - NEEDLES AREA|location
44|15.|stage direction
45|INT. COCKPIT|location
46|EXT. THE GHOST|location
47|INT. COCKPIT|location
48|EXT. ABOVE GHOST|location
49|16.|stage direction
50|EXT. ON THE GROUND|location
51|INT. COCKPIT|location
52|INT. BOMB BAYS|location
53|INT. COCKPIT|location
54|INT. MCMURRAN CONTROL CENTER|location
55|INT. GHOST COCKPIT|location
56|INT. MCMURRAN CONTROL CENTER|location
57|17.|stage direction
58|EXT. MCMURRAN RUNWAY|location
59|EXT. CANYONLANDS|location
60|INT./EXT. SEARCH AND RESCUE HELICOPTER/DESERT|location
61|EXT. PENTAGON - NIGHT|location
62|INT. PENTAGON - SITUATION ROOM|location
63|18.|stage direction
64|19.|stage direction
65|EXT. GHOST CRASH SITE|location
66|INT. MCMURRAN CONTROL CENTER|location
67|20.|stage direction
68|EXT. GHOST CRASH SITE|location
69|INT.PENTAGON - SITUATION ROOM|location
70|INT. MCMURRAN CONTROL CENTER|location
71|21.|stage direction
72|INT. PENTAGON SITUATION ROOM|location
73|EXT. CANYONLANDS - DAWN|location
74|22.|stage direction
75|23.|stage direction
76|24.|stage direction
77|INT./EXT. HELICOPTER|location
78|EXT. CANYONLANDS|location
79|25.|stage direction
80|EXT. CREVICE SITE|location
81|26.|stage direction
82|EXT. TOP OF THE CREVICE - BY THE HELICOPTER|location
83|27.|stage direction
84|28.|stage direction
85|29.|stage direction
86|EXT. BOTTOM OF THE CREVICE|location
87|INT. HELICOPTER|location
88|EXT. BOTTOM OF CREVICE|location
89|INT. MCMURRAN CONTROL CENTER|location
90|EXT. TOP OF CREVICE|location
91|EXT. BOTTOM OF CREVICE|location
92|EXT. ATOP THE CREVICE|location
93|30.|stage direction
94|EXT. BOTTOM OF THE CREVICE|location
95|EXT. ATOP THE CREVICE|location
96|INT. MCMURRAN CONTROL CENTER|location
97|31.|stage direction
98|EXT. ATOP CREVICE|location
99|INT. MCMURRAN CONTROL CENTER|location
100|EXT. CREVICE SITE|location
101|32.|stage direction
102|INT./EXT. TERRY'S TRUCK - 4WD TRAIL|location
103|33.|stage direction
104|34.|stage direction
105|35.|stage direction
106|36.|stage direction
107|EXT. ATOP CREVICE|location
108|37.|stage direction
109|INT. MCMURRAN CONTROL ROOM|location
110|38.|stage direction
111|INT. PENTAGON SITUATION ROOM|location
112|39.|stage direction
113|40.|stage direction
114|EXT. NEST HELICOPTER - IN FLIGHT|location
115|INT. NEST HELICOPTER|location
116|INT. MCMURRAN CONTROL ROOM|location
117|EXT. HELICOPTER EXPLOSION SITE|location
118|41.|stage direction
119|EXT. 4WD TRAIL|location
120|EXT. CANYONLANDS|location
121|42.|stage direction
122|43.|stage direction
123|44.|stage direction
124|45.|stage direction
125|46.|stage direction
126|EXT. 4WD TRAIL|location
127|EXT. MINE ENTRANCE|location
128|INT. MINESHAFT ENTRANCE|location
