|character|text|type
0||"AN AMERICAN FLAG
Oddly still, posted in gray dusty sand.
WIDEN TO REVEAL:"|stage direction
1||EXT. LUNAR SURFACE - THE MOON|location
2||"One small step for man, one large pile of garbage for moon-
kind.  Untouched for years, the flag stands next to the
castoff remains of the Apollo mission.  Slowly the discarded
equipment begins to RATTLE and SHAKE.
AN ENORMOUS SHADOW creeps towards us blotting out the horizon,
a loud RUMBLE is heard.
Suddenly we are covered in DARKNESS as the SHADOW engulfs us.
Only the lonely image of our EARTH hangs in the air, until a
huge silhouetted OBJECT suddenly blocks our view."|stage direction
3||CUT TO:|unknown
4||EXT. NEW MEXICO - RADIO TELESCOPE VALLEY - NIGHT|location
5||"A field of large satellite dishes scan the skies.
Super up:"|stage direction
6||S.E.T.I. INSTITUTE, NEW MEXICO|unknown
7||INT. INSTITUTE - MONITORING CONTROL CENTER - SAME|location
8||"A lone TECHNICIAN works on his putting skills.  Behind him,
wall to wall technical equipment quietly sifts through data.
A RED LIGHT begins to flash.
The Technician turns and slowly walks towards the source.  One
by one a series of LIGHTS turn on.  The Technician (TECH ONE)
grabs a pair of headphones.  His eyes widen."|stage direction
9||INT. SLEEPING QUARTERS - SAME|location
10||Sleepily a SUPERVISOR picks up the phone.|stage direction
11|SUPERVISOR|"If this isn't an insanely
beautiful woman, I'm hanging up."|speech
12||INT. CONTROL CENTER - SAME|location
13|TECH ONE|Shut up and listen.|speech
14||"He holds the phone up to a speaker, increases the volume.  A
strange FLUCTUATING TONE plays out in sequential patterns."|stage direction
15||INT. SLEEPING QUARTERS - SAME|location
16||"HEARING it, the Supervisor BOLTS UP, banging his head on the
bunk above him."|stage direction
17||INT. CONTROL CENTER - MOMENTS LATER|location
18||"A pajama party on acid.  Five other technicians, in various
states of undress, hover anxiously around the main console.
The Supervisor enters, tying his robe."|stage direction
19|SUPERVISOR|"God, I hope it's not just another
damned Russian spy job."|speech
20||(overlapping)|location
21|TECH THREE|"Negative.  Computer affirms the
signal is unidentified."|speech
22||(hanging up the phone)|location
23|TECH TWO|"The boy from Air Res Traffic say the
skies are clear.  No terrestrial
launches."|speech
24|TECH ONE|"It's the real thing.  A radio
signal from another world."|speech
25||"The room becomes quiet as they realize that after years of
searching the heavens, they might have finally found
something."|stage direction
26|SUPERVISOR|"Let's not jump the gun.  Run a
trajectory source computation."|speech
27||Tech Three slides over to another computer.|stage direction
28|SUPERVISOR (cont'd)|"I want to know exactly where it's
coming from."|speech
29|TECH THREE|This can't be right.|speech
30||Tech Three just stares at his screen in disbelief.|stage direction
31|SUPERVISOR|What's wrong?|speech
32|TECH THREE|"Calculated distance from source is
at three hundred and eight five
thousand kilometers."|speech
33||(turning to Supervisor)|location
34|TECH THREE|It's coming from the moon.|speech
35||"The Supervisor reaches over and turns up the volume on the
speaker.  As they listen to the strange TONES we..."|stage direction
36||CUT TO:|unknown
37||INT. HALLWAY - PENTAGON - SAME|location
38||"Elevator doors OPENS revealing four star GENERAL GREY,
Commander in Chief U.S. Space Command.  Understandably
nervous, the COMMANDING OFFICER escorts him down the hall."|stage direction
39|GENERAL GREY|Who else knows about this?|speech
40|COMMANDING OFFICER|"S.E.T.I. in New Mexico identified a
signal but they're even more
confused than we are."|speech
41||The General shoots him a disapproving glance.|stage direction
42|COMMANDING OFFICER|Excuse me, Sir.|speech
43||"He slides his security card through the lock and the doors fly
open."|stage direction
44||INT. SPACE COMMAND - THE PENTAGON - CONTINUOUS|location
45||"Banks of computers, Technicians and assistants working
feverishly through the night.  The Officers cross the room.
Super:"|stage direction
46||SPACE COMMAND - THE PENTAGON|unknown
47|COMMANDING OFFICER|"Satellite reception has been
impaired but we were able to get
these."|speech
48||"They arrive at a glass table.  The surrounding officers snap
to attention as a SECOND OFFICER quickly brings over a large
transparency.  We SEE a grainy image of a large vague OBJECT."|stage direction
49|GENERAL GREY|Looks like a big turd.|speech
50||The two Officers exchange a glance.|stage direction
51|COMMANDING OFFICER|"We estimate it has a diameter of
over five hundred and fifty
kilometers and a mass roughly one
fourth the size of our moon."|speech
52||The General turns to the Second Officer, concerned.|stage direction
53|GENERAL GREY|A meteor?|speech
54|SECOND OFFICER|No Sir.  Definitely not.|speech
55|GENERAL GREY|How do you know?|speech
56|SECOND OFFICER|Well, er... it's slowing down.|speech
57|GENERAL GREY|It's doing what?|speech
58|SECOND OFFICER|It's... slowing down, Sir.|speech
59||The General walks over to a phone, picks it up.|stage direction
60|GENERAL GREY|Get me the Secretary of Defense.|speech
61||(pause)|location
62|GENERAL GREY|Then wake him up.|speech
63||CUT TO:|unknown
64||INT. WHITMORE'S BEDROOM - FRE-DAWN|location
65||"Laying in bed THOMAS J. WHITMORE reads a stack of papers.  The
phone RINGS."|stage direction
66||(filtering through phone)|location
67|WOMAN'S VOICE|Hi. It's me.|speech
68||"The warm look on Whitmore's face tells us everything about how
he feels about the woman on the other end."|stage direction
69|WHITMORE|Hi honey.  What time is it there?|speech
70||INT. HOTEL ROOM - NIGHT|location
71||"Dressed in a night gown, MRS. MARGARET WHITMORE unpacks her
briefing papers lays them out on a small desk as she talks.
Through the window we SEE Los Angeles at night."|stage direction
72|MARGARET|Two in the morning.  I|speech
73||know|unknown
74||I|stage direction
75|MARGARET|didn't wake you?|speech
76||(filtered)|location
77|WHITMORE|As a matter of fact you did.|speech
78||(smiles)|location
79|MARGARET|Liar.|speech
80||INT. WHITMORE BEDROOM - SAME|location
81||Whitmore sits up.|stage direction
82|WHITMORE|"I have a confession to make.
There's a beautiful young blonde
sleeping next to me."|speech
83||Sleeping next to him, his six-year-old daughter, PATRICIA.|stage direction
84||(filtered)|location
85|MARGARET|"You didn't let her stay up
watching T.V. all night?"|speech
86|WHITMORE|Of course not.|speech
87||The little girl stirs awake, looks up.|stage direction
88|PATRICIA|Mommy?|speech
89|WHITMORE|"You're flying back right after the
luncheon?  Okay, here she is."|speech
90||"Whitmore hands her the phone and gets out of bed.  Habitably
he turns on the television.
T.V. - NEWS PROGRAM
Several ""Pundits"" sit around a MaLaughlin-type news discussion
program.  The picture quality is snowy, static ridden."|stage direction
91|PUNDIT #1|"... the inexperience in public
office was inevitably going to
catch up with him.  He's
scarified his ideals for
""politics as usual."""|speech
92||Whitmore ties on his robe as he adjusts the picture quality.|stage direction
93|PUNDIT #2|"...I said this during the
campaign.  Leadership as a pilot
in the Gulf War has no
relationship to political
leadership.  It's a different
animal..."|speech
94||"Suddenly the channel changes.  A cartoon comes on.  Whitmore
turns to his daughter who holds he remote."|stage direction
95||(into phone)|location
96|PATRICIA|Daddy let me watch Letterman.|speech
97||Traitor.|location
98||Whitmore exits the room.|stage direction
99||INT. HALLWAY - CONTINUOUS|location
100||"As Whitmore steps out of his bedroom, a Security guard snaps
to attention.  Someone hidden behind a newspaper, sits on a
bench."|stage direction
101|SECURITY GUARD|Good morning, Mr. President.|speech
102|WHITMORE|Good morning, George.|speech
103||"The paper is dropped revealing CONSTANCE HALBROOK, mid-
thirties, aggressive, sharp, the President's communications
director.  Quickly she gathers her things and follows
Whitmore."|stage direction
104||INT. BREAKFAST TABLE - CONTINUOUS|location
105||"Two servants are preparing breakfast as Whitmore and Constance
enter.  Whitmore sits down, grabs a coffee."|stage direction
106|WHITMORE|"You're up early this morning,
Connie."|speech
107||She tosses him one of the many newspapers in her hands.|stage direction
108|CONSTANCE|"They're not attacking your
policies, they're attacking your
age."|speech
109||(another paper; reading)|location
110|CONSTANCE|"""...addressing Congress, Whitmore
seems less like the President and
more like the orphan child Oliver
asking, 'please sir, I'd like some
more.'"""|speech
111|WHITMORE|Clever.|speech
112|CONSTANCE|"Age was never an issue when you
stuck to your gun.  You were
thought of as young and
idealistic.  But the message has
gotten lost.  There's too much
compromise, too much politics."|speech
113||(pointedly)|location
114|WHITMORE|"Isn't it amazing how fast everyone
can turn against you."|speech
115||"Realizing she may be pushing him too far, she hands him
another paper."|stage direction
116|CONSTANCE|"Well, the Orange County Register
has named you one of the ten
sexiest men of the year."|speech
117|WHITMORE|You see, substance at last.|speech
118||An AIDE appears at the doorway.|stage direction
119|CONSTANCE|"Excuse me, Mr. President.  It's
the Secretary of Defense."|speech
120||Whitmore goes to the phone, picks it up.|stage direction
121|WHITMORE|Yes?  Say that again?|speech
122||CUT TO:|unknown
123||"AN OLD RUSSIAN SATELLITE
Drifting away from us the old Russian satellite becomes
smaller and smaller.  We PAN with it as we SEE it's on a
collision course with something huge.
Suddenly the satellite EXPLODES on IMPACT with the much larger
object that dwarfs the puny piece of hardware.  As huge as it
is, we get the feeling we've only seen a portion of the total.
NEW YORK SKYLINE - EARLY MORNING
A slow crane down from the Manhattan skyline, revealing..."|stage direction
124||EXT. CLIFFSIDE PARK - NEW JERSEY - MORNING|location
125||"With the New York skyline across the Hudson behind them, old
men sit in this small park playing chess.  Unlike the others,
DAVID MARTIN is in his early thirties, sixties hippie meets
nineties yuppie nerd.
He concentrates intensely on his next move.  MOISHE. sixties.
smokes a cigar impatiently."|stage direction
126|MOISHE|"What are you waiting?  My social
security will expire, you'll still
be sitting there."|speech
127|DAVID|I'm thinking.|speech
128|MOISHE|So think already.|speech
129||"David makes a move.  Instantly Moishe counters his move.
David furls his brow in thought."|stage direction
130|MOISHE|Again he's thinking.|speech
131||"Moishe reaches into a paper bag and retrieves a coffee in a
Styrofoam cup."|stage direction
132|DAVID|"You have any idea how long it
takes for those things to
decompose?"|speech
133|MOISHE|"You don't move soon.  I'll begin to
decompose."|speech
134||"Just as David finally makes his move, Moishe counters again.
David shoots him a look and stares back down to the board."|stage direction
135|MOISHE (cont'd)|"David, I've been meaning to talk
with you.  It's nice you've been
spending so much time with me,
but..."|speech
136|DAVID|Dad, don't start.|speech
137|MOISHE|"I'm only saying, it's been what?
Four years, you still haven't
signed your divorce papers."|speech
138|DAVID|Three years.|speech
139|MOISHE|"Three, four.  Move on.  It's not
healthy."|speech
140||Moishe takes a big puff on the cigar and coughs.|stage direction
141|DAVID|Look who's talking healthy.|speech
142||Suddenly David's beeper goes off.|stage direction
143|MOISHE|How many times is that now?  You|speech
144||trying|unknown
145||"to get fired?
David moves his queen."|stage direction
146|DAVID|Checkmate.  See you tomorrow, Dad.|speech
147||He gives his father a quick kiss and hurries away.|stage direction
148|MOISHE|That's|speech
149||not|unknown
150||checkmate I can|stage direction
151|MOISHE|still... Oh.|speech
152||(yelling after him)|location
153|MOISHE|"You could let an old man win once
in a while, it wouldn't kill you."|speech
154||CUT TO:|unknown
155||EXT. NEW YORK CITY STREETS - MINUTES LATER|location
156||"David pedals his bike through mid-town Manhattan.  He arrives
at COMPACT CABLE SYSTEMS."|stage direction
157||INT. COMPACT CABLE OFFICES - LATER|location
158||"His bike hoisted on his shoulder, David squeezes through the
revolving doors. MARTY GILBERT, short, nervous and harried,
comes rushing over."|stage direction
159|MARTY|"What the hell is the point of
having a beeper if you don't turn
it on?"|speech
160|DAVID|It was|speech
161||turned|unknown
162||on.  I was ignoring|stage direction
163|DAVID|you.  What's the big emergency?|speech
164|MARTY|"Started this morning.  Every
channel is making like it's
nineteen fifty.  Snow, static, all
kinds of distortions.  No one
knows what the hell is going on."|speech
165||"David deposits his bike in the kitchenette as Marty tosses his
coke bottle in the trash.  David retrieves it."|stage direction
166|DAVID|"Damn it, Marty.  There's a reason
we have bins labeled ""recycle."""|speech
167||"Finding more bottles in the trash, David turns to Marty
accusingly."|stage direction
168|DAVID|What the hell is this?|speech
169|MARTY|So sue me.|speech
170||"Before David can say anything, Marty ushers him out of the
room."|stage direction
171||INT. TRANSMISSION FEED - CONTINUOUS|location
172||"Technicians are working feverishly.  Clearly every monitor is
experiencing varying degrees of signal disruption.  David
moves over to the main console."|stage direction
173|DAVID|"Did you try to switch to
transponder channels?"|speech
174|MARTY|"Please, would I be this panicked
if it was that simple?"|speech
175||David examines the readouts, puzzled.|stage direction
176|DAVID|"Let's retrofit the dish to another
satellite."|speech
177|MARTY|"We've tried.  It's not working.
It's almost as though they
weren't even there."|speech
178||David looks up, puzzled.|stage direction
179|DAVID|That's impossible.|speech
180||CUT TO:|unknown
181||"A TELEVISION SET
Bad reception.  A hand SMOCKS the side of it.  No use."|stage direction
182||WIDEN TO REVEAL:|unknown
183||INT. MOBILE HOME - DAY|location
184||"Eleven-year-old TROY BRENNON tries to fix the television.
His older brother MIGUEL, seventeen, cooks breakfast."|stage direction
185|MIGUEL|Stop it.|speech
186|TROY|It's all fuzzy.|speech
187|MIGUEL|"You're gonna break it.  Just leave
it alone.  Here, take your
medicine."|speech
188||"Miguel sits a small bottle of medicine and a spoon down in
front of Troy.  Troy pushes the bottle away."|stage direction
189|TROY|I don't need it.|speech
190||(pushing it back)|location
191|MIGUEL|Just take it, dick head.|speech
192||(turning to his sister)|location
193|MIGUEL|"Alicia!  Make sure he takes his
medicine."|speech
194||"His sister, ALICIA, fourteen, hormones kicking in, testing
boundaries, listens to her walkman while putting on too much
makeup.  Miguel throws a dish towel to get her as Troy hits
the television again."|stage direction
195||EXT. TRAILER PARK - SAME - MORNING|location
196||"A beat up pick-up truck comes down a dirt road and skids to a
halt on the gravel next to the Brennon Mobile Home at this
small shabby countryside trailer park.  An angry FARMER jumps
out, slamming his door."|stage direction
197||INT. BRENNON MOBILE HOME - SAME|location
198||"Alicia opens the front door and smiles flirtatiously at the
angry farmers, LUCAS, who marches over.  Miguel edges her out
of the doorway, wanting to handle this himself."|stage direction
199|MIGUEL|Morning, Lucas.|speech
200||Lucas holds a bowl full of rotted vegetables.|stage direction
201|LUCAS|"You like these!  I've got a whole
goddamned crop full!"|speech
202||Unceremoniously, he dumps them at Miguel's feet.|stage direction
203|LUCAS (cont'd)|"Where the hell is your father?
You know what time it is?"|speech
204|MIGUEL|"He had to re-fuel.  There musta
been a problem."|speech
205|LUCAS|"We both know what the problem is.
He's a damned nut case, is what he
is.  I musta been out of my mind."|speech
206||Troy SMACKS the television again.|stage direction
207|MIGUEL|Troy, stop it!  I swear to God!|speech
208|LUCAS|"Miguel, if he's not in the air in
twenty minutes, that's it.  I'm
getting someone else."|speech
209||Lucas storms away.  Again, Troy whacks at the television.|stage direction
210|MIGUEL|Stop it, Troy!  I swear to God!|speech
211||"Determined, Troy HITS the television again.  This time the
picture goes out completely."|stage direction
212||CUT TO:|unknown
213||EXT. SPACE - THE ORBIT - SAME|location
214||"Rolling over us, the immense under-belly of this enormous
craft obliterates our view.  A loud SCREECH.  Suddenly the
bottom begins to SEGMENT.
Dozens of large sections begins to DISENGAGE, extracting
themselves, twisting away from the larger bilge.
The separated SEGMENTS themselves are enormous.  Slowly they
twist downwards on a collision course to the blue planet
below... Earth."|stage direction
215||CUT TO:|unknown
216||INT. WHITE HOUSE - BASEMENT CORRIDORS - DAY|location
217||"Under a barrage of questions from her own staff, Constance
hurries down the corridor."|stage direction
218|AIDE #1|"CNN is running a story that we're
covering up some kind of nuclear
testing experiments..."|speech
219|CONSTANCE|"Tell them to run with it if they
want to embarrass themselves."|speech
220|AIDE #2|"NASA has been up my butt all
morning.  They want to know our
position."|speech
221|CONSTANCE|"Our official position is we don't
have an official position."|speech
222|AIDE #3|Connie, what the hell|speech
