|character|text|type
0||"RESIDENT EVIL
ORIGINAL SCREENPLAY
BY
GEORGE A. ROMERO
BASED ON THE GAME BY CAPCOM
SCREEN STORY
BY
GEORGE A. ROMERO
PETER GRUNWALD
CONSTANTIN FILM
ROMERO-GRUNWALD PRODUCTIONS
FIRST DRAFT
OCTOBER 7, 1998"|unknown
1||This text orginiated from|stage direction
2||"www.New-Blood.com
, please check them"|location
3||"out for Resident Evil coverage.
Pg-1"|stage direction
4||RESIDENT EVIL|unknown
5||"PRESENTATION CREDITS appear... then FADE...
Out of BLACK... SHOCK CUT TO:
INT   LAB   ""A"" LEVEL   TIMELESS
A MAN'S FACE, filling the screen."|stage direction
6|MARCUS (filter)|Stay away from here!|speech
7||"We're watching A VIDEO MONITOR. A pre-recorded tape shows
a view of what is obviously a pristine-RESEARCH LABORATORY.
DR. JOHN MARCUS, in a lab coat, faces THE CAMERA, disheveled
and looking like a madman."|stage direction
8|MARCUS (cont. filter)|This lab must remain sealed!|speech
9||"INT   CONFERENCE ROOM   TIMELESS
Overhead lamps cast pools of LIGHT down onto A CONFERENCE
TABLE, onto THE HANDS of PEOPLE assembled to observe the
video. We see NO FACES. But expensive WATCHES, sleeves
with high-ranking STRIPES, indicate wealth, power, and a
military presence.
THE VIDEO: On the wall behind MARCUS, we see SHADOWS darting
frantically. We hear VOICES rising in panic."|stage direction
10|MARCUS (cont. Filter)|For God's sake, don't come in!|speech
11||"The CAMERA is SWATTED by A HAND that lurches suddenly into
the foreground. We only see it for a few video frames, but
we might subliminally notice LESIONS on the flesh. The IMAGE
SWIRLS wildly. The next clear picture we see... is of the
same laboratory...topsy-turvy. THE CAMERA is lying on its
side on the floor."|stage direction
12|VOICE IN THE ROOM (o.s.)|Look.  Here.|speech
13||"A LASER POINTER casts a RED DOT on a corner of the video
screen, indicating A HUNCHED FIGURE, leaning over A HUMAN
BODY, apparently ...feeding! With a GRUNT, the figure turns.
and LUNGES, it's face covered with BLOOD, at the CAMERA. The
image SWIRLS again, and the SCREEN GOES BLACK. With a MUSIC
STING, a single TITLE appears, full across the blackness..."|stage direction
14||RESIDENT EVIL|unknown
