|character|text|type
0||"SOLDIER
Written by
David Webb Peoples
REVISED DRAFT
October 2, 1997"|unknown
1||INT.  HOSPITAL NURSERY - NIGHT|location
2||"BABIES in bassinets, isolettes, incubators.  BABIES sleeping,
BABIES blinking, BABIES cooing, BABIES chirping, BABIES
squalling.
It's the SQUALLING BABIES, the ones with pinched faces and tiny
bunched fists, that seem to interest the TWO ANONYMOUS MEN in
Military Uniforms.  (Their anonymity is assured by the angles
from which they are seen; they are hands, they are feet, they are
the backs of heads.)
A lone NURSE watches them grimly as they make their ""selections,""
marking the cribs of the most active, noisy BABIES with X's."|stage direction
3||CUT TO:|unknown
4||EXT.  VAN/HOSPITAL - NIGHT|location
5||"ANGLE ON VAN DOORS slamming shut on a dozen squalling BABIES in
tiered red cribs.
ANGLE ON THE VAN pulling away from the loading dock of the large
hospital as a date is SUPERED over the scene..."|stage direction
6||"1992
CUT TO:"|unknown
7||INT.  CAGE/BASEMENT ROOM - DAY OR NIGHT|location
8||"Vicious teeth, savage snarls, tearing flesh as three fierce
fighting DOGS battle a single WOLVERINE in large steel cage.
The cage is in the middle of a gloomy windowless room surrounded
by twenty TWO-YEAR-OLDS seated on folding chairs and dressed in
identical gray overalls.  As the TWO-YEAR-OLDS watch the battle,
amazement on their innocent faces, a date appears SUPERED over
the scene..."|stage direction
9||1994|unknown
10||"WE DISCOVER in the shadows more ANONYMOUS MEN (and WOMEN), some
of them in Military Uniforms, observing the children."|stage direction
11||CUT TO:|unknown
12||INT.  A WINDOWLESS CEMENT ROOM - DAY OR NIGHT|location
13||"It's creepy:  the same children two years older, milling about a
bare cement room, apparently unsupervised.  They ought to look
cute, but somehow these joyless FOUR-YEAR-OLDS look slightly
sinister, all of them wearing drab uniforms and military burr-cut
hair.  Again a date is SUPERED over the scene --"|stage direction
14||1996|unknown
15||"-- just as an AGGRESSIVE FOUR-YEAR-OLD approaches a PASSIVE FOUR
YEAR-OLD seated on the floor and kicks him.
It's a harmless child's kick.  But then, as the DATE DISAPPEARS,
he kicks the PASSIVE FOUR-YEAR-OLD again.  And again.
The servo-motor in a remote video camera mounted high on the wall
WHINES slightly as the camera pans to the record the action."|stage direction
16||CUT TO:|unknown
17||"INT.  WINDOWLESS ""CLASSROOM"" - DAY OR NIGHT"|location
18||"Puzzles.  Fingers fit shapes into holes.  The puzzles aren't fun
puzzles; they're obviously tests of intelligence or dexterity or
both.  SIX-YEAR-OLDS now, the boys perform in a grim room under
fluorescent lights as more ANONYMOUS MEN and WOMEN in polished
shoes and sharply creased military slacks cruise the aisles,
observing.
As a date appears SUPERED over this scene..."|stage direction
19||1998|unknown
20||"WE NOTICE one of the SIX-YEAR-OLDS is becoming familiar to us.
TODD.  We NOTICE his intense eyes as he dexterously manipulates
a puzzle."|stage direction
21||CUT TO:|unknown
22||EXT.  FIELD - DAY|location
23||"Behind a cyclone fence topped with curlicues of razor wire, the
boys, now TEN-YEAR-OLDS, are marching in formation under the
supervision of a (faceless) DRILL SERGEANT.  Again a date is
SUPERED over the scene..."|stage direction
24||"2002
CUT TO:"|unknown
25||INT.  GYMNASIUM - DAY|location
26||"Fourteen-year-old TODD is doing bench presses in shorts while all
around him his FOURTEEN-YEAR-OLD COMRADES work out with weights
in a very grim and spartan gym that resembles a sinister
concentration camp more than the yuppie spas of the 20th Century.
The date appears SUPERED over the scene..."|stage direction
27||"2006
CUT TO:"|unknown
28||EXT.  OBSTACLE COURSE/MONTAGE - DAY|location
29||"The FOURTEEN-YEAR-OLDS, TODD among them, jump, roll, dive, crawl,
swim, and rappel through a brutal course featuring:
vertical wooden walls,
fast moving rapids,
tangles of barbed wire,
steep rock faces,
and finally a jungle of dangling chains with tiny circular
""platforms"" about eight inches in diameter every ten feet.
FOURTEEN YEAR OLDS bloody each other with pugil sticks and padded
cudgels while they swing twenty feet above the ground.  One of
them is knocked off, plummets downward.  CRUNCH!"|stage direction
30||CUT TO:|unknown
31||EXT.  SNOW COVERED LANDSCAPE - DAY|location
32||"Long even strides, two inches of snow.  Breathing hard, the
SIXTEEN-YEAR-OLDS now lope through hills and woods in shorts and
T-shirts, their breath coming in steamy blasts as the date is
SUPERED over the scene..."|stage direction
33||2008|unknown
34||"This a brutal cross country run under a grim sky in bitter cold
weather, but the SIXTEEN-YEAR-OLDS are super-fit, their faces
hard and without expression, their eyes as cold as snake eyes.
Except for the STRAGGLER, a lone boy who's bringing up the rear,
obviously in trouble, gasping for air, struggling, struggling,
struggling to keep his feet...
ANGLE ON A HILL where ANONYMOUS OBSERVERS, all in military dress,
watch.
ANGLE ON THE STRAGGLER, unable to keep his feet, going down,
gasping.  With fearful eyes, he looks toward the hill where he
knows the OBSERVERS are.
ANGLE ON THE PACK, sixteen SIXTEEN-YEAR-OLDS not looking back,
even as a single SHOT rings out.  TODD doesn't even blink, just
keeps running."|stage direction
35||CUT TO:|unknown
36||EXT.  SHOOTING RANGE - DAY|location
37||"Suddenly, out of nowhere, a scary mechanized pop-up target, a
MILITARY FIGURE, erupts from the long grass, weapon pointing.
Before the weapon can flash a laser bean, AUTOMATIC FIRE ravages
the target and it disappears back into the grass.  The boys,
EIGHTEEN-YEAR-OLDS now, are wearing combat gear and carrying
automatic weapons as they advance through a sloping field of tall
grass.
Different sophisticated TARGETS pop up urgently, sometimes close,
sometimes far, some MOVING rapidly on tracks.
The EIGHTEEN-YEAR-OLDS expertly mow down menacing MILITARY
FIGURES while holding their fire when ANIMAL TARGETS or UNARMED
CIVILIANS and CHILDREN appear.
The eighteen-year-old on point is RILEY, a muscular redhead.
TODD is right behind him as a date is SUPERED over the scene..."|stage direction
38||2010|unknown
39||"Suddenly multiple TARGETS appear, charging.
BUDDA BUDDA BUDDA!  First TARGET down!
RILEY, panning for the next target, holds fire, passes over two
MOTHERS HOLDING CHILDREN, pans for a nearby SOLDIER TARGET.  But
the SOLDIER TARGET zips behind the MOTHERS HOLDING CHILDREN,
taking cover, weapon pointed at RILEY.
For half a second RILEY hesitates!
BUDDA BUDDA BUDDA!  TODD blazes away, mercilessly blowing away
the MOTHERS HOLDING CHILDREN TARGET and the SOLDIER TARGET."|stage direction
40||THE MAIN TITLE APPEARS|unknown
41||as the ROAR OF GUNS gives way to MUSIC...|stage direction
42||CUT TO:|unknown
43||INT.  PROCESSING ROOM - DAY|location
44||"Skillful hands operate a tattoo pen, stenciling an insignia and
a number on the left side of RILEY'S face over the cheekbone.
His cheek says RILEY, L.B., his face reveals nothing as..."|stage direction
45||OPENING CREDITS BEGIN|unknown
46||"The next face is TODD.  The skillful hands with the tattoo pen go
to work on his face, marking, stenciling the skin as..."|stage direction
47||OPENING CREDITS CONTINUE|unknown
48||"Then the tattoo artist's bands finish with TODD and move on to
the next MAN, leaving TODD staring straight ahead, his cheek
tattooed, his face like carved stone, his eyes as unfathomable as
the eyes of a statue as THE OPENING CREDITS CONCLUDE."|stage direction
49||CUT TO:|unknown
