|character|text|type
0||"STAR WARS: THE FORCE AWAKENS
Written by
Lawrence Kasdan, J.J. Abrams & Michael Arndt
Based on characters created by George Lucas"|unknown
1||A long time ago in a galaxy far, far away...|stage direction
2||"STAR WARS
EPISODE VII
THE FORCE AWAKENS"|unknown
3|unknown|"Luke Skywalker has vanished. In his absence,
the sinister FIRST ORDER has risen from the
ashes of the Empire and will not rest until
Skywalker, the last Jedi, has been destroyed.
With the support of the REPUBLIC, General
Leia Organa leads a brave RESISTANCE. She is
desperate to find her brother Luke and gain
his help in restoring peace and justice to
the galaxy.
Leia has sent her most daring pilot on a secret
mission to Jakku, where an old ally has
discovered a clue to Luke's whereabouts...."|speech
4||"PAN across the star field to a bright moon. A RUMBLING is
FELT. A VAST STAR DESTROYER -- unlike any we have seen --
HURTLES PAST US, of seemingly endless length, eclipsing the
moon. After a long beat, FOUR TRANSPORT SHIPS fly from a
hangar. We HOLD ON THEM NOW, as they fly off toward a distant
planet. Jakku. MUSIC BUILDS AND WE...
CUT TO BLACK.
A GROWING ROAR of MEAN ENGINES -- gnarled RADIO CALLS, the
SHUDDERING of a ship's hull. Then FLASHES OF LIGHT: for an
instant we see a STORMTROOPER -- then BLACKNESS. Then ANOTHER
STORMTROOPER, then it's gone.
The FLICKERING CONTINUES until the LIGHTS ARE CONSTANT. We"|stage direction
5||"ARE IN:
INT. TROOP TRANSPORT VEHICLE - NIGHT"|location
6||"TWENTY STORMTROOPERS. Holding on at attention, moving to
the ship's rhythm, in the tense moments before a raid. A
FILTERED COMMAND and they LOCK AND LOAD their heavy blaster
rifles. The BRUTAL NOISE is replaced by SUDDEN, SHOCKING"|stage direction
7||"QUIET:
EXT. JAKKU VILLAGE - NIGHT"|location
8||"WIDE SHOT of a small, peaceful village. Distant sounds of
native animals. A single wind chime.
Suddenly a DROID RISES INTO FRAME, CLOSE: ROUND and SKITTERY,
orange and white, this is BB-8.
Focuses on something past camera. He BEEPS -- FAST, MORSE
CODE-LIKE SOUNDS, clearly worried. Moves EVEN CLOSER TO
CAMERA -- is MORE worried -- BEEPS more -- then TURNS AND
ROLLS OFF FAST --"|stage direction
9||INT. LARGE HUT - NIGHT|location
10||"CLOSE ON A HAND: a small LEATHER SACK is placed in the palm.
The hand closes. Another OLDER HAND covers it.
In a primitive HUT, an old explorer, LOR SAN TEKKA, (rugged,
kind) has handed the mysterious sack to POE DAMERON (32, in
a pilot's jacket). Poe has charisma, a natural spark:"|stage direction
11|unknown|"LOR SAN TEKKA
This will begin to make things right.
I've traveled too far, and seen too
much, to ignore the despair in the
galaxy. Without the Jedi, there can
be no balance in the Force."|speech
12|POE|"Well, because of you now we have a
chance. The General's been after
this for a long time.
LOR SAN TEKKA
""The General."" To me, she's royalty.
Well, she certainly is that."|speech
13||"BB-8 ENTERS FRANTIC, BEEPS. Concerned, Poe turns to Lor San
Tekka."|stage direction
14|POE (CONT'D)|We've got company.|speech
15||EXT. LARGE HUT - NIGHT|location
16||"The men exit fast. Poe moves TO CAMERA, raises QUADNOCULARS.
POE'S POV: LIGHTS on the horizon -- approaching ENEMY SHIPS.
POE lowers the quadnocs -- PUSH IN ON HIS UNNERVED EYES. A
GROWING, FRIGHTENING THUNDER."|stage direction
17|POE|"You have to hide.
LOR SAN TEKKA
You have to leave. Go!"|speech
18||"Poe turns to him. Conflicted. Finally nods, hurries off.
BB-8 follows."|stage direction
19||EXT. JAKKU VILLAGE - NIGHT|location
20||"TRACK FAST with Poe as he and BB-8 hurry through the village,
various ARMED VILLAGERS taking position, prepared to defend."|stage direction
21||EXT. JAKKU VILLAGE - NIGHT|location
22||"A ROAR of WIND and DUST: the TRANSPORTS LAND. Stormtroopers
come out FIRING BLASTERS -- the VILLAGERS FIRE BACK -- many
are HIT!"|stage direction
23||EXT. RISE ADJACENT TO VILLAGE - NIGHT|location
24||"Poe runs to an X-WING fighter, parked at a distance from the
village, hidden behind a ROCK OUTCROPPING."|stage direction
25|POE|Come on, BB-8! Hurry!|speech
26||"Poe sends BB-8 into the droid socket / co-pilot seat -- he
moves to the cockpit -- the CONTROLS COME TO LIFE. As the
CANOPY CLOSES, Poe shoots a quick look back: the ENEMY ARRIVES
IN THE DISTANCE.
Poe urgently works the controls -- BB-8 BEEPS.
The X-WING LANDING LIGHTS COME ON, ENGINES WHINE TO LIFE!
But just then:
Poe's ship is suddenly HIT BY BLASTERFIRE! Poe turns to
look: two STORMTROOPERS CHARGE HIS WAY, FIRING!"|stage direction
27|POE (CONT'D)|I see 'em!|speech
28||"BB-8 BEEPS nervously as Poe GRABS HIS CONTROLS and FIRES AT
THEM, using the X-wing's drop-down antipersonnel blaster!
The two Troopers are BLOWN AWAY in the large BLAST HITS!
Poe tries to start the ship now, but the ENGINES SPUTTER.
Concerned, he opens his canopy, jumps down, moves to the
back of his ship: BAD DAMAGE ON THE REAR ENGINE PANEL.
They're in trouble."|stage direction
29||EXT. JAKKU VILLAGE - NIGHT|location
30||"Lor San Tekka moves sadly through the village as STORMTROOPERS
wielding FLAME THROWERS destroy structures. Surrendering
Villagers are ROUNDED UP. Penned ANIMALS panic."|stage direction
31||EXT. RISE ADJACENT TO THE VILLAGE - NIGHT|location
32||"Back at the X-wing, Poe kneels beneath his ship, pulls from
the leather sack a SMALL, OLD ARTIFACT which he inserts into
BB-8 -- the droid's MULTI-READER ENVELOPS it."|stage direction
33|POE|"You take this. It's safer with you
than it is with me. You get as far
away from here as you can. Do you
hear me?
(BB-8 BEEPS, hesitates)
I'll come back for you! It will be
alright."|speech
34||"BB-8 watches Poe run off. BEEP-WHINES nervously, then turns
and heads off. Turns back once to look at Poe, then ROLLS
AWAY. Poe uses his blaster rifle to fire at incoming troopers
from cover."|stage direction
35||EXT. JAKKU VILLAGE - NIGHT|location
36||"The Troopers and villagers in battle -- as one Trooper is
HIT and goes down. Another -- OUR TROOPER -- KNEELS to help.
The hit trooper raises a torn, bloody glove -- his HUMAN
HAND visible -- and MARKS OUR STORMTROOPER'S MASK WITH BLOOD
just before he dies. Our Trooper, stands -- overwhelmed by
the battle.
AN IMPOSING SHUTTLE CRAFT -- VERTICAL WINGSPAN 90 FEET TALL --
LANDS NEAR THE TRANSPORT VEHICLES.
The shuttle craft door OPENS -- through the wind and smoke,
KYLO REN exits the ship: a TALL, DARK FIGURE, he strides
through the chaos toward San Tekka.
A senior Trooper moves to our blood-marked Trooper, and orders"|stage direction
37||HIM:|location
38|SENIOR TROOPER|Stay here.|speech
39||"Our Trooper nods.
Kylo Ren stops before the outraged Lor San Tekka, dwarfing
him. Only now does it become apparent that Kylo Ren wears a
DARK MASK, marked by battle. Inset metal lines reflect FIRE."|stage direction
40|KYLO REN|"Look how old you've become.
LOR SAN TEKKA
Something far worse has happened to
you."|speech
41||"Our blood-marked TROOPER is placed in line with other
stormtroopers."|stage direction
42|KYLO REN|You know what I've come for.|speech
43||CONTINUED: LOR SAN TEKKA|stage direction
44|(CONTINUED)|"I know where you come from. Before
you called yourself Kylo Ren."|speech
45|KYLO REN|"The map to Skywalker. We know you've
found it, and now you're going to
give it to the First Order."|speech
46||"Adjacent to the village, Poe enters frame -- sees the Ren/San
Tekka exchange continue."|stage direction
47|KYLO REN|"LOR SAN TEKKA
The First Order rose from the dark
side... you did not."|speech
48|KYLO REN|"I'll show you the dark side.
LOR SAN TEKKA
You may try, but you cannot deny the
truth that is your family."|speech
49||"Suddenly Kylo Ren raises his LIGHTSABER -- IGNITES IT --
PERPENDICULAR SMALLER BLADES AT THE HILT, A UNIQUE BUZZ --
YELLOW/RED ENERGY, SPITTING SPARKS AND SMOKE --"|stage direction
50|KYLO REN|You're so right.|speech
