|character|text|type
0||"S T A R S H I P   T R O O P E R S
Screenplay by
Edward Neumeier
Based on the novel by
Robert Heinlein"|unknown
1||1	FROM THE FEDERAL NET -- NOTICE -- JOIN UP NOW !|location
2||Proud YOUNG PEOPLE in uniform, the bloom of human evolution.|stage direction
3|YOUNG PEOPLE|"I'm doing my part... Me, too...
Are you ?"|speech
4||The mobile infantery logo:	LIGHTNING BOLTS ON A BLACK SHIELD.|stage direction
5|OFFICIAL VOICE|"Join the mobile infantery and save the world !
Service guarantees citizen-ship.
Would you like to know more ?"|speech
6||2	BUG METEOR:|location
7||"Behold actual pictures of a METEOR, this one a mile across, as it hurtles
past an observation ship."|stage direction
8|OFFICIAL VOICE|The Bugs send another meteor our way !|speech
9||A BRIGHT EXPLOSION in space out beyond the moon.|stage direction
10|OFFICIAL VOICE|"But this time we are ready !
Planetary defenses are better than ever !
Would you like to know more ?"|speech
11||3	KLENDATHU --- WHY WE HAVE TO FIGHT !|location
12||"Klendathu, a fierce orange planet ringed by an asteroid belt,
orbits a double star."|stage direction
13|OFFICIAL VOICE|"Klendathu, source of the bug meteor attacks,
orbits a twin star system whose brutal gravitational
forces produce an unlimited supply of meteorites..."|speech
14||"A ""You are here"" map of the KNOWN GALAXY shows the Earth in
relationship to the BUG PLANETARY SYSTEM and Klendathu."|stage direction
15|OFFICIAL VOICE|"To ensure the safety of our solar system,
Klendathu must be eliminated !
Would you like to know more ?"|speech
16||4	LIVE BROADCAST -- FROM ORBIT - THE INVASION OF KLENDATHU !|location
17||"For BATTLE GROUPS, sixty STARSHPS strong, orbit the orange planet.
Graphics:	KLENDATHU:	THE INVASION"|stage direction
18|OFFICIAL VOICE|We break net now and take you live to Klendathu|speech
19||"where the invasion has begun !
5	EXT	KLENDATHU -- NIGHT -- THE CAMERA"|location
20||"takes the Mobile Infantery CAP TROOPERS wearing fully armed Marauder
POWER SUITS as they move up the line, the pans to the
NET CORRESPONDENT"|stage direction
21|NET CORRESPONDENT|"We 've just landes here on whar cap troopres are calling
""Big K"" with the 6th Mobile Infantery division...
It 's an ugly planet, a bug planet, a planet hostile to
life as we iGKKKKKK !"|speech
22||"Blood hits the lens as the Correspondent is cut in half.
The CAMERA catches a glimpse of HUGE CLAWS as Cap Trooper
JOHNNY RICO , 18, blows away SOMETHING BIG big with his pulse cannon."|stage direction
23|JOHNNY|Com'on, let's go !	ON THE BOUNCE|speech
24||"The cap troopers move out, among them DIZZY FLORES, 18, ACE
LEVY, 19, and KITTEN SMITH, 18. The CAMERA pauses, unsure."|stage direction
25|FED NET CENTRAL (O.S.)|FOLLOW THEM...! GO ! GO !|speech
26||"The CAMERA follows. The PULSE of BUG BATTERIES is blinding.
Cap Troopers scream as they are torn apart right and left by an enemy
seen only in disorientating glimpses."|stage direction
27|JOHNNY|THIS WAY !|speech
28||"The group splits into two, and the CAMERA follows Johnny.
Something slices Kitten Smith, and he goes down screaming."|stage direction
29|JOHNNY|KITTEN !|speech
30||Johnny stops to help his comrade. A CLAW slashes into him.|stage direction
31|JOHNNY|AAAAAAAAAAAAAAAA !|speech
32||"Now something grabs the CAMERA, spinning it around.
We glimpse the hideous jaws of an ARACHNID WARRIOR."|stage direction
33|CAMERAMAN (O.S.)|AAAAAAAAAAAAAAAA !|speech
34||"The CAMERA hits the ground. Johnny, badly wounded, bleeding
from the mouth, crawls into CAMERA, trying to get away from the
dark INSECT SHAPES that close in on him."|stage direction
35|JOHNNY|"Oh, God... Oh, God, help me...
please help me..."|speech
36||His eyes glaze over as he remembers|stage direction
37||FLASHBACK:|unknown
38||6	INT	NEW UNI HIGH - CLASSROOM - DAY - CARMEN IBANEZ|location
39||"is beautiful, just 18, and quite pleased with herself  because
Johnny Rico is clearly infatuated with her."|stage direction
40|RASCZAK (O.S.)|"The end of another school year, and for
me no doubt another failure...
Rico, pay attention !"|speech
41||"The teacher JEAN RASCZAK, 38, a rugged veteran who proudly
displays his missing hand, scowls at Johnny, bemused."|stage direction
42|JOHNNY|Sorry, Mr. Rasczak.|speech
43||"But as soon as Rasczak turns back to the class, Johnny begins to sketch
a cartoon on his desk's touch screen."|stage direction
44|RASCZAK|"Here in History and Moral Philosophy
we've explored the decline of
Democracy when social scientists brought
the world to the brink of chaos, and how the
veterans took control and imposed a stability
that has lasted for generations since...
You know these facts but have I taught you
anything of value ? You.
Why are only citizens allowed to vote ?"|speech
45||Rasczak points at LANNY, 17, with his stump|stage direction
46|LANNY|"It's a reward... what the Federation gives you
for doing Federal Service."|speech
47||Rasczak is crestfallen, makes a big show of patience.|stage direction
48|RASCZAK|"No. Something given has no value !
Haven't I taught you dimwits anything ?
I guess they ought to revoke my
teaching credential..."|speech
49||"Laughter. Johnny's cartoon, meanwhile, is taking shape:
Johnny and Carmen flying round planet Venus in a space ship."|stage direction
50|RASCZAK|"When you vote, you're exercising political
authority. You're using force. And force, my
friends, is violence, the supreme authority
from which all other authority derives."|speech
51||CARL JENKINS, 18, a superintelligent geek, jumps in.|stage direction
52|CARL|"Gee, we always thought you were the
supreme authority, Mr. Rasczak."|speech
53||Laughter. Rasczak grins.|stage direction
54|RASCZAK|"In my classroom, you bet. Whether it's
exerted by ten or ten billion, political
authority is violence by degree. The
people we call citizens have earned
the right to wield it."|speech
55||DIZZY FLORES, 18, athletic, pretty, no nonsense, chimes in.|stage direction
56|DIZZY|"My mother always says that violence
never solves anything."|speech
57|RASCZAK|"Really ? I wonder what the city fathers of
Hiroshima would have to say about that.
You."|speech
58||Rasczak points at Carmen.|stage direction
59|CARMEN|"They probably wouldn't say anything.
Hiroshima was destroyed."|speech
60||"Johnny presses ´""SEND"" on his desk, and the cartoon appears
across the way on Carmen's screen."|stage direction
61|RASCZAK|"Correct. Naked force has settled more
issues in history than any other factor.
The contrary opinion 'violence never
solves anything' is wishful thinking
at its worst."|speech
62||"While Rasczak looks away, Carmen throws Johnny her wonderful
smile, and Johnny's gone, checked out, flying round Venus."|stage direction
63|RASCZAK|"People who forget that always pay...
They pay with their lives and their
freedom."|speech
64||"Dizzy notices the dreamy look on Johnny's face.
So does Rasczak. He points at him with his stump,
snaps Johnny to."|stage direction
65|RASCZAK|"You. Tell me the moral difference,
if any, between the citizen and the civilian ?"|speech
66|JOHNNY|"The difference lies in the field of civic
virtue. A citizen accepts personal
responsibility for the safety of the body politic,
of which he is a member, defending it,
if need be, with his life.
The civilian does not."|speech
67|RASCZAK|"The exact words of the text. But do
you understand it ?
Do you believe it ?"|speech
68|JOHNNY|Uh, I don't know.|speech
69|RASCZAK|"Of course you don't. I doubt if any
of you here would recognize 'civic virtue'
if it bit you in the ass."|speech
70||A bell rings. Rasczak shrugs, indifferent.|stage direction
71|RASCZAK|Well, that's it. Have a nice life.|speech
72||7	EXT	NEW UNI HIGH - HALLWAY - DAY - JOHNNY AND CARMEN|location
73||"walk with their friends. Several COUPLES hold hands. Johnny
tries to take Carmen's hand, but she demurs. Johnny broods."|stage direction
74|CARMEN|"C'mon, let's see if they've posted the
math final test yet."|speech
75|STUDENT|Hey, Rico, we gonna take Tesla ?|speech
76|JOHNNY|How should I know ?|speech
77|STUDENT|You're captain of the team !|speech
78||8	EXT	QUAD - DAY - JOHNNY AND CARMEN|location
79||join other students around a MULTI-SCREEN KIOSK.|stage direction
80|CARMEN|"First thing Fleet Academy looks at
is your math scores.
Wish me luck !"|speech
81||Carmen enters her name, receives her score:	97% !	She beams.|stage direction
82|JOHNNY|Good for you.|speech
83|CARMEN|Your turn...|speech
84||Then she spots Carl across the way talking with MARCO, 17.|stage direction
85|CARMEN|"Hold on... I wanna talk to Marco.
His sister's at Fleet !"|speech
86||"Carmen rushes off. Johnny checks his score:	35% ! Crushed, he
makes sure no none else has seen. Carl walks up to him."|stage direction
87|CARL|You still haven't kissed her yet ? Don't lie.|speech
88|JOHNNY|What's the hurry ?|speech
89|CARL|Others are waiting.|speech
90||Carl points out Dizzy, talking with friends.|stage direction
91|JOHNNY|Did you read her mind ?|speech
92|CARL|"Don't have to... Some mating semaphore
is pretty hard to miss."|speech
93||It's true. You can tell by the way she looks at Johnny.|stage direction
94|JOHNNY|Yeah, but I want Carmen.|speech
95|CARL|You got it bad.|speech
96||Carmen returns to Johnny as Carls heads off.|stage direction
97|CARL|Don't forget about this afternoon.|speech
98||(to Carmen)|unknown
99|CARL|"He's always late when he walks you home
to fish for a kiss."|speech
100||Carmen blushes, covers.|stage direction
101|CARMEN|She's flying starships !|speech
