|character|text|type
0||"CRANK
Written by
Mark Neveldine & Brian Taylor
February 20, 2005
FADE IN:
VIDEO SCREEN
1
EXTREME CU: PACMAN, from the old video game, just a yellow
ball with a mouth, fills the screen in all it's lo-res glory.
The camera tracks along as it rolls along a tight corridor,
gobbling dots."|unknown
1||2                                                            CUT TO:|location
2||"EXTREME CU: A RED GHOST follows, in hot pursuit.
CUT TO:
EXTREME CU: PACMAN gives it the slip, cuts down and gobbles a
big dot.
CUT TO:
EXTREME CU: RED GHOST transforms into BLUE GHOST, changes
direction and runs. PACMAN chases ...
P.. but just before he catches up the BLUE GHOST transforms
back to RED and changes direction again. PACMAN barely
escapes.
CUT TO:
PACMAN flees, but at every turn he is confronted by another
ghost. The CAMERA pulls out in a series of jump cuts to
reveal that unlike the old arcade game, this game screen goes
E forever, an infinite maze ... and instead of the original
on four there are thousands of ghosts at all sides, closing in.
The sound of the game redoubles, reverberates, deafening ...
CUT TO BLACK.
SOUND: A HEART BEATS SLOWLY IN THE DARK.
FADE IN:
INT CHEV'S BEDROOM, MORNING                                        2
This scene plays out as a continuous POV shot, right up
until CHEV's face is revealed for the first time.)
CHEV CHELIOS, wakes up in his apartment to a RINGING CELL
PHONE, groggy, vision doubled ..."|unknown
3||1    .. from his POV we see him examine his hands, which don't|location
4||"feel right, don't want to move right.
(CONTINUED)"|unknown
5||5|location
6||2.|unknown
7||"CONTINUED:
The CELL PHONE, coming from some other room, plays the PACMAN
theme in beeps: BEE-DEE-DEE-DEEE-DEE-DEEE-DEE-DEE-DUM ...
He tries to get out of bed, HITS THE GROUND. Plush rug,
ultra modern bed frame, night stand, high tech stereo, the
works.
He crawls/stumbles into ...
INT CHELIOS LIVING ROOM, CONTINUOUS"|stage direction
8||3                                                                       3|location
9||"... the living room, decked out by Kostabi paintings and
glass furniture then into...
INT CHELIOS KITCHEN, CONTINUOUS                                    4
... the kitchen, with a black marble island and hanging
copper.
He jams his head under the Fossil sink and runs the water.
He steadies himself against the matching black marble
counter, staring at his hands ..."|stage direction
10||.. tries to lift them and BANG!    He's back on the floor,|unknown
11||"stunned...
All the while we hear the faint sound of his HEARTBEAT...
... slow: LUBDUB... LUBDUB... LUBDUB.
He begins crawling back into..."|stage direction
12||5|unknown
13||"INT CHELIOS LIVING ROOM, CONTINUOUS
... the living room, toward the telephone where he spots a
plain black VHS tape propped up in front of a plasma screen
TV with police ribbon wrapped around it, tied in a bow, like
a present."|stage direction
14||"CHELIOS
(barely comprehensible)
Whathufuck?"|unknown
15||"He grabs the thing, fumbles to unwrap it, shoves it into the
VCR and pushes PLAY."|stage direction
16||"INT.   TV SCREEN
5A                                                                  5A"|location
17||"It's RICKY VERONA on the SCREEN, a young, irritatingly slick
EASTERN EURO ... little to no accent - fast talking,
sarcastic, a complete dick ..."|stage direction
18||"(CONTINUED)
3."|unknown
19||"CONTINUED:
We see him sitting on CHEV'S bed ... CHEV is visible in the
frame, unconscious behind VERONA. Pale nicotine sunlight
filters in through the blinds.   There are HOODS loitering
around the room. It was apparently shot only hours before."|stage direction
20||The discernible sound of CHEV'S heartbeat will subliminally|unknown
21||"increase in speed and volume throughout VERONA'S monologue -
the cell phone continues to ring, somewhere.)"|stage direction
22||"VERONA
What's shaking, douchebag? Thought I'd
give you the heads up. You're dead."|unknown
23||On the TV - VERONA points into the CAMERA.|stage direction
24||"VERONA (CONT'D)
Yeah, that's right, you little bitch ...
if you're watching this tape it means
that I somehow resisted the urge to
dismember you and shove the pieces down
the garbage disposal ... opting instead
to poison you in your sleep. Yeah, you
heard me..."|unknown
25||"We stay with CHEV'S POV as he flashes a frantic glance around
the room. The LUBDUB of the HEARTBEAT is much LOUDER AND
FASTER NOW; we really begin to notice it."|stage direction
26||"VERONA (CONT'D)
... I fucking poisoned you in your sleep.
How sick is that?... for the satisfaction
of watching you squirm out your last
minutes knowing it was me that did it to
you, and there's nothing you can do about
it..."|unknown
27||"Cut to high angle view from a hidden lipstick camera; CHEV is 5
on his knees in front of the set, looking around ... we still
don't see his face clearly."|stage direction
28||VERONA (CONT'D)|unknown
29||5A                                                                     5A|location
30||"... that's right, you're on candid
camera, try not to embarrass yourself..."|unknown
31||"Cut back to CHEV'S POV. He holds his head down over the               5
carpet and shoves a finger in his mouth, GAGGING."|stage direction
32||"VERONA (CONT'D)
Let me guess, you're trying to puke the
shit out, right? Right? Don't bother...
(MORE)
(CONTINUED)
4."|unknown
33||CONTINUED: (2)      VERONA(CONT'D)|stage direction
34||"the shit I gave you is some fucking high
tech sci-fi Chinese synthetic shit that
even I don't know exactly what the fuck
it is. All I know is once it binds with
your blood cells, you're fucked, baby...
and believe me, it's done binded. By now
you'll be feeling your joints stiffen
up... hard to breath..."|unknown
35||CHEV puts his hand on the left side of his chest to feel his|stage direction
36||5                                                                      5|location
37||"heart. The BEATS of the heart grow louder still, but the
rhythm falters, begins to slow ..."|stage direction
38||"VERONA (V.O.) (CONT'D)
... your heartbeat is slowing down like
there's rust in your veins... you're like
the Tin Man in the Wizard of freaking
Oz..."|unknown
39||One of the THUGS, ALEX, contributes from offscreen.|stage direction
40||5A                                                                  5A|location
41||"LEX
(amused by his own wit,
singing)
""If he only had a brain.""
ERONA
(irritated)
Scarecrow. Whatever. You get the point.
You're fucked. You got maybe an hour,
max, tough guy ... baby ... sexy ..."|unknown
42||"The THUGS are into it; VERONA is rolling. One of them comes
up beside the bed and plants a big kiss on CHEV'S unconscious
head."|stage direction
43||"VERONA (CONT'D)
Hey, it's been real. Probably should've
thought twice before you whacked Don Kim.
Experiencing a little 20/20 hindsight? I
thought so. Have a nice death..."|unknown
44||"Finally the CAMERA reverses to reveal CHEV'S slack-jawed          6
face, staring at the TV. CHEV is in his late 20s, handsome
in an offhanded way. All of the background noise - the
HEARTBEAT, the CELL PHONE - cuts to dead silence... and
through the silence, a SINGLE WORD:"|stage direction
45||"VERONA (CONT'D)
... asshole."|unknown
46||5A                                                                  5A|location
47||"(A driving SOUNDTRACK kicks in.   The OPENING TITLES play over
the following:)"|stage direction
48||"(CONTINUED)
5."|unknown
49||"CONTINUED: (3)
Finding a drunken man's strength, CHEV flips out. He rips
the TV out of the stand, TEARING THE WIRES FROM THE GUTS OF
THE WALL. He launches it straight into the floorboards with
a BONE-BREAKING CRUSH.
He KICKS over the rest of the entertainment system, JUMPS on
it and heads out of the room.
ROLLER DOLLY follows him on a STUMBLING RAMPAGE through the
apartment and down the hall.
By the door, in an ashtray with his car keys, he finds it:
his God-damned CELL PHONE. Of course it stops ringing just
as he picks it up. He pockets it, BANGS OPEN the front door
and is out.
INT CHEV'S APARTMENT BUILDING, CONTINUOUS"|stage direction
50||8                                                                          8|location
51||"ROLLER DOLLY stays with him through the door and down the
hall, as a businesswoman peaks her head out the door - then
SLAMS IT SHUT, terrified - and then down the stairs to the
garage door."|stage direction
52||9                                                                          9|location
53||"INT CHEV'S APARTMENT BUILDING, GARAGE, CONTINUOUS
ROLLER DOLLY still on CHEV. He jumps up on the hood of a
moving RED SPORTSCAR as it backs out of it's parking spot,
walks right over it and hops off, clicking the keyless lock
button on his chain in mid-air ... the door to his BLACK AUDI
pops open ... he gets in.
RED SPORTSCAR GUY is the sort of classic intolerable LA
ASSHOLE we love to hate: platinum hair, suspenders, designer
shades, programming his Blackberry while driving, etc."|stage direction
54||"SPORTSCAR GUY
This is a eighty thousand dollar ride,
cockwipe!"|unknown
55||"CHEV backs out, runs him right over. CH-KUNK, CH-KUNK.
CHEV'S AUDI blasts out of the garage and down the street.
SPORTSCAR GUY holds his backwards leg in agony."|stage direction
56||"SPORTSCAR GUY (CONT'D)
(screaming like a girl)
You're a dead man!
CUT TO:"|unknown
57||INT CHEV'S AUDI, MOMENTS LATER|stage direction
58||10                                                                     10|location
59||"The ever-present HEARTBEAT is pounding.     CHEV whips out his
cell phone and dials. A HORN BLASTS."|stage direction
60||"(CONTINUED)
6."|unknown
61||"CONTINUED:
CHEV quickly looks up and yanks his steering wheel to swerve
around oncoming traffic."|stage direction
62||"CHEV
JESUS!"|unknown
63||"The CAMERA ZOOMS in on CHEV'S CHEST: it becomes JUST SLIGHTLY
TRANSPARENT... we see the movement of his beating HEART SPEED
UP with the near miss."|stage direction
64||"he HEARTBEAT SOUND is amplified as we MOVE IN CLOSER.
CUT TO:"|unknown
65||INT EVE'S APARTMENT, SIMULTANEOUS|stage direction
66||11                                                                     11|location
67||"We see an old school tape answering machine pick up at her
place:"|stage direction
68||"OMAN (V.O.)
Hey, this is Eve..."|unknown
69||"This is apparently typical - she's an answering machine girl
in a cell phone world. He holds back his frustration as the
message plays."|stage direction
70||"EVE
I'm glad you called, but I'm not here.
Can you leave me a message? Unless
you're trying to sell something, because
I'm absolutely not interested. But if
you're not ..."|unknown
71||12                                                                     12|location
72||"EXT CHEV'S AUDI, SAME TIME
CHEV begins to POUND HIS HEAD against the steering wheel."|stage direction
73||"EVE
... then just ... oh, wait ... time's up -"|unknown
74||INT EVE'S APARTMENT, SAME TIME|stage direction
75||13                                                                     13|location
76||SOUND: beeep!|stage direction
77||"CHEV (O.S.)
GET A CELL PHONE!!!"|unknown
78||We hear CHEV'S car SQUEAL again...|stage direction
79||CUT TO:|unknown
80||INT CHEV'S AUDI, SAME TIME|stage direction
81||14                                                                     14|location
82||... CHEV recovers from another near miss.|stage direction
83||"(CONTINUED)
C"|unknown
84||N|stage direction
85||7.|unknown
86||CONTINUED:|stage direction
87||"CHEV
S
hit!"|unknown
88||He clicks off the cell.       His eyes try to focus on the road.|stage direction
89||OTE: Through it all, the low beating of the heart - from|unknown
90||"slow to fast - sometimes barely audible, sometimes mixed way
out front - clues us into the state of his adrenaline.
He grabs up the cellphone again and punches in a speed dial."|stage direction
91||"CHEV (CONT'D)
Come on ...
ANSWERING SERVICE (O.S.)
Doctor Miles' office, may I help you?
CHEV
Let me talk to him."|unknown
92||"SPLIT SCREEN WITH:
INT CHOCOLATE'S APARTMENT, SIMULTANEOUS"|stage direction
93||15                                                                       15|location
94||"CHOCOLATE, a too-skinny, cracked-out BLACK CHICK, sits in
front of a multi-line phone in a broken down apartment.
She's wearing a headset. She takes a long drag off her
cigarette."|stage direction
95||"HOCOLATE
(a generic imitation of"|unknown
96||"I'm sorry, the doctor isn't in the office
at this time, may I take -
CHEV
Where is he?
CHOCOLATE
I beg your pardon sir?
CHEV
Where - thefuck - is - he?
In more SCREENS WITHIN SCREENS we see a 'WELCOME TO LAS"|unknown
97||"VEGAS' sign, then DOCTOR MILES reclining on a massage table
with a bunch of HOOKERS.)"|stage direction
98||"CHOCOLATE
I don't know sir, this is his answering
service, would you like me to have him
paged?
(CONTINUED)"|unknown
99||C|location
100||8.|unknown
101||CONTINUED:|location
102||(exasperated)|unknown
103|CHEV|"Fine, yes, please let the doctor know
that Chev Chelios is a dead man if he
can't call me back within the hour... got
that?     C"|speech
104||HOCOLATE|unknown
105|CHEV|Can you spell that for me sir?|speech
106||"She searches the food and carton strewn tabletop for
something to write with."|location
107||CHEV|unknown
108|CHEV|D-E-A-D.   Chelios... got it?|speech
109||CHOCOLATE|unknown
110|CHEV|Yes sir...|speech
111||CHEV|unknown
112|CHEV|Thank you.|speech
113||HEV hangs up.|unknown
114||"CHEV finds himself nodding off in the car ...
The CAMERA ZOOMS back into his chest. This time it becomes
COMPLETELY TRANSPARENT - we see his HEART BEAT SLOW DOWN:
SOUND - BOOMING: ... LUB DUB, LUB DUB...
The CAMERA SWOOSHES down to CHEV'S FOOT as he STEPS ON THE
GAS... then back up to the HEART as the ADRENALINE CRANKS HIM
UP... the BEATING SPEEDS UP -
SOUND: ... LUBDUB, LUBDUB, LUBDUB..!
... and the CAMERA SNAPS back out to CHEV'S FACE as he seems
to come to his senses.
CHEV takes the cell. One-clicks, and sticks the phone in the
cigarette adapter. Four rings. Finally someone picks up."|location
115||KAYLO (O.S.)|unknown
116|CHEV|Hello?|speech
117|CHEV|"Kaylo. My man. So, where were you last
night?"|speech
118||SPLIT SCREEN WITH:|location
119||"K
C
C"|unknown
120||1|location
121||"O
9."|unknown
122||INT KAYLO'S HOUSE - SIMULTANEOUS|stage direction
123||16                                                                     16|location
124||"KAYLO is late 20's, slightly plump, hispanic, with gelled
back curly hair. The room is unkempt. A woman in a robe
shuffles by vaguely in the background, possibly his mother?"|stage direction
125||"K
AYLO
h, what's up Chev?
CHEV (O.S.)
I said, where were you last night?"|unknown
126||IN A SCREEN WITHIN A SCREEN WE SEE HIM DRESSING UP IN DRAG,|stage direction
127||17                                                                     17|location
128||"PUTTING ON LIPSTICK, FAKE TITS, THE WORKS, VOGUEING AT SOME
FREAKY CLUB, ETC.
INT CHEV'S AUDI - SIMULTANEOUS"|stage direction
129||"8                                                                     18
KAYLO (O.S.)
I ... uhh ...
HEV
Yeah, yeah.     You wanna know what I was
doing?
KAYLO
What?
CHEV
GETTING KILLED, YOU IDIOT!
KAYLO
What?
HEV
What? What? You heard me.      That son of
a bitch Ricky Verona.
AYLO
Ricky Verona ...
CHEV
(more to himself)
Who would've thought that little bastard
had the stones to come whack me in my own
crib... it's inconceivable... and yet,
here we are.
KAYLO
Where are we?"|unknown
130||Silence.|stage direction
131||(CONTINUED)|unknown
132||"B
R"|stage direction
133||10.|unknown
134||CONTINUED:|stage direction
135||"CHEV
I'm dead and you're simple. Now listen:
you put the word out I'm looking for
Ricky Verona. Anyone sees him you call
me."|unknown
136||KAYLO puts his hands up in the air, dumbfounded.|stage direction
137||"CHEV (CONT'D)
I'm going to get that little son of a
bitch if it's the last thing I do... it
may actually be the last thing I do,
understand that? Copy me on that?
KAYLO
Ricky Verona?
CHEV
Find him!"|unknown
138||"Arriving at his destination CHEV clicks off, simultaneously
closing KAYLO'S SCREEN IN A SCREEN, and shoves the phone into
his shirt pocket as he screeches up the sidewalk."|stage direction
139||CUT TO:|unknown
140||19   A                                                                19|location
141||EXT STREET, NEAR BLACK SABBATH CLUBHOUSE, MOMENTS LATER|stage direction
142||run down street in Inglewood. The BLACK SABBATH CLUBHOUSE|unknown
143||"is a low lying pool hall/bar with a crude hand-painted sign
reading BEER POOL DARTS. Motorcycles are parked out front."|stage direction
144||OLLER DOLLY from alongside CHEV'S car at high speed, break|unknown
145||"off and follow inside as CHEV parks haphazardly, rushes out
and busts into the joint ..."|stage direction
146||"INT. BLACK SABBATH CLUBHOUSE, CONTINUOUS
20                                                                    20"|location
147||"The continuous ROLLER DOLLY move takes us inside and KEEPS
GOING. Eight or ten BROTHERS, some wearing motorcycle
leathers, are scattered around the room, shooting stick,
drinking, etc. CHEV BARGES IN, drawing a GLOK .45 from his
coat and goes straight at ORLANDO - black, hip, 30's, better
dressed than the others - who is at the center of a group of
BADASSES."|stage direction
148||efore anyone has time to react CHEV has the GUN PRESSED INTO|unknown
149||"ORLANDO'S FOREHEAD and is pushing him through the place into
the bathroom. Everyone scatters and takes cover at the site
of the GLOK; firearms appear."|stage direction
150||(CONTINUED)|unknown
151||C|location
152||11.|unknown
153||"CONTINUED:
CHEV locks the door, SLAMS ORLANDO against the far wall and
starts circling around him with the gun beaded on ORLANDO'S
forehead."|location
154||(out of his mind)|unknown
155|CHEV|Where's Verona!!|speech
156||(flipping out)|unknown
157|ORLANDO|It's cool it's cool it's cool!|speech
158|CHEV|Talk!!|speech
159||CHEV cocks the gun.|location
160|ORLANDO|I'm talking! What are we talking about?|speech
161|CHEV|Don't fuck with me!!|speech
162|ORLANDO|"OK, nobody's fucking with you, just calm
down ..."|speech
163|CHEV|DON'T TELL ME TO CALM DOWN MOTHERFUCKER!|speech
