|character|text|type
0||"SMOKIN' ACES
Written by"|unknown
1||4/23/05|unknown
2||"FADE UP ON:
TITLE CARD
A narration accompanies this passage: ""The events depicted
herein were believed have taken place in Lake Tahoe, Nevada.
All manner of record as they might pertain to these events
have been seized by the Department of Justice"""|stage direction
3||INT. VAN -- NIGHT|location
4||"Wall-to-wall surveillance set-up. Two FBI AGENTS: DONALD
CARRUTHERS 30's and RICHARD MESSNER 30's, man the post,
staring at video monitors. Both hold telephoto images; shaky,
long lens shots of a mansion some distance away. Messner
tacks photographs to a corkboard on the van wall. One is
labeled ""Subject SIDNEY K. SERNA: UNDERBOSS/Sparazza Family.""
The other is labeled ""Subject VICTOR ""BABY BUZZ"" PADICHE
LIEUTENANT/Sparazza Family."" Voices begin emitting over the
van's speakers."|stage direction
5||"SERNA (V.O.)
Buzzy...Buzz...?
PADICHE (V.O.)
Yeah...Sid?
SERNA (V.O.)
You got clicks, anything?
PADICHE (V.O.)
Nah, nuthin' on my end--
SERNA (V.O.)
--Okay...hang on, I gotta move--"|unknown
6||Messner rides a digital console, tweaks frequency.|stage direction
7||"MESSNER
(keying mic)
Zoom and pan please.   Stay tight."|unknown
8||"ON THE MONITORS: The image pans, follows a figure moving
behind the mansion's windows, entering a back bedroom."|stage direction
9||"SERNA (V.O.)
Alright, now Buzzy-- this is, this
is it, here, okay, so listen to me
careful and wait till I'm finished
'cuz we got no room for slop.
PADICHE (V.O.)
I'm here."|unknown
10||"Messner adjusts the record level, V-U meters spike, modulate.
The figure on the monitors paces the room. WE SEE it's Serna."|stage direction
11||"2.
SERNA (V.O.)"|unknown
12||"Okay, he's gonna clip Israel, I just
gotta outta there--"|stage direction
13||PADICHE (V.O.)|unknown
14||--he's doing it then, huh--|stage direction
15||SERNA (V.O.)|unknown
16||"--yeah, now lemme finish, I was
eavesdroppin', so give me sec, lay
this thing out, since the information
might be a little loose--"|stage direction
17||PADICHE (V.O.)|unknown
18||--okay, g'head--|stage direction
19||SERNA|unknown
20||"So what I heard downstairs there is
that they got a guy, some Swede,
real badass, supposedly a ""specialist""
and they're bringing him over. Now
he ain't coming cheap-- so, I'm
thinkin' we jump, do this in the
next day or so, get to Israel before
the Swede can, we got chits, y'see?
We're in a power position. Grab
him, ransom him back, pick up that
nut, we're that much closer to having
our own thing."|stage direction
21||PADICH (V.O.)|unknown
22||"--I see that, yeah, s'smart move,
for us anyway."|stage direction
23||SERNA (V.O.)|unknown
24||"Trust me, we keep our mouths shut,
go about our thing, play the part,
nobody suspects us."|stage direction
25||(feedback distorts)|unknown
26||"The old man's on the fade Buzzy,
fuck him, y'know? And that hurts, I
don't like saying that, but hey, our
livelihood, our lifeboat, y'get?"|stage direction
27||PADICHE|unknown
28||"No question, no, you're right. We
gotta do what's good for us now."|stage direction
29||SERNA (V.O.)|unknown
30||Fuckin' A, first survive, yes?|stage direction
31||PADICHE (V.O.)|unknown
32||"Y'gotta, y'gotta. But d'ya think
they'll kick ransom for that little
prick, assuming we get to'm."|stage direction
33||3.|unknown
34|SERNA (V.O.)|"Yeah, y'ain't heard the punchline,
yet and before I get to it, one more
thing I heard, little curious, should
probably bring it up...Primo wants
Israel's heart. The actual thing,
the organ."|speech
35||"Pause. Feedback. The agents trade looks. Carruthers grabs
a cellphone, dials, patches a feed for the party on the other
end to hear."|stage direction
36|PADICHE (V.O.)|...Jesus...what for?|speech
37|SERNA (V.O.)|"--who can say. He's off his onion,
y'know, he's old school Sicilian,
this is how they hate."|speech
