|character|text|type
0||"2012
Written by
Roland Emmerich & Harald Kloser
Second Draft
February 19th, 2008"|unknown
1||"OVER BLACK
We listen to the immortal music of Mozart's Adagio of the
Clarinet Concerto in A."|stage direction
2||FADE UP|unknown
3||EXT. THE SOLAR SYSTEM|location
4||"Space, infinite and empty.
But then, slowly all nine planets of our Solar System move
into frame and align.
The last of them is the giant, burning sphere of the sun.
Just as the sun enters frame, a solar storm of gigantic
proportion unfolds. The eruptions shoot thousands of miles
into the blackness of space."|stage direction
5||"FADE TO BLACK
2009
FADE UP"|unknown
6||EXT. COUNTRY SIDE/INDIA - SUNSET|location
7||"Mozart's concerto filters from a jeep's stereo, fighting the
drumming sounds of the monsoon rain. PROF. FREDERIC WEST, 66,
listens to the music.
An Indian BOY playing by the roadside steers his wooden toy
ship across a puddle.
The Professor turns to his driver, pointing to the boy."|stage direction
8||"PROF. WEST
Watch out!"|unknown
9||"But it's too late. The jeep drives straight through the
puddle at full speed, sinking the boy's toy ship.
In the background, the jeep stops in front of a building. The
driver jumps out, leading the Professor towards its entrance.
The sign at the door reads: `Institute for Astrophysics -
University of New Delhi'."|stage direction
10||2.|unknown
11||INT. NAGA-DENG MINE/INDIA - SUNSET|location
12||"An endless mine shaft. An old elevator cage comes to a
grinding halt. When Prof. West steps out we see that he is
accompanied now by a nervous DR. SATNAM TSURUTANI, 32."|stage direction
13||PROF. WEST|unknown
14|unknown|How deep are we?|speech
15|SATNAM|"8200 feet. Used to be an old copper
mine, Professor, sir."|speech
16||"As Prof. West follows Satnam, he takes in the unusual setting
for this science lab."|stage direction
17|PROF. WEST|"Helmsley told me that the neutrino
count doubled during the last sun
eruptions."|speech
18|SATNAM|"Correct, sir. But that is not what
worries me..."|speech
19||"They enter a large room with low hanging ceilings. A small
group of WHITE COATS look up from their computers, which all
show images of the solar storm we witnessed earlier."|stage direction
20|SATNAM (CONT'D)|"There was a new solar storm, so strong
that the physical reaction got even
more severe."|speech
21||PROF. WEST|unknown
22|SATNAM (CONT'D)|How can that be?|speech
23|SATNAM|We don't know, Professor, sir.|speech
24||"Satnam walks over into another room. There he opens a hatch
on the floor and hot steam rises."|stage direction
25|SATNAM (CONT'D)|"The neutrinos suddenly act like...
microwaves."|speech
26||"Prof. West slowly steps closer. When he discovers that the
water in the tank below is boiling, his face goes pale."|stage direction
27||"CUT TO:
3."|unknown
28||EXT. LARGE TERRACE/WASHINGTON D.C. - EVENING|location
