|character|text|type
0||"Air Force One
Andrew Marlow"|unknown
1||FADE IN:|stage direction
2||INT. C-130 HERCULES TURBO-PROP - NIGHT|location
3||"Eighteen combat-ready special forces, wearing assault black,
jump packs and combat gear, stare down the deep end of a
greasy ramp into the night sky.  Village lights flicker 19,000
feet below.
The STRIKE FORCE LEADER signals to his team.
Without a moment's hesitation, they dive into the darkness
and plummet toward earth."|stage direction
4||EXT. MANSION - NIGHT|location
5||"A military GUARD, old Soviet-style uniform, rounds the corner
of the large estate toting an AK-47.
A red laser dot appears briefly on his forehead and, after a
beat, the red dot seems to bleed.  The Guard collapses dead.
Two other GUARDS are dispatched with single, silenced shots.
A Strike Team member at a junction box awaits a signal.
Through infra-red binoculars the strike Force Leader watches
his assault troops as they take positions."|stage direction
6||"(into headset/in
Russian)"|location
7|STRIKE FORCE LEADER|GO!|speech
8||"On the estate - as the power goes out.  The team on the
mansion's front porch pops the door and pours in."|stage direction
9||INT. MANSION - NIGHT|location
10||"FOLLOWING - the FIVE TEAM MEMBERS as they rush a stairway in
phalanx formation.  They nearly knock over an old lady, who
in turn lets out a blood curdling scream.
UPSTAIRS CORRIDOR -
The team kicks open a door.  Rushes into the room."|stage direction
11||INT. BEDROOM -|location
12||"Assault weapons pointed at the bed.  The soldiers yank back
bedsheets to reveal IVAN STRAVANAVITCH, a middle-aged man
and his half-naked 18-year-old concubine."|stage direction
13||(in Russian)|location
14|SOLDIER|Get up, now!  Up!|speech
15||"The soldiers pull Stravanavitch to his feet and haul him out
of the room.
FOLLOWING -  As they push down the hallway.
MANSION SECURITY GUARDS rally with haphazard gunfire.
Out come the strike force's flash-bang grenades.  Exploding
everywhere, disorienting Stravanavitch's men."|stage direction
16||EXT. FIELD - NIGHT|location
17||"Signal flares burn as a helicopter descends on the position.
The Strike Team evacuates across the field and forces a
struggling Stravanavitch into the low-hovering copter.
The commandos swiftly board the craft as a handful of
Stravanavitch's guards break into the clearing.  They open
fire.
And the mounted machine guns on the helicopter return.
One of the Strike Team members takes a bullet to the neck.
He's' pulled by his comrades into the chopper as it lifts
into the sky, its guns spitting lead...
STRIKE FORCE LEADER (V.0.)
Archangel, this is Restitution.
Archangel, this is Restitution.  The package is wrapped.
Over."|stage direction
18|VOICE (V.0. RADIO)|"Roger, Restitution.  We are standing
by for delivery."|speech
19|FADE TO BLACK|"The SOUNDS of a dinner banquet.
Forks clanking against plates and
the din of a hundred conversations,
broken by..."|speech
20||"The DING, DING, DING of a SPOON tapping against a wine glass.
SUPER TITLE:   ""MOSCOW - THREE WEEKS LATER
FADE IN:"|stage direction
21||INT. BANQUET ROOM - NIGHT|location
22||"Hundreds of men and women in formal evening wear sit at round
banquet tables.  A HUSH falls over the guests as the DINGING
continues.  All attention turns to the front table.
A rotund, silver haired-man in his late sixties rises and
sidles past U.S. and Russian flags up to the podium
microphone.  He is STOLI PETROV, President of Russia."|stage direction
23||(in Russian)|location
24|PETROV|Thank you for joining us this evening.|speech
25||"Petrov's harsh Russian issues through the room.  But over it
we hear a young woman's voice translating."|stage direction
26|TRANSLATOR (V.0.)|"Tonight we are honored to have with
us a man of remarkable courage, who,
despite strong international
criticism..."|speech
27||"AT THE FRONT TABLE -
A translator's words ring in the earpiece of a handsome man
in his mid-forties.  Worry lines crease his forehead and the
touch of gray at his temples attest to three very difficult
years in office.
This man is JAMES MARSHALL, and he is the PRESIDENT of the
UNITED STATES OF AMERICA.  He busily makes last minute changes
to his speech."|stage direction
28||(V.0. earpiece)|location
29|TRANSLATOR|"Has chosen to join our fight against
tyranny in forging a new world
community.  Ladies and gentlemen, I
give you the President of the United
States of America..."|speech
30||"Mr. President.
Thunderous applause as Marshall rises and approaches the
podium.
At the back of the room, DOHERTY, a senior policy adviser
whispers to the President's Chief of Staff ED SHEPHERD..."|stage direction
31|DOHERTY|"Maybe we should consider running him
for re-election instead of the U.S."|speech
32||The applause dies as Marshall begins to speak.|stage direction
33||"(in Russian with
subtitles)"|location
34|MARSHALL|"Good evening and thank you.  First I
would ask you to join me in a moment
of silence for the victims of the
Turkmenistan massacres."|speech
35||"The room remains silent a few beats.  Most guests respectfully
bow their heads.
Marshall begins again, but this time in English.  The young
woman translates simultaneously for the Russian audience."|stage direction
36|MARSHALL|"As you know, three weeks ago American
Special Forces, in cooperation with
the Russian Republican Army, secured
the arrest of Turkmenistan's self-
proclaimed dictator, General Ivan
Stravanavitch, whose brutal sadistic
reign had given new meaning to the
word horror.  I am proud to say our
operation was a success."|speech
37||"Applause from the audience.  Marshall turns the page on his
speech."|stage direction
38|MARSHALL|"And now, yesterday's biggest threat
to world peace... today awaits trial
for crimes against humanity."|speech
39||"During the applause, Marshall pulls a page from the speech,
folds it and slides it into his pocket.  He removes his
glasses and looks out into the crowd.  His tone becomes more
personal.
He's not reciting the speech anymore."|stage direction
40|MARSHALL|"What we did here was important.  We
finally pulled our heads out of the
sand, we finally stood up to the
brutality and said ""We've had enough.
Every time we ignore these atrocities--
the rapes, the death squads, the
genocides- every time we negotiate
with these, these thugs to keep them
out of gig country and away from gig
families, every time we do thiS.E.
we legitimize terror."|speech
41||"Terror is not a legitimate system of government.  And to
those who commit the atrocities I say, we will no longer
tolerate, we will no longer negotiate, and we will no longer
be afraid.  It's your turn to be afraid.
Applause rolls through the crowd."|stage direction
42||EXT. MOSCOW INTERNATIONAL AIRPORT - NIGHT|location
43||"Sprawling terminals spread out to runways like tentacles.
ON THE TARMAC -
Bathed in floodlights, perched majestically on the runway,
dwarfing nearby commuter and military jets, stands..."|stage direction
44|AIR FORCE ONE|"The President's own Boeing 747-200,
dubbed ""the flying White House"".
The distinctive royal blue stripe
over a thin gold line tapers to a
tail adorned with the American flag
and the Presidential Seal Secret
Service agents and Marines stand
guard at the aircraft's perimeter."|speech
45||"A RUSSIAN NEWS VAN emerges from the darkness and pulls to a
stop by a Secret Service barricade.
SPECIAL AGENT GIBBS greets the Russian news team that emerges."|stage direction
46|GIBBS|Gentlemen, welcome to Air Force One.|speech
