|text|type
0|"DEFIANCE
Written by"|unknown
1|Clayton Frohman & Edward Zwick|location
2|SALMON Revision - 8-18-07 2.|stage direction
3|SALMON Revision - 8-19-07 3.|stage direction
4|DOUBLE GREEN Revision - 10-14-07 4.|stage direction
5|TAN Revision - 9-10-07 5.|stage direction
6|YELLOW Revision - 7-30-07 6.|stage direction
7|CUT TO:|stage direction
8|SALMON Revision - 8-18-07 7.|stage direction
9|"Tuvia looks at his brothers. He has been outvoted.
CUT TO:"|stage direction
10|GOLDENROD Revision - 8-16-07 8.|stage direction
11|"WALENCKI
Please...
Zus kicks him.
WALENCKI (CONT'D)
I beg you..."|stage direction
12|TAN Revision - 9-10-07 9.|stage direction
13|"No. Some I will kill.
CUT TO:"|stage direction
14|TAN Revision - 9-10-07 10.|stage direction
15|GOLDENROD Revision - 8-16-07 11.|stage direction
16|"Remember to say please.
CUT TO:"|stage direction
17|"Koscik, a rotund, florid-faced Pole, hands it to Tuvia.
KOSCIK
I have only four bullets.
(CONTINUED)
BLUE Revision - 6-26-07 12."|stage direction
18|Hide yourself. ...The barn.|stage direction
19|SALMON Revision - 8-19-07 13.|stage direction
20|GOLDENROD Revision - 8-16-07 14.|stage direction
21|GOLDENROD Revision - 8-16-07 15.|stage direction
22|"Tuvia leads his motley band toward the woods.
CUT TO:"|stage direction
23|DOUBLE BLUE Revision - 9-17-07 16.|stage direction
24|DOUBLE GREEN Revision - 10-14-07 16A.|stage direction
25|"Tuvia shows him.
TUVIA"|stage direction
26|DOUBLE BLUE Revision - 9-17-07 17.|stage direction
27|YELLOW Revision - 7-30-07 18.|stage direction
28|DOUBLE YELLOW Revision - 10-8-07 19.|stage direction
29|DOUBLE BLUE Revision - 9-17-07 20.|stage direction
30|DOUBLE GREEN Revision - 10-14-07 21.|stage direction
31|DOUBLE GREEN Revision - 10-14-07 A21.|stage direction
32|DOUBLE BLUE Revision - 9-17-07 21A.|stage direction
33|DOUBLE BLUE Revision - 9-17-07 22.|stage direction
34|DOUBLE BLUE Revision - 9-17-07 23.|stage direction
35|GREEN Revision - 8-8-07 24.|stage direction
36|GREEN Revision - 8-8-07 25.|stage direction
37|SALMON Revision - 8-19-07 26.|stage direction
38|"TUVIA
Here?"|stage direction
39|SALMON Revision - 8-19-07 27.|stage direction
40|GREEN Revision - 8-8-07 28.|stage direction
41|GOLDENROD Revision - 8-16-07 29.|stage direction
42|GOLDENROD Revision - 8-16-07 30.|stage direction
43|GREEN Revision - 8-8-07 31.|stage direction
44|GOLDENROD Revision - 8-16-07 32.|stage direction
45|DOUBLE PINK Revision - 9-27-07 33.|stage direction
46|DOUBLE PINK Revision - 9-27-07 34-34A.|stage direction
47|DOUBLE PINK Revision - 9-27-07 35.|stage direction
48|DOUBLE PINK Revision - 9-27-07 36.|stage direction
49|DOUBLE PINK Revision - 9-27-07 36A.|stage direction
50|DOUBLE PINK Revision - 9-27-07 37.|stage direction
51|SALMON Revision - 8-19-07 38.|stage direction
52|"TUVIA
Now."|stage direction
53|DOUBLE PINK Revision - 9-27-07 39.|stage direction
54|DOUBLE YELLOW Revision - 10-8-07 40.|stage direction
55|DOUBLE YELLOW Revision - 10-8-07 40A.|stage direction
56|DOUBLE YELLOW Revision - 10-8-07 41.|stage direction
57|DOUBLE YELLOW Revision - 10-8-07 A41-41A.|stage direction
58|DOUBLE YELLOW Revision - 10-8-07 42.|stage direction
59|DOUBLE PINK Revision - 9-27-07 43.|stage direction
60|CHERRY Revision - 9-2-07 43A.|stage direction
61|DOUBLE PINK Revision - 9-27-07 44.|stage direction
62|CHERRY Revision - 9-2-07 44A.|stage direction
63|DOUBLE YELLOW Revision - 10-8-07 45.|stage direction
64|GOLDENROD Revision - 8-16-07 46.|stage direction
65|"Tuvia nods and walks away.
CUT TO:"|stage direction
66|"They stare in astonishment.
CUT TO:"|stage direction
67|GOLDENROD Revision - 8-16-07 48.|stage direction
68|DOUBLE YELLOW Revision - 10-8-07 49.|stage direction
69|DOUBLE YELLOW Revision - 10-8-07 49A.|stage direction
70|DOUBLE YELLOW Revision - 10-8-07 50.|stage direction
71|DOUBLE YELLOW Revision - 10-8-07 51.|stage direction
72|DOUBLE YELLOW Revision - 10-8-07 52.|stage direction
73|"Tuvia walks alongside but apart.
CUT TO:"|stage direction
74|CHERRY Revision - 9-2-07 52A.|stage direction
75|YELLOW Revision - 7-30-07 53.|stage direction
76|DOUBLE GREEN Revision - 10-14-07 54.|stage direction
77|DOUBLE GOLDENROD Revision - 10-21-07 55.|stage direction
78|DOUBLE GOLDENROD Revision - 10-21-07 55A.|stage direction
79|DOUBLE GOLDENROD Revision - 10-21-07 56.|stage direction
80|GREEN Revision - 8-8-07 57.|stage direction
81|TAN Revision - 9-10-07 58.|stage direction
82|DOUBLE SALMON Revision - 10-21-07 59.|stage direction
83|GOLDENROD Revision - 8-16-07 59A.|stage direction
84|DOUBLE YELLOW Revision - 10-8-07 60.|stage direction
85|98A EXT. FOREST - DAY 98A|stage direction
86|DOUBLE YELLOW Revision - 10-8-07 61.|stage direction
87|YELLOW Revision - 7-30-07 62.|stage direction
88|DOUBLE GREEN Revision - 10-14-07 63-63A.|stage direction
89|DOUBLE GOLDENROD Revision - 10-21-07 63B-63C.|stage direction
90|GOLDENROD Revision - 8-16-07 64.|stage direction
91|DOUBLE GOLDENROD Revision - 10-21-07 65.|stage direction
92|DOUBLE GOLDENROD Revision - 10-21-07 65A.|stage direction
93|"LITTLE BOY
(to Lilka)
He is a Jew?"|stage direction
94|DOUBLE YELLOW Revision - 10-8-07 66.|stage direction
95|YELLOW Revision - 7-30-07 66B.|stage direction
96|"Lilka blushes furiously. The women laugh even louder.
CUT TO:"|stage direction
97|DOUBLE YELLOW Revision - 10-8-07 67.|stage direction
98|DOUBLE GREEN Revision - 10-14-07 67A.|stage direction
99|DOUBLE SALMON Revision - 10-21-07 67B.|stage direction
100|"as SNOW continues to fall. The young marriage is a
celebration of hope over despair.
DISSOLVE TO:"|stage direction
101|DOUBLE SALMON Revision - 10-21-07 68.|stage direction
102|DOUBLE SALMON Revision - 10-21-07 69.|stage direction
103|DOUBLE CHERRY Revision - 11-1-07 70.|stage direction
104|Tuvia visits his beautiful horse. He unties him.|stage direction
105|"A whisper runs through the group...""meat""...""what kind?""...""
Where'd it come from?""
Tuvia watches them eat hungrily."|stage direction
