|character|text|type
0||David Franzoni|unknown
1||Revised by John Logan|location
2||"SECOND DRAFT
October 22, 1998"|unknown
3|"GLADIATOR
by"|"""While stands the Colosseum, Rome shall stand.
When falls the Colosseum, Rome shall fall.
And when Rome falls -- the World."""|speech
4||Byron|unknown
5||FADE IN:|stage direction
6||EXT.  FOREST - DAY|location
7||"Germania.  The far reaches of the Roman Empire.
Winter 180 A.D.
Incongruously enough, the first sound we hear is a
beautiful tenor voice.  Singing.  A boy's voice.
CREDITS as we hear the haunting song float through dense
forests.  We finally come to a rough, muddy road slashing
through the forest.  On the road a GERMAN PEASANT FATHER
is herding along three sickly looking cows.  His two SONS
are with him.  His youngest son sits on one of the cows
and sings a soft, plaintive song.
They become aware of another sound behind them on the road
-- the creak of wood, the slap of metal on leather.  The
Father immediately leads his cattle and his sons off the
road.  They stand-still, eyes down:  the familiar posture
of subjugated peoples throughout history.
A wagon train rumbles past them.  Three ornate wagons
followed by a mounted cohort of fifty heavily-armed
PRAETORIAN GUARDS.
The young boy dares to glance up at the passing Romans.
His eyes burn with hatred."|stage direction
8||INT.  WAGON - DAY|location
9||"Mist momentarily obscures a man's face.  Frozen breath.
The man is in his 20's, imperious and handsome.  He is
swathed in fur, only his face exposed.  He is COMMODUS.
He glances up."|stage direction
10|COMMODUS|Do you think he's really dying?|speech
11||"The woman across from him returns his gaze evenly.  She is
slightly older, beautiful and patrician.  A formidable
woman.
She is LUCILLA."|stage direction
12|LUCILLA|He's been dying for ten years.|speech
13|COMMODUS|I think he's really dying this time.|speech
14||A beat.  Their breath turns instantly to mist.|stage direction
15|COMMODUS|He has to be bled every night now.|speech
16|LUCILLA|How do you know that?|speech
17|COMMODUS|I've been so informed.|speech
18||She arches an eyebrow.|stage direction
19|COMMODUS|"If he weren't really dying he
wouldn't have sent for us."|speech
20||(a smile)|location
21|LUCILLA|Maybe he just misses us.|speech
22|COMMODUS|"And the Senators.  He wouldn't have
summoned them if --"|speech
23|LUCILLA|"Peace, Commodus.  After two weeks on
the road your incessant scheming is
hurting my head."|speech
24||A beat.|stage direction
25|COMMODUS|"The first thing I shall do is honor
him with games worthy of his
majesty."|speech
26|LUCILLA|"The first thing I shall do is have a
hot bath."|speech
27||"The wagon rumbles to a halt.  Voices are heard outside.
Commodus leaps out..."|stage direction
28||EXT.  WAGON - OUTPOST - DAY|location
29||"Three Roman SOLDIERS guard an outpost, a watchtower, on
the roadside."|stage direction
30|COMMODUS|Why have we stopped?|speech
31|PRAETORIAN GUARD MEMBER|We're here, sir.|speech
32||(to Soldier #1)|location
33|COMMODUS|Where is my father?|speech
34|SOLDIER #1|He's at the front, sir.|speech
35|COMMODUS|Is the battle won?|speech
36|SOLDIER #1|"Don't know, sir.  They've been gone
for eight days."|speech
37||"Commodus tosses off his furs -- beneath them he wears a
beautiful set of Lorica Segmentata -- the traditional
formed armor of Rome.  He moves to a horse as:"|stage direction
38||(to Soldier #1)|location
39|COMMODUS|"My sister wants a bath, take her to
the camp."|speech
40||(to Soldier #2)|location
41|COMMODUS|Take me to my father.|speech
42||"He leaps onto the horse and canters back to the Praetorian
Guard unit.
Soldier #2 climbs on his horse and leads them.  Commodus
rides off with most of the Praetorian Guard unit.
Lucilla peeks her head from the wagon.  She glances at the
remaining soldiers.  Distinctly unpromising."|stage direction
43||(dry)|location
44|LUCILLA|"Civilization at last.  Gods preserve
us."|speech
45||EXT.  HILL - TWILIGHT|location
46||"The mighty catapults dwarf the humans.  Soldiers from the
elite Felix Regiment -- a legion of the Roman Army -- haul
the monstrous machines up a hill.
The commanding General of the Felix Regiment, MAXIMUS,
walks between two of the catapults.  He is a striking and
intense man in his 30's.  Like all the soldiers who
surround him, he is caked with mud and exhausted.
He trudges up the hill with his two lieutenants, TITUS and
QUINTUS."|stage direction
47|TITUS|"You would do as well to read the
mind of a rhinoceros."|speech
48|QUINTUS|"These barbarians would rather drown
in blood than yield an inch.  If I
didn't hate them so much I would
admire them."|speech
49||"They have reached the top of the hill.  Stunning martial
preparations are underway.  The catapults join ten others.
Archers are taking up position.  Brutal ""Scorpions"" --
devices for firing multiple crossbow bolts -- are being
loaded.  Soldiers are also loading the catapults with
enormous ""Greek fire pots"" -- large, round terra cotta
pots.
Maximus and his lieutenants gaze down from the hilltop.
Below them they can see a German encampment."|stage direction
50|TITUS|They simply will not surrender.|speech
51||A beat as Maximus gazes down at the German position.|stage direction
52||(quietly)|location
53|MAXIMUS|"A people should know when they are
conquered."|speech
54||A beat.|stage direction
55|MAXIMUS|"At the first signal release the
catapults.  We'll use the cavalry to
cut off the retreat."|speech
56|QUINTUS|"General, I don't recommend that.
Our cavalry might be caught in the
flames."|speech
57|MAXIMUS|"I hope not, because I'm going to be
leading them."|speech
58||A beat as he gazes down at the enemy.|stage direction
59|MAXIMUS|"Why don't they know they're already
dead?"|speech
60||EXT.  TREES - TWILIGHT|location
61||"Maximus and Titus are on their horses, the cavalry of two
hundred Felix Regiment warriors surrounds them.  Steam
flares from their horses' nostrils.  They wait in a thick
stand of trees -- the German position can be seen across a
muddy plain.
A large wolf -- ""The Wolf of Rome"" -- waits at Maximus'
side.
Maximus nods to an archer.  The archer lights the tip of
an arrow and sends it flaming into the night sky."|stage direction
62||EXT.  HILLTOP - TWILIGHT|location
63||"Quintus waits.  The catapults are loaded and waiting.  So
too the Scorpions.  So too the 200 archers of the Felix
Regiment.
He sees the flaming arrow flying up from below."|stage direction
64|QUINTUS|Now!|speech
65||"The mighty catapults are released.  The Greek fire pots
arc dramatically through the air.  A moment later soldiers
release the Scorpions and hundreds of bolts streak through
the sky.  The archers fire a murderous barrage of flaming
arrows."|stage direction
66||EXT.  TREES - TWILIGHT|location
67||"The screaming is almost immediate.
Maximus and his cavalry watch as the fire pots crash down
into the German encampment."|stage direction
68||EXT.  GERMAN CAMP - TWILIGHT|location
69||"The fire pots shatter -- pitch splashes everywhere --
seconds later the bolts and flaming arrows slice down and
ignite the pitch -- FLAME EXPLODES -- it is a hellish,
napalm-like vision -- the conflagration illuminating the
twilight.
The deadly rain of flaming arrows spreads terror through
the German camp --"|stage direction
70||EXT.  TREES - TWILIGHT|location
71||Maximus watches the German camp.|stage direction
72||(to his men)|location
73|MAXIMUS|Hold steady... steady...|speech
74||"He can see the nightmare destruction of the encampment
continuing -- fire pots and Scorpion bolts and flaming
arrows -- panic in the German encampment."|stage direction
75|MAXIMUS|Steady...|speech
76||"He sees the Germans begin fleeing across the plain.  He
quickly raises his sword and whispers a prayer, then turns
to his men:"|stage direction
77|MAXIMUS|Brothers -- I salute you!  For Rome!|speech
78||"He spurs his horse and races out of the trees to the
plain..."|stage direction
79||EXT.  PLAIN - BATTLEGROUND - TWILIGHT|location
