|character|text|type
0||"LOOPER
Written by"|unknown
1||Rian Johnson|location
2||Production draft|unknown
3||EXT. EDGE OF CORN FIELDS - DAY|location
4|unknown|"A pocket watch. Open. Ticking. Swinging from a chain.
Held by a young man named JOE in a clearing beside a Kansas
corn field. Sky pregnant with rain.
Waiting. He checks the watch, removes his earbud headphones,
stands.
Without much ceremony a BLOODIED MAN in a suit appears from
thin air, kneeling before the young man. Hands and feet
tied. Burlap sack over his head. Muffled screams, gagged.
With no hesitation Joe raises a squat gun and blows the man
apart with a single cough of a shot."|speech
5|LATER|"Joe loads the corpse into the flatbed of his truck.
Cuts open the back of the body's jacket, revealing FOUR bars
of gold taped to the dead man's back. Joe takes them."|speech
6||EXT. INDUSTRIAL PLANT - DAY|location
7|LATER|"Massive, in the middle of nowhere. Black smoke.
JOE (V.O.)
Time travel has not yet been
invented. But twenty five years
from now it will be. Once the
technology exists, it will be
relatively cheap and available to
the public at large. And so. It
will be instantly outlawed, used
only in secret by the largest
criminal organizations. And then
only for a very specific purpose.
Joe drives up and parks his truck, removes the wrapped corpse
from the flatbed.
JOE (V.O.) (CONT'D)
It's nearly impossible to dispose
of a body in the future. I'm told.
Tagging techniques, whatnot. So
when these future criminal
organizations in the future need
someone gone, they use specialized
assassins in our present, called
loopers."|speech
8||INT. INDUSTRIAL PLANT - DAY|location
9|LATER|"Cavernous and empty. Joe carries the body to an iron hatch,
opens it, and dumps him in.
2.
JOE (V.O.)
And so. Thirty years from now. My
employers in the future nab the
target, they zap him back to me,
their looper. And I do the
necessaries. So the target has
vanished from the future, and I've
just disposed of a body that
technically does not exist. Clean.
The body slides down a long chute. Vanishes in a little
flare of angry red fire."|speech
10||EXT. DINER - DAY|location
11|LATER|"A sidecar roadside diner in the middle of nowhere. Joe's
truck in front."|speech
12||INT. DINER|location
13|LATER|"Nearly empty, Joe at a booth listening to headphones. A
waitress sets down coffee.
Her bright red name tag: BEATRIX."|speech
14|BEATRIX|Bon jour, Joe.|speech
15|JOE|Bon jour, Beatrix.|speech
16|BEATRIX|How's the French?|speech
17|JOE|Slow. How's the coffee?|speech
18|BEATRIX|"Burnt.
Cream in the coffee. White clouds boil deep down."|speech
19||EXT. FARMLAND ROAD - DAY|location
20|BEATRIX|"Joe's truck zooms from the flat fields towards a mid sized
city on the horizon."|speech
21||INT. PAWN SHOP - DAY|location
22|BEATRIX|"Grungy, heavily fortified. Joe enters and puts his gun in a
basket labeled “LOOPERS - BLUNDERBUSSES”
Slips down a narrow passage, which ends at a steel wall with
a protruding duct taped camera and microphone."|speech
23|JOE|"Two, Jedd.
3.
Joe fishes the two gold bars from his jacket.
A small narrow slot slides open in the wall, and gnarled old
hands take the gold bars. It slides shut again.
In the background the front door to the pawn shop dings open.
The slot slides open and Jedd's hands push a wad of cash.
Joe pockets it, and backs around Dale, another Looper."|speech
24|DALE|Hey Joe. Be at the Belle tonight?|speech
25|JOE|"Yup.
Dale hands four gold bars through the slot as Joe retrieves
his gun and exits."|speech
26|DALE|Four, Jedd.|speech
27||INT. JOE'S APARTMENT - AFTERNOON|location
28|DALE|"High ceilings, big clean windows overlooking a sooty city.
Joe finishes smoothing out an oriental rug and scoots a
coffee table in place over it.
Puts a bebop LP on a turntable."|speech
29|LATER|On the bed, shooting at the ceiling with his fingers.|speech
30|JOE|Bon jour, mademoiselle. Bang!|speech
31||INT. CAR GARAGE - EVENING|location
32|JOE|"Suit-and-tie Joe pulls a tarp off a cherried-out 1992 Mazda
Miata. Lingers over it. His baby."|speech
33||EXT. CITY STREETS - EARLY EVENING|location
34|JOE|"Joe drives through the sooty city streets. A muted beep, and
he fishes a matchbook sized screen from his pocket."|speech
35|JOE|"Yeah Seth? Yeah. Ok.
4."|speech
36||EXT. STREET CORNER - EARLY EVENING|location
37|JOE|"A young looper named SETH on the side of the road, kneeling
beside a motorcycle without wheels called a SLAT BIKE. He
kicks it in frustration.
A VAGRANT approaches and SETH pulls a gun, identical to
Joe's."|speech
38|SETH|"Walk around! Around, I'm not
kidding. Wide around, ya shit.
The vagrant crosses the street. Joe pulls up."|speech
39|JOE|Seth.|speech
40|SETH|Hi Joe.|speech
41|JOE|"That's new.
Seth kicks the bike."|speech
42|SETH|"Thanks. Goddamn thing. You going
to the Belle?"|speech
43||EXT. DRIVING THROUGH THE CITY STREETS|location
44|SETH|Seth and Joe.|speech
45|JOE|"Slat Bikes are all junk. Stick
with rubber on the road."|speech
46|SETH|"Yeah but Gat Men pull up in them,
they get respect."|speech
47|JOE|"They get respect cause they run the
town. How much did that thing set
you back? How much?
Seth holds a quarter idly in his palm."|speech
48|SETH|"I was gonna pull up in it.
Tonight. Heads or tails, call it
in the air.
The coin lifts, floats several inches in the air, quivering.
5."|speech
49|JOE|"Congratulations. You're pulling up
with me instead.
Joe notices the floating quarter."|speech
50|JOE (CONT'D)|"And don't, if we're going in, don't
do that."|speech
51|SETH|Chicks dig TKs.|speech
52|JOE|"It's tacky, don't do it.
Seth catches the quarter, sullen.
JOE (V.O.) (CONT'D)
When the TK mutation started
appearing in the general populace
it was on every magazine - “Next
Step in Evolution, what's next.”
Everyone got tested. But turns out
this was it, and now it's just a
bunch of assholes thinking they're
blowing your mind by floating
quarters."|speech
53||EXT. LA BELLE AURORE - NIGHT|location
54|JOE|"A shitty but bright nightclub in the heart of the city.
Flashy people shiver behind a velvet rope, huge black cars,
big rollers in odd suits swept in by the bouncers.
All trying very hard to be big time.
JOE (V.O.)
Big heads. Small potatoes.
Drives past, revving the engine."|speech
55||EXT. PARKING LOT|location
56|JOE|Down the street. Joe tosses the keys to an attendant.|speech
57||EXT. LA BELLE AURORE SIDE ENTRANCE|location
58|JOE|"A dingy stage door in back of the building. Joe and Seth
ring a buzzer, smile for a camera, and the door opens."|speech
59||INT. COAT CHECK|location
60|JOE|"A long dark hallway leads to a tiny antechamber with a coat
check room used for guns. BIG CRAIG leans out of it, and
stops the two.
6."|speech
