|character|text|type
0||"8/4/1993
S P I D E R - M A N
Written by
Barry Cohen and Ted Newson
and
James Cameron
2nd Revision by
Joseph Goldmari and James Cameron
and
John Brancato
Third Revision by James Cameron
based on screenplays by Ted Newsom & John Brancato,
Barney Cohen and Joseph Goldman
SECOND REV.
7/29/1993
FADE IN:"|stage direction
1||"INT. PROFESSOR OCK""S PRIVATE PHYSICS LABORATORY, THE"|location
2||"CYCLOTRON ROOM (CREDIT SEQUENCE) - DAY
A mighty WARNING KLAXON assaults our ears. A FLASHING RED
WARNING LIGHT stabs our eyes.
Several DIALS go into the RED. A hand pushes aside a
YELLOW THERMOS and pushes forward a RED POWER THROTTLE.
We hear the WHINING UP of a cyclotron. A DIGITAL DIAL
climbs to ""5% POWER."" A SPIDER crawls across a DIAL.
Begin OPENING CREDITS.
THE CYCLOTRON ROOM is in an old basement full of peeling
paint and plumbing wrapped with TAPE. Leaks are here and
there. COBWEBS are all around.
DOCTOR OTTO OCTAVIUS (OCK) is a strong but strange
featured man in his mid-fifties.
His assistant, WEINER, hovers nearby looking on. He's
open mouthed with a mindless kind of curiosity. WEINER is
a local, small-time hood hired by OCK to circumvent the
school administration and to ""procure"" whatever OCK needs
for his experiments. He shades his eyes against a searing
BLUE-WHITE BEAM that erupts from the WINDOW. THE ROOM IS
DIVIDED INTO A CONTROL ROOM AND THE EXPERIMENT CHAMBERS."|stage direction
3|WEINER|Whoa, whoa, whoa... what's that?|speech
4||"With a WHOOSH, the WINDOW EXPLODES, showering the TWO with
shards of GLASS, and throwing them to the floor."|stage direction
5||(rising)|location
6|OCK|"We begin again... let's kick in that new
transducer. See if we can double the
power output."|speech
7||(rising more slowly)|location
8|WEINER|Whoa, Doc... wait a minute...|speech
9||"But OCK is already at the THROTTLE. The cyclotron whirls
up. The lights go on. Louder, brighter than before. OCK
looks through the broken WINDOW into the EXPERIMENTAL
CHAMBER. The POWER DIAL inches upward, ""eight, nine...""
the BLUE-WHITE LIGHT is blinding now. The WHINE pitch is
shattering.
END OPENING CREDITS."|stage direction
10|OCK|Okey... dokey!|speech
11||The POWER DIAL hits ten.|stage direction
12||EXT. EMPIRE STATE UNIVERSITY - DAY|location
13||"As STUDENTS go to class, the sound of the cyclotron spills
out of the SCIENCE CENTER onto the grounds of Empire State
University.
We see PETER PARKER, a pleasant faced senior who's among
the top in his class. Sincere and serious, he has yet to
develop a way with women."|stage direction
14||(falling in step)|location
15|LIZ|Hiya Peter...|speech
16||"LIZ ALLEN is also a senior. She's beautiful and
intelligent."|stage direction
17||"(ardent but
uncomfortable)"|location
18|PETER|Hiya Liz... how're you doing...?|speech
19||(teasing softly)|location
20|LIZ|How'm I doing what?|speech
21|HARRY|Peter! Peter! Wait up!|speech
22||"HARRY is the school nerd. A quirky kid who, like PETER,
can be a little backward around girls, especially pretty
ones like Liz."|stage direction
23||(to Liz)|location
24|HARRY|Would you, uh... excuse us for a minute?|speech
25||"Despite PETER'S protesting body language, HARRY pulls him
away like a conspirator."|stage direction
26|PETER|What is it? what...|speech
27|HARRY|"Did the Astro-Physics Journal really
accept your paper?"|speech
28||(laughs, embarrassed)|location
29|PETER|"Yeah... well... all I got's the data but
they've agreed to publish it when it's
finished. You know... it's my
calculation on the Planetary Conjunction."|speech
30|HARRY|"And its influence on the anti-force.
Isn't it?"|speech
31|PETER|Yes. Look, Harry, I am busy with...|speech
32||"(indicates Liz standing
there)"|location
33|HARRY|"Yeah, you and the rest of the class.
Every one is busy with Liz."|speech
34||(growing impatient)|location
35|LIZ|Peter?|speech
36||A HAND reaches in and smacks her bottom.|stage direction
37|FLASH|Hiya, cupcakes...|speech
38||"(elbowing him
affectionately)"|location
39|LIZ|Flash...!|speech
40||They kiss and walk away.|stage direction
41||(sneering)|location
42|HARRY|And Flash is the busiest of them all...|speech
43||(disappointed)|location
44|PETER|"Come on, Harry... we'll be late for
Octavius."|speech
45||HARRY makes a gesture dismissing OCK as crazy.|stage direction
46|HARRY|Ock is nuts, don't you agree?|speech
47|PETER|"Ock is a genius, Harry. Crazy, Yes! But,
a genius misunderstood, and unappreciated."|speech
48||INT. CYCLOTRON AREA HALLWAY - DAY|location
49||"It is a basement hallway full of LOCKERS which STUDENTS
are banging open and shut as they put stuff in and take
stuff out. In their midst, a MAN is banging on the door
marked ""Cyclotron Room - Authorized Personnel Only!""
Professor ROSOMORF, SIXTISH, respectable, a good old
fashioned professor, he's the head of the Physics Dept.
With him is ALEXANDER THORKEL, a 40-ish, Waspish school
administrator. For a scientist as crazily focused as OCK,
THORKEL is a natural enemy."|stage direction
50||(knocking furiously)|location
51|ROZ|"Doctor Octavius! You are late for your
lecture. The students are waiting.
Doctor Octavius!"|speech
52|THORKEL|"Your friend is impossible Professor
Rosomorf, I told the board we should let
him go."|speech
53||"The LIGHT above THORKEL's head EXPLODES. Then all the
LIGHTS behind him EXPLODE in succession. THORKEL and ROZ
look amazed..."|stage direction
54|THORKEL|"What's he doing in there, not his crazy
experiment again."|speech
55|ROZ|"You mean his anti-force theory... one day
they'll give him the Nobel Prize for it."|speech
56|THORKEL|"Meanwhile he is demolishing our
university. Octavius!!"|speech
57||(knocks)|location
58|THORKEL|Open the door.|speech
59||INT. OCK'S LAB|location
60|OCK|"The anti-force experiment has now reached
the limit of electronic overload safety.
Therefore, Weiner, you will disconnect
the overload safety device..."|speech
