|text|type
0|WANTED|unknown
1|Written by|location
2|"Michael Brandt & Derek Haas
12/1/2005"|unknown
3|INT. APPLEBY'S - DAY|location
4|INT. WESLEY'S CUBICLE - DAY|location
5|EXT. OFFICE BUILDING - DAY|location
6|INT. LOBBY - DAY|location
7|INT. TOP FLOOR CORRIDOR - DAY|location
8|INT. PUJA'S OFFICE - DAY|location
9|EXT. OUTSIDE THE SKYSCRAPER - FORTY FLOORS UP - DAY|location
10|EXT. ROOFTOP - LATER|location
11|INT. MEETING ROOM - DAY|location
12|INT. GIRLFRIEND'S APARTMENT - DAY|location
13|INT. MEETING ROOM - DAY|location
14|"applications sent by prospective clients
and the 603 is when the client is..."|stage direction
15|INT. BREAK ROOM - DAY|location
16|INT. WESLEY'S CUBICLE - DAY|location
17|INT. ELEVATOR BANK - DAY|location
18|EXT.. CITY STREET - DAY|location
19|EXT. ATM MACHINE - DAY|location
20|INT. CORRIDOR OUTSIDE WESLEY'S APARTMENT - DUSK|location
21|EXT. CITY STREET - DUSK|location
22|INT. FOSTER HOME - DAY|location
23|EXT. FOSTER HOME - DAY|location
24|EXT. CITY STREET - DUSK|location
25|INT. KROGER - PASTA AISLE - NIGHT|location
26|EXT. ONE WAY STREET - DAY|location
27|EXT. CITY STREET - LATER|location
28|EXT. WAREHOUSE - LATER|location
29|INT. SLAUGHTERHOUSE - DAY|location
30|"wings actually separated from their bodies!
IN THE SLAUGHTERHOUSE:"|stage direction
31|EXT. CITY BLOCK - DAY|location
32|INT. RESTAURANT - DAY|location
33|EXT. MANSION - DAY|location
34|INT. GUN COUNTER - DAY|location
35|EXT. CITY BLOCK - DAY|location
36|INT. RESTAURANT - DAY|location
37|EXT. MANSION - DAY|location
38|EXT. STORE PARKING LOT - DAY|location
39|INT. PHARMACY - DAY|location
40|INT. COMMUNICATIONS ROOM - DAY|location
41|INT. WESLEY'S A13ARTMENT - BEDROOM - DAY|location
42|EXT. ATM MACHINE - DAY|location
43|INT. WESLEY'S CUBICLE - DAY|location
44|EXT. OUTSIDE WESLEY'S OFFICE - DAY|location
45|INT. SLAUGHTERHOUSE ROOM - DAY|location
46|EXT. OUTDOOR CAFE - NIGHT|location
47|EXT. MORGUE - NIGHT|location
48|INT. MORGUE - NIGHT|location
49|the empty morgue examining room. Empty except for a|stage direction
50|INT. TARGET ROOM - NIGHT|location
51|INT. WESLEY'S APARTMENT - DAY|location
52|INT. FOX'S PENTHOUSE - NIGHT|location
53|EXT. CITY STREET - NIGHT|location
54|EXT. ALLEY - NIGHT - FLASHBACK|location
55|EXT. CITY STREET - NIGHT|location
56|EXT. CITY STREET -- NIGHT - FLASHBACK|location
57|EXT. ELEVATOR -- NIGHT|location
58|EXT. ROOFTOP - NIGHT|location
59|INT. SHITTY MORGUE - NIGHT|location
60|INT. SMALL ROOM - DAY|location
61|INT. INTERROGATION ROOM - DAY|location
62|INT. FOX'S PENTHOUSE - DAY|location
63|INT. LIBRARY - DAY|location
64|INT. MAP ROOM -- DAY|location
65|EXT. STREET - DAY|location
66|INT. FOX'S PENTHOUSE - MORNING|location
67|INT. TARGET ROOM - DAY|location
68|INT. INTERROGATION ROOM - DAY|location
69|WESLEY (CONT'D)|stage direction
70|INT. FOX'S PENTHOUSE - NIGHT|location
71|INT. TATTOO ROOM - DAY|location
72|EXT. CITY STREET - NIGHT|location
73|EXT. SHOWROOM - NIGHT|location
74|INT. LONG CORRIDOR|location
75|INT. SLOAN'S OFFICE - DAY|location
76|INT. PEK WAR'S MANUFACTURING SHOP - NIGHT|location
77|EXT. CITY STREET -NIGHT|location
78|EXT. WAREHOUSE DISTRICT - NIGHT|location
79|EXT. DIRTY ALLEY - NIGHT|location
80|EXT. CITY STREET - NIGHT|location
81|EXT. HIGHWAY - MORNING|location
82|EXT. SUBURBAN STREET - MORNING|location
83|"WESLEY (CONT'D)
Foster home?"|stage direction
84|EXT. RESIDENTIAL STREET - DAY|location
85|INT. KOREAN BAR-B-QUE JOINT - NIGHT|location
86|EXT. KOREAN BAR-B-QUE JOINT - LATER|location
87|INT. KOREAN BAR-B-QUE JOINT - LATER|location
88|INT. SLAUGHTERHOUSE ROOM - NIGHT|location
89|INT. PHARMACY - NIGHT|location
90|INT. LIBRARY - NIGHT|location
91|INT. CROSS'S HOUSE - NIGHT|location
92|INT. BASEMENT - NIGHT|location
93|INT. APARTMENT - NIGHT|location
94|INT. MEETING ROOM - DAY|location
95|INT. THE TATTOO ROOM - FLASHBACK:|location
96|INT. NICOLE'S KITCHEN - NIGHT|location
97|EXT. APARTMENT BUILDING ROOFTOP - NIGHT|location
98|EXT. CITY STREET - NIGHT|location
99|INT. HOTEL ROOM - MORNING|location
100|EXT. HOTEL SIDE DOOR - DAY|location
101|EXT. RIVER - DAY|location
102|INT. HOSPITAL ROOFTOP - DAY|location
103|EXT. BUILDING ROOFTOP - SAME|location
104|INT. HOSPITAL BUILDING - GROUND FLOOR - DAY|location
105|Wesley ignores it and fires...|stage direction
106|EXT. ROOFTOP - DAY|location
107|EXT. CITY STREET - DAY|location
108|EXT. DOWNTOWN CORNER - DAY|location
109|INT. POST OFFICE - DAY|location
110|EXT. RESIDENTIAL STREET - DAY|location
111|INT. TYPICAL INSURANCE OFFICE - DAY|location
