|character|text|type
0||"V FOR VENDETTA
Written by
Larry and Andy Wachowski
Based on the graphic novel by Alan Moore"|unknown
1||"FADE IN:
In the darkness, we hear a voice, a woman's voice.  Her name
is Evey."|stage direction
2|EVEY (V.O.)|"""Remember, remember, the fifth of
November, the gunpowder treason and
plot.  I know of now reason why the
gunpowder treason should ever be
forgot."""|speech
3||"Her voice has a strength that is metered by a calmness, a
deep centered peace that we can feel."|stage direction
4|EVEY (V.O.)|"Those were almost the very first
words he spoke to me and, in a way,
that is where this story began,
four hundred years ago, in a cellar
beneath the Houses of Parliament."|speech
5||"In the darkness, we find a lantern.  Guy Fawkes, a dangerous
man who wears a goatee, is struggling with a wheelbarrow
stacked with barrels of gunpowder."|stage direction
6|EVEY (V.O.)|"In 1605, Guy Fawkes attempted to
blow up the Houses of Parliament."|speech
7||"The wheelbarrow bumps over the heavy stone mortar of the
cellar floor.  From the dark depths, we hear the sound of
dogs."|stage direction
8|EVEY (V.O.)|"He was caught in the cellars with
enough gunpowder to level most of
London."|speech
9||"Guy sees lanterns coming from both sides.  He tries to run as
the dogs reach him first.  He grabs for his sword as dozens
of pole axes pin him against the tunnel's stone wall."|stage direction
10|EVEY (V.O.)|"Sometimes I wonder where we would
be if he hadn't failed.  I wonder
if it would have mattered."|speech
11||In the dim pre-dawn light, Guy is led to the gallows.|stage direction
12|EVEY (V.O.)|"I suppose the answer is in the
rhyme.  More than the man, what we
must remember is the plot itself."|speech
13||"The coarse noose of rope is snugged up to Guy's throat.  He
looks into the crowd until he finds a face, a woman's face,
staring up at him."|stage direction
14|EVEY (V.O.)|"For in the plot we find more than
just a man, we find the idea of
that man, the spirit of that man,
and that is what we must never
forget."|speech
15||"The lever is thrown and the woman looks down, a tear falling
down her face."|stage direction
16|EVEY (V.O.)|"This, then, is the story of that
idea, of that spirit that began
with an anarchist's plot four
hundred years ago."|speech
17||"Guy's body hangs in silhouette, lifeless against a red
morning sun."|stage direction
18||FADE OUT.|location
19||FADE IN:|stage direction
20||INT.  SUBURBAN HOUSE|location
21||"A young Evey sits on her father's lap, combing her Barbie's
hair."|stage direction
22|EVEY (V.O.)|"I was born near the end of the
millennium, the year 1997.  My
father used to say that people were
so afraid that the world was going
to end that they were willing it to
happen."|speech
23||"Her father sits beside her mother on the living room couch,
watching the news.  From the look on their faces, the news is
bad."|stage direction
24|EVEY (V.O.)|"I don't remember much of the
century's turn.  I don't remember
the market crash or the plague or
any of the Trafalgar riots."|speech
25||"The television flickers with images of heavily armed soldiers
fighting in a shelled city."|stage direction
26|EVEY (V.O.)|"I've read about them since but I
don't recall how any of them
impacted my life except for the
fear.  They would hide it from me,
like a secret between them."|speech
27||"Little Evey sees her father staring at her mother.  They
take hold of each other's hand, clasping them tight."|stage direction
28|EVEY (V.O.)|But I could feel it.|speech
29||EXT.  CITY STREET|location
30||"It is a new day.  People are gathered along the street as if
they were waiting for a parade."|stage direction
31|EVEY (V.O.)|"Of the chaos that seemed to swallow
the beginning of the 21st century,
there is one thing I do remember."|speech
32||"Evey holds her father's hand.  Unable to see what is coming,
she can hear it."|stage direction
33|EVEY (V.O.)|"Very clearly, I can remember that
sound."|speech
34||We hear them, hundreds of marching soldiers.|stage direction
35|EVEY (V.O.)|"And I remember those boots, black
leather that gleamed bright in the
morning sun.  I had never seen such
boots.  All moving in perfect
unison."|speech
36||"Little Evey hides in the forest of adults, clinging to her
father's leg, staring as row after row of boots march by with
military precision."|stage direction
37||EXT.  CITY STREET|location
38||"In the midst of a political rally for the emerging new party
calling itself Norsefire, we find little Evey now on her
father's shoulders.
Dascombe, a young man, paces the podium, inciting the crowd."|stage direction
39|DASCOMBE|"The time has come, London, to
return to a bygone age, an age of
tradition, an age of values that
have been disparaged and all but
forgotten.  What this country needs
is a leader!  A true leader to
remind us of that age.  A righteous
leader with the strength of his
moral convictions to do what must
be done.  I give you that man!  I
give you our leader!  Adam Susan!"|speech
40||"Adam Susan rises and the crowd cheers.  Evey's father looks
at her mother and again they clasp hands."|stage direction
41|EVEY (V.O.)|"It must have seemed so easy to
them.  They offered such a simple
deal; give up control and we will
restore order."|speech
42||INT.  SUBURBAN HOUSE|location
43||Little Evey is asleep in her bedroom.|stage direction
44|EVEY (V.O.)|"At first, the arrests were
political.  Dissidents.  Radicals.
Liberals."|speech
45||A loud crash of splintering wood wakes her up.|stage direction
46|EVEY (V.O.)|"When my parents were younger, they
had been activists.  They had
marched with Labor in the great
train strike."|speech
47||The sound of heavy boots swarms through the house.|stage direction
48|LITTLE EVEY|Mommy?|speech
49||"Her bedroom door bursts open and a heavily armed soldier
scoops her up.
She is carried through the dark house which is filled with
soldiers.  On the floor of the living room, she sees her
parents being bound with plastic zip-ties."|stage direction
50|MOTHER|"My daughter!  Don't take my
daughter!"|speech
51|FATHER|Evey!  Evey!|speech
52|LITTLE EVEY|Mommy!  Daddy!|speech
53||"A heavy black hood is pulled over each of her parent's heads
as Evey is carried out of the house."|stage direction
