|text|type
0|"G.I. JOE: THE RISE OF COBRA
Written by"|unknown
1|November 3rd, 2007|location
2|EXT. THE BASTILLE - PARIS - NIGHT|location
3|INT. PRISON BLOCK - BASTILLE PRISON - NIGHT|location
4|INT. FURNACE - BASTILLE PRISON - NIGHT|location
5|EXT. NATO HEADQUARTERS - BRUSSELS - DAY|location
6|INT. BRIEFING CHAMBER - NATO HEADQUARTERS - DAY|location
7|INT. MARS FACTORY - NIGHT|location
8|INT. MEN'S ROOM - MARS FACTORY - NIGHT|location
9|INT. CORRIDOR - NATO HEADQUARTERS - DAY|location
10|INT. HIGH-TECH DELIVERY BAY - MARS FACTORY - NIGHT|location
11|EXT. MARS FACTORY - KYRGYZSTAN - NIGHT|location
12|INT. LEAD COUGAR - MARS FACTORY - NIGHT|location
13|EXT. CONVOY - MOUNTAIN ROAD - DAWN|location
14|INT./EXT. REAR COUGAR - MOUNTAIN ROAD - DAY|location
15|INT./EXT. LEAD COUGAR - MOUNTAIN ROAD - DAY|location
16|EXT. CONVOY - MOUNTAIN ROAD - DAY|location
17|INT./EXT. REAR COUGAR - MOUNTAIN ROAD - DAY|location
18|INT. LEAD COUGAR - MOUNTAIN ROAD - DAY|location
19|EXT. CONVOY - MOUNTAIN ROAD - DAY|location
20|INT./EXT. LEAD COUGAR - MOUNTAIN ROAD - DAY|location
21|EXT. CONVOY - MOUNTAIN ROAD - DAY|location
22|INT./EXT. LEAD COUGAR - MOUNTAIN ROAD - DAY|location
23|INT./EXT. GRIZZLY - MOUNTAIN ROAD - DAY|location
24|INT. LEAD COUGAR - MOUNTAIN ROAD - DAY|location
25|EXT. CONVOY - MOUNTAIN ROAD - DAY|location
26|INT. CONTROL ROOM - THE PIT - DAY|location
27|EXT. HOWLER - EGYPTIAN SKIES - DUSK|location
28|INT. HOWLER -SKIES - DUSK|location
29|INT. SECURITY ROOM - THE PIT - DAY|location
30|EXT. HOWLER - SKIES - DAY|location
31|INT. LANDING PLATFORM - THE PIT - DAY|location
32|INT. CONTROL ROOM - THE PIT - DAY|location
33|INT./EXT TRIDENT - DAY|location
34|INT. DOCKING BAY - DAY|location
35|INT. CORRIDORS - DESTRO HEADQUARTERS - DAY|location
36|INT. CONTROL ROOM - THE PIT - NIGHT|location
37|INT. HAWK'S STATEROOM - DAY|location
38|EXT. THE BARONESS' MANSION - PARIS - NIGHT|location
39|INT. FOYER - THE BARONESS' MANSION - PARIS - NIGHT|location
40|INT. MASTER BEDROOM - THE BARONESS' CASTLE - NIGHT|location
41|INT. MILITARY CLUB - WASHINGTON D.C. - NIGHT|location
42|EXT. VERANDAH - OFFICER'S CLUB - FLASHBACK - NIGHT|location
43|INT. THE PIT - URBAN ENVIRONMENT - DAY|location
44|INT. TARGET RANGE - URBAN COMBAT LEVEL - DAY|location
45|EXT. THE PIT - DESER - DUSK|location
46|INT. SECURITY ROOM - THE PIT - NIGHT|location
47|EXT. THE PIT - DESERT - NIGHT|location
48|INT. MOLE POD - UNDERGROUND - NIGHT|location
49|INT. SECURITY ROOM - NIGHT|location
50|INT. TRAINING ROOM - NIGHT|location
51|INT. THE PIT'S GENERATOR STATION - NIGHT|location
52|INT. PIT BARRACKS - NIGHT|location
53|INT. HALLWAY - NIGHT|location
54|INT. HAWK'S STATEROOM - NIGHT|location
55|INT. BARRACKS - NIGHT|location
56|INT. MAIN VAULT - NIGHT|location
57|INT. MAIN VAULT - MOMENTS LATER|location
58|INT. URBAN AREA - NIGHT|location
59|INT. ENTRANCE - NIGHT|location
60|INT. SECURITY ROOM - THE PIT - NIGHT|location
61|EXT. ENTRANCE - THE PIT - NIGHT|location
62|EXT. WASHINGTON D.C. - DAWN|location
63|INT. WHITE HOUSE CORRIDOR - DAWN|location
64|INT. MCCULLEN'S|location
65|"OFFICE- DESTRO
HEADQUARTERS
- DAY"|stage direction
66|"and Storm Sh saw his ance
adow watc in the
h onndual HOLOstor
PROJECTORS.
This belonged jo E
mine. He was c t an old ancestor o f
to both sides. aught sellin g arms
They forced
wear it the rest to
his life ."|stage direction
67|"the mask back in its ca se.
CONT'D)"|stage direction
68|MCCULLEN|stage direction
69|"work,
been properly y"|stage direction
70|INT. OPERATING CHAMBER - DAY|location
71|INT. URBAN AREA - THE PIT - DAY|location
72|EXT. A DRIZZLING SAIGON ALLEY - NIGHT|location
73|INT. BARRACKS - NIGHT|location
74|INT. MEDICAL RECOVERY WING - DAY|location
75|INT. MEDICAL WING - DAY|location
76|INT. MEDICAL EXAMINATION ROOM - THE PIT - DAY|location
77|INT. CORRIDOR - THE PIT - DAY|location
78|INT. CONTROL ROOM - THE PIT - DAY|location
79|EXT. BLACK SKY - NIGHT|location
80|INT. THE HOWLER - NIGHT|location
81|EXT. JUNGLE VILLAGE - DAY|location
82|INT. BLACKHAWK HELICOPTER, DAWN - FLASHBACK|location
83|EXT. JUNGLE VILLAGE - FLASHBACK - DAY|location
84|INT. BLACKHAWK HELICOPTER - FLASHBACK|location
85|INT. HOWLER - NIGHT|location
86|EXT. PARIS - FRANCE - DAY|location
87|EXT. GUARD SHED - LABORATORY - DAY|location
88|INT. FOYER - LABORATORY - DAY|location
89|INT. PARTICLE ACCELERATOR CHAMBER - LABORATORY - DAY|location
90|EXT. BRAWLER - CITY STREETS - DAY|location
91|INT. BRAWLER - LABORATORY - DAY|location
92|INT. PARTICLE ACCELERATOR CHAMBER - LABORATORY - DAY|location
93|INT./EXT. BRAWLER - LABORATORY - DAY|location
94|INT./EXT. SCARAB - DAY|location
95|INT. FOYER - DAY|location
96|EXT. GUARD SHED - DAY|location
97|INT./EXT. BRAWLER/SCARAB - DAY|location
98|INT./EXT. SCARAB - CITY STREETS - DAY|location
99|INT./EXT. BRAWLER - CITY STREETS - DAY|location
100|EXT. ACCELERATOR SUITS - CITY STREETS - DAY|location
101|Duke and Rip charge after the Scarab. Their speedometers|stage direction
102|INT./EXT. SCARAB - CITY STREETS - DAY|location
103|INT./EXT. BRAWLER - CITY STREETS - DAY|location
104|EXT. ACCELERATOR SUITS - CITY STREETS - DAY|location
105|INT. COCKTAIL LOUNGE - PARIS - DAY|location
106|EXT. ACCELERATOR SUITS - CITY STREETS - DAY|location
107|INT./EXT. SCARAB - CITY STREETS - DAY|location
108|INT. BRAWLER - DAY|location
109|EXT. SCARAB/STREETS - DAY|location
110|INT. METRO-RAIL TRAIN - DAY|location
111|EXT. CITY STREETS - DAY|location
112|INT./EXT. BRAWLER - CITY STREETS - DAY|location
113|EXT. RAILWAY CROSSING - CITY STREETS - DAY|location
114|EXT. EIFFEL TOWER - DAY|location
115|INT. TYPHOON - DAY|location
116|EXT. STREET - DAY|location
117|INT. CONTROL ROOM - MARS HEADQUARTERS - DAY|location
118|EXT. CITY STREETS - DAY|location
119|INT. CONTROL ROOM - MARS HEADQUARTERS - DAY|location
120|EXT. STREET - DAY|location
121|"friendly for t orders to engage with
ces.
RIPCORD
The onl
about i
Dukendly force I care
S
Ripcord suddenly S
Forces' heads.
Some hit the PRAYS a burst of
crashes through t deck. gunfire over the French"|stage direction
122|, and though A DOZEN PARATR forward,|stage direction
123|"WE SMASH CUT TO: A him down hard.
The Joes sit alone FRENCH POLICE HOLDING CEL
L - DUSK"|stage direction
