|character|text|type|character_clean|gender|principal_character
0||"DESPICABLE ME 2
Written by
Cinco Paul & Ken Daurio
EXT: ARCTIC CIRCLE - DAY
Snow and ice as far as the eye can see. What looks like a
windowless MILITARY BASE surrounded by barbed wire fences
sits in the middle of the wasteland.
TITLE CARD: TOP SECRET RESEARCH LABORATORY.   ARCTIC CIRCLE.
At the GUARD GATE, two RUSSIAN GUARDS play poker using an
overturned barrel as a table.
Russian Guard 1 shows a five of diamonds... and four Aces.
The other Guard folds. Russian Guard 1 LAUGHS and drags in
the pile of coins.
While he SPEAKS IN RUSSIAN and does a celebratory dance, the
coins fly up into the air. Russian Guard 1 stops dancing and
sees that the coins are gone. He accuses the other Guard of
stealing them. Russian Guard 2 swears he didn't take them.
Russian Guard 1 grabs a shovel and wields it menacingly,
until it flies up into the air. They both look up to see
where it's gone. Then the metal barrel they were using as a
table flies up, knocking them over.
Russian Guard 2 looks up to see a GIGANTIC MAGNET SHIP
LOWERING DOWN FROM ABOVE AND HOVERING OVER THE LABORATORY.
A watchtower guard shouts. A door below opens as a bunch of
Guards run out and point their guns at the magnet ship.
Then...WOOSH! All of their guns are pulled up towards the
ship, including the guards themselves, who are strapped to
their guns.
A SNOWMOBILE lifts off the ground and flies up to the magnet.
Other vehicles and small buildings begin to pull away from
the ground.
Then--
THE ENTIRE LAB STARTS TO GET PULLED UP OUT OF THE GROUND.
CLANK! The lab makes contact with the ship. It flies up and
down, shaking the scientists and guards off. They fall to
the ground. The magnet ship flies away with their lab,
vehicles, and weapons.
The remaining guards and scientists are strewn across the
snow with the remnants of the damaged base. We see a porta-
potty door open. A Confused Guard is sitting on the can
reading a newspaper, having missed the entire incident. He
closes the door.
MATCH CUT TO:"|unknown|||
1|unknown|DESPICABLE ME 2            CINCO & KEN DRAFT   2.|speech|unknown|?|
2||"INT: AVL HEADQUARTERS - NIGHT
SECURITY FOOTAGE of the research station named PX LABS being
carried away by the magnet ship plays on the screens at AVL
Headquarters.
We see the back of several heads watching the footage.
There's a heavy sigh."|unknown|||
3|SILAS|"Three weeks and we're still no
closer to cracking this?"|speech|SILAS|M|True
4||No response.|stage direction|||
5|SILAS (CONT'D)|Right... bring him in.|speech|SILAS|M|True
6||LUCY (O.S.)|unknown|||
7|SILAS (CONT'D)|Yes, sir.|speech|SILAS|M|True
8||"EXT: SUBURBAN STREET - DAY
Gru steps toward camera, holding some sort of menacing gun,
which he loads and cocks. He pulls the trigger, which shoots
out an inflatable unicorn balloon.
Smiling, he ties it to the windowsill next to some others.
EXT: GRU'S BACKYARD - DAY
A banner reads: ""Happy Birthday Agnes!"" and a massive
backyard party is in full swing. The yard is decorated with
pink balloons and streamers, and a BOUNCY HOUSE shaped like a
castle.
AGNES and several other LITTLE GIRLS slide down a slide.
They are all dressed as princesses, but Agnes is dressed as a
princess riding a unicorn."|stage direction|||
9|AGNES|This is the best party EVER!!!|speech|AGNES|F|True
10||"Edith, dressed as a ninja, emerges from beneath a table and
climbs across the monkey bars as a series of jousts, blades,
and boxing gloves come up from the ground underneath her.
She jumps down, narrowly avoiding a bear trap."|stage direction|||
11||EDITH|unknown|||
12|AGNES|"Haha!   Yeah!
DESPICABLE ME 2           CINCO & KEN DRAFT       3."|speech|AGNES|F|True
13||"Two LITTLE GIRLS fish in a small kiddie pool. One of the
girls pulls up a toy duck and then razzes the other girl, but
then a LIVE PIRANHA jumps out and eats the toy duck.
A BOY and a GIRL sword fight. The Boy does a bunch of fancy
moves. The Girl waits for him to finish and then pounds him
on the head with a club.
Two kids in the background are on a see-saw made of bombs.
Agnes runs into the middle of the yard and points offscreen."|stage direction|||
14||AGNES|unknown|||
15|AGNES|Oh no!   A dragon is approaching!|speech|AGNES|F|True
16||"All of the kids turn and see KYLE dressed as a dragon. He
GRUMBLES and then they SCREAM and huddle around Agnes. Then
Margo enters wearing a SUIT OF ARMOR and wielding a SWORD."|stage direction|||
17|MARGO|"Fear not, for here come the gallant
knights to save us!"|speech|MARGO|F|True
18||"She gestures to a group of minions wearing tiny suits of
armor and wielding various MEDIEVAL WEAPONS. The Kids CHEER
as the minions charge toward Kyle. One accidentally hits
another with his sword. A fight ensues in which they use the
medieval weapons on each other.
One minion pounds another with a MACE. One Minion wanders off
from the fight with his helmet on backwards, wildly swinging
his mace.
Across the yard, Gru is busy grilling burgers and talking on
the phone. Not happy."|stage direction|||
19|GRU|"No, no, no! What do you mean she's
not coming?! I have a backyard
full of these little girls who are
counting on a visit from a fairy
princess!"|speech|GRU|M|True
20||"The mace-swinging Minion walks by and accidently, repeatedly
hits Gru with the mace in the shin."|stage direction|||
21||GRU (CONT'D)|unknown|||
22|GRU|Ah!   Hurts! Ah! Stop it!|speech|GRU|M|True
23||"Gru kicks the minion's helmet and chases him off with a
spatula, sending him towards the party swinging his mace.
Gru SIGHS and returns to the call."|stage direction|||
24|GRU|DESPICABLE ME 2              CINCO & KEN DRAFT   4.|speech|GRU|M|True
25|GRU (CONT'D)|"Listen! I don't want a refund! I
want a fairy princess... please!
Please, I am begging you."|speech|GRU|M|True
26||(Resigned)|unknown|||
27|GRU (CONT'D)|"You know what? I hope that you can
sleep at night, you crusher of
little girls' dreams!!!"|speech|GRU|M|True
28||"Gru hits the phone with his spatula and hangs up.    Turns and
sees Agnes standing there."|stage direction|||
29||AGNES|unknown|||
30|GRU (CONT'D)|"Ooh ooh!   When's the Fairy Princess
coming?"|speech|GRU|M|True
31||"Gru stares down at Agnes' big excited eyes. He opens his
mouth to tell her the truth, but can't do it."|stage direction|||
32|GRU|Any minute now!|speech|GRU|M|True
33||Agnes squeals with excitement and runs off.|stage direction|||
34||AGNES|unknown|||
35|GRU|Yayyy!|speech|GRU|M|True
36||Gru looks worried--what do I do now?    He signals two minions.|stage direction|||
37|GRU|Stall them.|speech|GRU|M|True
38||"EXT: BACKYARD - LATER
A hand-painted piece of cardboard reading ""THE MAGIC SHOW"" is
placed on an easel. Agnes and all of the little kids sit in
a semicircle on the grass. Two minions dressed as magicians
are doing a magic act with Edith as their assistant. One
minion blows up a balloon and puts it in Edith's mouth. Then
the other whips out a CHAINSAW and fires it up, heading
toward her.
Margo sees this and quickly intervenes."|stage direction|||
