|text|type
0|INGLOURIOUS BASTERDS|location
1|"Written by
Quentin Tarantino"|unknown
2|n d|stage direction
3|PERRIER|stage direction
4|ttache case.|stage direction
5|HOSANNA|stage direction
6|Instead of getting mad, The Basterds burst out LAUGHING.|stage direction
7|So Mademoiselle, you were beginning|stage direction
8|Shosanna and Marcel are on the rooftop of their cinema,|stage direction
9|Shosanna, the camera subject, stands on boxes looking down|stage direction
10|The Five Germans, five cards read; MASTER SGT #1(POLA NEGRI),|stage direction
11|(WINNETOU). And Bridget Von Hammersmark, who wears her card in|stage direction
12|The DIALOGUE will be in GERMAN, and SUBTITLED into ENGLISH.|stage direction
13|1 26.|stage direction
14|FADE OFF|stage direction
15|INT - COUNTRY TAVERN - NIGHT|stage direction
16|"Sitting down in a wooden chair facing the screen, and
Pile-o-film, he lights up a cigarette, a absolute no-no in a
cinema of this era, but tonight, what does it matter?4.
He smokes, and waits for his cue to... .BURN IT DOWN!"|stage direction
