|text|type
0|"YEAR ONE
Written by
Harold Ramis, Gene Stupnitsky & Lee Eisenberg
October 18th, 2007"|unknown
1|6.|stage direction
2|EXT. VILLAGE - NIGHT|location
3|Official White              17.|stage direction
4|Official White              27.|location
5|Official White              30.|unknown
6|33.|unknown
7|Official White                                39.|stage direction
8|Marlak now has Zed locked in a lethal choke hold.|location
9|28|unknown
10|Official White                           53.|stage direction
11|They start down toward the city.|stage direction
12|CUT TO:|unknown
13|Official White                           64.|stage direction
14|INT. PALACE THRONE ROOM - SAME TIME|location
15|Official White                            81.|stage direction
16|Official White              82.|location
17|94.|unknown
18|Official White              124.|location
