|character|text|type|character_clean|gender|principal_character
0||"RISE OF THE GUARDIANS
Written by
David Lindsay-Abaire
Screening script 9/6/12"|unknown|||
1||SEQ. 125 - ALONE IN THE WORLD|stage direction|||
2||DARKNESS|location|||
3|unknown|"JACK (V.O.)
Darkness. That's the first thing I
remember. It was dark, and it was
cold. And I was scared."|speech|unknown|?|
4||"The silhouette of a body appears as it drifts into a ray of
light, refracted through water, which turns into...
A MOON - SEEN IN REFLECTION ON A SHEET OF ICE
The moonlight intensifies almost magically, and the ice above
begins to spider-web and crack."|stage direction|||
5||EXT. FROZEN POND - NIGHT|location|||
6||"Snow-covered trees in every direction. The ice in the pond
continues to crack, until finally a hole splinters open. A
young man floats out of the water, bathed in the intense
moonlight. This is JACK FROST - thin, pale, barefoot, his
tousled hair frosted white."|stage direction|||
7|unknown|"JACK (V.O.)
But then...then I saw the moon. It
was so big and it was so bright,
and it seemed to chase the darkness
away. And when it did...I wasn't
scared anymore."|speech|unknown|?|
8||"Jack floats back down onto the ice as the hole closes up
underneath him."|stage direction|||
9|unknown|"JACK (V.O.)
Why I was there, and what I was
meant to do - that I've never
known. And a part of me wonders if
I ever will."|speech|unknown|?|
10||"Jack looks around, confused, then turns toward the moonlight
as it dims a bit.
Jack carefully treads across the ice until he hits something
with his feet. He looks down, and at his feet is a wooden
staff. Curious, he picks it up. Almost immediately the
staff begins to glow a cold blue in his hands. Odd."|stage direction|||
11|unknown|Guardians Screening Script 9/6/12 Avid 2.|speech|unknown|?|
12||"Jack almost drops it as the base of the staff comes in
contact with the ground. Frost shoots out and spreads across
the ice. Jack is visibly confused.
He touches a few trees with his staff sending frost up their
trunks. Then he swings the staff again, more confident, as
he begins to run across the frozen pond.
Another swing, and a gust of wind swirls him high up into the
air. Jack floats for a moment only to fall back down to
earth and into the trees. Jack grabs hold of a tree branch
and pulls himself up to see a small town off in the distance."|stage direction|||
13||EXT. BURGESS SETTLEMENT - TOWN CENTER - CONTINUOUS|location|||
14||"A collection of simple timber houses with thatched roofs.
Jack comes in for a landing, and it's a rocky one. He stands
up, still elated, and brushes himself off.
As Jack makes his way into town, settlers are warming their
hands by campfire. Jack doesn't recognize anyone."|stage direction|||
15|JACK|"(to the townsfolk)
Hello. Hello. Good evening,
ma'am."|speech|JACK|M|True
16|(BEAT)|Ma'am?|speech|||
17||"The settlers walk past Jack, not noticing him. Jack crouches
down as a YOUNG BOY runs toward him."|stage direction|||
18|JACK|"Oh, ah, excuse me, can you tell me
where I am?"|speech|JACK|M|True
19||"The boy runs right through Jack, as if he were a ghost. Jack
staggers back in shock. He's speechless, as if the wind had
been knocked out him. His emotions causing it to snow."|stage direction|||
20|JACK|Hello! Hello!|speech|JACK|M|True
21||"Townsfolk continue to pass through Jack, unaware of his
presence. Shaken, Jack turns and retreats into the forest."|stage direction|||
22|JACK|"JACK (V.O.)
My name is Jack Frost -- how do I
know that? The moon told me so.
But that was all he ever told me.
And that was a long, long time ago.
Guardians Screening Script 9/6/12 Avid 3."|speech|JACK|M|True
23||"We pan up as the moon shines down over the snow covered
trees."|stage direction|||
24||SEQ. 175 - INTRO TO NORTH|stage direction|||
25||EXT. NORTH POLE - DUSK|location|||
26||"FIERY GYPSY VIOLIN MUSIC as we move through clouds to reveal
a MASSIVE ICE CANYON, and just around a bend, the incredible
hidden fortress of NORTH, aka SANTA CLAUS."|stage direction|||
27||INT. NORTH'S WORKSHOP - DUSK|location|||
28||"We glimpse a familiar-looking RED JACKET and CAP with white
trim on a coat hanger just as a pair of tongs SLAM a block of
ice onto a stone work table--
IN QUICK CUTS: A CHAINSAW shears the block in half, spraying
ice. North lifts up the chainsaw revealing a massive tatoo
on his arm, the word NAUGHTY clearly visible.
Three ELVES huddle in a doorway around a plate of cookies,
each licking their own tasty morsel."|stage direction|||
29|CUT TO:|"NORTH (O.S.)
Still waiting for cookies!"|speech|CUT TO:|?|True
