|character|text|type
0||"A sleek British sports car talks directly to us in a
pixilated, garbled video. He's OUT OF BREATH. Crates are
visible behind him. We're in the shadowy bowels of a steel
room."|stage direction
1|LELAND TURBO|"This is Agent Leland Turbo. I have
a flash transmission for Agent Finn
McMissile."|speech
2||SUPERIMPOSE OVER BLACK: WALT DISNEY PICTURES PRESENTS|stage direction
3|LELAND TURBO|"Finn. My cover's been compromised.
Everything's gone pear-shaped."|speech
4||SUPERIMPOSE OVER BLACK: A PIXAR ANIMATION STUDIOS FILM|stage direction
5|LELAND TURBO|"You won't believe what I've found
out here."|speech
6||"He angles our camera view, reveals a PORTHOLE through which
we can see flames rising in the distance."|stage direction
7|LELAND TURBO|"This is bigger than anything we've
ever seen. And no one even knows it
exists. Finn, I need backup. But
don't call the cavalry - it could
blow the operation. And be careful.
It's not safe out here!"|speech
8||ANGRY VOICES O.S. Time for Turbo to go.|stage direction
9|LELAND TURBO|"Transmitting my grids now. Good
luck!"|speech
10||"Coordinates appear: 40 6.80' N - 172 23.84' W
TITLE CARD: CARS 2"|stage direction
11||EXT. SOMEWHERE IN THE NORTH PACIFIC - NIGHT|location
12||A TINY CRAB BOAT (CRABBY) crests over massive swells.|stage direction
13|CRABBY|"Alright buddy, we're here. Right
where you paid me to bring you.
Question is, why?"|speech
14||A metallic blue sports car, circa the `60s, emerges from the|stage direction
15|CRABBY|2.|speech
16||"shadows. Cagey, smooth, he'd turn heads driving through any
intersection in the world. Meet FINN MCMISSILE."|stage direction
17|FINN|I'm looking for a car.|speech
18|CRABBY|"A car? Hey pal, you can't get any
further away from land than out
here."|speech
19|FINN|Exactly where I want to be.|speech
20|CRABBY|"Well I got news for you, buddy.
There's nobody out here but us."|speech
21||"Suddenly, a HORN -- a COMBAT SHIP, the size of most cruise
ships. FINN quickly backs into the shadows, out of sight."|stage direction
22|COMBAT SHIP|What are you doing out here?|speech
23|CRABBY|"What does it look like, genius? I'm
crabbing!"|speech
24|COMBAT SHIP|"Well turn around and go back where
you came from."|speech
25|CRABBY|Yeah? And who's gonna make me?|speech
26||A laser sight hits Crabby between the eyes.|stage direction
27|CRABBY|"Alright, alright! Don't get your
prop in a twist.
(as he turns to leave)
What a jerk. Sorry, buddy. Looks
like it's the end of the line.
Buddy?"|speech
28||ON CRABBY'S DECK: Finn is gone.|stage direction
29||"FINN - He HANGS off the side of COMBAT SHIP, clandestine.
We're with Finn as the ship continues on, cuts through the
darkness with purpose. Suddenly small flames appear, perhaps
a knot or so away. Then WHOOSH!!! A flame rises above Finn,
the ship. It illuminates an OIL DERRICK."|stage direction
30|CUT TO:|3.|speech
31||"THWAP! Finn fires a GRAPPLING HOOK to the derrick and SWINGS
toward it. He's going to SLAM into the side with brute force"|stage direction
32||WHEN ---|location
33||"--- HIS TIRES sprout a magnetic exoskeleton. He STICKS to the
derrick and now DRIVES VERTICALLY UP UP UP...
From this vantage point, hundreds of derricks appear."|stage direction
34||EXT. PLATFORM - OIL DERRICK - MOMENTS LATER|location
