|character|text|type
0||"HOW TO TRAIN YOUR DRAGON 2
Written by
Dean DeBlois
Inspired by the novels by
Cressida Cowell
Final Draft
May 5th, 2014"|unknown
1||EXT. OPEN SEA - DAY|location
2|unknown|Hiccup and Toothless BLUR PAST, leaving a wake that leads...|speech
3||EXT. BERK - DAY|location
4|unknown|"(Sequence 0200 - New Berk)
To the island village of Berk, festively adorned with flags
and banners. Major new additions alter its familiar skyline.
HICCUP (V.O.)
This... is Berk. The best kept
secret this side of, well,
anywhere. Granted, it may not look
like much, but this wet heap of
rock packs more than a few
surprises."|speech
5||"ON A CLUSTER OF SHEEP, hiding nervously between buildings as
shadows of passing dragons race by. The group moves as one,
receding into a shadowy alley, pushing one sheep out into the
light. It's suddenly snatched and carried into the air!"|stage direction
6|unknown|"HICCUP (V.O.)
Life here is amazing, just not for
the faint of heart. See, where most
folks enjoy hobbies like whittling
or needlepoint, we Berkians prefer
a little something we like to call--"|speech
7||"WHOOSH, WHOOSH, WHOOSH! A wash of VIBRANT COLORS blurs by.
DRAGONS BARREL PAST at a dizzying speed. Their RIDERS SWIPE,
KICK, and ROLL into one another while they WEAVE neck in neck
between the houses, docks, and revamped structures of Berk."|stage direction
8|unknown|"HICCUP (V.O.)
DRAGON RACING!"|speech
9||"It's like an aerial version of the Monte Carlo race.
Spectators ROAR from wooden bleachers, fastened to cliff
faces and perched over the sea.
FISHLEGS, now 20 and even larger, rides his gronkle, MEATLUG,
who carries the sheep in her claws, until...
SNOTLOUT, also 20, but every bit as juvenile, and his
Monstrous Nightmare, HOOKFANG, steal the sheep from them."|stage direction
10|unknown|HTTYD 2 (D. DeBlois) - FINAL DRAFT - 05/05/14 2.|speech
11|SNOTLOUT|"Oh, I'm sorry, Fishlegs! Did you
want that?"|speech
12|FISHLEGS|Snotlout! That's mine!|speech
13||"Snotlout FALLS BACK toward RUFFNUT and TUFFNUT, who lag on
their two-headed Zippleback, BARF & BELCH."|stage direction
14|SNOTLOUT|Here ya go, babe.|speech
15||"With a chivalrous grin, Snotlout tosses the sheep to Ruffnut.
She SNATCHES it with a sneer and a GRUMBLE."|stage direction
16|SNOTLOUT (CONT'D)|"Did I tell you that you look
amazing today? `Cause you do."|speech
17|RUFFNUT|"Come on, Barf. It's starting to
stink around here."|speech
18||"Barf starts to peel off, spewing gas. Tuffnut mocks Snotlout
with a mugging grin."|stage direction
19|TUFFNUT|"Nope. Still hates you. Let's blow
this place, Belch!"|speech
20||"Belch ignites the gas, sparking a flashy explosion, and
leaving Snotlout behind in the smoke.
As they rush past the main bleachers, Ruffnut DROPS her sheep
into one of five baskets suspended over a chasm at the lap
crossing. Each backboard bears an image of its corresponding
dragon. The Barf/Belch basket filled to the brim with sheep.
Presiding over the game, STOICK turns to the frenzied crowd."|stage direction
21|STOICK|"That's nine for the Twins, Astrid
lags with three, Fishlegs and
Snotlout trail with NONE!"|speech
22||"Stoick eyes an empty basket at the far end, its backboard
painted with an image of Toothless."|stage direction
23|STOICK (CONT'D)|"And Hiccup is... nowhere to be
found. Hmmm.
HTTYD 2 (D. DeBlois) - FINAL DRAFT - 05/05/14 3."|speech
24|GOBBER|"Scared him off with the big talk,
didn't ya, Stoick?"|speech
